[00:00.860] 您好你好，请问您。
[00:04.150] 对行，怎么称呼您
[00:06.440] 了？
[00:08.440] 您
[00:12.340] 然后怎么手机号您说一下，麻烦您留一个134134663366339360。
[00:20.550] 9360是吧？
[00:22.440] 行好了王女士。
[00:26.770] 我是本店的销售顾问，我姓陈静，这首名片您是第一次到店是吧？之前没有联系过其他销售顾问是吧？
[00:32.710] 行，然后这边给您看一下车，您是想看一下哪款车型？
[00:36.860] 今天
[00:37.870] 飞机聊还有一冲叉车是的，咱们再看看出来了。
[00:42.780] 放.com烧水我知道了，他们
[00:47.150] 绝对不要的话，咱这边在
[00:51.530] 具体是什么您了解过吗？还是第一次看车的都是S6里想换一个是吧？
[00:59.010] 甜的，就是他什么万一这种SUV的是吧？
[01:04.200] 行，那车的话主要是您开的多一些是吧？对这也是您开的多。
[01:09.030] 想拿S60换是吗？对行了解，然后S60是哪年的？
[01:15.550] 到今年5年多。
[01:18.230] 15 14年了是吧？行大概开了有万公里。
[01:23.180] 53,000。
[01:24.510] 差不多55万公里是吧？一年差不多跑1万了已经对吧？不怎么不能开是吧？行，新车的话主要也是您开的多一些，大概的话是主要上下班多一些是吗？对接孩子是吧？希望了解您大概购车时间打交道，最近
[01:42.510] 当时有什么活动，有什么活动是吧？行行，我一会给您详细的列一下大概的一个购车预算，您是在
[01:51.190] 技术就是最低版重型了解。
[02:00.050] 目前这款车的话是原价318,800，
[02:03.590] 然后现在现金优惠的话能优惠到一个6万
[02:07.550] 63,000 63,800的一个现金优惠。
[02:11.330] 裸车的话是
[02:14.170] 25万多一点，255,000255,000，
[02:18.560] 21 25个5，然后您
[02:21.980] 有一置换，我一会给您问一下现今的一个，因为产品置换吗送给置换与置换补贴，
[02:27.630] 我给你问一下大概多少钱？
[02:29.370] 对。
[02:30.940] 现在您看一下车怎么看给他送去爱好，就出去自驾游什么多一些是吗？
[02:37.700] 也就是带孩子快的来八糟的，行您看一下。
[02:43.820] 行，然后这款的话咱T4的一个就是低配那款318,800这款车削
[02:49.760] T4的，对这车是2.0T190匹的马力全是四驱，
[02:55.910] 这跟被S60现在开没有区别，没什么，因为我不是特别了解，就是14版的那款S60对。
[03:04.660] 那款是周易的一个发动机吗？
[03:07.800] 我不知道是吧？
[03:10.050] 行，反正这款的话就周一的发动机涡轮增压190匹的马力，然后全食的一个四驱的
[03:16.320] 动力方面估计是没什么问题，您在市里开，然后向他的一个后排空间你也可以看一下，好像是比S60小点，因为那是个轿车吗？
[03:25.510] 叫卧车的肯定要长一点，而且整车车长4米4左右，不是说特别大的那种比较适合您接孩子什么的，您挺起来好停吗对吧？
[03:35.690] 然后你可以坐去感受一下感受大概做了是吧？像Volvo主要的安全环保的，可能也不用跟您就过多的说，
[03:46.140] 像自动刹车，这也是前期都有的。
[03:48.330] 那个就是说叫什么？
[03:53.030] 他的工作的
[03:54.560] 谁知
[03:55.840] 这号码，然后颜色的配置，
[03:58.630] 要没有的话，
[04:02.450] 运动放假。
[04:03.920] 对，到这儿的拿配置单您看一下，您稍等您先看一下。
[04:35.250] 我爱上了。
[04:41.140] 给
[05:06.550] 现在优惠多少钱？
[05:08.280] 现在能优惠到一个8万多，然后加上置换补贴能到9万多，
[05:14.070] 而且这T5都兑现都是T5的，您可以看一下，这是40的那块。
[05:20.270] 40我觉得空间太大，很小是吗？哪个运动的就这种。
[05:25.100] 也能像这种都是运动队，它里面
[05:29.390] 那里边那个时候价格他俩一样的，就同一配置价格是一样的。
[05:33.560] 你这段运动进气格珊还是运动的好看，对运动好看一些。
[05:41.030] 运动的话一般都是黑的红的，不是白的红的蓝的这三种颜色，T5
[05:46.690] 的第五T5最低配全办下来价格30应该是在34万左右，
[05:54.210] 你觉得全内就是对加购置税加保险成败还有比这贵不了多少，这是全的全办下来应该是28左右。
[06:02.240] 66,300
[06:04.700] 6万块钱也就
[06:07.040] 就行。
[06:09.710] 然后咱这边都有下车，一会可以给您试一下，感受一下车。
[06:13.480] 这边也都拆了，谁知
[06:17.460] 后台这车短是没有大，对整个车长才送礼四对吧？
[06:25.490] 如果
[06:27.820] 你帮我算算，就是说我们那桌
[06:31.120] 需要给您评估一下，反正S6他单位的车来了好吧，我们就自己家开，你们物价肯定也就是三四天有效价格，我们也没开，今天顺路办事过来先看看，我们反正大概就这个年头的车，然后
