[00:01.200] 接待客户张先生
[00:03.870] 怎么刺激点？
[00:08.900] 张
[00:10.530] 王老师。
[00:21.700] 让张先生是吧？
[00:23.190] 本店销售顾问王超就是我们。
[00:25.370] 我是第三不
[00:27.420] 讲不是非这200我还没有，你那边有去掉了，肯定没放出来了。
[00:33.200] 没吃饭感觉老婆反馈不是。
[00:36.500] 我看一下。
[00:37.640] 没有，我知道还在手上看着320的。
[00:41.440] 它是不一样的，对。
[00:45.380] 第一次来我们店有电话约我们明天。
[00:48.460] 现在您看咱们工业，这是咱们客户更有利的地方，咱们跟您说一下，我说维修与商代重新经营合法的，谁知公司绝不购买销售强制消费，绝不使用家店清楚吧？
[01:00.750] 现在408181188是针对咱们工业工业化，而且我们奔驰是除了汽车行业内，唯一通过分析顾客服务你服务费收入。
[01:09.440] 现在有厂家300多价格要走就快点。
[01:16.360] 的不出来过来的水了。
[01:19.930] 谁知
[01:34.010] 880。
[01:35.250] 2,766,000。
[01:39.240] 最后300 300，
[01:42.690] 别人320。
[02:17.040] 多喝点水。
[02:20.710] 你说这款是收据什么都一样的，大小都一样。
[02:24.040] 估计大小都一样，对。
[02:25.630] 您上北京牌吗？
[02:26.780] 外地牌外地牌上哪了还有。
[02:29.540] 我没给当地看一下了，不在当地有。
[02:33.890] 你就可以开个交流全国吗？可以，昨天跟我看看知道吧？
[02:40.160] 第
[02:41.800] 他们的目标
[02:48.350] 快递公司
[02:54.250] 你不一样的，成本太高了，
[03:03.330] 实际上的差别
[03:07.520] 的
[03:08.380] 交费
[03:10.760] 二二百的价格搜一下，咱们针对经济价格为315,800号楼。
[03:18.880] 好。
[03:20.790] 12号。
[03:22.300] 然后我们卖一套大概100多股。
[03:25.410] 一二百。
[03:27.120] 就200。
[03:29.490] 500万要28万，285,800。
[03:34.040] 你说实际了。
[03:35.450] 又实际销售价格卖安徽。
[03:38.880] 不可能看他跟网络说的还早。
[03:41.740] 肯定跟网上不一样，网上他又不是4S店，他也不卖车，也是二二十万左右，那他又不是4S店，他就标一价格，那您说搁网上能卖车吗？不是，咱们店我们也。
[03:52.640] 看了，在亳州也看了。
[03:54.960] 说实话我都有自己家里人跟你说实话，
[03:58.660] 就这个意思，别人看去卖得贵，它不可能在这买，那不一样的是吗？是不是？
[04:02.830] 我们都卖卖地之后卖地价格不一样。
[04:05.650] 是吧？我就会没给。
[04:07.060] 了。
[04:07.850] 差多少？
[04:10.090] 这差了好几万，北京能优惠7万多。
[04:13.280] 那不用咱们车辆。
[04:15.640] 是不是？你要外地差好几万是
[04:20.220] 北京什么价格？
[04:22.030] 北京这车不是31万多，315,800就按7万算。
[04:26.630] 那儿对吧？
[04:28.190] 二十几。
[04:29.480] 24倍。
[04:30.770] 没有还没算10万。
[04:33.120] 还没算，基本上你说基本上都全下来了。
[04:35.750] 在合肥看看。
[04:37.000] 合肥、合肥、
[04:38.250] 安徽合肥。
[04:39.560] 优惠10多万。
[04:40.950] 我跟你你心里有数就行，我没数安徽什么价我也不清楚，合肥什么价我也不清楚，从来没了解过10多万的价格。
[04:48.860] 车肯定也不是，车可能是cc28什么的，但是
[04:53.320] 他是不是产的什么时候配的有咱不清楚了。
[04:56.360] 有200。
[04:57.390] 200多一些。
[04:58.600] 2,315,800，咱们哪没问到过什么优惠，那么10多万的价格。
[05:03.950] 楼上看过了。
[05:05.090] 您没法看着，你说奔驰C卖20万，那车怎么卖了还？
[05:09.030] 你说你奔驰卖20万，你要其他品牌车怎么卖？
[05:13.250] 186哪有180了，200最低配了。
[05:15.970] 要么AA1865。
[05:17.880] 就AA180是吗？
[05:19.790] 180元是24万钱包对吧？
[05:23.460] 239,800。
[05:25.110] 指导价8201万吗？
[05:27.480] 我们没有最低配时尚特别晚，231,800的，
[05:37.630] 往外地买还贵几万块钱，
[05:40.590] 你不用看了，你这么说的话你这张纸一样，我没事明天准备看，没事那个不用了解了，你这么着没法。
[05:47.370] 他看完了那本就不打算上北京牌，
[05:49.940] 在不浪费你的时间，没有你们是不是对其他客户？
[05:52.680] 我跟他说一声，再给我侄子
[05:55.870] 给家里人看车的，给家里人看，对，他就这两天就买了，都是你要跟老家买安徽那么远的，没必要车到北京来，
[06:03.690] 而且不便宜老远，你说他愿意卖那么远吗？
[06:08.070] 为什么以前有人在北京买车，其它款买这个车差不多，
[06:12.110] 等你1万块钱，
[06:13.930] 真买什么车，对视有政策，
[06:17.940] 没说你是飞车，
[06:19.860] 你就接其他客户，没事需要我给你打电话。
[06:25.480] 没事别耽误你了，没事没不知道，我不知道我不知道其他客户。
[06:29.280] 没有我也不知道没有没那么邪门的。
[06:32.560] 不接待就接待下一个就重要了，这没事你说没事，有什么车辆这块你看哪些功能配置我都给你做个讲解是吧？不是这个价位都在外地太几万块钱增长了。
[06:45.310] 差你肯定没我们当地点一老师对那种车就建议你搁他密码了，你要折腾北京了。
[06:53.540] 审核了。
[06:54.210] 你把
[06:56.020] 标配不就中配的吗？
[06:58.730] 标配的增费。
[06:59.860] 对，所以东北的下降的
[07:02.010] 不到25。
[07:04.850] 全下来不到25。
[07:06.250] 5权权送这么早没招。
[07:08.830] 我觉得您看一看，我觉得没有这么低的价格，这个。
[07:12.250] 咱俩不太高。
[07:14.530] 没用。
[07:15.730] 不是，您也知道北京最便宜，您说上合肥给你放到价格根本就不贴谱价格。
[07:21.620] 我那天有空你们有
[07:24.660] 我们肯定谁的便宜买的旧车都是一个厂家出的。
[07:28.090] 是不是不是外地我们卖过也没卖过那么便宜的，合肥那边他们领导批发出去车也没那么便宜。
[07:34.300] 没事。
[07:36.160] 没事您说。
