[00:04.640] 电话
[00:06.390] 的。
[00:26.400] 不管
[01:28.070] 是张军是吗？
[01:29.140] 对，是刚才打的电话对不对？
[01:32.390] 看第二20,999
[01:35.480] 是C2
[01:38.030] CS对战CS你看看。
[01:42.470] 待会明天给您是一起的是吧？那是他的。
[01:48.220] 来本店的销售，小马刚刚接待您。
[01:50.870] 看cos是吧？
[01:52.430] 您这个做什么应该？
[01:55.630] 300多少钱？
[01:57.050] 300300 355年。
[01:59.520] 350低配的94
[02:02.020] 690万左右。
[02:03.590] 你就算差不多优惠的时候4万块钱，
[02:06.440] 如果要是90万左右，
[02:09.240] 还好，那个还不快吗？
[02:11.560] 320。
[02:13.100] 20停了30三分零几兆？
[02:16.430] 三六万左右68303.0726，
[02:21.450] 原来有一个20的，
[02:22.980] 220没法
[02:24.990] 停了以后不是说这6杠，
[02:28.410] 最大优惠可能就是我们团购，我们的现在特别上还买跟车再买一个还可以合作。
[02:35.280] 他在买的话可能是同样的同一个指标人吗？
[02:39.460] 一件。
[02:40.990] 你家还得再多少指标，一个人不能有两指标，我这个规定。
[02:45.970] 我知道我的意思是说你要说
[02:48.440] 就是说地铁节点
[02:51.010] 那不是得清楚。
[02:52.580] 咱们进就是借条
[02:54.410] 是清楚，但不是直系的直系转，你这说能用多少钱？
[02:58.300] 弄完了90。
[03:00.090] 我跟您说一下，在
[03:02.570] 这上面那意思优惠10万在这等着。
[03:07.670] 我说告诉节我们班头贴一个奔驰，你们俩一把卖两，
[03:13.340] 你怎么也得破产零都有多少毫升？
[03:18.140] 是这样的，是不是叫房地产？
[03:20.450] 没有感觉。
[03:21.540] 整合。
[03:22.570] 我就想着
[03:23.860] 那个地方都是这样，
[03:25.980] 那也是应该的。
[03:27.400] 这是2.0的，多少钱？
[03:29.220] 20这是6338知道吧？
[03:31.750] 优惠完了是5938 64万。
[03:36.480] 35都配齐了吗？350顶配对3509350地区。
[03:41.900] 这是两驱的。
[03:43.420] 他们350是四驱的，四这个地方，
[03:47.060] 那是两驱的。
[03:49.520] 350多少钱？350指导价是78，
[03:52.620] 那车的话350优惠多，350优惠。
[04:05.110] 不就是车价优惠完了以后是6868万，
[04:08.680] 然后你再加上都是这保险什么的，
[04:13.460] 你过来20万到
[04:16.060] 但是别强调
[04:23.390] 太大。
[04:24.750] 有一套。
[04:26.630] 百分之多少？
[04:30.330] 八分饱肚子。
[04:33.930] 就剩下
[04:34.910] 76万 769,000。
[04:37.640] 千万。
[04:41.760] 他这款顶配四驱的钱大概是
[04:44.040] 76万吨，
[04:45.460] 收购了
[04:47.050] 整个会馆的人指导价70万美元60万，
[04:54.270] 情况下这优惠多优惠10万，他还看的三五年
[04:58.560] 四驱的那些对，而且高功率意见后面的
[05:05.160] 老师刚开始的吗？
[05:07.230] 是吧？那里边按照而我这还不太行知道吗？这样别跟别人说过吗？
[05:13.730] 没问题。
[05:16.190] 我也平时不做，你看我这因为200斤是吧？
[05:21.790] 我就说了特别高兴，我刚才看了看
[05:35.400] 刚刚说的76万，
[05:37.680] 欲完了之后13.0吗？
[05:39.450] 配置
[05:42.560] 万块钱一样。
[05:48.780] 应该
[05:50.480] 一
[05:52.980] 说
[05:55.360] 的
[05:57.130] 这是高功率的，它也是2.0T但是它是一个2.0T+48伏电机的，他是一个
[06:05.340] 清纯的一个发动机，
[06:07.480] 马力比他要高，这299匹马的将近300平是258匹马为
[06:15.200] 对。
[06:25.590] 产品
[06:32.420] 到
[06:35.470] 好，谢谢叔叔介绍。
[06:38.190] 这350这款
[06:39.960] 的
[06:41.030] 马力大。
[06:41.980] 第
[06:43.340] 对他是2.0+48克，
[06:46.280] 就亲吻发动机，它功率是220千瓦马力是299，将近300匹马，利是250吧。
[06:54.510] 326我觉得
[06:56.560] 2.0发动机来说
[06:59.340] 还是可以。
[07:00.580] 你算九丘我在这4张。
[07:04.800] 对4个。
[07:06.090] 我跟你说了。
[07:08.380] 想省钱，
[07:10.070] 为了代步买个便宜点。
[07:12.540] 如果你去拿他谈业务就买一个刚去的，
[07:16.850] 我跟你说的是这么道理吗？
[07:19.030] 你看你自己内心的
[07:21.470] 把后
[07:24.980] S是过去的，后续的马过去了。
[07:28.790] 这个跟您说我觉得
[07:31.850] 稍微
[07:33.650] 为什么我跟你说。
[07:36.290] 对奔驰有奔驰的优点，
[07:38.720] 也就是说性价比。
[07:40.340] 上班
[07:41.120] 还没把自己
[07:42.610] 也得加上。
[07:43.770] 然后这个是商务您拿的，于是你这说的业务
[07:47.500] 的S350，
[07:49.620] 你要正好
[07:52.280] 0他叫什么？
[07:55.590] 宝马3.04。
[07:58.990] 3.0T
[08:00.200] 6缸汽车就是开开就行了。
[08:03.490] 更安宁，哪有安排的话，我们再来17条一些人上告，
[08:09.190] 避免安全。
[08:10.890] 拍到办公室去的还有你一下，
[08:13.710] 然后说就更好了。
[08:15.440] 但是没有什么自己什么样，
[08:17.610] 还是风格还是漏风，S都是风险。
[08:20.670] 这块就是干脆点。
[08:22.570] 这点上
[08:23.970] 在后面的自己
[08:25.960] 官司需要
[08:27.260] 觉得看最便宜的时候就是那个项目的书记多少钱。
[08:31.800] 你看一下，
[08:39.030] 马竞开始小气，
[08:41.770] 不见了，
[08:43.120] 另外一个手打应用现在开始打水漂一样的太一阶段行。
[08:49.790] 看看350，我说你看看
[08:52.970] 他350，还有一个商务型，商务型的话是852,800，
[08:59.990] 那车优惠完了是802,000百，也是3.06万块。
[09:04.400] 这个是他的
[09:05.950] 高一个配置是350的
[09:08.150] 豪华，这是949,800，
[09:11.310] 要这高一点，
[09:13.760] 优惠完了。
[09:15.200] 差不多1万块钱。
[09:17.140] 90
[09:18.460] 80九万九千八九就是90万，
[09:21.410] 差200块钱89吨82，
[09:24.760] 89跟802,800。
[09:28.030] 80差10万块钱，80 89。
[09:31.730] 89那就是将差200块钱就90了。
[09:35.400] 那个是802,800差
[09:38.300] 98,000。
[09:40.440] 80 90。
[09:42.000] 对，80 90可以这么理解。
[09:44.590] 对。
[09:46.060] 这有一个350低配的是85万。
[09:51.560] 优惠完了是吧？
[09:53.930] 市里都差在哪儿，你就说两款350之间都差哪了？
[10:00.800] 主要差后排了，后排的座椅通风什么的，后排没用，基本上不坐着，那就买。
[10:07.440] 前面都一样是吧？全部都一样。
[10:10.170] 动力都是3.07个都会多少钱？
[10:14.120] 像低配那款80的，
[10:17.650] 他是802,800，
[10:20.410] 购置税是71,044+802,800，
[10:25.340] 连车带税是873,800，保险的话大概预估18,000左右，
[10:31.680] 属于姑上车都随您。
[10:34.760] 再加一个验车894,000。
[10:42.570] 差不多。
[10:43.520] 七
[10:48.880] 的。
[10:51.830] 刚刚
[10:54.430] 这真是需要放松，没事，主要说是有应该说商业什么的。
[11:01.630] 品牌下边保持
[11:03.480] 弄清了不行的话，
[11:05.250] 要今天的行业
[11:09.150] 第一个
[11:11.320] 他要的顶配的
[11:14.900] 可能好像是7676万。
[11:19.610] 这也没有新号码，咱妈宝自己找的。
[11:25.560] 他这不会影响这么
[11:31.140] 的舒服书之一坐着我听我这块玻璃跟那坐两人都知道吗？
[11:41.770] 这年头的做空吗？看着跟杀似的，
[11:47.960] 我觉得他看起来
[11:49.490] 这么难受，做得实在不好看，
[11:53.820] 其他品牌的也都有，他一半后就不错了。
[11:57.710] 那能一样吗？
[12:18.050] 这就得配。
[12:19.810] 对，这是低配的，谁知
[12:22.800] 买你还看高配低配性价比合适不就完了，都是S
[12:30.730] 的
[12:37.840] 别就买了巧今天拿临牌等。
