[00:25.870] 你好，是聂先生吗？
[00:32.950] 挺准。
[00:34.640] 这叉腰就差不多。
[00:37.850] 刚才
[00:41.180] 张你好来自我介绍一下我父亲，你好，软件的销售，我姓马，总刚接待您，
[00:48.130] 我看您登记是想看看
[00:50.520] 咱们的4门轿跑CS，
[00:53.330] 还有个34343没车队，
[00:58.300] CS。
[00:59.990] 不错。
[01:01.630] 你分配的还是什么？
[01:04.720] 他这车的话有他的车一共有4个。
[01:07.720] 配置
[01:08.390] 有260，那是最低配了两300，300有两款300，
[01:15.320] 有一款350，
[01:16.890] 如果说您指导四驱的话，你得看350。
[01:20.440] 对那款是四驱的。
[01:22.120] 而且他是2.07带。
[01:24.190] 一一的动力强，配置高。
[01:26.590] 所以说对于车辆配置不需要说四驱的话，我觉得你可以在300这里边两款里面选，他有一个动感型，有一个豪华型。
[01:36.710] 对，这就是豪华型，那款有什么区别呢？
[01:39.720] 您说动感跟豪华是吗？
[01:42.060] 泡进吗？还是？
[01:43.940] 比如说音响。
[01:45.490] 比如说
[01:47.200] 给你看一下，
[01:52.730] 我看一下。
[01:53.920] 但是患病那个是吧？350对清魂就带一个48这个一块，48V的。
[02:00.760] 对这就是一个纯的2.0T的发动机。
[02:09.550] 因为我说过我父亲看我就想知道咱们的那种
[02:12.850] 自动的那种远近光，就能不能开大灯，还有abc那种跟车有带不带AA C没有大灯有abc是分文都不带的。
[02:22.190] ACC稍等我给你看一下，因为没有一次这些高速堵车还是挺清楚的，
[02:31.770] 反正这个车可能。
[02:34.510] 因为这个车感觉
[02:44.760] 我现在也是在为期和考虑。
[02:47.510] 好在这两款之间做对比，其实比较像
[02:50.290] 有刘备的这种造型。
[02:54.200] 我先跟您说一下这两款300的配置区别。
[02:58.360] 对。
[03:06.370] 首先的话。
[03:08.830] 有意思的是这两款车的钥匙不一样，好，豪华型的钥匙是白色的，对。
[03:15.280] 在。
[03:16.900] 对，在整个奔驰车里边白色车的药。
[03:19.560] 是很少比较少见。
[03:21.690] 对，这款茶就是豪华吗？
[03:24.040] 在这款式和花色都可以选。
[03:26.340] 颜色可以选。
[03:31.230] 完了差一个无钥匙进入，也就是说它的低配的话是需要拿钥匙解锁的，两个300都是带着。
[03:39.750] 不是300的低配是不需没有这个300不是就一个豪华一个动感出来，对动感是没有无钥匙进入动感，而且低配的是吧？动感肯定是低配的，豪华是高配的。
[03:50.320] 然后少一个我刚才说的音响柏林之声，国际
[03:54.460] 小玻、李小波林，
[03:58.730] 完了还差一个
[04:02.460] 感应式后备箱开启就是扫腿的功能，
[04:09.950] 少一个360度影像，
[04:12.600] 然后售车的影像都是有的是吧？到处一项都是有的，它就没有36360没有。
[04:19.120] 然后插秧。
[04:19.950] I一个盲区侦测，就是外号就对盲点。
[04:24.680] 然后找一个
[04:26.860] 车道追踪组建。
[04:28.370] 那就是ACT了，还是说半套和全套半套就是不在0到从0开始，对那是带车道居中吗？还是待车道居中，对，比如说你要是
[04:40.850] 晃神了什么的，他是会有那种提示的提示还是他自己居中拍了？
[04:45.960] 不是集中开的东西只能驱动方向盘是吧？对，他只是提示你可能放盘会有轻微的抖动提示范畴，对。
[04:55.450] 差这些。
[04:57.640] 这是两款300的区别，350就带着。
[05:01.240] 我给您看一下350。
[05:03.210] 您觉得现在买车不带着了？
[05:05.130] 这很不方便。
[05:27.490] 豪华和动感的轮毂都一样，都是不一样。
[05:32.410] 对，不一样。
[05:35.730] 那就相当于豪华带一个
[05:37.620] mg套件或者是一个什么位置套件之类的，对风格组件。
[05:44.930] 350跟300。
[05:46.490] 嗷嗷华跟这款的话。
[05:48.110] 动力就不说了，她动力肯定是不一样。
[05:50.000] 讹的他是因为是轻混的吗？
[05:53.540] 对，插一个几何装束大。
[05:55.620] 灯，就奔驰现在最好的大灯，
[05:58.140] 自动开打的那种，不是自动开大灯是几何装束，它是可以通过比方说第一部分对遮蔽一部分对
[06:06.680] 对。
[06:07.840] 然后他是更大。
[06:09.290] 寸的轮毂，AMD的一个19寸的的轮毂，
[06:26.240] 其他的
[06:27.430] 其他的差一个。
[06:29.760] 平视显示。
[06:30.750] 大玻璃内容形式就是抬头显示。
[06:33.180] 抬头显示。
[06:39.120] 就像内饰颜色是可以选的还是怎么着的？
[06:42.720] 内饰颜色有。
[06:44.380] 俺将但是选择这个层面不多了。
[06:48.650] NASA你刚才说对他是带队对可以从零一直对。
[06:56.840] 对，就差这些钱差多少？
[06:59.460] 钱的话豪华还有他两款的指导价差10万不到。
[07:05.120] 只不过您他。
[07:06.480] 差100,008。
[07:08.580] 安娜你就给报一下这三款的价格。
[07:11.880] Ace对旧房结算价大概的价格就是东北的豪华的还有30元的。
[07:16.630] 我比较推荐你买350，因为350的话现在优惠幅度非常的大，行行。
[07:22.530] 大概听一下。
[07:24.160] 我也觉得其实350这些ACC有主要他还是四驱的。
[07:27.920] 对他本来是前置后驱还是前置前驱的。
[07:32.600] 你看地板的Gucci还挺大不知道。
[07:36.280] 前置后驱的。
[07:42.580] 这两款cos一个是豪华型，
[07:47.230] 豪华型是优惠
[07:50.710] 5万，
[07:52.800] 350的那款车市优惠
[07:56.740] 10万。
[07:57.930] 它原价是多少？
[07:59.900] 原价这两款的话一个是789,800，一个是681,800，原价差108,000，
[08:06.050] 多优惠5万。
[08:07.960] 动感是什么优惠吗？动感的话是637,800，也是优惠58,000，就优惠给你300 2350的。
[08:17.890] 优惠10万61个会员是多少？
[08:21.180] 钱优惠完是689,800。
[08:24.070] 6诏对它优惠完了就。
[08:26.820] 跟这款的指导价差不多了。
[08:30.240] 了应该是。
[08:32.100] 因为本身检查的10万块钱差5万了，
[08:35.910] 咱们三个并送车位，回复专车订车的，
[08:42.620] 没有挂的。
[08:47.840] 我
[08:49.070] 没货。
[08:51.450] 一共就来过一台，对车不多。
[08:55.090] 拔罐来过一台，普通的来过一台。
[08:59.420] 没有观点。
[09:01.200] 不一样百人多，我们有
[09:07.970] 有多少
[09:10.590] 数据？
[09:11.550] 茶厂
[09:17.560] 刘
[09:24.520] 数据。
[09:29.010] 看。
[09:45.400] 我还说
[09:46.920] 给他推个350。
[09:48.720] 优惠10万是吧？
[09:51.720] 是不是350 10万优惠？
[09:53.640] 还
[09:56.310] 您身边的。
[09:59.540] 谁知
[10:00.920] 天津，
[10:04.580] 谁知
[10:09.170] 亲切一点聊。
[10:11.840] 为mg。
[10:13.970] 去看机器吗？
[10:42.140] 没有我在哪你。
[10:45.650] 那一块
[10:47.830] 要上几块我知道了。
[10:49.580] 好了。
[10:51.800] Ps什么意思？
[10:56.100] 也不要留。
[10:58.370] 当时的计划
[11:00.920] 这里没有C rs这款车。
[11:17.040] 今天够20了吗？
[11:25.450] 不理想，
