[00:00.000] 什么镀膜乱七八糟，后来也碰到好人了，那哥们说说你这
[00:05.770] 新买的车
[00:06.770] 本心没必要弄，说我们给你弄，还得给你打一层两层去。
[00:11.010] 他给弄说没有你还不定原厂那个说
[00:14.190] 你就好好对，你别稍微剐蹭了，他不定那好吧。
[00:19.540] 我说行，买车真的挺不好。
[00:22.290] 怎么称呼？
[00:23.420] 赵金秋对。
[00:27.190] 您来一个我不行。
[00:29.520] 赵金潇130010310241024。
[00:43.390] 反正之前这喷那一块色差太大，
[00:46.800] 白色的全是在阳光底下再晒着发黄。
[00:51.780] 车里边有没有什么贵重的手头需要用的没了，车里的都拿出来应该。
[00:57.670] 我内心考虑着小孩把
[01:07.950] 然后我现在这窗户
[01:12.190] 可能不给您管，
[01:14.220] 窗户就是生焰，摩旅的嘎嘎噶。
[01:20.360] 想试。
[01:22.050] 想要是我用趣
[01:24.930] 能升起来是吧？
[01:26.200] 升降都没问题，后边这两招我知道。
[01:31.610] 我试一下。
[02:00.640] 就没事了是吧？
[02:10.800] 真没听出来。
[02:12.440] 是我刚才听了也不是这个是没假是吧？他就是嘎就跟
[02:18.990] 别人什么东西似的，
[02:20.880] 就
[02:21.940] 伤了里头也有可能
[02:31.800] 你这会一点毛都没有。
[02:34.320] 你点
[02:35.800] 左右后边
[02:37.270] 佐证。
[02:38.670] 也没事吗？
[02:44.670] 就这样。
[02:46.480] 走了。
[02:48.110] 对不行？比这个是要大，左边小轮比深，听一下后边都有。
[02:56.300] 能看了我看一下就是了。
[02:58.560] 帮我捞听听耳朵后边的生姜具有降下来了。
[03:07.480] 听着了。
[03:09.690] 豆浆您在那抽烟，我进去照三周马上。
[03:13.370] 好，不过我就看到了，
[03:18.400] 从那边响的时候比这个孩子伤害大，
[03:21.190] 也就后边
[03:25.260] 大概是什么问题？
[03:27.300] 我先
[03:32.880] 可能快走了。
[03:35.590] 在这我洗车的时候也没法
[03:38.430] 也挤不着。
[03:47.160] 是不是
[03:52.190] 不用？
[03:53.630] 你送。
[04:02.670] 生阳气
[04:09.360] 清洗。
[04:10.920] 对转基兄那边到时候怎么处理一下？
[04:15.110] 他这样
[04:16.990] 刚才牵扯到有姆丁知道吧？
[04:20.350] 再高一些。
[04:23.490] 看看我这么脏的人，北京这边基本上都出这种问题，叫沙尘的原因。
[04:31.750] 便宜。
[04:36.420] 而且我这上面就能
[04:37.950] 能看出来。
[04:39.980] 15年
[04:41.180] 超了
[04:42.440] 了。
[04:45.550] 了。
[04:49.130] 谢谢李。
[04:54.920] 他玩游戏了，你因为他是什么，他得把这个门里边劝退满什么的就说打开了，
[05:01.170] 拍完之后把清理油泥什么的，
[05:04.330] 那怎么弄？
[05:05.740] 他里边好像有12楼ing，
[05:08.440] 就鼓动
[05:09.440] 都是毛病，
[05:10.260] 加上公费，
[05:11.730] 他能不能
[05:12.860] 反而便宜，
[05:14.070] 也不便宜。
[05:16.270] 等于那兄弟是什么，我车刚买了没到一个月呢。
[05:20.620] 天窗的滑轨坏了，
[05:24.120] 正好是打冬天的，你看冬天关不上多，你怎么弄怎么开没法开，我来的时候一大队是说
[05:32.900] 在这人吵吵，我还直劝我说大哥有事好好说你抄着，
[05:37.730] 你在超超超超着也没用，你骂谁也没用，车有毛病该修修对，然后可能成量看
[05:44.250] 兄弟还行，对自个车好像这样没着急看别人了。
[05:49.640] 你这人不错。
[05:51.360] 来。
[05:54.400] 就这样我把什么我这边弄安了之后我就交给他，我们俩直接给你什么，
[06:00.580] 检查完了就是我来拿的时候连谁跟我联系，
[06:04.230] 有可能是我联系的行。
[06:11.520] 的
[06:15.870] 的。
[06:16.870] 因为他那边什么检查完了之后给你回个话，就修
[06:22.640] 修修或者怎么着的问题，后续
[06:41.530] 买的也是这款。
[06:43.180] 然后我们那小区里哥们社会哥们买的也是这块，
[06:46.960] 都出现后备箱漏水了，我这到目前还没发现，
[06:50.850] 一下雨或者一发车后备箱一打开哗哗往下漏水，
[06:54.660] 他应该是维E有问题了。
[06:57.640] 都修来了。
[07:09.580] 场
[07:12.910] 拿两个单子。
[07:17.070] 咱们这次修划痕5块划痕。
[07:20.540] 然后时间大概在4天左右。
[07:23.930] 不露和着签字吗？对路车上。
[07:26.800] 要是停产
[07:27.960] 有多少，谁知。
[07:30.050] 然后加上存量这估计怎么着也大概已经咱们先租个多
[07:36.030] 一周看看他那边啥时候能完事。
[07:38.880] 我叫胡永合。
[07:40.550] 这个单子给您，这是对左下角是我的手机号18010210193。
[07:46.990] 开始跟着吃过饭吗？不吃了。
[07:50.280] 我当然跟他们聊聊咱这餐标的最近流行台给将了，原来真的我
[07:58.510] 那哥们在哪儿？德尔门买的宝马跟他吹，我说你这里不行，
[08:04.150] 我说哪天我带你去，我买着吃。
[08:07.200] 那天一聊我餐标也得嫁了。
[08:10.310] 反正现在还这次再开也没事，这不是又降三级了吗？
[08:16.560] 这就估计慢慢能好点，我这就没什么事了，咱们今儿的事就齐了，等了车里边也都收拾好了是吧？对处理了。
[08:24.630] 就得钓鱼的东西，没别的东西，格力今儿就完事了，慢点量。
[08:30.170] 号
[08:31.790] 场
[08:34.500] 坏
[08:41.210] 场。
[08:45.750] 五
[08:52.390] 场
[08:56.720] 数据
[08:59.030] 场。
[09:01.700] 场
[09:03.360] 场
[09:04.640] 场
[09:07.660] 没有收到什么商场反正
[09:09.790] 昨天把他电话给忘了。
[09:15.560] 谁知
[09:17.810] 跟刚才有关系的网站。
