[00:01.160] 女士您好，请问是张先生吗？你好，我是本店的销售顾问，我姓陈静，这是我名片。
[00:07.200] 您想看一下，
[00:17.430] 对
[00:19.550] 的。
[00:26.830] 查什么都有，你看需要喝点什么吗？还有小点心行不用？行好勒。
[00:34.050] 的没有有小小蛋糕什么的，小面包那些需要卖点吗？吃还没吃过饭是吗？没吃饭，我刚才保养我还问我就有没有吃饭？
[00:44.750] 都没有。
[00:47.200] 这个点穿着起作用，对，这是7座的。
[00:52.730] 他这个是的，这算是个高配的，待空闲的地方，声调
[01:01.030] 配没有配不起来？
[01:03.940] 您是176的还是轻的？我就想换个7座的小号的气短，那是76的听众的也有，你在屋里百
[01:12.230] 五的没有是吗？T5的基本没有车，P57跟霉和对没错，我看着道路手动的是吧？对都是手动的，
[01:21.220] 你想打打起来看看是吧？对。
[01:24.030] 去那个是
[01:30.280] 然后这是这么往前推，然后这么着上去。
[01:33.430] 然后
[01:35.720] 第三排有儿童座椅的，第三排没有儿童安全座椅，应该是只能接待这两个，对。
[01:44.600] 就打了您是上北京牌照是吧先生？我车辆置换车什么车置换的？
[01:51.850] 试点博雅德是吧？那年那样。
[01:55.450] 13年大概开了6年是吧？
[01:58.730] 对。
[01:59.570] 行。
[02:02.070] 这个很好。
[02:04.220] 大概跑了多少公里了，那车跑的不多。
[02:08.900] 不太开是吗？那块这两天不知道干嘛拍那也不对。
[02:18.300] 就这么大空间这么
[02:20.310] 能不能大show一下吗？够呛了吗？
[02:24.130] 小小的疼也差不多能上一个月
[02:28.650] 上来了。
[02:31.330] 像气色还算有后备箱空间的，你看我不知道你有没有去看透气什么的，他器材都抬起来可能都到这儿了，对，挺方便。
[02:39.740] 大行李箱什么的。
[02:42.400] 新车的话打算大概什么时间购车？
[02:45.980] 我看了看不啥时候价格合适吗？现在不是说我明天看说能便宜小208,000
[02:53.590] 十几万上10万。
[02:55.530] 135
[02:58.770] 等等投放平台底下他一年要钱，
[03:04.510] 往前准备。
[03:07.550] 后面应该上面算了上的话，我告诉你上午沿着。
[03:14.770] 对，还在这发展。
[03:17.400] 最好先推就没有。
[03:19.860] 对。
[03:21.260] 有了
[03:23.240] 谁知
[03:24.720] 新车主要也能拍是吧？对。
[03:27.780] 是吧？多一点。
[03:31.910] 137多少
[03:36.600] 的，现在有的时候可能
[03:39.220] 老人什么的
[03:42.880] 少。
[03:45.020] 您大概的动车计算是在多少先生？
[03:48.210] 50左右。
[03:52.870] 5选下不来，对60左右的。
[03:57.750] 十一76之1版本差不多要在60左右，然后这算是一个高配了吗？70左右，你可以考虑置业这版本性价比还是比较高的，对。
[04:08.450] 爱欺侮的找不着是吧？
[04:10.180] 挺基本找不着，那车生产的本来就少了，对，去过基本没戏。
[04:24.760] 的
[04:28.490] 的
[04:31.390] 这样。
[04:34.880] 那边所以跟他是一样的，是哪个？
[04:38.320] 六没看，对作业皮革材质有点不太一样，你看这个戏可能没那么细，
[04:44.290] 那也是皮的，但是没那么细。
[04:49.010] 谁知
[04:52.110] 平常的话兴趣爱好就出去自驾游多一些是吧？
[04:56.450] 行，您像沃尔沃车辆的话，主打的就是安全和环保那方面，
[05:00.840] 然后向安全的话，全系标配的城市安全系统，
[05:04.360] 可以识别人、车、自行车以及大型动物给您实现一个自动刹车，
[05:08.890] 然后向环保的话您可以坐下这车感受一下这车没什么味道。
[05:12.920] 对，然后这是一个小的儿童安全座椅。
[05:15.940] 可以对。
[05:20.580] 带着孩子坐可以吗？可以没问题，但是大孩子太少了。
[05:26.270] 岁以下的几岁以上的，
[05:28.320] 这是大孩子了。
[05:29.820] 那种特别小的不行。
[05:32.150] 小孩的话还是得安装儿童安全座椅，
[05:36.660] 对，这个就可以。
[05:38.710] 跟自己做爱。
[05:40.570] 用
[05:42.440] 到
[05:47.150] 这没有自动，我说里面都有。
[05:52.830] 对。
[05:54.490] 他课也是
[05:56.460] 没有的，百度三维它变成了
[06:02.170] 还有独特的
[06:05.200] 还短。
[06:08.550] 一点
[06:11.400] 谁知
[06:18.790] 就是说比如买东西还不知道一点，谁知。
[06:25.520] 对。
[06:26.370] 薄。
[06:28.510] 这个是无法，你比如说把这两个放倒的时候，然后你可以用一些东西不会来了。
[06:37.490] 在大码的。
[06:40.610] 在下面还是备胎？
[06:49.030] 差不多60，现在就是种植那边。
[06:51.760] 优惠多少？那款车原价的话是690,900，目前现金优惠15万。
[06:58.600] 656,000是对它原价我看一下，
[07:03.350] 690900优惠156,000，裸车的话就是53万多，但是咱们有一个置换是吧？我们家有置换补贴，置换补贴的话现金14,000，
[07:13.940] 然后在减一个14,000的置换补贴，裸车是52万。
[07:17.170] 52万。
[07:18.480] 5520,900。
[07:21.140] 我看一下。
[07:22.640] 刚才看到特别多，我都
[07:24.670] 记不住假的。
[07:33.230] 156,000是吧？对。
[07:35.850] 还能谈吗这个？
[07:39.890] 他们差不多的现金就156,000，然后别的你像装饰保养不分他
[07:46.470] 以赠送的形式给你，
[07:53.050] 这款是吧？
[07:56.800] 网上车市16 190,600690,600，
[08:02.670] 我家15万356,000，
[08:07.600] 这块是能补多少？
[08:09.210] 1万44，对，您这个车具体在什么在做假，对。
[08:14.400] 您是什么贷款结算单？
[08:20.290] 首付60%，两年免息，两年对，但是他有一个
[08:25.260] 金融服务费，
[08:26.590] 是贷款额的4%，贷款额的4个点，
[08:29.860] 我就高高兴兴
[08:33.120] 待40%的话，我给您看一下，
[08:36.300] 690 900，然后优惠156,000，
[08:40.350] 然后在减一个14,000，火车是520,900。
[08:45.590] 您能带208,300总权限的是多少？
[08:52.630] 大概全下来79520900
[08:55.940] 除以一个11.3，
[08:58.310] 46,000的攻势，
[09:01.910] 46,000的购置税，然后加上3000块钱的验车费，
[09:05.720] 加上保险差不多1万
[09:08.240] 六，差不多只给您预估
[09:11.540] 58万多，然后如果贷款的话，再有一个贷款服务费差不多59万左右，好还真得60
[09:18.810] 60，然后能在20。
[09:20.980] 我首付6岁。
[09:28.740] 带驾照了。
[09:33.190] 让我再来感受一下。
[09:35.600] 要
[09:38.450] 拿一下驾照，然后我找他们要一下试驾车的钥匙。
[09:47.640] 咖啡90剩下他要什么吗？S90我试驾了，他就觉得在好勒。
[09:52.680] S90给您拿一下下，赵先生跟着爸爸
[09:58.010] 还带了是吧？对行。
[10:06.070] S 90T5谁拿的？那叫谁来着？
[10:09.250] 徐老师徐。
[10:17.480] 行，您稍等签一个试驾协议先生您可以收下来，我去拿一下时下协议。
[10:23.800] T8U坏了是吗？
[10:26.350] 没有，他车还回来了吗？还是说拿售后有个码它需要削一下去。
[10:35.100] OK，
[10:37.320] 公司也倍感，我去喝点水，
[10:39.260] S久了梅花换了再说谁要谁在做，
[11:17.490] 等一会我就回来，时间也挺快的。
[11:21.170] 您好。
[11:22.280] 王雄干部吗？
[11:23.820] 王俊凯。
[11:25.360] 明天是7月3号，您哥来这儿拍了下体温，你麻烦看一下的名字，手机号，然后进行修改我。
[11:35.280] 好勒。
[11:36.950] 给我打电话了这是。
[11:40.430] 还在上回。
[11:47.090] 了是吧？
