[00:00.000] 那车了我就接白球桌了，你向前材料我的第一个锅
[00:03.970] 几天能好好一会见，今天您放着出去了。
[00:07.440] 不，在这边15天有个15天生效了，您今天交完之后15天之后，
[00:12.950] 想李先生你拿修对15天之后一年之内任何时间都请坐，方便说拿过来书就可以了。
[00:20.450] 陈先生是自然年的，就是说15天之后生成那一天起到2010年那一天，我手里那个圈吗？
[00:27.170] 也可以用您可以配合的使用，您这当然也不是说就这一块，您说咱们这次是你保养不是主要
[00:35.910] 中一块一块两块不是那个圈他不行跟车。
[00:40.940] 天那个门。
[00:41.670] 干预简师傅给您检查了一下，一个是轮胎，轮胎15年的，
[00:45.720] 然后后面没什么太大问题，正常用后备箱肯定得修了，都漏水，家里看看对型号感觉等一会比亚迪一下看看保养。
[00:55.630] 行行，您看我俩一会带您过去交。
[00:58.370] 您就知道你让他把这报警，你感觉其他级别的要修了，当我们为您查一下，您把轮胎胎压补到正常值，
[01:06.710] 如果说不打算修我给您拿，那么您说您然后保养47,931公里，万能的不到5万公里了，上次19年7月份当时做了一个B版，是A保养这个平台就是成为了两个项目，碰了空调滤芯，写了一空调，
[01:22.540] 是这样，然后去
[01:27.130] 后来我又不能上网，
[01:28.790] 可以直接用这里边A保养就不敢A对吧？
[01:33.350] 一般想得控制吃，大概需要一个鸡蛋，正常是一年一换，每次
[01:40.100] 隔一次换就是隔一次保养换一次也可以，每一次往回一次等于是最低的标准。
[01:47.180] 也有的车主可能对车内环境，包括车内空气质量比较高，他每次都还
[01:55.050] 然后咱们这车之前买了一个ea B套餐用完了我还买了延保，
[02:03.610] 然后现在
[02:06.090] 我们电视还支持这种套餐，但是现在是212B的了又会更大，它是在您咱们套原套餐的基础上
[02:15.070] 有一个折上折的优惠，还打了85折比较优惠，您看一下大概费多少？
[02:20.610] 235个亿，对原来都是爷1B不是对现在就觉得ea B现在因为客户已经不满足了，
[02:28.610] 买2B25%，然后咱们公里数是31,330公里。
[02:37.090] 行那就接着弄了，变成了然后车前杠前叶子板的右侧左侧这边点伤好想咱们这边没有
[02:46.760] 费用，我那车有完了大概长时间，8月时间不到一坏了，当时一个钟楼，然后我也是在咱们那修的，两小时咱修完了。
[02:59.640] 现在的后边我。
[03:01.540] 砸车的都在这开会，您说的。
[03:05.120] 后。
[03:05.870] 号后杠的的什么地方宽是吧？不是下饺子车站帮我签字，结果车平时吃的不懂，
[03:14.250] 喝了明白一成为了，用了要是能给看，在不久您看一下，如果你要放在过去，你回来再上，等下我得带您过去。
[03:23.890] 在您回来取车的时候我再带你去，我就告诉您大概都需要什么东西，你保险在这上的话，
[03:29.400] 朝鲜在这上面就行了，然后把你行驶本到时候需要行驶本和您的身份证就可以。
[03:37.460] 您手上那个车的话代步车检就是取车再战小花，三是建议更换的看着没事了。
[03:45.750] 对火花塞正常来讲是。
[03:49.010] 两三年或者4万公里，年线早超了公里。
[03:53.730] 礼数可能还没到33,000。
[03:55.930] 然后还有一个就是你的车子刹车油，
[04:00.010] 刹车油是按照年限换的，每两年一换，你那车到现在就没换过刹车油。
[04:05.200] 他说没。
[04:06.780] 艺术没有，对，然后您看看咱们现在套餐，
[04:11.470] 这帮了一下就发现没问题。
[04:14.700] 行，这看您，因为我们要尽到提示的义务，
[04:22.100] 246。
[04:23.420] 23。
[04:25.100] 假如说我们就换了。
[04:28.870] 然后您
[04:32.210] 22B他现在。
