[00:00.330] 了
[00:02.150] 初次客户刘先生，
[00:09.800] 其实他们都不
[00:12.180] 我就不知道了，反正我今战争结七八十组可能就卖一两个，
[00:17.080] 人家来了就定。
[00:31.680] 你好刘先生吗？教授问张伟给张名片，老师。
[00:36.190] 第一次来咱们这吗？第一次还是要约吗？
[00:39.980] 没有谁过来了，对没有水R咖啡、果汁咱们都可以喝点看，另外说我想看就是二十五六万左右的，
[00:48.890] 二十五六万左右的。
[00:51.260] 可以没问题。
[00:52.680] 咱们车上现在有一个服务公约了，先跟您说一下。
[00:58.460] 客户为尊一底商贷产品经合法得体，明码标价、公开透明、配件渠道信息公示，
[01:04.460] 咱们结构捆绑销售强制消费结构时候感觉已经很好，在我接通电话，
[01:09.240] 明白吗？
[01:10.840] 您是想考虑轿车、SUV，轿车
[01:14.670] 预算在二十五六万，
[01:16.220] 左侧二十五六万的还是万级以上，二十五六万可以看看A级，还有咱们这边
[01:23.070] B级
[01:24.590] 这两款都可以。
[01:26.090] 这是多少？
[01:28.250] 这款现在优惠完了之后，我是21万多，
[01:33.130] 但是基本不用。
[01:34.720] 2002
[01:37.470] 2.2。
[01:39.190] 级别的你说的。
[01:41.730] 差不多，毕竟你给你稍快一点。
[01:44.440] 大一点那就是C级了。
[01:48.720] 飞机就是这款飞机
[01:52.440] 款有C200，又还了25万多，
[01:55.560] 咱们看看这也行，
[01:58.120] 可能加盟。
[02:02.390] 对。
[02:04.220] 然后这么有要求吗？没有太大要求，有点高，3838空间那条大一点，少一点的空间太大。
[02:12.610] 不要太大。
[02:14.490] 可是看看这个就说
[02:16.560] 摇摇号还是置换没事。
[02:20.920] 换咱们出现都补贴，看您就是说什么品牌的。
[02:26.040] 不保葡萄可以补贴不错，你要换这款的话，他们有个4000块钱补贴，不补贴4000保险。
[02:32.150] 您的旧车多少钱能买什么呢？
[02:36.840] 用怎么样？
[02:38.240] 用的怎么样，不准看用不知道这个。
[02:45.410] 然后就看您这颜色有没有什么要求。
[02:50.920] 有白色的、黑色的、蓝色还有红色的都有。
[03:06.820] 那就推荐您买一款C200L运动版的这块用的要求。
[03:14.190] 但是这版的话全办完了得多少钱？
[03:17.000] 你全办齐了，差不多落地38号12。
[03:21.390] 这块怎么了？下周三。
[03:27.390] 2020200
[03:33.050] 号2020 0 6月份，
[03:36.420] 你特别200我自己办完了看看对。
[03:40.520] 把
[03:42.720] 你可以拍一下。
[03:44.550] 到那边。
[03:50.590] 你现在这块
[03:51.450] 车的其他的配置怎么样？比如说
[03:55.360] 并线了道路识别了，没有客套话，不能说，
[04:00.570] 咱们这车的话是1.5的发动机，
[04:03.490] 然后它的动力比较强，而且它一套比较低，买东西多少？七八个油，咱们燃油经济性更好一些。
[04:10.550] 除了这些的话，咱们发动机9都变速箱他评论性会更好的，咱们基本上感觉不到困难的，你这一块不光是
[04:18.650] 有啥区别，这飞机比刚才那个级别要高一点，都有自己动力要大空间方面要发展，
[04:25.110] 是不是？
[04:25.820] 这个空间也有大空间大一些长度，对，咱们这款车的轴距是2920的轴距，市场有多少？
[04:33.630] 4米783也有4米5都没用。
[04:38.070] 2920口气是中国家属的中国专属的加强肉欲，所以它后台这个空间更好，尤其是主观的东西保护。
[04:46.370] 还有咱们这车是倒车影像，后市相对
[04:50.180] 而且还有
[04:51.640] 一共12颗粒大，咱们都是一项控制上都会自动做作业的。
[04:56.990] 然后咱们再来结合安全性的目标，
[04:59.720] 如果说你不太方便到现在
[05:03.930] 而且咱们这边还有梅赛德斯的一个互联系统，您应该说的过程吗？
[05:08.790] 部分后来信心才能够保持互通，当你需要一些紧急帮助的时候，相当于SOS
[05:14.520] 对超过24小时，你刚才你说不定他把什么介绍一下，介绍咱们这边电子版进行扫一下，这样
[05:22.030] 都有程序的，咱们强这又出了咱们提倡的非常好。
[05:28.290] 我这里这东西
[05:30.840] 就是说孩子长大这个概念，这是蓝色什么，咱们现在看着蓝色，
[05:38.360] 还有我在这了，
[05:41.460] 明显在咱们这个车的话还有好多的
[05:47.950] 里边，如果您要选择
[05:51.170] 260的话，他会646的非常要进行调整的，
[05:58.490] 可能下来
[06:06.000] 谁知
[06:10.550] 的
[06:11.880] 谁知
[06:16.000] 谁知
[06:21.360] 他说这款车的话，因为肝硬化
[06:27.440] 或者配置了吗？
[06:28.340] 另外他了解，
[06:30.900] 所以不想太早了。
[06:50.290] 非
[06:51.560] 6
[07:04.120] 场
[07:05.960] 的。
[07:12.290] 场、
[07:15.070] 场
[07:18.900] 基本上一般都是选这种
[07:22.080] 日常家用代步。
[07:24.250] 充电够用功也可以，而且它油耗也比较低。
[07:28.600] 那就是和相应的
[07:30.230] 在家照咱们可以带您试驾一下，没有。
[07:34.690] 这个就觉得太太挤了，比稍微小一点，您做点事
[08:00.800] 得很少你知道。
[08:01.920] 还好意思。
[08:02.690] 周
[08:04.970] 一开车就上班，
[08:07.300] 在亦庄那边，然后周末回来周五回来，
[08:11.420] 所以不想
[08:13.720] 女装地方。
[08:15.460] 咱们奔驰的工厂就在一边着要对面。
[08:20.260] 等于就是周一开过去，然后平时也不回来，周末放假了，
[08:24.960] 所以有时候会不想花太多时间不要了，就这样。
[08:29.540] 谁知他又说想就是说
[08:34.430] 也有之前
[08:35.660] 还有什么？
[08:38.430] 可以非常满意200是吧？
[08:40.700] 咱们在网上了解过吗？您之前在网上大概了解过是吗？
[08:44.850] 我看过。
[08:47.750] 因为他这个厂就在我们学校对面，就在亦庄理论的，
[08:53.260] 挨着我们的工厂是吧？对面出门还建房，
[09:01.040] 工厂挺大的。
[09:03.700] 我们学校也挺大的是吧？
[09:05.690] 咱们看这两款都是咱们亦庄工厂生产的，是的对。
[09:09.530] 再说奔驰车的品质各方面还有更出色一些，这一块的配置比较高的多少钱呢？
[09:16.550] 存款比较高的有200
[09:19.270] 220 220，优化完了之后，裸车差不多现在22万多，在网上的话就是220了，
[09:25.770] 20 299,800，
[09:28.370] 用完了裸车大概在2626万左右。
[09:32.470] 对那个是高一点配置的，2.0T的了。
[09:36.800] 但是空间什么的跟这都一样，对电一样。
[09:40.200] 行。
[09:41.200] 里边就配置也稍微高一些。
[09:43.320] 倒车影像、R座椅加热这些就都有了。
[09:48.470] 你说的是20是吧？
[09:51.020] 对A20L
[10:08.480] 对，您坐里边感觉一下。
[10:50.880] 因为那女的是咱们公司集团的，
[10:53.400] 它就相当于行政的，他过来买车，但是他不是楼房，给他发半天协议，
[10:59.740] 然后你不能让给他们离开吗？不是PK。
[11:03.830] 他是之前他们开会研究这个事儿，晚上开会就定要打定金了，然后采购
[11:10.070] 非得要去博士，
[11:12.050] 采购说您不我这边找的博士，你这多少钱我都
[11:16.040] 都能找到比你的便宜，
[11:17.670] 给他去那听过或者比的还有名片。
[11:20.620] 肯定他应该是他说是不是认识，那肯定是博士肯定给他好处了吗？
[11:26.950] 再说了，所以人家就过着这样的好处，你再说价格，
[11:32.670] 人家肯定比咱们便宜。
[12:05.680] 你要是看完了，我可以帮您算算这个价格。
[12:11.730] 您嫂那上面
[12:13.160] 您可以再找一个。
[12:14.980] 刚才您嫂子那不是C吗？
[12:18.000] 一样收藏一下。
[12:23.530] 您嫂子马里头应该是所有的车都有。
[12:26.880] 你马也通过这可以筛选，车型号，咱们坐着慢慢看。
[12:50.260] 他是分180，还有200，还有22。
[12:54.500] 20你给我算一下200和2220。
[12:58.580] 行，你算一下，我打一份报价单，您稍等给您算一下。
[13:03.880] 行。
[13:06.310] 我去拿单子，
[13:15.150] 号。
[13:17.640] 三
[13:20.130] 好。
[14:52.250] 的
[14:54.880] 数据。
[15:19.970] 远
[15:23.150] 数据
[15:24.260] 数据
[15:30.190] 场
[15:42.090] 五
[16:02.980] 20 200是吧？
[16:12.040] 夜。
[16:16.190] 网上那些什么购车计算器那些不准，那些网上那些都是
[16:24.230] 虚假宣传的意义大一点。
[16:43.350] 颜色全吗？
[16:47.430] 全看你想要什么颜色
[16:51.310] 的
[16:52.660] 的
[17:01.570] 你们这一直开着买菜。
[17:03.740] 对。
[17:08.570] 高三初三开始了。
[17:16.430] 还是不让拍是吧？
[17:18.410] 准备非毕业年级准备开的时候，突然
[17:24.460] 什么时候是个头你
[17:26.820] 现在
[17:28.020] 的
[17:31.740] 准备，
[18:01.120] 咱们这边是考虑全款还是分期，咱们现在也有着不错的金融方案，
[18:06.540] 我买了就想。
[18:08.560] 其实分期合适是吗？
[18:12.180] 你先把全款给我算行没问题。
[18:16.510] 这是咱们话单。
[18:19.640] 先给您再说一下服务公约，刚才给您读的这是200是吧？对口味敦义理相待，诚信经营合法，得进行标价，公开透明，P2渠道新公社，
[18:29.320] 咱们这些都绝不捆绑销售强交费，绝不使用简介中节目电话4088
[18:34.910] 260108最终价是不是我一项一项跟您说一下？
[18:39.740] 这个是咱们赛得斯奔驰全国统一的报价单给您进行报价，咱们算的是A200L运动版、白色外观、黑色内饰您选择什么颜色价位都是一样的。
[18:50.600] 咱们这个车优惠完了之后是214,800的裸车价格，
[18:54.680] 加上购置税交给国家的这19,008块，上门费2500，保险的话大概1万块钱左右，这个是多退少补的，您到时候自己可以选。
[19:05.530] 然后精品装13,800，全部加在一起是260,100多就26万，您看一眼这报价有什么不清楚的机会让您解答一下。
[19:14.190] 他和刚才你说220差不多是820的话要差一些，主要220是2.0T的发动机，这是1.51.5T的20的话是四驱的，
