[00:00.000] 刚才梁宇接下来去客户石羊街完了没接上给我转过来了。
[00:07.180] 孙孙先生孙女士、陈女士，
[00:13.480] 我能。
[00:14.800] 对。
[00:17.800] 1391139795。
[00:21.250] 能不能？
[00:23.010] 是什么车在哪儿？
[00:28.760] 你来你吧。
[00:43.730] 你好先生。
[00:44.840] 是跟孙女一起的吗？
[00:47.210] 刚才我不是见过你，他忙去老师。
[00:50.320] 你好，我您销售量与这是我名片。
[00:55.100] 本来接待你不好意思了，
[00:58.120] 斤两不一样。
[01:03.110] 不是正好进大楼，
[01:05.840] 我在看着10L
[01:09.130] 好的好医生。
[01:13.470] 来的时候打电话支付吗？没有。
[01:15.610] 知道没有什么不用，他那个东西我看
[01:18.520] 了。
[01:21.320] 眼花了。
[01:23.140] 了。
[01:25.730] 您是崔女士你好。
[01:28.820] 前面有。
[01:30.520] 根本，
[01:32.120] 他跟260比什么区别？长不长长的一模一样，太子会有所
[01:39.070] 增加和一些玛丽有所增加。
[01:41.510] 这也不是电动车吗？
[01:50.860] 这次来的时候打电话没约过是吧？没有。
[01:53.330] 我们会秉承给您。
[01:54.270] 介绍先生服务公约，
[01:56.210] 客户为尊以礼相待，诚信经营合法得体，明码标价，公开透明，配套渠道经营工作没有。
[02:02.190] 我微信了，
[02:04.620] 然后节目捆绑销售，强制消费还是用力朝对两种外观，然后不会全部投保销售强制消费，绝不使用建议装好了，
[02:13.260] 把小苹果
[02:17.320] 保险有合作这块你再买是465,800的火车，
[02:23.630] 一下哪个牌子？
[02:27.040] 看哪个城市才到，不是北京玩。
[02:30.150] 是新车置换吗？
[02:31.060] 咱们这样对换车
[02:34.960] 好，有考虑有什么颜色，
[02:37.870] 基本上95%的颜色都是黑的，
[02:41.910] 一这个车行道买的都是黑色，
[02:52.080] 陶冶。
[02:54.070] 老师拿哪款车来话，
[02:57.500] 凯美瑞这是不错，每年的150。
[03:01.120] 294滚动。
[03:03.160] 202020的。
[03:05.870] 208这个车没有其他颜色。
[03:09.150] 红的是什么红的都有，但是有一点这个是卖的多的还是黑色，你看300卖的多的，2600
[03:18.400] 300卖多少都是黑色的，还有吗？开过肯定这样。
[03:22.810] 彩色的时候也有，比如特别少的都不用，大部分都接受。
[03:29.120] 这有运动款别踩了。
[03:32.540] 这是新车叔叔碰上，这是新车，我上了。
[03:37.040] 谁知
[03:39.270] 耗费多少？5米65。
[03:42.040] 你后备箱开启谁知。
[03:45.370] 快乐你那1米5没什么，
[03:48.280] 是吧？是不是用处大吗？开怎么样？高级是多少公里了？
[03:51.830] 不到7700那还行。
[03:58.520] 后备箱挺大的。
[04:01.060] 还有隐藏的安全，它这个是进口车还是最近火车非机动车？
[04:05.890] 其实写北京生产的北京奔驰，
[04:08.100] 但是大部分零部件都是进口那么多车。
[04:10.280] 再加多少钱？
[04:12.900] 上班的事。
[04:14.320] 线路现在可能因为我这价格
[04:19.370] 上路在家用过的基本上在一个44万左右，
[04:24.360] 还有优惠，优惠完4039万多，
[04:26.590] 金额30万对一三百300 1万39万多，然后家里销售的其他费用
[04:32.770] 一般都是在44万到45万90之间。
[04:35.880] 英语的准备生气，不要开车上架了，上架车上
[04:40.680] 造价
[04:42.160] 够便宜的了。
[04:43.680] 打算买个什么价位的交集？
[04:46.450] 预算便宜了，电宝直接便宜环节上。
[04:51.680] 保时捷薄一般不太规上那么多，因为他
[04:56.230] 春风不让。
[04:57.720] 好。
[04:59.070] 因为你这个丫头他又不要等一下，
[05:02.030] 一根刚才300块，这个不是L古代对短一点，
[05:06.970] 晚一点多长短1.419。
[05:09.760] 那个跟还没明白。
[05:12.510] 如果不那边达标长了，
[05:23.030] 区号
[05:24.270] 不见扇灰，你们是怎么挪上来了？
[05:27.160] 拍上去放东西。
[05:30.890] 还有另外一个号，
[05:34.400] 你看哪个？
[05:35.310] 但是这考驾照我叫罗车，因为这也是这样，对红的红色ct都有。
[05:43.110] 对，因为小春彩色政要红的
[05:46.560] 蓝的。
[05:47.450] 这都有了。
[05:50.100] 最高配的是什么？就是说嗨
[05:52.850] C20元是最高的吗？这分C240。
[05:56.020] 60 C 300. 
[05:57.340] 是三百三三C300会费。
[06:00.180] 怎么样C300的话L一个L的没车，因为那车价格40多万可以买下100，
[06:07.910] 一车最顶配就可以买到了，所以说我看你这车前面有的是控制台和展示城市一个长形，有的是这种风格不同，
[06:18.010] 有的是C的生意这个事儿，但是你别猜了，市场上看到数据怎么说的，
[06:23.500] 不用采了一束常规，
[06:25.720] 这有通过多长你要LLL的话是4米7，短1.47863点。
[06:35.610] 多少钱好？
[06:37.960] 价格是346,800。
[06:40.360] 优惠完的。
[06:41.400] Us维持在28万左右。
[06:43.070] 没有对不对？
[06:44.760] 对。
[06:45.740] 太低了。
[06:49.000] 好，后面
[06:50.720] 真的。
[06:52.550] 现在刺激消费了，现在而且除了车架的也会增多之外，
[06:59.110] 同时金融政策也有一个什么说激励政策。
[07:02.460] 首先北京低吸。
[07:04.180] 一期完还没有预备。
[07:08.190] 一般的悉心的多，
[07:10.150] 能做到的咱说
[07:12.000] 1点多吨你别乱跑英文的吗？没有girl都不懂。
[07:16.280] 跟车型。
[07:17.230] 广告这边大概有
[07:18.860] 有点也有包的，但是都是那个的。
[07:22.670] 因为它后期刚才利息也有，我知道是景区2000。
[07:28.290] 他那两居室对后骑车or因为前期后期
[07:32.040] 操控性动力来的只能接受。
[07:34.470] 保值率最高的是哪大？
[07:38.040] 他就卖什么反射，如果说买CR就买C260L或更高。
[07:43.530] 如果买D
[07:44.960] 2002 300都可以，
[07:48.230] S就是35，
[07:50.950] 还是女生您开有交不要了。
[07:54.970] 大小。
[07:56.200] 这都的位置觉得他差不多大了。
[07:59.240] 发现接电话。
[08:01.070] 你好李先生。
[08:02.940] 你好。
[08:06.030] 好。
[08:07.840] 好我记得。
[08:14.030] 不行。
[08:15.160] 说好什么公司可以提供支付牌照，这样可以吗？说一个月周末
[08:22.230] 增长。
[08:33.950] 公共指标对你可以打马虎。
[08:39.860] 按月负责，
[08:45.360] 我的公司有缘，
[08:50.520] 手机也没有不做这个业务。
[09:01.650] 主要是平台式。
[09:02.760] 对，你把需求告诉我，要不然咱就看车了。
[09:06.740] 好看。
[09:07.760] 大小都无所谓。
[09:09.110] 觉得开车的大小怎么样？
[09:11.200] 就可以了，然后行特别喜欢行为。
[09:15.520] 轿车
[09:17.670] 要求大不大？
[09:19.830] 没有。
[09:21.040] 你数据还没看是吧？
[09:23.480] 我看平时你自己才能先生看看我，你看这票行吗？
[09:28.320] 呼吸道哑光灰，
[09:30.480] 个性化颜色就是112606的人300我不太清楚。
[09:36.070] 您就买1260le300，
[09:39.160] 你喜欢叫什么？首先内饰。
[09:41.120] 外观那是都特别豪华，我也没什么收获，
[09:44.820] 我们加上孩子做了空间也宽敞了，不过来了，这是一个非常好的选择。
[09:51.170] 楼下可以
[09:56.930] 花外观就没有了。
[09:59.600] 花
[10:01.760] 还加班。
[10:02.720] 家的不考研，我觉得你们现在还挺便宜。
[10:07.800] 我们也有com是吧？
[10:09.640] 谁知
[10:11.030] 没网上
[10:14.540] 把剩下的席位了，对，但是他因为其他的变化只有两个的，他在哪呢？
[10:21.560] 看到了我
[10:23.110] 你说的是什么资本的？
[10:26.410] 没看看，因为照抄我看他好像都是两两车的，刚才的样子的。
[10:31.680] 100万不能加入同步考虑。
[10:34.040] 我不考虑那么多，100万有点高了，六七十万我还能接受，那就看一一这边。
[10:40.590] 行好了。
[10:41.560] 其实C你喜不喜欢？
[10:44.690] C的空间也不错，
[10:46.510] 还是MS的S35C和E的系列是有什么区别？一直比C要大
[10:53.170] 一点，然后内饰的氛围也不一样。
[10:56.080] 那是一时这种原平像你刚才问我的历史连平。
[10:59.420] 纯尺寸艺术更大更宽。
[11:01.590] 而同理S要比一
[11:04.270] 更长，
[11:05.410] 然后车内氛围就不一样了，都没了，一个即兴跳的，你比例X要会给
[11:11.720] 1:C要贵，对S要比一兑，就CS这么一层上来这一块来看一下。
[11:20.250] 这个说当您打着出门用眼睛的看到就是看得见的豪华大屏。
[11:25.910] 这种对材质，包括运动防运动，
[11:29.380] 包括我们环岛的。
[11:30.830] 这里面色还有什么颜色？肯定是红色的吗？
[11:34.960] 你要选这种的什么红内饰基本都是保时捷那种车型，还有配置红色运动版车型会有。
[11:41.090] 那种飞驰的话，
[11:42.860] 那些人就基本上以棕色为主，外观的话可能这车
[11:47.700] 黑色领土偶尔会有蓝色或者红色，对。
[11:51.930] 偶尔会有少
[11:56.410] 多少钱？429,800。
[11:59.140] 下载谁知
[12:01.650] 优惠完36了这一点，
[12:03.840] 办下来也在41左右。
[12:05.910] 我觉得这种
[12:09.020] 性价比就比较高的一个标准。
[12:12.950] 这是多少？
[12:14.030] 都是5米65。
[12:16.250] 那时在哪？就是勾蛋白属于更大的动力，更大一点，它是高功率8，但是油耗可能增长一点。
[12:25.420] 你这个花瓶应该是多少？七七十左右8个，正常开的7~8左右。
[12:31.410] 肯定变速箱是9AT的，所以说以后相传是给我看，对有这是。
[12:38.390] 可以拿手机扫发到您手机上。
[12:41.070] 你车出。
[12:43.280] 这几个
[12:44.890] 他一开实际的综合用号码就可以什么颜色红的。
[12:51.110] 很大，对外观红，我查我觉得有不着急行不行？
[12:58.590] 换车。
[13:00.270] 有合适可以最近这几天买一周左右，
[13:04.060] 是这意思吗？
[13:05.180] 我没那么着急。
[13:06.880] 您自己想的安排的计划是在什么？
[13:10.040] 现在是因为那只我的车牌是买了黄牛的买断的，
[13:14.380] 买断，但是我要换车的话，我有身份证，人家原车主的身份证，所以可能就是换车上有点费劲。
[13:20.980] 我得跟您说一下，咱们得需要
[13:24.940] 最新的身份证。
[13:27.090] 对，比如说。
[13:30.910] 比如说它给您身份证，他自己。
[13:32.740] 补一个。
[13:33.600] 能补您的身份证，他能坐火车用都能有信息，但是在验车上牌的时候，
[13:39.240] 车管所会要求
[13:41.480] 身份证有信息的，跟公安联网的，要最新的要不要身份证扣了？
[13:46.250] 你们看着有点问题。
[13:48.340] 对，要不然就需要本人到场去做这个东西。
[13:51.070] 我那什么有什么途径吗？
[13:53.490] 有一些非官方途径。
[13:56.240] 穿你猪的排骨是吧？对我也不是租，我是买。
[13:59.800] 买断的那不还是租买断那种的是吧？
[14:02.750] 最好的方式就是您能找到这个人跟他说我要或者你找的是中介是吧？
[14:09.370] 找中介找这个人，然后跟他说说您需要有最新的身份证，要不然你现在开着凯美瑞，他真的是一直开。
[14:16.580] 一还有一事，一旦这个车卖了，他们这边搜救回到那边去了，
[14:22.030] 如果找到这个人，
[14:23.580] 不过身份证的事了，这标可能都
[14:26.140] 都没法给你用了，因为我们需要在它的指标人的名下的系统里
[14:30.740] 打印出指标才能使用，对于买新车，
[14:34.620] 要不然这边刷就回到他那了，你要联系不上人人不让中介这指标就没了。
[14:40.060] 就只能说开车开到报废了这种。
[14:43.780] 买断虽然说一次性便宜，但是存在风险就可能在这个位置。
[14:49.030] 行。
[14:51.030] 没事，这个可能重要因素，马上如果白领需要这个事儿就行了。
[14:58.390] 谢谢没事您可以说近。
[15:02.930] 还有你招待了解了吗？
[15:05.880] 了。
[15:07.090] 天热车前三年免费送对吧？
[15:10.040] 有关对这冬天的话，我也想天热费用三年座椅加热的远程启动试点推动的，你们还有什么新的功能？因为现在新的电动车这块功能特别的
[15:21.850] 体验感，这会比这些传统的好用，不知道你们现在有没有具体的电动车是没管的。
[15:27.300] 其实就不用对比，就很普通的比亚迪的一些车，它就会我们还是有区别的，首先跟品牌就不太一样了。
[15:35.280] 比如你要周恩来比较的话，可能奔驰在一些方面，比如我们用的材质上，我们就能设计上我们的工艺上
[15:41.930] 可能会更高更好，就有巴黎钉纹会在百佳北京手表采用的，
[15:46.730] 比亚迪不会像这种情况，
[15:48.760] 所以这不是一个横向对比的呈现。
[15:51.320] 对不对？所以你要说更多的国产车的配置更高，
[15:56.240] 有它的一些图案配不上，
[15:58.360] 人性化的一些东西。
[16:00.120] 您可以了解一下，然后想试驾吗今天？
[16:05.060] 行，小山可以约，不是周一上午时间也行。
[16:09.330] 基本上现在也是这样，要不要给你算算什么？
[16:11.340] 的没事，价格你接受加个微信吗？我加个微信。
[16:15.780] 完了我说有什么信息行。
[16:19.970] 你扫我通过一下就行了，他红的是啥车，然后叫高师兄侯，如果一有的红色也颜色啥的。
[16:29.620] 对，那谁带白也有这个颜色，不是没有。
[16:35.300] 不是我向孙孙先生您好。
[16:37.620] 留的电话声音是您的电话吗孙先生？我这话。
[16:42.670] 远倒也不远了。
[16:44.720] 您跟我说说一下你留下电话。
[16:48.700] 要加微信号是吗？
[16:49.780] 是不是因为给我们登过一个G然后。
[16:52.190] 6
[16:52.750] 13811. 
[16:53.590] 353我们会给您建立一个回访的联系，
[16:57.280] 会在明天的时候给您做一个回访，希望上午方便下午方便，明天都可以，周末短信电话都行吗？
[17:05.140] 18613811353是吧？孙女士对。
[17:10.210] 明天上午10点给你做个电话回访，有什么再需要可以微信联系我。
[17:15.660] 如果说这边不看园区其他的车了，可以承担扫二维码免费停车，
[17:21.710] 你们还都可以心态也行，那边天天都可以。
[17:24.640] 慢点0。
[17:26.150] A。
[17:27.750] 还有拍卖车的活动。
[17:33.800] 问题。
[17:52.650] 还有吗？
[17:55.440] 这个价现在就成交了。
[17:57.770] 你结婚或者。
[18:01.340] 还没结吗？
[18:03.140] 结完了
[18:04.910] 了。
[18:08.970] 133差不多。
[18:14.960] 哗一下得了。
[18:18.080] 觉得很
[18:19.430] 这么严谨。
[18:22.680] C 1C260刚才就给弹跑一个了，别的咱再给弹跑了。
[18:27.540] 您今天是不是第一次来深圳了？
[18:32.150] 这女的今天不想听，但是这个陪他来看，那个男的想让她今天病了。
[18:37.040] 这么好操不是吧？后来给这直接给low到底了，你那找我我是怎么给您要点中介？
[18:46.040] 你的户
[18:50.790] 人家接受不了。
[18:52.350] 没有，都接待完了。
[18:55.110] 您给我打电话，后来认识你
[19:00.200] 送来要练。
[19:01.570] 做整体全到交通服务价值2500 30 3000。
[19:05.320] 后面越莓酱9号减5000，每年5000之间完整。
[19:09.140] 虽然没交5000多，对。
[19:13.930] 这是干嘛的？
[19:16.590] 行业
[19:18.150] 就完了。
[19:29.220] 你了。
[19:30.170] 开稍等一下，我把这卡了。
[19:36.870] 需要您签个名和电话。
[19:38.830] 泰勒客户了，
[19:40.900] 车祸大声了，
[19:46.380] 还有包括了就算
[19:47.790] 我来
[19:57.330] 难道笑话了吗？不是。
[20:01.550] 后来
[20:04.540] 我有点瘦了。
[20:07.300] 恁回来的打算。
[20:17.130] 没有一个正常的，就是说。
[20:40.640] 你给回来。
[20:42.120] 算一次。
[20:44.360] 完了也寄不了算了。
[20:47.110] 快速的
