[00:00.710] 流转接待的客户交车，
[00:53.480] 看我正要下去。
[02:18.410] 这么快，
[02:19.120] 保险还不给你确认。
[02:20.900] 好。
[02:22.140] 我想一下谁知
[02:26.550] 咱坐在这了，直接开车去，
[02:28.740] 然后一会儿再跟您确认一下保险。
[02:31.440] 这个展示出来了。
[02:33.140] 哪个展示？
[02:34.470] 看那个照片不要老大姐都卖，完了，
[02:39.530] 别想着给了那颜色用了100，
[02:43.160] 今天不是要征兵，
[02:45.840] 还是要买那就买掉了。
[02:48.870] 看一下肚子都卖了，太厉害了。
[02:51.420] 他因为主要是颜色战争买的都是不太好卖的，比如说穷那样推的，
[02:58.330] 包括那些去生存，
[03:01.110] 那些一般枕头摆上就一个颜色，
[03:03.660] 都一样说你要买的这1:录不高，采购方面小孩。
[03:09.330] 这张电子版。
[03:11.670] 他在左边膝盖上面那个位置楼这往那走，
[03:16.840] 元旦咱们不是自动的，
[03:19.640] 人家挂了倒档就停，涨以后走拿自动解除人灭的车采茶送达，
[03:26.230] 不用管的，因为
[03:28.150] 我给他自己干。
[03:29.970] 如果这种
[03:31.830] 当然我踩脚的
[03:33.460] 才上线，看着两脚刹车就是一脚不卡不行了吗？再往下谈一下，他就会触发一个后的功能，
[03:40.790] 就可以停在原地了，您走的时候直接给油就行了。
[03:49.630] 有的时候给牛不用松手刹，对。
[03:51.760] 这是咱的车我去拿钥匙。
[04:10.860] 了。
[04:17.790] 场
[04:19.630] 的。
[04:27.490] 看看外观漆面有没有划伤剐蹭什么的。
[04:39.430] 这个东西我感觉。
[04:40.930] 后掉了没事吧？没事儿，这些本身就是胶粘的。
[04:44.840] 他这些浇在上面粘，他太现在是夏天它一热它里边交，
[04:50.730] 他就不像冬天似的那么固定，但是您不扣的它是不会掉。
[04:54.670] 不给你使劲抠下来抠掉了吗？
[04:57.600] 掉了没事。
[04:58.870] 没有关系。
[05:00.010] 那就是粘到了我们。
[05:01.440] 看看我觉得您刚才给他了。
[05:04.510] 别丢了它就行。
[05:09.250] 这上面因为他是带轮的，这上面就是
[05:12.680] 擦完车洗完车以后，
[05:14.710] 土
[05:16.120] 他伦理就能擦掉，
[05:18.800] 他会有点脏到让他们再擦。
[05:23.360] 这是你给了吗？
[05:25.130] 看看这是教这是
[05:31.000] 是娇娇。
[05:32.740] 不是教我，反正看不出来。
[05:35.960] 要不交我就打。
[05:42.620] 姐这交到让他们一弄就行，让他们擦下去。
[05:46.640] 他要是车漆，它上面是带轮的，您拿手一抠，他是带就用手的，对。
[05:54.350] 但我感觉车变小了，是不是？你拿这个码。
[06:00.830] 它的长宽高，型号都是一样的，
[06:04.380] 外空间大，是找个什么东西给我贴上就行了。
[06:08.070] 不会，他都有生产日期的。
[06:10.040] 这个是。
[06:11.990] 这个是原来上一代老款。
[06:14.570] 260. 
[06:15.820] 这个原来不加长的，比咱。
[06:18.370] 短短一点吗？
[06:19.780] 这个车短，咱这个车比他长，
[06:22.410] 然后这底下会有生产日期，
[06:28.320] 202 2020年5月，
[06:31.200] 然后车架号549162，
[06:33.580] 跟咱们订单上里边
[06:36.170] 549162一样，
[06:37.630] 然后开着把给它擦掉。
[06:40.650] 那。
[06:42.710] 我觉得不是交换。
[06:44.320] 叫一会您那一看，
[06:45.940] 一会您一看就知道。
[06:48.710] 他蹭了不那样。
[06:54.720] 这方面。
[06:58.770] 还有水电吗？
[07:00.690] 养护礼包还有一对还都有。
[07:04.440] 对。
[07:05.880] 政策已经出来了。
[07:07.300] 我现在要是不要你装修礼包你是不愿意了。
[07:10.870] 您不要的话我得找领导，他那价格肯定就不是这价格了，他装修礼包背着利润。
[07:16.640] 对，这关键就是。
[07:18.630] 你背着。
[07:19.700] 因为他车给你优惠的多，它必须拿装饰利润去。
[07:24.320] A
[07:36.150] 哪儿？
[07:37.190] 哪个？
[07:38.870] 这也是交这
[07:43.220] 拿手拿手拿直接一炮，您拿指甲一碰他没有吭，要如果要是掉漆的话它是坑的，
[07:51.440] 这个一会都能擦掉，因为他原来特有钱用指甲去抠，
[07:56.040] 因为原来它有一层贴一层纸的，我们交的时候把纸给撕了，但有时候4那只太阳有时候晒得时间比较长，会留在交，
[08:04.870] 对吧？他就不好处理。
[08:06.590] 但是洗完车有可能他这一块没准单独没看着，就得单独喷点除胶剂，
[08:11.790] 分完一擦就掉了。
[08:13.160] 这个也是一样。
[08:16.830] 按着需要多少？
[08:18.710] 这边我一看就没了吗？
[08:21.620] 没有出去了。
[08:22.730] 我去给您您跟这稍微等一会，我两分钟也就
[08:26.790] 让他们去看一看。
[09:15.790] 方便。
[12:09.210] 现在
[12:11.560] 我给您看看，您得先看看这价格，我们现在价格
[12:15.140] 7月份今天应该重新调价，
[12:18.840] 然后我给您看看，
[12:23.050] 有的。
[12:24.200] 前天我过去了，
[12:26.760] 咱有啥有变了，反正现在是有变化，
[12:36.960] 现在这个指导价不是318,800，
[12:40.170] 然后现在我们店最多优惠，
[12:43.520] 能我们店最多的现在就是53,000。
[12:48.920] 三年了，对就调价了。
[12:53.240] 现在老了，相当于是下半年商务政策了，他说厂家也调价了，不是说我们店
[12:59.570] 厂家也改了。
[13:01.590] 今天开始，
[13:03.570] 所以我们也弄一措手不及，
[13:08.030] 还有。
[13:09.080] 那就再等等，对，只能是您想先等等，然后我们有什么消息我再跟您说，或者要么就是
[13:15.300] 比如看看别的店有没有什么变化的。
[13:19.830] 你们CS优惠多少钱？
[13:22.540] Lc现在优惠是43,000。
[13:24.770] 260
[13:26.190] 260的300全系都是43,000。
[13:29.010] 4368车子多少钱？裸车的话260豪华是422,800，
[13:35.070] 一个会完了4万多28万多是吧？
[13:38.700] 38个。
[13:40.170] 38个车办齐了也是得40
[13:43.940] 43万左右。
[13:45.830] 都办完的话大概得40
[13:48.800] 44。
[13:49.840] 43也拿不下来。
[13:52.480] 行行我知道了，你有啥消息给我打电话好勒。
[13:58.670] 我还说你要是说
[14:00.960] 等会再说点点滴滴。
