[00:00.670] 接待二次约会客户，
[00:08.270] 吃货
[00:13.470] 结束。
[00:15.520] 结束了是吗？行，吾哥这边没什么事了是吧？行，那好那就
[00:21.050] 你就得打车回去了还是不行？
[00:23.860] 行好了，原来咱们说是一个星期要交首付款，就是周六您不是平时没有时间吗？周五。
[00:36.130] 等等。
[00:37.440] 可以，平时有时间吗？周一周五没时间。
[00:40.710] 要周一周五都有时间抽空过来，可以，也不用非得接过来。
[00:44.880] 家属不管不用了，对不用他过来，今天交。
[00:49.500] 今天
[00:50.920] 分期没听的。
[00:52.460] 对，分批了对。
[00:54.460] 他分别去分期，分期纰漏再交，反正等着看对，到时看看哪天我告诉你，待会之后都能算好了之后，您觉得您接过来就行了。
[01:03.070] 好好等等，等到时候空气P了的到再联系，走到到你先去，
[01:09.530] 你就只能打车到你给我打完车你再出去太热了。
[01:13.940] 是吧？那个号了就可以走，我也可以说，然后这边这块也可以说好的都可以，行我先去忙，您慢点让哥好好。
[01:26.870] 你们检查了吗？
[01:28.170] 比如说你分析你就算了，谁知
[01:36.790] 不行的话，
[01:39.440] 怎么样？
[01:46.640] 谁知
[01:50.860] 今天真是完之后公司的看完了去买他这边也播不了多少。
[02:01.700] 又怎么了？
[02:02.680] 那个时候
[02:03.680] 我的周末
[02:06.240] 谁知装个系统就是推广条件特别强调，
[02:12.190] 我俩在一块是这样，
[02:13.970] 你现在跟走你就开口了，我就是下来。
[02:17.660] 客户我说您这样哥，我给您问问，你觉得13,800的装饰对给您便宜点，然后
[02:23.130] 这样的话到时候看能不能碰一点，在soso在给记者送一保险，说你要直接聊的现车特别就下车了。
[02:30.170] 然后他说行，你问问你问我借给他多少钱，我说您不能做点你说是吧？对他能做点还能送多少保险，而
[02:39.090] 是我能做多少钱？
[02:40.680] 几千块钱，我觉得他应该能接受，那行没问题，对我就不知道多少钱合适。
[02:46.680] 来。
[02:48.810] 行我跟
[02:49.970] 说
[02:54.600] 我给我们
[03:06.490] 对行。
[03:07.930] 好勒。
[03:09.860] 好好谢谢，后面别的问题没问题。
[03:13.870] 行好勒。
[03:18.610] 这样
[03:19.500] 他想把前头控制，但是我觉得援助分已经没有了，
[03:23.020] 它没有利润，所以说我刚才没有考虑颜色这件事。
[03:26.160] 你再这样，
[03:27.370] 你就跟他们拿买个6800的装饰给他送股正常的保险，如果他觉得38也贵，
[03:34.350] 如果觉得理由也对，你这么可以这么说，你说哪个原来装置真的
[03:40.450] 让说白了就让您买膜，
[03:43.320] 模了我们的膜的成本价格，因为我们4S店的膜都有保障的，或者等于我们8月份的电要上市了，
[03:49.830] 你不会给您送摩的，说白了脚垫河边方面系统都是我们店都得清理。
[03:56.350] 说白你长距离纷纷挺贵的，跟您外面买的肯定是百%不一样。
[04:02.390] 对。
[04:03.160] 是跟他老婆打招呼是这样。
[04:06.000] 我给您。
[04:24.680] 对
[04:27.000] 了，真的不是呵护着我的平台这么多吗？
[04:30.840] 不是说就买先买，
[04:32.840] 因为现在并不太多了。
[04:43.420] 其实
[04:49.640] 余哥
[04:50.530] 给您问了，这样您说。
[04:54.020] 经理那边也挺有诚心的，他说客户装就是这样，装饰也不收您13,800，
[05:00.750] 6800块钱，其实属于6000百块钱，你出就单独买了一个贴膜，然后其他的记录仪脚垫后备箱垫全都是送的。
[05:07.570] 而且记录仪跟您朋友您在朋友圈装的肯定是不一样的，魔咱们的模式也都是好膜，您放心，而且我们也不会给您次的东西，
[05:15.900] 然后就6800块钱，然后送你5000块钱的，
[05:18.840] 然后车价还是优惠算三，开始什么都了解了吗？这属于说其实说说白了就属于你发了个摩的钱，咱把它全都送你了，
[05:26.360] 然后是3000块钱的保养，
[05:29.790] 分保养的话是两次，一次A保，一次B保，对。
[05:33.620] 我来给您计算一下，昨天给您说一下，我说的是额外充的一个3000块钱保养，我知道您3000块钱的保养券这种你不合适，
[05:43.370] 这样你都用不了用，也就能用一次，咱们直接送一次A保加一次第8次保养。
[05:49.110] 我给您算一下这样行，就是说你算了。
[05:52.210] 这是昨天给您算的吗？
[05:54.380] 价钱我可以给你整体的都给您重新写一下，不是可以说非得天消费类的。
[06:07.080] 三。
[06:09.560] 然后您还置换，所以说保险的话大概是11,000，保险几乎就不用花钱了。
[06:16.520] 一
[06:22.350] 的
[06:29.550] 个
[06:35.040] 的
[06:39.120] 7月17号他生产的路线应该没有，你们
[06:44.830] 跟归来的话都已经有最多了，那车灯他
[06:50.310] 大的速度了。
[06:53.340] 26048您看一下整体的一个价格，
[06:57.760] 0。
[06:58.790] 他上网的话非洲跟
[07:02.530] D都不对是吧？
[07:05.710] 还没有保险就没给您算了。
[07:11.060] 三点跟这是
[07:16.480] 这块的都是二个人感觉你这个是算分期的这样是吧？
[07:21.940] 还做过分期，对，分期我都没给你写上面的分歧，昨天就是说
[07:29.440] 主要就是20的第三。
[07:34.970] 你怎么样和
[07:37.880] 他们现在是什么材质的？
[07:39.680] 都是皮革的。
[07:40.830] P对都是那种大包围销量，然后促销价也是一种区隔的，消费类最快的是一个7月
[07:47.570] 17号生产月
[07:49.320] 7月17号生产，今天是的8月份生产，7月19以后在1月出版，我觉得你给我4000块钱一定的算，我也不墨迹，我说这4000块钱决定了
[08:02.180] 真不行大哥拿着三家那么大的那什么，
[08:05.400] 我说实话我这哥们给我报的还得3000块钱多一点，但是是这样哥三他是给您报3000多块钱一点多一点，但是咱东西确确实实真的不一样，哥这东西
[08:16.330] 坦白说我没法听过，是您说的没错，您没法明白，因为咱也不是这个材质，我也不知道拿去鉴定到底什么牌子，确实我也
[08:26.170] 今天既然来了我肯定有诚意，因为证据4000块钱我就签单子算了，要不然我也懒得跑别的，您这是咱要
[08:34.500] 话又说回来，你跑这一趟来回了你再去一趟，您在班车时候你再去一趟，你去30分还耽误您时间对不对？
[08:40.540] 不实际上问题反正就是这时间也有成本了吗？不对对不对大哥？
[08:44.250] 你们这个事儿你们
[08:45.270] 您这不能说我还得跟您说一点，大哥您在您朋友那块，如果说您在您朋友那边贴膜的话，您在那贴咱们是需要签个协议的。
[08:54.130] 如果说日后就因为什么，因为前一段时间出现过这个问题，客户自己在里边贴的膜，当时因为他掌握不好水电，它水系门里面太多了，
[09:02.470] 引起的座椅什么的都有问题，然后后来后获得售后维修，对。
[09:07.830] 你要在店里边的事本身我这客观是我那朋友是专门跟他们中间4S店合作的，
[09:16.630] 他既然推荐我去买，所以他们两个人长期合作，跟你朋友就是在电子他们看给他们做的
[09:24.740] 跟他们比较熟，原来在微店干过，现在自己出来干了，对，也就是说我身体要是
[09:32.520] 咱也不墨迹了4000块钱，我就还是4000真不行，4000这价格真道不了，要不您就加点。
[09:38.530] 行，我再给你去问一下，我也为了想卖您这辆车，咱也别说，就说您4000我就想实现我
[09:45.180] 你要是觉得能行咱就干，不人情咱就一块那也可以，行我就给你问下行。
[10:06.880] 人。
[10:13.480] 今年都删了吗？
[10:17.120] 了
[10:34.270] 行。
[10:44.990] 他想4500这装饰贴了，
[10:47.900] 因为他朋友给他报3000 3000多点看那些东西，他朋友原来是在东门那个店干过，后来谁知我跟你
[11:00.040] 3500贴了
[11:01.480] 4500天了。
[11:03.570] 买6块钱，第一个大人之前我就定了就没下，保险没算，因为它是有个置换6000，
[11:10.390] 然后有一个在挣了5000，但是我觉得这个能申请下来了。
[11:14.480] 这样的。
[11:15.890] 还有直接
[11:18.610] 把
[11:24.810] 你知道吗？如果你要这边给了4500的话，你不一定能给
[11:28.560] 双双只要我也不一定能给你O过，
[11:32.160] 就发生你要不同意给你OA，现在是去别的店里，你问问他能处理。
[11:39.290] 完了再去找还是？
[11:41.240] 有，咱们价格卖没有
[11:45.320] 的。
[11:47.250] 4500。
[11:48.820] 见过连分都没有，连
[11:51.290] 狐狸头上有资金。
[11:53.800] 今天计算机
[11:56.400] 走了。
[11:57.120] 就算是三你能装饰是吗？我写了两天在做这样的司机的
[12:04.720] 对多少装饰？
[12:06.120] 没分机，城管。
[12:12.520] 您没来我咋打给您算。
[12:16.770] 下午我有您微信是吧？
[12:23.020] 您给我发一微信反正。
[12:24.880] 没事。
[12:31.270] 短信怎么给您发开度电。
[12:34.350] 都用了。
[12:35.650] 没回来了。
[12:38.530] 那算了就这么跟您说，能优惠8万，在西边您得做一个1万块钱装饰。
[12:43.560] 对调节你感谢你必须得申请没问题。
[12:50.470] 行不行？先找你拿来。
[12:55.250] 您的意思把晕车给他姐了。
[12:58.420] 月份一下也就做过大使缩减的，那边不能提过吗？
[13:10.800] 元财物。
[13:20.160] 你要做馍比的话，应该没有到他审批那一项，有昨天我做模拟都到徐总了就忘了。
[13:26.410] 我看就正常价格还到徐总，也不知道为什么C73,000就到徐总了，
[13:31.720] 我买飞机18度就挂断，他交有点多了。
[13:41.180] 我觉得不能折装是吧？桩事好像装饰咱们新的装饰5000 5000以下滴有分吗？5000以下都没分了。
[13:48.870] 到下面怎么我就给
[13:51.280] 他一个送快件，5500才有。
[13:54.210] 整个
[13:55.500] 移动拿回来购买装饰带地方，你这样吧，
[13:58.610] 你说如果装饰的5000块钱分多验收分多，可能有10分100分，别人说多一分好像对吧？
[14:06.450] 你就这样。
[14:07.970] 你就别说你就做，原来如果你就这些装修你拨通。
[14:12.000] 对。
[14:13.320] 这样能通过吗？谁知
[14:17.010] 验车就属于他分期提供的，对，然后这个就属于5000做6800装的，对，这样可以。
[14:23.650] 行吗？可以。
[14:25.360] 因为你看他是6800~4500，不至于说给你申请2300吗对吧？你把2500都给的了，剩下什么两次三，
