[00:00.640] 第4关客户今天进了第4块了，
[00:05.060] 花六花。
[00:06.770] 你好抱歉久等给张名片，销售顾问小王，咱们是看S606网站是吗？
[00:12.330] 6096090都看一下，主要是您开吗？
[00:17.130] 对，平常咱们家用还是？
[00:19.930] 家用，谁知
[00:23.240] 这款放的是T5的
[00:25.320] 其次的志远的运动款，对。
[00:29.700] 其实这也是这样的，对她运动型座椅包裹性稍微强一些。
[00:34.790] 你可以到车里面再体验一下，咱们是有现成指标还是主要是罐？
[00:38.880] 旧车置换是怎么的，置换是什么？置换的话也算有5天，您就车之前开什么车？
[00:44.670] 音乐。
[00:46.040] 金悦。
[00:47.010] 别克的君悦奶奶买。
[00:54.120] 13年。
[00:55.530] 13年国5的公里数多吗？
[00:59.590] 一年1万一年1万公里也很正常，
[01:03.570] 咱出汗多划算，有多补贴。
[01:05.940] 360跟90的话，看您是选哪个声音不一样。
[01:12.410] 60 90 90整个比6大一圈有大的预算，因为60的话基本上都在
[01:18.670] 20多万，90话大概30多万，看您要什么配置的。
[01:22.120] 有预算也没有计算。
[01:25.680] 是想大概几月份用车？
[01:28.490] 我先看看，对你随时都可以就价格合适。
[01:33.080] 这款咱们S90放的是P5的中泰的那款致远的号款，
[01:39.050] 他是2.0T的，这儿都是20T发动机的话
[01:43.640] 调教不一样，那个是194码的，这个是250匹马力的，
[01:48.230] 这动员会更好一点，OK。
[01:50.620] 这是5米出头一点，5083的车长，5083是4761048的，对那个的话可能
[01:58.310] S60的话，主要是因为它外形的话可能更
[02:03.370] 偏时尚一点，60天实际上对90跟90度更沉稳一些，更商务一点，
[02:10.220] 是吧？
[02:11.120] 空间会大一些，是不是？
[02:12.720] 90
[02:13.600] 35用车多一点，家庭用的少了，家庭用也OK，看您对于这个空间的尺寸要求大不大？
[02:20.620] 主要是大，那90
[02:24.080] 因为个高
[02:25.780] 60的话正常家用的话，可能如果说您
[02:29.520] 对于后这是个怎么意思？是萧石了解就是这样打。
[02:35.310] 你能判断就是说对放两个杯子，
[02:39.770] 平常有什么兴趣爱好吗？喜欢出去玩自驾游之类的或者
[02:45.220] 这些车的话有130公斤以内的高度辅助驾驶，如果说您出去玩跑高速跑环路的话，你非常好用，什么意思？130公里是吗？
[02:53.820] 130公里以内的一个高度辅助驾驶无人驾驶L级别的有一个无人驾驶，对它可以沿着联系的清晰路线自动行驶，解放人的双手不能完全解除了手镯，轻轻扎一点，研究中国法律法规定，不允许刷手机豪门开车，明白。
[03:12.330] 沃尔沃的话
[03:14.470] 我可以给你打
[03:15.900] 到主驾驶再感受一下吗？
[03:17.960] 每个座椅不一样。
