[00:00.910] Hello。
[00:03.960] 有我有点事没来。
[00:06.090] 昨天看完车之后回去了。
[00:09.500] 商量了吗？感觉不一样，他。
[00:11.750] 车是挺好，车是没问题，看个价格对价格今天肯定没问题。
[00:16.310] 是吧？因为上午客户就直接开了，发票都开了，
[00:21.510] 他买了他买的是什么意思？跟低配的那种对，但是他买的不是这个颜色，他买的是卖的
[00:29.530] 色就灰色的。
[00:30.740] 不过你要这颜色我给你看了，有两台车，有20亿的有展台致远的我没确认，
[00:37.570] 但是今天的价格优惠两个车价格稍微
[00:41.390] 不是一样的，
[00:42.720] 可能之一的能多优惠一些，波优惠7000，但可能两个车差了，整体班级还差2万多，
[00:49.290] 其实差的就不是很多，您可以考虑一下，大概之一还是有测试，可能是这种配对，一会外面那台车我给您着车让您看一下，因为可能还是有一些细微的区别没有写出来。
[01:02.940] 因为现在的话这个车就是今天高配的，因为可能我们家高配车多高配的能多优惠7000块钱，
[01:09.570] 然后很多有没体现了，
[01:13.600] 同样的价格高配的能多优惠
[01:18.430] 的。
[01:20.480] 今天
[01:24.290] 国外的话，
[01:28.880] 行药势
[01:32.230] 车。
[01:55.600] 来。
[01:56.180] 快。
[02:05.160] 因为可能差一个液晶仪表盘，
[02:08.880] 当然可能看起来就看您。
[02:11.720] 对您做底价我在附近。
[02:17.430] 可以找一下车。
[02:30.310] 一下。
[02:32.620] 我现在可以着车。
[02:34.570] 尼玛在车上。
[02:36.800] 这个就是中间是液晶的，但是两侧不是
[02:41.060] 两侧模式。
[02:42.930] 这屏幕的这个屏幕是一样的不一样，然后内饰这款是属于棕色内饰，
[02:49.760] 然后咱听黑色那是作业是黑色，这个有黑色的吗？
[02:55.160] 这个也有黑色的，就看你喜欢。
[02:57.730] 然后还差了一个自动驾驶的话，只这个功能只是定速巡航，
[03:02.460] 车速高于40才可以用，像字自动驾驶的话就是车速高于20，平常的话是不需要您控制刹车，
[03:09.150] 转向这些都不需要壳，这个倒没太大用，插了一个
[03:14.160] 差了一个座椅的推脱。
[03:16.000] 对，您看这个是没有导航的，
[03:18.910] 无钥匙进入18寸的龙骨，
[03:21.860] 我早好像他的手机就可以了，这个
[03:25.940] 这也没那就这款合适。
[03:28.280] 这么说来说他这做也不一样了，对坐尹少个腿拖
[03:33.470] 皮子。
[03:35.560] 没有皮子好。
[03:38.730] 这是能加装吗？
[03:40.510] 提子。
[03:41.610] 这个就没法加装了，你要单独装一个包一层皮，您去外面也好大几千块钱，那就不如直接选择的
[03:48.780] 中配高配车型。
[03:51.610] 这里有点长了，对不会差很多的，都是蒸汽的，现在我跟谁
[03:56.760] 是指做到对可以从刹车不用踩这么。
[04:00.560] 您看着P红P就是手刹，
[04:04.250] 只要他亮灯了，证明这首它就在对。
[04:10.110] 他就差这些东西是吧？
[04:13.670] 本身两个车差了33,000去了，优惠差26,000，也将近三块钱。
[04:18.480] 3万块钱，
[04:19.950] 其他的基本都一样的。
[04:22.160] 都不一样。
[04:27.400] 后排也都一样的。
[04:29.130] 然后如果你要觉得座椅加热有用的话，是可以选装的，比如说像咱们原车自带的选装的加热，
[04:37.720] 这是方向盘加热，
[04:39.140] 防弹也在加热到3000块钱多出来的，前后排的加热以及方向盘的假设，其实我觉得倒挺实惠的。
[04:46.210] 冬天有点油，对。
[04:48.330] 这路口也太大，我开放我都没加不加热，也当不会感觉开着舒服点就行。
[04:55.750] 对，而且音质也都差不多，关上门清。
[04:59.920] 音质肯定都一样的。
[05:05.240] 扣住一下就行
[05:06.760] 了。
[05:08.040] 它是一件的，全车都是一件的，你看扣住，
[05:12.480] 松手不？
[05:13.600] 你们自己的就一种
[05:16.620] 扛下来的玫瑰律师。
[05:19.570] 9
[05:25.140] 这和咱们昨天开的那车这些都是一样的，包括斗图影像这都是
[05:35.920] 我想他那种金属拉丝的就没有了，对这种
[05:42.550] 他这个都已经无所谓了，就无所谓。
[05:46.210] 差不多，这有点像磨砂的那种感觉，对，你先摸一下这个还可以。
[05:51.370] 是还可以。
[05:56.760] 3000是吧？
[05:58.570] 对3000，然后今天的话额外还有一些其他的都可以给您问问，像我刚才卖那个车就是说
[06:05.300] 除了价格以外，给了点保养，以及像保险赠送一些
[06:10.990] 保险还能等对今天
[06:13.280] 今天就属于
[06:15.960] 我们这个月最后一次就是说拼一下，因为这个月卖得太差了，
[06:22.960] 完成任务是吧？
[06:25.030] 魔。
[06:26.500] 我得给您问问。
[06:28.100] 对，因为膜的话宋庄是什么？
[06:32.300] 装饰，然后脚垫肯定没问题，要磨，因为我们魔也分好多品牌，贵的膜一两万块钱也有，便宜点的三五千块钱的也。
[06:42.850] 那倒不是说
[06:45.770] 加麻烦了。
[06:48.360] 够格，我的空间行吗？
[06:51.180] 没问题，这个颜色好看还是黑色的好看？
[06:54.780] 还有点黑的好看还是黑色的？
[06:59.210] 黑的可能看的更高兴一些。
[07:01.560] 确实刚才我
[07:03.600] 大哥买就黑的，
[07:08.580] 这都不错。
[07:12.370] 进屋看看，我给您算算您觉得合适咱们这边。
[07:19.160] 来。
[07:37.320] 谁？
[07:49.580] 老哥那您坐这边我去帮忙。
[07:54.120] 在这里。
[08:24.160] 您浪费时间。
[08:25.020] 咖啡，然后
[08:27.140] 你想喝什么？
[08:30.090] 等他给我一个点，没事活动的投票了，看能做点。
[08:34.760] 怎么算？
[08:54.360] 晚点call机。
[08:57.760] 你看看
[08:59.560] 妈妈
[09:02.380] 类。
[09:18.280] 能够做两杯咖啡吗？
[09:19.800] 然后我给他倒杯茶是你不知道吧，我给你看看。
[09:28.930] 有托盘吗？
[09:31.790] 好了，我的来看一下。
[10:00.760] 房到了没事。
[10:01.880] 一会那人给拿过来了。
[10:04.270] 流通小孩。
[10:06.030] 我刚才。
[10:09.560] 昨天你算的对。
[10:11.350] 别忘了没事我再重新陈列，稍等一下。
[10:22.610] 还得煮饭还。
[10:25.990] 完了。
[10:28.270] 你为什么不买房？
[10:31.430] 往往谁知
[10:41.800] 好像你们家人什么你好。
[10:45.550] 这个东西
[10:46.590] 车载着现在这腿怎么了其他。
[10:50.730] 哪个？
[10:51.710] 没事儿。
[10:59.230] 还是全款。
[11:00.630] 对。
[11:02.640] 行分期。
[11:04.510] 分期只能分，因为分期的话可能就是说您会承担的一个
[11:12.020] 但是手续费的话我也可以再给您问问。
[11:16.310] 还能便宜，能稍微适当甜一点。
[11:19.460] 贾我给您看一下吗？我分析，因为分期的话正常来说您全款可以没问题，分期其实也一样，分期无非就是说两年多花一个手续费，但是这个车的话最起码
[11:32.470] 你比如说这车30万，您就相当于待了15万，
[11:35.560] 分两年还清也还可以，我给您算。
[11:37.950] 一下，
[11:42.310] 最后连现在多少？
[11:48.640] 我都给您算一下，包括
[11:51.430] 行全款分期。
[11:53.460] 小轿车吗？
[11:57.990] 这不是我的感觉。
[12:04.040] 放着那边算了。
[12:14.190] 460. 
[12:15.880] 三。
[12:18.040] 也。
[12:18.630] 也可以在三年
[12:20.070] 贷款12万，三年没有利息，
[12:22.720] 挺合适的话，
[12:24.220] 12万三年对这个车您看优惠过后，他因为是按照车价贷款，
[12:29.730] 302,900的车减去63,000的优惠，
[12:32.950] 是239,900，裸车裸车如果相当于24万，也就相当于首付一半贷款12万三年没有利息。
[12:42.890] 购置税。
[12:47.330] 这个车保险应该在8000~1万左右，
[12:51.170] 上牌是3000。
[12:54.350] 目前按全款算的话是
[13:03.550] 172,130。
[13:05.580] 这是全款。
[13:06.770] 如果分期。
[13:08.200] 是首付百分首付。
[13:13.130] 贷款
[13:14.430] 待12万，
[13:16.410] 等于相当于是23万。
[13:19.060] 9000左右。
[13:20.430] 近70万。
[13:22.570] 还装什么症状吗？
[13:25.130] 119,000多。
[13:26.920] 对好那就好了，谢谢。
[13:30.800] 到电网
[13:32.670] 也不管
[13:33.880] 这个效果。
[13:35.230] 12万。
[13:36.180] 三年还
[13:37.910] 月供3300，我觉得都挺合适的，就首付包括用户他月供也不高，11月还3300，如果您要是觉得麻烦，假因为有的人可能去分期，他其实不在乎手续费，但是觉得麻烦，但是其实这也不麻烦。
[13:51.690] 您可能可以一年以上不用一年，您这个车贷款半年那半年一次性还上也没有违约金，也没有利息，我
[13:58.440] 其实这个情况您就正常还放卡里他自己就扣
[14:03.190] 了，挺方便的，就完了放在卡里他自己就可以了。
[14:08.190] 那也行，然后今天的话就是说这个价格给您便宜，然后保险的话可以送一个保险，
[14:14.820] 保险钱就送了，相当于这车办齐就26万多。
[14:20.600] 然后那个人今天买的发票就在我手里，可以都让您看一下所有的您和他一样吗？因为都是满足今天，然后额外的抽奖，就是咱们那个奖项里看您能抽走抽到什么，
[14:32.030] 但是最起码答应您个车载冰箱，我觉得应该没什么问题，然后另外
[14:37.690] 对。
[14:38.530] 车摸弄。
[14:40.040] 平常就是说你比如夏天弄个两三瓶饮料。
[14:44.470] 你们看，
[14:48.290] 没事您看看。
[14:52.160] 众包现在26 26万多。
[15:01.370] 真的。
[15:02.450] 分期的话，如果可以手续费给您问问，最低我们标准的话应该是收3000，
[15:09.120] 但您就可以理解成12万贷款三年
[15:12.500] 产生的利息是3012万一年1000的利息，那跟没有一样吗？
[15:17.150] 对吧？
[15:18.200] 还有吗？
[15:21.120] 等于是首付12万，但是需要加上一个购置税，
[15:28.670] 也就相当于14143,000加一个手续费，15万以内这个车您就开走，
[15:34.120] 后期每个月还3333。
