[00:00.000] 4:49量与二次
[00:06.990] 代办、
[00:10.500] 了。
[00:12.670] 看移动抱着
[00:16.240] 流程是宝贝
[00:19.710] 的。
[00:22.960] 我想到了
[00:34.180] 三章第三次啥情况？
[00:37.450] 我提上去提了3A宝是吗？
[00:41.830] 1A1B
[00:44.430] 教授谁知
[00:47.450] 是
[00:49.120] 哪儿到哪儿了？
[00:51.880] 不到。
[00:53.420] 到上面我看车
[00:58.350] 画着电话。
[01:05.160] 你好找琴平台给
[01:08.530] 还打电话
[01:11.320] 了。
[01:12.350] 的。
[01:33.920] 在你们那完了后边放娱乐系统你怎么放的？
[01:36.600] 因为我们现在要上班了，迈巴赫后一个系统放光盘，
[01:42.450] U盘不行吗？不支持U盘，我现在后边现在都变成ATM，高清吗？
[01:49.610] 高清电视他高清数据线。
[01:51.520] 这样
[01:52.340] 用
[01:54.000] 暖气就是著名界限通道。
[01:57.060] 你好，您在哪我找您了。
[02:03.630] 停车场就没下车是吗？
[02:07.120] 我没想到没有。
[02:12.140] 你是在靠四环那边听说那个东西，
[02:17.760] 我在跟你的羞涩，
[02:25.890] 我这套不着你开过来开到下车那边。
[02:32.790] 开到下车这边，然后
[02:35.020] 我在门口你开车上。
[02:37.190] 我在门口走。
[03:10.330] 刘老师
[03:11.210] 看到为什么
[03:12.470] 专业性的问题。
[03:13.880] 因为你知道
[03:14.900] 我之前一直都是很乐观，
[03:17.560] 他后排娱乐系统，
[03:20.010] 他有事怎么放电影放先生这种还好。
[03:25.230] 硬盘。
[03:26.530] U盘上不也行吗？
[03:30.080] 得硬盘。
[03:31.540] 格是什么东西？
[03:35.440] 光盘
[03:51.310] 跟有一个什么H
[03:53.640] 高清窗口。
[04:05.760] 大雷区这一块。
[04:22.250] HDMI怎么了？
[04:27.430] 为
[04:29.800] 我问了朋友，常委说是看说明书，不是商场说是
[04:34.780] 他只知道是光盘型U盘，他也不
[04:52.500] 什么书呢？
[04:53.560] 回答刚才他在家里面
[04:56.730] 在哪找？
[05:02.910] 在哪儿？
[05:06.010] 你说看通知书是吧？
[05:35.510] 哪两种？
[05:38.900] 一个DVD。
[05:47.890] 我看一下我在车里扶手箱里有一个。
[05:51.770] 对HDMI高清数据线，
[05:58.720] 或者说连到
[06:00.020] 或者说
[06:01.140] 我拿U盘行不行？茬子。
[06:04.330] U盘不行就连手机。
[06:20.270] 反正能转换就行是吧？
[06:23.420] 第二种就是用盘了，
[06:27.510] 手机是否可以是吧？
[06:30.770]  OK明白了。
[06:33.060] 多谢好。
[06:35.200] 两两种。
[06:37.810] 大家两种途径，
[06:39.240] 第一种。
[06:41.420] DVD。
[06:43.560] 第二种，
[06:45.430] 这是一个HDMI高清的传输端口干什么？
[06:49.780] 高清的传输端口，但是你得有一种人，
[06:53.510] 你买什么转换线别买吧，
[06:56.240] 什么转换线？
[06:57.990] 就是说你告诉我就是我。
[07:00.080] 用这个方向
[07:03.580] 怎么播放，比如说推荐似的，转头咔嚓这手机里的视频去投放，
[07:10.080] 或者说你有外出的传输设备，还可以去作坊，对。
[07:15.900] 除了平盘，
[07:17.910] 有硬盘里的电影，
[07:19.400] 你
[07:20.500] 你看咱们现在纠结的是哪个问题，我有U盘，U盘不行颜色。
[07:25.830] 行。
[07:26.680] 你得有传输的高清的一个县，一般什么时候一般他都插到电脑端口。
[07:33.030] 专管一般是调电脑上或者办公什么的，看他们现在一个问题，我就现在用硬盘那里面播放，
[07:40.830] 对吧？
[07:41.630] 你不能拿USB上去查，你以前差的市场就插那个
[07:46.180] 那是hs第。
[07:47.720] 不是那个是旁边那边联系的，U盘的队不行他什么
[07:53.950] 咱们看的话我也用去买，
[07:58.390] 用硬盘来书，你得先去那问，说我你可以这么说，你别花钱买。
[08:04.080] 当时比如说有这么卖的集成店，我想看什么设备，
[08:08.960] 我要买个电视买个硬盘，
