[00:00.000] 远远
[00:02.320] 的
[00:05.910] 的。
[00:07.260] 咱们公里数是58,052公里。
[00:10.470] 58,000。
[00:11.830] 对。
[00:12.830] 万8了，6万了等于。
[00:16.900] 然后刚才给您检查一下轮胎都不行了。
[00:20.760] 对。
[00:22.360] 轮胎都露馅了说是。
[00:25.360] 他好像那意思。
[00:28.720] 4条轮胎都不灵了，小工想刚才已经照了照片了，到我。
[00:33.220] 再去看一眼，
[00:34.150] 给它磨损。
[00:40.130] 当然我们会给你检查一下，看看具体是哪个刹车片，
[00:43.410] 画面谁知
[00:46.200] 得看前或者前片或者厚片，他刚才那意思是厚片。
[00:50.340] 前面应该没什么事儿，可能写得厚片子给你看一下。
[00:54.240] 然后咱们这车这次演保养是吧？
[00:57.750] 这次应该是6万公里大保养了，6万公里大棒就是全车的油液，包括变速箱油。
[01:03.530] 您那个车的刹车油是当我看了也是18年1月份换的。
[01:07.930] 刹车每两年一换，
[01:09.490] 还有您的火花塞是每4万公里一换。
[01:13.230] 您是2万公里换的，是因为因为当时要求两公里，后来改了改成4.4万亿换了，等于您这是6万正好是换，
[01:20.660] 包括您的火花塞也需要换号。
[01:27.460] 谁知
[01:29.030] 谁知
[01:30.350] 还是
[01:31.570] 车在哪？我具体先看一下您轮胎
[01:34.790] 等等。
[01:36.910] 刹车垫就上回。
[01:39.920] 保养。
[01:40.540] 买车我们交一个包装，什么，那是延保吗？
[01:45.610] 不是延保，为什么不能构建？
[01:49.750] 免费那是延保，延长质保。
[01:52.600] 跟您正常保养没关系。
[01:55.790] 它是什么？
[01:56.970] 大的配件的损坏了，有没有？没有工作？
[02:03.350] 没有，那是延保，应该是这延长，质保您本身
[02:06.920] 保修不是三年吗？车在哪？
[02:09.400] 这儿？
[02:19.470] 后刹车片，
[02:20.880] 轮胎已经列了又炸了，都谈着吗？这线都露出来了，要爆炸了，
[02:27.830] 放下个危险了。
[02:30.920] 前面一样，
[02:36.480] 您看一下轮胎不行，这轮胎肯定得换了。
[02:38.900] 可能他都不建议开出来，
[03:12.280] 这4条轮胎都得换都不行了。
[03:14.560] 轮胎多少钱我给您查一下。
[03:16.690] 轮胎系。
[03:20.650] 这个角和角这俩轮胎
[03:22.880] 完全就不行，尤其轮胎
[03:31.590] 已经裂了。
[03:32.740] 馅都漏出来。
[03:34.040] 那里边胸露
[04:14.710] 0
[04:15.770] 三
[04:47.880] 数据、
[04:48.960] 数据、
[04:52.690] 场
[05:02.200] 句。
[05:04.300] 因为现在轮胎这边有优惠的。
[05:07.840] 人才是免工时费，然后轮胎是直接打9折。
[05:12.520] 现在。
[05:15.280] 您先说一下咱们这次保养项目，一个是咱们正常的B保养，
[05:19.650] 然后B保养空调滤清器。
[05:21.120] 一心两个2B国家刹车油和火花塞都需要换的，然后最主要的是变速箱油，
[05:27.900] 变速箱油每61,000换，然后您的后刹车片报警了，
[05:31.760] 两2D
[05:33.440] 我先给你说这次，然后我再跟你说一下。
[05:37.660] 还有就是正常的积碳清洗，
[05:44.920] 然后您那个车
[05:46.590] 车前边的发动机的传动皮带，
[05:49.240] 事件16~8万，
[05:51.410] 您可以这次换也可以到7万8万再换都可以，因为也不
[05:56.550] 因为不便宜。
[05:58.640] 现在目前光保养这一块，
[06:01.160] 11,000多块钱了。
[06:03.640] 对，因为66万公里大保养是咱们用车当中
[06:07.460] 最贵的一次。
[06:09.450] 最贵的一次，这里边我还没给您算正常的。
[06:12.720] 6万保养要换的。
[06:14.540] 咱们说的行就是冷却液，
[06:16.550] 防冻液这一块，还有皮带这一块，这都可以6~8万再换。
[06:20.960] 因为哥在一起太贵了，
[06:23.310] 您黄金的300。
[06:28.850] 您这是免费的。
[06:31.420] 然后您这车的刹车油两年换一次，半年换的
[06:36.330] 80块钱，看到这些这两年欢迎。
[06:40.280] 然后好，但是一遍的时候得到了
[06:46.010] 大
[06:47.610] 然后这里面
[06:53.680] 的
[06:57.120] 电瓶
[07:03.370] 手机。
[07:04.980] 帮我查个胎。
[07:07.120] 帮我查个胎。
[07:10.450] 咱们作业
[07:15.080] 我车进场了，
[07:16.730] 但是又确实不短。
[07:18.360] 他说主要有
[07:20.360] 龙骨是我判断的这些我需要最好。
[07:25.840] 我给您建议必要的，然后下午2点
[07:30.040] 这为啥也
[07:37.480] 现在我也很快VOPEVOP
[07:44.230] 对得非常漂亮。
[07:49.040] 这个是您的。
[07:54.280] 然后
[07:57.620] 2355 5 2十九幺零幺V蝎子花纹了。
[08:04.590] 就是9号4
[08:11.500] 不是钱一个。
[08:12.720] 的。
[08:14.890] 部分100万两百二，
[08:17.920] 这些人不打开，它是固定价格。
[08:21.100] 有货吗？
[08:22.800] 有点这种还是哪有？
[08:29.790] 然后给您
[08:33.280] 的
[08:36.240] 轮胎是1484一条，
[08:39.160] 1484，现在我们是免工时费，就是所有的工时费全免掉，然后送您一个40定位。
[08:45.240] 然后这1484我们可以打9折，
[08:47.750] 主要是店里的优惠。
[08:52.950] 给您算一下大概最后的费用。
[08:56.190] 明白。
[08:57.580] 你上一次保养是在
[09:00.710] 话这笔交易
[09:02.450] 年度的这么一个
[09:04.590] 基础，谁知
[09:09.470] 然后你
[09:10.970] 我第一次的
[09:14.740] 是吧？当时韩版
[09:16.440] 应该是两分钟一次方的。
[09:21.420] 还有一个是皮带的抱着的话，
[09:23.810] 可能12号
[09:25.800] 月昨天给我下车以后打电话，
[09:34.190] 半个。
[09:35.520] 好吧，您看到了马上说工作条刘谦，然后刚才你说更新一下。
[09:44.120] 复杂比较好玩。
[09:45.840] 到前面
[09:49.080] 就完了。
[09:50.120] 谁知。
[09:54.200] 这次总费用应该是1700，不是17,000块钱左右。
[09:58.340] 对。
[10:00.090] 17,000块钱宝网，就是包括您的4条轮胎，包括您的6万大保养，
[10:05.970] 里边六安大包里面包括B宝、空调滤芯、刹车油、火花塞、
[10:11.500] 变速箱油，然后您的后刹车片，然后还有一个咱们说的积炭，
[10:17.940] 山楂片后片是1319，今天中国队连工带
[10:22.390] 所有的
[10:24.240] 跪前面大，
[10:26.260] 在前面应该是1000 1600，
[10:29.490] 前面大前天这么大，
[10:31.680] 还没上哪知道。
[10:34.150] 我给你打个估价单您看一下。
[10:36.550] 那么多吗？里边还有几对轮胎，我目前没给您打边的。
[10:42.390] 画画不错，没便宜多少，因为轮胎现在4S店已经降到底了，外边轮胎撑死了肯定会便宜，但也就100 100来块钱。
[10:51.960] 因为轮胎这块
[10:56.070] 保养场是这样，完了打入过来之后你还准备在我们的保养，
[11:01.260] 你打一折我看一下。
[11:03.200] 刚打的是两次保养地方，你看他在家给轮胎打的9折，基础上
[11:10.350] 打的858，
[11:11.680] 然后
[11:15.310] 必须要
[11:20.060] 您这全是有套餐的。
[11:27.200] 两2T是5131块钱。
[11:30.040] 讲来讲，
[11:31.010] 然后其实就是基础保养在这个基础上斩杀武则天。
[11:34.320] 对，然后送您四季血浆外部清洗，每年清水有序电脑在两地
[11:41.450] 人才多少年还有两小臂，像您这种客户一般的话，
[11:45.960] 谢谢您这边不是。
[11:48.640] 我如果很快的没问题，对你那边没贵。
[11:54.420] 你外边一条。
[11:57.000] 撑死了咱就贵一点，而且4S店现在这样，咱们轮胎这一块，
[12:03.120] 您说感觉10的，然后
[12:08.510] 这个
[12:10.840] 所有的。
[12:13.530] 我在转全国眼睛回来，衣服这个拆装就见还有吗？特别著名的不浪费。
[12:18.580] 大概有6有没有什么有没有面条？
[12:21.330] 夜里要送一个地方的，就是数量少1.4轮定位，因为我未必这车能开出来了。
