[00:00.000] 那是百得利还是奔驰百得利返还利是吧？对着我们的企业微信号
[00:06.370] 添加一下是吧？对。
[00:11.540] 这是你的我的。
[00:16.160] 你通过一下是吧？
[00:21.560] 老黄牛对。
[00:23.790] 行，您发送过来，好。
[00:29.920] 然后您再帮我查一下，看看到底是怎么回事，看能不能查出原因来，好的，观察明白。
[00:37.070] 他们别整的突然间
[00:40.760] 我在高速上开到现在高速行驶的时候还没出现这问题，不是这两次都是什么情况呢？
[00:48.550] 都是在低速的状态下都是在等红绿灯，
[00:51.910] 然后想要启动的时候起不来了，我明白。
[00:55.840] 我明白您说的有针对性的进行一个专项的检测，然后您视频我会转到技师手里，然后根据进行安排今天的测试试车检查，
[01:08.640] 当然时间希望您得给他相对充裕一些车，今天您肯定放着。
[01:14.890] 好吧，因为现在强一直排队车比较多，而这个
[01:19.160] 可能也相对来说，
[01:20.800] 从技术上来说，可能他不像我扎一轮胎，我会把它看成钉子，然后换台换胎了，
[01:26.490] 是吧？它不是种显性故障，它是柔性故障，有可能是线路接触性的问题，
[01:32.280] 某一个插头，但是可能是哪个他就挨个排查了，需要时间长一些，
[01:37.650] 建议您把车里放着几天好吧？
[01:45.300] 第一个视频过去
[01:48.820] 没那么快，你的视频比较大，它传输需要时间，可能
[01:53.730] 我这还暂时打不开，正在下载。
[01:57.600] 你看着。
[02:02.380] 看看有了吗？
[02:04.950] 材料结算没有
[02:06.460] 了。
[02:07.850] 这个东西完整一点。
[02:10.460] 快
[02:15.860] 花。
[02:19.690] 点，
[02:24.920] 坏。
[02:26.120] 的
[02:28.410] 的
[02:30.400] 快。
[02:34.910] 谁知这不两吗？现在这不是4个对。
[02:42.780] 人家能换。
[02:45.530] 哪年的？
[02:46.770] 18年的。
[02:49.130] 你需要车架号吗？18年的应该都是4处的，2
[02:54.660] S500就是周老板的时候，
[02:57.080] 08个8 18的。
[03:00.040] 0018. 
[03:01.520] Cs的都是高，
[03:03.260] 而且还是5006章，那是6根，66缸也是双出，
[03:10.080] 4个眼4点3张，上面都看着百4%个牙。
[03:14.860] 放心，还有。
[03:16.560] 上
[03:18.930] 还有。
[03:20.860] 你帮我待会我让你的票肯定很大那个了吗？不是B哪个张？
[03:26.730] 这里。
[03:31.980] 好，这个你留一个人，刚才遇见及时帮去看了一眼车，现在59,974公里了，
[03:42.070] 加上咱们变速箱油是每次6万公里就换三
[03:46.490] 多少？16,000，我那天是不是在你这都换换过了，没有，这个是不收的13章。
[03:52.640] 没有话了行吧？
[03:54.420] 你给他打电话我去给产科的。
[03:57.350] 您在6月份来的时候，一是做了钣金喷漆。
