[00:00.760] 二次。
[00:05.430] 选一选。
[00:21.800] 远
[00:22.980] 了。
[00:26.670] 二
[00:41.920] 那车出去用了一块正好了都
[00:45.360] 这块
[00:47.460] 想买一点早点回来。
[00:50.670] 第三版看看立标的是吧？
[00:54.790] 互相
[00:56.280] 出访标书
[01:00.630] 黑河的中的事，
[01:03.540] 黑色。
[01:05.410] 黑的中的是吧？
[01:07.620] 中的什么黑的韩都一样，看不着争执O泡没事。
[01:12.000] 不用，因为就是个颜色棕色的跟木头
[01:15.490] 空格都是中等，魔兽只是座椅，颜色一个是黑手印是吧？
[01:20.000] 什么都有蒸的了。
[01:23.360] 三年连玩笑飞的一样，真的是吧？对，没有中午的时候。
[01:29.510] 有现车。
[01:30.830] 有线头的。
[01:32.100] 有沙县城县城吧现车是吧？你跟我们联系说可能还有一些优惠什么的，我如果要
[01:42.320] 能确定差不多，我们就今天能定下来行吗？帮您这些单子。
[01:47.770] 对，你看看大概还能申请什么样的优惠，算了身体把公共你尽量给我们申请一下，因为我们最后肯定是按价格来决定买不买。
[01:59.040] 反正我希望能到在你这买，因为可能离我们家比较近行吗？你尽量给我争取。
[02:06.930] 对，因为你要达不到什么。
[02:11.950] 的
[02:17.980] 的
[02:19.120] 的
[02:25.850] 的
[02:29.360] 肯定
[02:31.760] 很少
[02:34.970] 的
[02:45.730] 号
[02:49.760] 人
[02:51.380] 远远
[02:58.070] 的
[03:02.080] 光线
[03:05.980] 有点远
[03:10.280] 的。
[03:19.080] 分期购车。
[03:22.320] 对。
[03:23.260] 我们就按照您上次说的内容。
[03:25.760] 月只还息那个对，因为可能是对，你不说现在非常合适是吧？
[03:31.250] 对，因为两年
[03:34.200] 也不用还本，对。
[03:36.700] 然后也没有金融服务费。
[03:39.250] 完了我们不要装饰的，不要装是可以
[03:45.410] 在这样一个裸车价算对吗？
[03:48.290] 因为你们好像报价都
[03:50.670] 都挺规范的，差不多是吧？
[04:06.250] 坏数据。
[04:08.600] 五
[04:09.710] 场
[04:11.870] 数据
[04:23.250] 五
[04:30.710] 全下来47万。
[04:33.780] 40 7 18对470,800多，我到时候那个车还是怎么
[04:40.250] 置换，不置换不错了。
[04:43.480] 说话应该这车是5000保险。
[04:45.580] 因为这厂家给的吗？那就是471,800多。
[04:53.400] 收入。
[04:54.730] 切换优惠是吧？置换优惠，这是减了两五75,000，
[05:00.580] 现在就是更优惠些了，比前几天是吧，就直接给您存最低价格，完了装饰您不也不要我就来，因为做装饰上回不是说送了5000保险，
[05:08.870] 我就不是光铲把那5000保险直接给你减车价来了，就当给您优惠了，因为现金用了7万，现在是做到最低了是吧？这是最低了。
[05:18.320] 那行。
[05:20.660] 代价真觉得买房绝对有优势了。
[05:23.570] 对，因为我们反正看看你们货架就是什么样，你差不多大的对你优惠别人他给做保养，您看看在哪看的眼妆上吗？
[05:36.450] 香山反正还有一些不是北边那边。
[05:40.660] 直接的这一块，没他一般给保养是这样，他是给基础。
[05:46.430] 输入完了之后，然后但是您其他的费用你还得自己花钱自理。
[05:50.050] 对，这样的话等于就把您的保养车也没谈妥，定了好多次保养，因为就是说姥爷都不给。
[05:56.980] 行，你们给比较实惠，我希望在这买，因为离我们北方很近。
[06:04.670] 到这里我觉得就是说反正据我知道，现在好多跟着4S店，您要不要做装饰，它可能车站就少优惠了。
[06:12.690] 您看您不要，我就把之前保险不我给你让出来了，全都是现金或者75,000没有任何要求，
[06:19.960] 或者是您国家收的，咱们这没办法了。
[06:22.640] 然后验车上牌有一两千5，然后保险我这预估了才12,000，当然您这个险种跟保险公司都能自己
[06:31.910] 你可能还不一定会有那么多，
[06:34.030] 是减5000以后是四十七万一千四十七万一，这5000是补贴置换补贴的，比如说我把钱给你，然后你给5000 5000之间保险给你比给我评估的，上次评估那加上对13,000个假再给我算算再折回来。
[06:53.290] 46万左右，对比较困难了。
[06:56.720] 了。
[06:57.760] 你可以看。
[07:02.190] 保险你们能送吗？
[07:04.220] 反正我们这真没有是吧？因为所有保险锁给保养的话，全顺着客户售后，
[07:10.140] 全社会对着我们，你们跟他们不是特别的，我们保养是不是您随便您愿意来这就来着，您不要来着您去我来，这方面我就是说因为这玩意我们这套餐
[07:22.110] 正常就比较透明一点，A保养分值是1万公里保养，A保养的话是1158，
[07:29.010] 这是透明的是吧？然后没有任何其他的费，您正常机油机滤包括了工时费都包括在内了，就这么多钱，
[07:36.850] 就了就一次就继续睡，然后完了可以拴着，比如说送您保养的
[07:42.670] 大多数都是一个套路，送礼包您不是来电吗？
[07:46.120] 在您做点别的做别的肯定这些钱也出来，
[07:49.290] 反正差不多都是出在你自己身上，不这么着，您可能也不去保养新车，可能卖一个说实话买这车50万的车优惠了75,000，
[07:59.150] 相当于打了一个八点几折了，其实这车后期就新车这一块利润真的特几乎为零，全拿售后去。
[08:07.260] 谁知到我们比较特殊一点，销售售后
[08:13.620] 两个老板是吧？两个了，他正规都是百得利，但是有两个总
[08:19.840] 销售的总售后的东西我知道我明白不拴着，对，一般你比如说我们要装饰，可能在那里给他优惠是吧？你给你买装饰的可能它装饰利润多一点，然后他再给您让出一部分利润。
[08:32.850] 我问一下您肯定实际上比较实在的是吧？就不可能都比较透明了。
[08:38.380] 住在这了，那行就这样，你定一下是咱们不是先不提车，先是行，我们是这样子。
[08:48.810] 我们不是办贷款是吧？
[08:51.060] 你给我们看一下我们用怎么走手续最快能够谁知包人不是您吗对吧？不是我
[09:00.510] 我夫人您夫人，然后你要哪些东西还款行吗？拿他还往您还款都一样，
[09:08.280] 那就很简单，需要他的身份证，
[09:11.580] 然后身份证我们给个复印件发过来行，还是要原样的，因为他现在没在这。
[09:20.630] 没在这张照片都行，对，我们发给我们，因为他现在审批的话都是电子审批的，对，不是他本人拿，这我估计然后
[09:29.210] 需要她也不用什么纸质类的东西，比如需要提供他的比如工作单位的地点，
[09:36.150] 收入证明不用出证明，我们贷款不需要
[09:42.390] 不用输入，你想我还给你开了，不用你拿着看一下那种类似的，不用你那个单位是什么，
[09:50.110] 第一它需要一些信息，
[09:52.130] 您夫人在哪上班，下面有直接收入证明就算了，直接拿出那个东西了，因为他是连单位和工作一样证明了
[10:01.290] 大概有个这么东西。
[10:04.000] 我就想因为他不在没在这，我把他送回老家了，然后我们就想给他找得把它定下来。
[10:10.470] 这是北航的，然后工作单位也有，身份证号也有，收入也有，反正我估计什么还需
[10:20.190] 除了这个需要一个就是您的资金，他的居住地点，
[10:24.160] 居住地点是吧？
[10:26.070] 不记着我把户口本不用是吧，都是文字再写一下就行，证明这就不用那就行了，就后者那就简单了，他的工作单位主要这上班多少年了，
[10:39.320] 住哪住多少年了，然后还有您的信息，一会我们同事会跟进过来跟您说好，您在那上班你就列个单子行了，他就给您登记上了，
[10:50.180] 你给我一份就行了，然后审批的话像您就是我的
[10:55.490] 学校，就是北航的应该教师，对，基本上属于秒批的。
[11:00.840] 基本上属于秒批的，就递上去，马上就能批出去，应该可以，我觉得可靠，您基本上在周
[11:09.860] 也不提车是吧？
[11:12.940] 燃料箱骑车如果能这种
[11:16.840] 我就是说如果要
[11:18.600] 如果那个牌换得很快的话，现在我们就先提过段时间还要抽血，因为我过着还要出去好。
[11:25.480] 你要过上一周是吗？
[11:29.200] 您就这样，还是像咱们上次说的这样，然后您那车先别放在这，
[11:35.030] 然后您先开着，对，因为我先办这个东西是吧？对你先把这办了，比如说
[11:41.490] 金融批过来抱
[11:44.790] 二
[11:47.130] 二
[11:51.580] 楼上。
[11:53.800] 行，你稍微等一下。
[11:57.000] 进门大厅。
[12:09.380] 的
[12:16.630] 行，咱们介绍一下怎么办，就是这么解释，他们买房可不是房屋，
[12:23.270] 房子都贵吗？然后这边金融通过之后，您这边新车的话可以先过来先交首付款，
[12:33.050] 交首付款发票给开了，因为我怕下个月因为金融
[12:37.790] 这个政策它不是固定好了，
[12:40.420] 他每个月是有变化没问题，然后咱们只要看到发票的话，这个是都订完了。
[12:45.720] 然后就车您先开着，因为我不确保您一礼拜我这车能过来，过完就算过完了。
[12:54.610] 咱们这新车验车上牌
[12:56.600] 也不会那么快，您能拿到正式牌照，
[12:59.390] 没有正式发表多长时间。
[13:01.620] 您从您放下旧车那边车，因为旧车不过户永远出不了指标，对，发现这天气就车放两天起，大概我们安排在10天左右安排咱们的旧车过户，
