[00:00.000] 孙女、
[00:05.560] 电话，
[00:08.180] 1314，
[00:10.880] 6466，
[00:13.630] 62
[00:15.870] 二
[00:22.200] 号。
[00:24.460] 销售顾问照片，这个是我名片。
[00:27.420] 您是观众吗？
[00:28.990] 这个位置是吧？
[00:31.000] 这是致远，这是对有一个日益谁知
[00:36.290] 实际外形同样的，
[00:39.480] 这就是这个颜色，也有这种有
[00:44.660] 门口灰的还有颜色白的都是。
[00:48.070] 注销的颜色，
[00:50.250] 就是说咱们如果要是。
[00:53.640] 全国买车能多长时间汽车？
[00:56.210] 他当时就能提车，咱们这没回家的时候，这不押车现有优惠，
[01:02.560] 我看那款车的话，现在。
[01:05.480] 有多少？
[01:06.240] 这落地大概二十七八万。
[01:09.370] 收到了。
[01:11.610] 您这边预算多少钱？
[01:13.460] 5月25。
[01:15.060] 到不了那车道，不可能那假。
[01:17.840] 阿萍要是我就瞎说。
[01:20.230] 人家说咱们的预算，反正他问的是咱们的预算，不是没事，您25的预算可以选T3这款。
[01:27.220] 第四这可能就不行了，上。
[01:31.460] 5月5也夸张了，这是了解。
[01:34.110] 25买了买不了，我说落地价我知道。
[01:38.210] 关火瑞是吧？
[01:40.870] 17 27。
[01:42.810] 差不多302,900。
[01:45.880] 二次以内落地。
[01:48.390] 27。
[01:49.770] 这是什么指什么？
[01:51.240] 这个是治治，我看看志远的这是唐代。
[01:54.520] 然后您想要的是致意吗？不是，治完了还有
[01:57.730] 一个执行是吧？执行就是T4对，执行至ET志异志行至元。
[02:03.690] 可能比这个是最高配的。
[02:07.490] 对T4最高配的。
[02:08.760] 听是最高配的。
[02:12.690] 你还有什么对比的车型吗？
[02:14.800] 对比车什么本来就看着跟咖啡色的好看就选沃的是吧？对。
[02:20.740] 看我只要你
[02:23.240] SUV跟轿车不一样，SB
[02:26.260] 是也好一点开起来了。
[02:30.850] 但是。
[02:32.210] 对，但这个车型其实女孩开的挺好看。
[02:35.370] 应该。
[02:36.660] 大小也合适。
[02:37.730] 如果说要是这样的话颜色就行。
[02:40.490] 你也定不了。
[02:43.190] 是吧？这是个人商量世界，
[02:46.350] 咱俩人同意了，到时一开会研究，我就没有那忒好了。
[02:50.990] 是吧？对。
[02:53.640] 对汉元辉。
[02:54.930] 其实这蓝也挺好看的反应。
[02:56.390] 也还行。
[02:57.340] 这拿我觉得挺
[02:58.890] 看过了什么？
[03:00.800] 它出的少，对这车颜色就是S60之前也有这种颜色，好多客户现在。
[03:06.290] 找后来都不出了基本上。
[03:07.670] 要是说提高他的业绩关联，
[03:14.130] 这些都可以。
[03:16.580] 如果说你要想破坏的大忌。
[03:20.460] 您说这对，但是我跟你说
[03:23.160] 您这黑车您说安全系数是您开的特别暗的情况下它亮点，但是您说现在北京
[03:29.770] 哪有那么暗的地？
[03:32.990] 这都是人为操作的。
[03:34.940] 因此。
[03:39.020] 这个车比是
[03:41.260] 就差在哪呢？
[03:42.860] 轮毂之一比这小一算，
[03:46.160] 致意没有无缘进入，
[03:47.950] 没有后备厢感应。
[03:50.620] 基本上。
[03:51.750] 差不多选之一就行，对。
[03:54.550] 实际。
[03:55.680] 优惠咱们。
[03:57.210] 普通家庭是不是？对就够用就行了，像这种东西，因为我跟你说28、
[04:03.290] 28、3233万多。
[04:05.880] 估计30多。
[04:07.310] 对。
[04:08.350] 没看到。
[04:09.330] 二队，因为这俩配置没有什么特别重要的东西，
[04:13.940] 发动机的马力变速箱都是一样的，
[04:16.080] 无非就是这点配置，这配置就说没有什么必须的东西。
[04:20.320] 咱们不看。
[04:22.210] 看中的就是它的
[04:23.920] 这也是2.02。
[04:25.460] 20T20T
[04:27.790] 您这边考虑什么时间订车？
[04:34.030] 了，我等我妈回来看一眼什么颜色。
[04:37.140] 这就是是近期我的意思还是说。
[04:39.510] 接近信息的，因为这个月可能店庆力度比较大。
[04:42.920] 因为
[04:43.840] 如果你确定好车型了，肯定会比你去传过的任何店都大，
[04:48.840] 每家店都是他们是不是？你不信你可以批评，没脾气不就完了是吧？我哥哥我跟你这么说，咱实打实的。
[04:56.950] 我们现在在
[04:59.320] 看到这个问题。
[05:00.590] 云住哪儿？
[05:01.240] 希望没事儿。
[05:02.880] 你这不近。
[05:04.280] 我们不远也算是半个多小时。
[05:06.950] 去那店转了是吧？那天没法给您提车对吧？24天他说北京4他是40天是什么？
[05:15.240] 事先托您4040天再说以后的事，
[05:18.990] 所以说
[05:20.000] 我首先从我的意识当中，因为我是
[05:25.440] 全国买车，
[05:26.890] 抹布分期现在我不想。
[05:29.080] 我有钱。
[05:30.400] 行。
[05:31.270] 有钱才分期的时候，
[05:33.480] 现在都得拿钱生钱去。
[05:35.660] 以前也不是分歧。
[05:38.130] 说
[05:39.770] 我就想什么，如果说这样能限制就完全不能集中这样的一个
[05:45.890] 他们的共同的要求。
[05:49.280] 我现在。
[05:50.510] 农业我们
[05:52.830] 这看我的目的了解就是说。
[05:56.450] 反馈注意，所以关键是什么？您车型特别好，如果说没看见也不好。
[06:02.090] 对他就这意思吗？真的就是说这一查就是这种。
[06:06.190] 蓝色的背景。
[06:08.440] 颜色完了再盛。
[06:10.400] 管家里了。
[06:11.910] 宁波领导我不是我妈是领导，我是第三把手三把手，
[06:18.910] 现在内饰颜色有红的有黑的。
[06:25.650] 还是工作都会发光吗？
[06:29.080] 这个就看个人喜好了。
[06:33.290] 个人
[06:34.440] 有空的好看一点。
[06:40.500] 这颜色很小。
[06:42.560] 对，一般说是小车买白色。
[06:45.640] 大车都买深色，它颜色真的不瞅着颜色。
[06:49.110] 也跟着屋里看跟去外面看看。
[06:51.160] 你现在就是这三种颜色。
[06:53.650] 对，白灰，还有蓝。
[07:00.250] 还是白色的保持一点，
