[00:00.600] 7月20号下午4:40号。
[00:03.400] 6点，谁知
[00:05.920] 高血压。
[00:07.320] 哪个是白先生？
[00:08.960] 谁知
[00:10.780] 是这个吗？
[00:15.390] 你好，是白先生吗？给你张名片，销售顾问总红糖衣服。
[00:20.080] 谁知
[00:22.010] 之前有没有漏洞都没有，什么嘴巴特别已经开始什么都没有，
[00:29.850] 了解一下。
[00:30.800] 这个车现在
[00:35.050] 咱们家现在
[00:37.130] 300动感30300的楼房和道路能够都对颜色都
[00:43.490] 基本上是白，您这边送您查一下。
[00:47.720] 第一次进来您给您介绍一下本次服务公园，咱们柿饼到客户为尊，以礼相待，诚信经营合法得体，明码国家公开透明，盔甲渠道清晰公式，
[00:57.040] 购买分支现在是绝不捆绑销售强制消费，
[00:59.880] 绝不使用家里的充耗4008181188咱们介绍电耗，对
[01:04.520] 咱们公司价格牌可以分给互相对应公司价格，
[01:08.510] 谁知
[01:23.040] 您做个简单的需求分析，咱们购车是现成指标吗？还是置换说
[01:27.040] 有一个现成的指标。
[01:28.740] 不是置换旧车是吧？
[01:31.400] 您就车什么车？由于根植
[01:34.160] 给奔驰了，您的名字只标明是吗？
[01:37.800] 我爱人。
[01:39.610] 好。
[01:43.190] 咱们这算重构了。
[01:45.330] 对，宁夏有奔驰车购买的话，它比正常的置换补贴享受较高。
[01:51.550] 应该是这样，对，我没有回头又买了。
[01:58.810] 这说明您对咱们公司的产品品牌认可，对。
[02:02.140] 车还一年多好。
[02:04.870] 对，因为怎么说这车有130多年的历史，
[02:08.240] 是吧？
[02:09.630] 各项功能可能都完善了，就像奔驰方面零件一般都是自主研发的，这种公园已经特别有名。
[02:15.790] 对他G2S是不是跟ks一个地方，对他俩是一个点一个级别的，
[02:21.850] 而且包括功能上面基本都差不多。
[02:25.120] 我刚才在楼上看了他做工程对那是350，她只是普通的
[02:30.540] 像45047这种里边的内饰，包括它的正常这些做工基本上一样的采用的设计
[02:37.670] 不配置，然后测化程度会更高一些。
[02:40.480] 然后它底下C2S
[02:43.650] 对cos跟gt的分支gd AM记的，
[02:47.200] 就觉仅有的两种车型，奔驰里面的4门效果常常常规的就是1股KRC阻肺的，都是2门4座的。
[02:57.910] 的。
[02:59.260] 现在咱们一进口的意义都有什么片高楼的话，一就是1260，
[03:05.190] 然后300的给取消了以后，
[03:07.550] 在欧洲国家全部都是以后降低排量的，260是多大排量？2.01.5T184平马步，
[03:17.160] 而且买大排量就买性能车，钥匙常规车最高的2.0向，但是分值的话，
[03:22.320] 甭管你让我将没问题，像CS这种让我家dell东西也可以，但是我马力达到299平跟3.01样，
[03:29.450] 他是不是介入稳定的面积了？
[03:33.390] 然后定损的面积是一方面，还有跟谁他一些自主研发它能承受住这种调节比例，它在生产的时候，我就让他发动机扩大它的输出功率和扭距，
[03:44.890] 它结构什么都不用都不一样，普通的车型达不到这些。
[03:51.740] 当50动感的话，像白色的、石墨灰的、钙石蓝的都有
[03:57.120] 多少钱？
[03:58.410] 稍等我给您看看，然后其他的还有什么颜色，
[04:02.370] 然后像豪华都是有白色的。
[04:04.820] 然后像350的话，
[04:08.070] 上述零是两天黑的一台白色。
[04:11.350] 对。
[04:12.810] 照明这一块多少钱？
[04:14.420] 我给您列个单子您看看行行。
[04:19.280] 说您这边了解过吗？
[04:21.060] 我在网上看，好行，我给您介绍一下，我在整理。
[04:26.630] 简单看了。
[04:28.160] 大
[04:29.900] 平常这车就是家用的。
[04:31.430] 对，开动了，女孩子对。
[04:35.940] nothing。
[04:37.810] 比较偏向于什么颜色的？
[04:40.020] 他可能女孩
[04:43.180] 女孩关键他什么，他拍的他们那地的别太大一点，白的可能有点太扎眼。
[04:50.400] 您什么颜色有没有灰？
[04:53.740] 估计是深灰色的。
[04:55.360] 不是抢黑的，有没有想过没有？
[04:58.160] 生死是什么？就是石墨灰，我会把那照片里面抽出来一看，
[05:06.050] 谁知
[05:10.030] 其实这车没必要买太高的配置，没什么必要，因为它动力都是一样的，说白了就是里边奢华程度，像柏林什么音响那些，
[05:18.470] 咱们以前不能长期在车里坐着，
[05:26.560] 安全方面全系标配的就是屈服气囊什么都有，对。
[05:31.240] 然后向前后12颗雷达，正常咱们大部分车只有8颗，他是前边6个后边6个多出，这4个在前后放在两侧就避免了车比较长将近5米，倒车或者车比较小的车，就是硬的盲区看不见，
[05:46.110] 造成剐蹭或者划伤。
[05:47.480] 在这基础上可以自己停车，甭管左右的侧方位或者直进到这进，
[05:52.510] 他都可以自己来，不用管油门刹车不用管方向盘，
[05:55.480] 能倒进去或者能扎进去才能帮他们开出来。
[05:58.340] 对。
[06:00.390] 这个还支持眼睛邀请。
[06:02.690] 咱们对可以，这就是石墨灰的，从远处看来像黑的，一进来就是灰色的。
[06:07.990] 对，这颜色都挺好看的，挺耐看的，倒是对咱们这有现车都是刚到的。
[06:14.510] 而且像安全，还有一个就是从20万的车甚至到奔驰几百万全系标配，因为买车就车不安全配置在高性能带好，大家也不会选择他。
[06:23.250] 这就是奔驰的安全设计师的理念，对它就是设计什么，我让大家猜到每一辆车
[06:29.370] 不分高低配置分安全方面是一样的，我刚才这车也是跟奔驰S事件一个过场出来的，都是纯进口这条
[06:36.980] 原装的，然后像叫主动式自动辅助系统俗称的普通刹车，判断题是
[06:41.960] 比如说这是从车道我们行使，我们的车比前面那车快，
[06:46.120] 第一段在红在仪表上会有一个红色三角常量，证明在迅速接近人的。
[06:50.410] 第二个就离得更近，会语音报警，滴滴一直
[06:53.180] 最后就是驾驶员比如接打电话或者是走神了，没注意到，那我仅仅给他们踩刹车。
[06:57.930] 以前奔驰gl系的事情对现在全系都有了，包括倒车也可以触发这个功能。
[07:03.230] 对，而且奔驰就像您说那种叫梅赛德斯me，车里边会有一个让您提车之后会远程手机再给你下载一个
[07:10.450] APP软件，
[07:11.680] 车里就是在SOS，按键旁边会有一个M1的案件，可以真人客服的一对一对话，
[07:17.160] 这种车都在导航，咱们出去玩，比如说临时更改地点了，
[07:20.950] 不用说去手动输入什么的，
[07:22.960] 直接按通的告诉你想去哪给咱们下发到屏幕上，只需你点确定就行，根据同志跟奥迪那种
[07:30.070] 奥迪叫MMMI
[07:33.450] 对那是差点意思，没有舆论的直接对话，对宝马的也是对。
[07:39.910] 直接连家联系厂家真人这是。
[07:42.740] 然后向酒店预定机票预订都可以用它，您说功能宝马的话要买得您得花1万多钱买他的钥匙，远程控制。
[07:50.230] 对，他那就是一大水晶钥匙，还怕摔，
[07:52.820] 就可以远程控制车辆。
[07:54.310] 奔驰着就是在手机下APP，软件
[07:56.540] 是不是都有网点都能，车不是停在屏蔽信号的时候，你手机有信号没有距离限制，您去外地的车在北京，你不能控制它解锁锁车着车都行。
[08:05.090] 他着车多少着车的话，正常10分钟10分钟，对，而且正常的话假如说外部的话，您远程着车了，外部去拉车门拉不开的，
[08:16.110] 或者您离近了，因为车钥匙在跟前直接把车解锁的话，车子就这么气火了，
[08:21.000] 避免了假如说人家手机丢了会掉D让人开什么的，它是开不走的。
[08:26.560] 对要是不在里边他开不走了，其实这种药对您像简单的比如说车东西拉这边来拿个东西什么的比较方便。
[08:34.920] 好像冬天什么热比较好，可以对，先把放一着，一着之后车量了发动机热，他上车一开空调他就暖风了。
[08:42.280] 而且像
[08:44.690] 假如你把车借给朋友了，您能远程拿车拿手机看到这车具体在什么位置，
[08:49.460] 油箱里还有百分之多少的油，续航跑到多少公里可能。
[08:52.810] 然后包括他上一次着火跟咩车之间它这个车的
[08:56.090] 他怎么开的，就是百公里跑了多少油，极限加速最高跑到多少迈的速度都能查得到。
[09:02.990] 怎么说他是一般朋友开车的话，开别人车肯定不会少开，对这您能看得到这一次，后来第二次他就一直不开，我长心眼儿就不戒了，是不？
[09:14.140] 这两张总共有说明有两条，它是高功率，对299匹马里边足够，
[09:20.400] 这里头你这优惠完多少？
[09:22.780] 对，我拿单子给您算一下，行行。
[09:45.480] 不喝。
[09:46.820] 刚刚说
[09:48.800] 下班了，下班还是5:30。
[09:51.790] 就是说以后就没有了吗？
[09:54.920] 有人可以。
[09:57.500] 没问题。
[09:58.480] 开车的位置可以，就正常他们这些二线部门5:30下下什么是假的这些他们到底应该收钥匙了。
[10:05.690] 还是看车什么的，对，因为正常看车去聊的话，销售一般都六七点才走了。
[10:11.630] 明白了。
[10:14.070] 我们没有正常的上班时间，对。
[10:18.190] 听清楚。
[10:19.960] 王先生这边指标您的名字吗？不是我爱人。
[10:25.750] 这是给孩子换个车。
[10:27.970] 不是给他。
[10:30.580] 对。
[10:40.200] 不然他不想要AB
[10:41.970] 了吧？
[10:43.700] 这叫
[10:47.880] 没事您接您的。
[10:50.180] 我先给您算。
[10:51.340] 可以。
[11:43.320] 他楼上有个一标准的26元。
[11:47.070] 对顶头对，那时候多少人？
[11:50.200] 那个的话也是40多万。
[11:52.370] 我说40多万办完的话40多，但是比正常的标轴的比平常长投的要贵点，贵个四五万块钱。
[12:01.610] 对，因为它是纯进口的，40出去了。
