[00:00.200] 在三里边碳交易是吧？我觉得太压抑，
[00:04.280] 就对不对？幸福不让是吧？
[00:08.290] 我今天开蓝色
[00:49.250] 报价
[00:50.670] 的。
[00:54.390] 现在
[00:57.720] 多少？
[01:02.550] 5000是吧？
[01:03.870] 那是你好我知道你印象刚开开完会没事。
[01:09.710] 这一块的一一一个的，对我们俩都一块过来看明白，然后第一次来我们店了之前没有来过是吧？头一次
[01:21.070] 也没有打电话预约过是吧？先给您介绍一下咱们奔驰的服务公约，您看一下客户为遵义第三代城市经营话得体，
[01:28.970] 免费加工业透明票，只要进行公示就捆绑销售形式消费，这不是假贱一次，工号4008818接通电话，
[01:35.720] 同时奔驰金融也取消金融服务费贷款手续费了，您需要喝点什么？我们可以在市场自己在这采访。
[01:45.650] 看哪款车是吧？我是
[01:48.480] 我比较注意的，从四环车里头选一个是一然后GRECDAC它是中医的是
[01:57.430] C跟
[01:58.730] 不是A级轿车跟那gl B
[02:03.240] 明白。
[02:04.640] 这个都是上北京牌照是吧？
[02:06.510] 车看过了吗？车是展车开得很，您现在看完之后有什么问题？咱们说没什么问题，车门刚才跟前台那个姑娘
[02:16.760] 说今天
[02:18.140] 能就像TACT le，然后CP这尽管车今天都是试驾完之后，
[02:26.590] 一共安排是形式，然后我们也是
[02:29.890] 还有一个时间我就带着
[02:31.640] 我们这两个家庭的亲戚朋友，你有好多都想换奔驰车，明白，
[02:36.940] 都到了三国四行是不是？
[02:39.950] 对明白，但是您可能今天所有的车型均不能一次都是玩，因为我们店内有规定，每天可能一是一个车队，天只能使对，所以说
[02:51.590] 你就部门安排就开始有规定，对这一个号那行我们再有时间了再过来，行可以，你今天想吃哪款车给您安排试驾，就
[03:03.290] 先是
[03:04.700] 奔驰的第8页是吧？消咱们试驾车是12601.57 48伏电机的这块试驾车，没有二电器这块没有207，现在我们没有私家车，
[03:16.570] 1.5T48伏电机，对是1260。
[03:21.140] 他是小马拉车，没车也不算小马达，既然敢出的话，就是动力肯定没有20T的好，
[03:27.840] 但是在城区用也是够用的。
[03:30.530] 那过几天是不是
[03:32.590] 就是说咱们这个时点圈没有上20T的就买了有没有？
[03:38.960] 那是在他过几天会玩的人下车应该短时间之内不会上，因为我们刚刚把20T那台试驾车卖掉。
[03:45.830] 对他处理完了对。
[03:51.710] 这CS一是2.4米，ps10 20，P的120了是1260，
[03:57.420] 这样CR就行了。
[04:00.870] 一是1201.5T对不对的？
[04:06.600] 要不先是2.078角C是吧？我喜欢动力，您驾照带了吗？快乐您试试吧，我用一下您驾照给您办一下时间。
[04:18.390] 还有我搁车了，行行您去取一下，慢慢。
[04:24.650] 管在车上这句也不是很咱，现在就是说
[04:32.330] 我比较注意ETLE还有
[04:35.660] CPIC这4款车，煤块现在促销地带了，
[04:40.460] 您关注几款车价格区间跨度比较大，从25万到100万之间，
[04:47.500] 这快因为这几款车
[04:50.000] 价格您先看车型主要想您想预算控制在多少钱？
[04:54.320] 一般控制在150万150万一里，您为什么还买一个稍微更好一点，还是说是
[05:03.080] 有没有特别的需求或怎么着？
[05:05.700] 在您的范围太广了，我都不知道怎么给您去推向。
[05:10.480] 在这儿的话停车位太小不好形容，
[05:16.810] 停车位也比较狭窄，
[05:19.480] 您想买多大的就是多长或者GRE，还要看看看这里头顶着头上在大的方面你现在开什么，
[05:29.190] 现在就开个普通票去，哪款哪款，现在拍的上海大众的那款，
[05:36.670] 上汽大众斯柯达斯柯达，您现在开的车有什么不足吗？
[05:44.980] 刘什么不足，对你使用当中有什么不足，比如说空间小，由空间不大或者说配置低，
[05:53.010] 那个车已经是超过时间了，时间太长这一个问题就可能会出现故障，故障没有特别还真没有出现什么大毛病，
[06:05.310] 晓得就换轮胎，
[06:08.040] 换雨刷器，
[06:10.060] 换换电瓶，谢谢。
[06:13.050] 您除了考虑换奔驰，您别的品牌考虑吗？
[06:16.380] 别的？
[06:17.530] 别的也就分薄，反正是。
[06:20.590] 真的宝马就PPT级别BBA那两个品牌看了吗？没看也准备打算再看一下再定。
[06:30.190] 对都既然过来以后，咱们这个摆在这不就有分歧，重要的。
[06:36.600] 是不是没有保本，没有宝马只有两个品牌，今天可以一块都看一下，对看看咱们还得看看奥迪的对行打算讲什么话。
[06:48.590] 打算今年是下半年是吧？OK。
[06:53.280] 好好行，对年底之内开一个
[06:56.350] 促销的力度，哪个阶段哪个促销这一块我们都得到十一二月份
[07:04.730] 到年底
