[00:00.780] 主要接待朋友介绍客户。
[00:03.020] 王女士看车置换。
[00:05.670] 快
[00:09.990] 三
[00:13.920] 三
[00:32.890] 你好，王女士，我是朱佳，你在哪？
[00:39.000] 看见了在这里。
[00:46.160] 您好。
[00:47.220] 久等了，我刚才去挪车去了，莱州间很高兴为您服务请我。
[00:52.250] 我之前
[00:53.610] 好像是
[00:56.440] 买车的时候好像很
[01:00.140] 当时是那谁接待的？
[01:02.620] 忘了，但是好像你是他领导是不是？
[01:05.770] 每个人。
[01:06.360] 叫什么来着？我老公记到名字。
[01:08.410] 了，我怎么。
[01:09.480] 他叫什么来着？
[01:10.710] 车现在开了三年了是吗？对道就是还款快到期了是吧？好行。
[01:16.030] 再来看看别的车现在您开的什么车这是。
[01:19.160] 260。
[01:20.930] Lc还加C2的0，当时买的是短轴的是吧？
[01:25.260] 当时
[01:27.530] 我不知道。
[01:28.870] 好吧姐，这次想看看什么车？
[01:31.780] 是轿车还是SUV在大一号的是吗？
[01:35.190] 不要太大的不好停车。
[01:37.070] 一次还是您个人个人开是吧？
[01:39.350] 大概预算这次想控制多少钱，我帮您推荐一块。
[01:42.800] 先。
[01:43.900] 大家溜达溜达，看看哪个合适。
[01:48.670] 过来。
[01:51.990] 您好先生。
[01:54.040] 这次我来接待您。
[01:56.210] 不是说评估吗？
[01:58.100] 我先跟姐聊聊看看喜欢什么车，咱可以试驾一下。
[02:03.140] 你拿着原本的我拿着。
[02:06.580] 随便一下，这样我先叫一个师傅。
[02:09.440] 先看您的车。
[02:10.790] 然后咱们这边如果车里没有贵重物品的话，咱们去办是假手续，
[02:14.450] 可以不？
[02:15.410] 我去找一师傅稍等。
[02:19.040] 问。
[02:21.740] 开一个车。
[02:22.990] 开一个车角C。
[02:24.810] 贷款快到期了。
[02:27.870] 对。
[02:37.400] 车
[02:41.290] 这个车比我要。
[02:44.030] 差不多，这个是进口版gl也是没有加长的。
[02:48.050] 它的长度是一样的，大概都在4米7这块我。
[02:51.240] 看着我怎么觉得比我的长。
[02:53.320] 他就是有点刘备，所以你可能觉得长。
[02:55.880] 比我的长着，我不想要太长了。
[02:58.460] 这次还想换SUV，姐还是想来个轿车。
[03:02.050] 我没太想好了，因为
[03:04.490] 他那个是轿车，然后还
[03:07.820] 是不是还能来这个。
[03:08.920] 要不然再来个SUV，
[03:11.520] 家里一个轿车应该说正好。
[03:13.760] 你说什么就是。
[03:17.440] 卖车就是我们这个车他是有一点公里数，
[03:20.160] 然后作为媒体的试驾活动车没有上牌，只在场地里开过一家对。
[03:28.340] 而且这是我们评估师污泥，他给您看一下车。
[03:32.970] 咱们去看一下。
[03:34.290] 请咱看一眼去。
[03:49.160] 数据。
[03:50.030] 今天。
[03:53.750] 花姐您可以来个个性化一点。
[03:56.390] 是这样。
[03:57.930] 我老公说行，红红火火的放在后边也不是东西。
[04:04.590] 对空间还是有一点要求是吧？
[04:07.360] 别太也不要太什么，
[04:12.020] 好像跟水分太长了是吧？一次
[04:16.390] 也就不好听，然后
[04:19.200] 不想要那么大的时候，在那儿拍的时候还挺好的，但是其实有的时候
[04:24.640] 什么的找的地方都不重视。
[04:27.410] 是蓝色好好的。
[04:29.930] 要凶手基本上
[04:44.440] 每个月到7月结果。
[04:45.970] 11月10月。
[04:50.430] 怎么样开着？
[04:52.210] 还是挺好的。
[04:57.050] 没有上市。
[04:58.600] 那会儿买之前看说
[05:01.960] 很多毛病担心的，
[05:08.070] 当时选蓝色也不错，
[05:10.220] 不过现在比较喜欢蓝色，
[05:12.200] 但现在他还是我儿子给抓的号。
[05:22.240] 为
[05:33.760] 不就是服务公约吗？
[05:39.630] 一个微信支付
[05:42.410] 往前了一样就又
[05:44.900] 一会来让他填
[05:46.660] 了，便宜了就行了了，好吧对话。
[05:51.360] 139
[06:06.920] 你想你先把你那个车给标一下，省得到时候没飙车，昨天你没必要。
[06:13.880] 好了。
[06:15.640] 好了，拜拜。
[06:17.800] A
[06:19.600] 姐您这里边有没有贵重物品咱们先进去。
[06:22.250] 我行驶本给他是吗？对，行车给他就行了，驾照在你那是吧？
[06:27.220] 您有没有想喜欢的车咱试驾一下，咱别白来这一趟。
[06:31.670] 谁知是吧对家就在你那胡哥，我们先进去。
[06:39.020] 走下着雨，而且都是
[06:41.750] 今天要下雨完蛋了。
[06:49.920] 第二张。
[06:55.440] 我带您总体都先整体了解一下这边的车。
[06:58.460] 看看您这边比较喜欢的。
[07:00.220] 大概预算就该很快吗？
[07:03.990] 四五十万这块是吧？
[07:05.550] 刚才为什么给您推荐这个车，现在进口的运输百%呢？
[07:10.310] 长度也不是很长，
[07:11.960] 他就是有一些个性的。
[07:14.190] 有如说
[07:15.160] 这个车现在都是连瓶的设计两个问题。
[07:18.500] 我知道一之后
