[00:01.740] 给他送去。
[00:07.600] 该让你录就完了
[00:09.630] 了。
[00:10.580] 自己家的时候让我出去，前面过不去，要在一辈子
[00:14.240] 我不背了。
[00:15.650] 外边下。
[00:17.600] 宋先生哪位？因为。
[00:19.120] 选择光盘。
[00:20.770] 价格都是。
[00:29.910] 你好，是宋先生吗？对你好的。
[00:32.460] 稍等。
[00:34.200] 打得力奔驰销售冠军拍着我的名片是第一次来电不接我，第一次来之前电话里过吗？
[00:40.890] 没有，我说实话吗？我原来跟那些黄埔东那边。
[00:47.420] 今天。
[00:50.610] 家住这边他上班在我说家里现在。
[00:55.010] 情况不上班，我说这边那边约的也说了，韩总那边约束假了，没关系，那边可是他那边月对比他那边试驾，他说什么他不盖西下不了，我说不去了。
[01:08.530] 这离家也近。
[01:10.620] 行行，等于来咱们第一次来是吧？对同意咱们只有茶水，咖啡控制水有需要吗？宝贝不行。
[01:17.840] 行有效，您跟我说。
[01:20.080] 咱们看车之前咱们有个服务平台给您说一下，买车的过程中，咱们会以客户为尊，以礼相待，诚信经营合法。
[01:27.430] 明码标价，公开透明配套交通公式。
[01:30.630] 绝不恐怕销售强制消费绝不请假，了解普通号针对电话400881188，您看看哪款哥？
[01:37.770] 现在一个是260，一个300，
[01:41.320] 1W0 300 6200是1.5的吗？
[01:45.200] 300不是了。
[01:46.800] 对，408。
[01:49.510] 但是买一个二三看这两个都找不到，我就搞不明白1.5跟
[01:56.650] 2.0也是T吗？对P的他俩
[02:01.510] 有多大区别？
[02:03.680] 这么没说就是一个
[02:06.790] 一个正常百公里加速8.1秒，
[02:10.410] 一个百公里加速6.6秒，您现在开的什么车？
[02:14.110] 现在是
[02:15.480] 就5RQ5。
[02:18.940] 那车能开得怎么样？觉得还行，我开现在人家给我媳妇买，让他自己
[02:25.330] 网上给他买点是吧？预算在多少，哪个C级的，他又不太喜欢一个一点，我看见开始已经火了，
[02:34.020] 其实也是愣了吧唧的，
[02:37.450] 但是1.5T可能完全没问题。
[02:40.530] 没问题，对，而且也可以试驾。
[02:43.990] 是，我想试试2.20的。
[02:49.150] 对颜色有什么需求吗？
[02:51.490] 颜色天花。
