[00:01.160] 诸侯林立。
[00:12.880] 您好，是李女士吗？
[00:15.860] 你好笑，问你们家这我的名片看一下。
[00:19.880] 280。
[00:21.230] 200L是吧？
[00:22.580] 行，第一次来电吗？
[00:24.270] 之前电话联系过吗？
[00:26.590] 没有帮先生改过，我一直没先生来过是吧？行水有茶水他没事有什么需要吗？
[00:33.470] 现在暂时没有。
[00:34.900] 行。
[00:35.780] 咱们奔驰有一副空间，您说一下。
[00:38.990] 看车过程中会客户为根，以礼相待，重新内容合法主体明码标价，公开证明特点，其他轻工
[00:45.580] 绝不平板销售权设备，绝不是你在这一次充好，有一天电话40088188行那边是
[00:53.610] 看A级车之前看过是吧？
[00:56.420] 对咱们是上哪的牌照？
[00:58.690] 北京的是置换吗？
[01:02.010] 有指标是吧？对。
[01:04.550] 行，现在开到什么时候用的怎么样？
[01:07.490] 开头是什么时候什么？
[01:10.910] 帕萨特是吧？行。
[01:13.310] 等于在风go一下，对您谁给我们一块我。
[01:19.810] 那就看CA200 200了，咱们就拿这车来看，不是。
[01:28.570] 因为
[01:30.850] 180。
[01:32.080] 200和180的大小都是一样。
[01:35.850] 谁知什么鼠洞的用
[01:40.280] 对200OK电动的。
[01:43.310] 外包还是电动的，考虑下一什么颜色的，没有白色白色的是吧？
[01:49.370] 行，预算得多少钱？
[01:51.380] 之前看的是200那高配吗？
[01:53.540] E。
[01:55.930] 这180是吧？180有OK吗？
[01:59.440] 180的话，180这个就算是高配，但是他没有那种电动座椅子了。
[02:05.610] 你要是说买高配预算，如果说在合适的话还200配置要高一些。
[02:11.240] 预算多少钱？
[02:13.670] 20. 
[02:14.850] 20万左右。
[02:17.700] 20左右火车吗？
[02:19.980] 反正。
[02:20.850] 200优惠完了差不多21万多块钱。
[02:25.400] 考虑过城管还是公安？
[02:28.080] 那个人太多。
[02:29.110] 外观大小都一样，然后也都是全景天窗，差一个电动座椅，
[02:34.710] 这个皮子不是这种蓝色，那个是黑色的，
[02:38.670] 然后多了一个LED大灯，
[02:41.790] 多了一个64色的范围灯，
[02:44.700] 这是要更好看一些。
[02:46.470] 主要是多这些，然后发动机的功率要大一些。
[02:51.850] 不是玻璃。
[02:53.910] 你听。
[02:55.090] 对柏林墙的单选装。
[02:58.160] 选装多一点。
[03:00.200] 八千七八。
[03:02.260] 好像是8000块钱上线快，
[03:06.730] 别的怎么办？
[03:08.970] 你也得花那份钱。
[03:11.830] 他说沈阳这样的。
[03:14.020] 你现在后面。
[03:15.970] 谁知。
[03:17.980] 你要买东西做了，你看跟车走了，我有时候在进展了，阿姨
[03:22.940] 不能看一眼有没有在音响最多还可以比较。
[03:27.150] 要不要无所谓是吧？不能您看一下对。
[03:32.640] 考虑过形马上分期吗？
[03:34.940] 我说你因为指标我们的不是您的，那肯定就是全款的。
[03:41.330] 对，那没办法，这天是朋友的还是租的？
[03:46.170] 没有的，朋友其实也可以分析，因为现在分期也不需要您不能做什么，你不用他来
[03:52.610] 用您自己的名义去分析合理。
[03:54.690] 用户选择
[03:56.340] 教你要是说怕麻烦，张不开嘴咱就无所谓。
[04:00.480] 不用车时间打算在什么时候打算，什么时候买车，现在就买是吧？
[04:08.390] 太好了就。
[04:11.570] 过。
[04:16.310] 的
[04:20.790] 没有，您那说明在音响了其实在影响了并不合适太
[04:26.610] 价格高一点。
[04:27.870] 电车的话
[04:31.790] 这有这两天。
[04:34.430] 白色的是吧？
[04:40.220] 这边没那么
[04:49.650] 包佩在节能锅里的。
[04:54.950] 也刚才有白色的快到了，但现在还不是线图，
[05:01.270] 应该一个礼拜之内几天不会到来，
[05:04.870] 几天都动不了。
[05:08.090] 谁知不是您住的。
[05:12.030] 好，再加上他们
[05:14.930] 防守黄山是吧？首先是这样，奔驰哪怕说今天先车，我就说哪怕今天有现车，咱们只也是先订车，
[05:23.890] 然后您再提车，
[05:25.590] 订车提车最快的话一天就可以，有人之前明天提就行了。
[05:30.640] 但是您首先要看有没有现车，
[05:34.800] 您像您比如后边这三台车，如果说您定下来，
[05:39.000] 您基本上估计
[05:41.180] 白色的。
[05:42.460] 都是白色，对，然后有些灰色的和一个红色的视线格，如果您考虑的话，这两台是宣城。
[05:49.180] 灰色的好对吗？山脉灰还是挺的。
[05:51.400] 挺好的，白色的话那就等着被李天的事儿。
[05:55.770] 或者说有一个低配的。
[05:57.830] 不带氛围灯，不带电动座椅调节。
[06:00.870] 邮件说白了你说的太多了，
[06:03.210] 你还得高费你被介绍去，不是。
[06:06.130] 你要说我就认识浪费的，咱就不说这个低配，咱们就说哪个车有现车，哪个说没现车。
[06:12.620] 是吧？我看就这三天马上就半年看出来。
[06:16.270] 对，都是7月份生产的，6月份生产的都。
[06:19.050] 楼都是最新的，要几天？
[06:23.230] 应该是不出意外，5天之内一个礼拜之内就肯定会。
[06:29.200] 但是如果比如说遇上什么
[06:31.480] 生产商，
[06:35.340] 因为他已经下线了，就这个状态就是下线了，不就怕什么时候发运。
[06:40.260] 因为
[06:43.240] 优惠我还找。
[06:45.980] 您都了解了，我这边给您算一下。
[06:48.530] 按好吧，作为比较，您算一下1805片也挺好的，过不去的。
[06:54.770] 180对没说不好，你就像这个也可以一个高壁垒，又没有再高的了。
[07:00.280] 您这是最高的了，电动座椅的没有。
[07:04.050] 对，180的节目过去我去年买了。
[07:12.720] 1380。
[07:17.290] 对没有。
[07:19.400] 反正那个是楼，他们这种的
[07:22.600] 为首职业不是年轻的。
[07:25.940] 没出来过小学吗？
[07:28.060] 您AA生产支出就是联盟的。
[07:31.140] 180不在这买的，那肯定是C180。
[07:35.360] 只要是小平就是C。
[07:37.370] 对您这是AA，A180。
[07:41.940] 那就不要了。
[07:43.770] 没事180我买的我不知道是不是跟。
[07:47.250] 这个没关系，C210好像C180也好，它都是电动玻乙，但是您买的是AA是没有电通过与的。
[07:54.150] C1800，现在C180叫非200cm，对那个车也
[08:02.770] 可以白的
[08:07.530] 就好像他很快的快一点。
[08:10.200] 连平的不是连平都是分品，对多少钱？
[08:16.660] 没有白色的，现在有一条红的有。
[08:19.800] 祖母绿的。
[08:20.880] 那是算15,800。
[08:24.080] 315,800优惠完了，基本上在
[08:28.180] 20 25万上下。
[08:30.650] 25万咱展开，
[08:33.850] C肯定要比A贵。
[08:38.250] 如果飞的话，您考虑这红的性价比高一些。对。
[08:43.810] 要白的你就看着买A救行。
[08:47.030] 好吧，配置上还需要给您介绍一下吗？
[08:50.600] 基本上就那些东西对你这个音响怎么加，那么
[08:54.680] 因为那边才
[08:56.440] 你前生的您30多，他是这样，他。
[09:01.290] 行，我先给您算一下是吧？
[09:03.250] 他车一块消防车
[09:06.400] 是试驾的。
[09:11.960] 拍卖车。
[09:13.200] 而且。
[09:14.540] 存心的是吧？
[09:17.000] 因为心想这东西我没说话，确实是过得的。
[09:22.070] 这个是不太您看有没有公里数就知道。
[09:25.200] 我跟您这么说AA的话，对A的话买的是什么？买的是一个性价比，
[09:32.990] 一个音响，从厂家熊猫就发行7，这是一分钱不会多，一分钱不会少。
[09:38.370] 但是为什么他加5000就可以，是因为在音响的车不好卖，
[09:42.880] 人家不想说花大几千块钱去买这影响，所以说一般带音响车会出现库存车。
[09:48.890] 想不是吗？
[09:50.270] 这个怎么说人家有个不想家的价钱，他肯定他觉得不好卖，但一要有想要前期对。
[09:57.110] 咱们相对来说它不好卖，他会出现公厕，出现库存车的时候，我可能这个车就要比平常事多优惠。
[10:04.990] 隔三三四千块钱。
[10:06.710] 您想贵8000左右会有三四千。
[10:09.300] 加个四五千就能加上了，但实际上您是多花这么多钱是或者优惠要多一些。
[10:14.780] 我给你打张报价单好吧？
[10:19.700] 配置不需要介绍，咱们车辆旁边都有一个电子水牌，扫描二维码可以获得电子车书给您介绍一下就行，里边有7面墙会对比颜色。
[10:30.230] 这个车之前您试驾过吗？
[10:32.890] 没错行，如果有需要时价，咱们这也提供试乘试驾。
[10:37.920] 我直接给您算价。
[10:40.080] 稍等。
[10:41.110] 他们会上好吗？没事，没在上课。
[10:47.650] 你非要的音响就音响干吗？
