[00:00.310] 谢谢4号我跟你们出租房就大
[00:41.800] 网上了。
[00:43.280] 到了。
[00:44.640] 他们看到了。
[00:47.360] 了。
[00:49.750] 我没有这样是吧？那不是
[01:14.850] 然后你们销售我姓范，反正好事我明天
[01:18.770] 第一次来总店。
[01:20.250] 没有，我之前的车就之前在这买的车。
[01:23.660] 今天有跟店里的销售有联系了吗？
[01:27.390] 有流量点他应该不见了。
[01:29.140] 不再了是吧？行需要喝点什么，楼下有咖啡，谁知
[01:33.760] 我先看一下，
[01:35.130] 这个车是A
[01:36.610] A 35A了。
[01:37.750] 235。
[01:38.800] 这就属于AMD展区的车了，这种车是偏向于性能一些的驾驶乐趣为主。
[01:44.800] 我先把这服务公约给您读一下，
[01:47.640] 互为根，以礼相待，诚信经营、合法得体，明码标价、公开透明，配件渠道信息公社，
[01:53.770] 绝不捆绑销售强制消费，就是从角度教育中航
[01:57.690] 服务监督电话400881188，
[02:00.460] 喷吹了这个品牌第一个承诺做大夫，
[02:05.060] 您现在看怎么说车用的怎么样？
[02:08.510] C0，C260。
[02:12.050] 那车用的怎么样？
[02:13.620] 还行，已经有7年7年了，7要换了。
[02:18.780] 就把它置换了是吧？
[02:21.140] 过去了。
[02:22.420] 车型主要是您开吗？
[02:26.170] 动力方面有要求吗？所有的肌肉
[02:29.340] 差不多就行。
[02:30.620] 您这是哪年呢？
[02:35.280] 我就是买了7年，我想念。
[02:37.390] 年。
[02:38.020] 13年了。
[02:39.380] 差不多。
[02:40.380] 13年，反正你要说看这款车的话，这款车动力肯定要比那个好很多。
[02:45.760] 对，买的书都是400多个微信。
[02:50.880] 8级M
[02:53.250] 旅游的用AMD，其实分提到一个普通车公司的时候，研发去年主要用的代表
[03:01.160] 其他定义就是了。
[03:03.590] 后面第吗？试驾没有还可以，驾车今儿带。
[03:10.000] 这车主要是以操控性和动力。
[03:14.100] E有多少人？
[03:17.110] 严重的话就你说
[03:18.740] 您看您喜欢那种
[03:31.360] 预算这边大概定在多少？
[03:33.680] 50万左右，这是它外观颜色。
[03:37.650] 没有纯白的吗？有R1499纯白色蛋，买这种车很少要这种普通颜色都是买一些比如这种个性化定制的切。
[03:47.090] 这属于磨砂灰，不对王辉，
[03:50.510] 但这个颜色也要加钱的。
[03:52.380] 这颜色。
[03:54.160] 17,300是贾光辉，
[04:02.880] 它是奔驰旗下的一个子公司，他们之间的关系，
[04:07.340] 它是奔驰的改装
[04:09.750] 跟改装，那不算，奔驰对奔驰所有的车型的调笑都由AMD公司来做条线。
[04:17.510] 对那不算本事。
[04:19.650] 你还有别的推荐吗？如果我要买50万的话。
[04:22.650] 50万左右，您看您注重您车辆的哪方面舒适性、操控性还是动力？
[04:28.530] 说
[04:30.270] 不考虑CV的这样的车型，然后主要还是
[04:35.800] 舒适一点，那就是E级车，
[04:38.520] 奔驰的E那边有胆说你可以去看一看，
[04:57.550] 奔驰旗下有两个
[04:58.960] 公司，一个是梅赛德斯
[05:00.960] 奔驰迈巴赫，
[05:03.050] 上菜得不支持大概多少？
[05:07.400] 这就是一个平台。
[05:09.610] 这一三百了骑上马标配指导价165,800，
[05:15.950] 马上
[05:17.650] 有没有外面注意点污染的？
[05:20.890] Cs
[05:24.250] CS15倍水费都可以。
[05:27.540] 两门都喜欢吗？他有三
[05:30.100] 两门的。
[05:31.100] 叫什么？
[05:32.320] 这一储备也不错。
[05:39.570] 他
[05:40.930] 这属于
[05:42.280] 孟托系列的这叫啥？
[05:55.400] 这两个
[05:56.240] 后排的勇气，
[05:57.480] 后排把前排座椅放倒就可以了。
[06:00.240] 扣一下就是什么呢？
[06:29.530] 或者人家就一两个人用的话就买C口碑也非常不错，
[06:34.390] 性价比非常高，30多万。
[06:37.070] 也是两分吗？
[06:38.550] 对，比较快，这5个人基本上都50。
[06:43.250] 性价比也挺高。
[06:55.920] 这也是叫花椒。
[06:59.400] 他内饰做的没有这个想法。
[07:01.960] 你说显豪华，
[07:06.570] 泡脚零下1.61.5，T+48伏剑，
[07:09.640] 清火，
[07:11.050] 我琉璃应该是2.20的，
[07:15.360] 有2.0。
[07:16.900] 有一三百一3百，对那是65的。
[07:23.310] 没有现车。
[07:24.520] 买的人少。
[07:32.510] 那边有2.0
[07:33.860] 就是2.0届的。
[07:35.640] Cs对。
[07:49.130] 这就是4门轿跑车也是无边框。
[07:56.080] 看配置的话，你用
[07:58.410] 电车停三个车，
[08:05.270] 这个车在售的有这几款车型，咱们展厅板这块
[08:09.230] 动感型标配，
[08:11.250] 然后260是1.5T的，
[08:13.820] 20这样。
[08:18.210] 这是什么？
[08:20.400] 有多了这款车咱们都有现金优惠，而且您
[08:25.530] 您也重构，总会有额外的补贴的。
[08:29.840] 这下来咱们。
[08:31.800] 稍等我看一下。
[08:36.630] 感觉一下你
[08:37.580] 说。
[09:03.760] 研究课，
[09:04.610] 我说现在又拿582,800，
[09:09.910] 182,800，然后办齐的话大概645,000左右。
[09:15.640] 点。
[09:18.240] 一点
[09:47.870] 包括
[09:52.240] 参与
[09:53.950] 好几万三。
[09:56.030] 谁知
[09:58.180] 但是感到
[10:00.360] 第这产品行对国有银行
[10:05.270] 没发表过更有价值健康到这样吗？
[10:09.740] 我的行业
[10:13.420] 反正还是
[10:15.740] 还是
[10:17.950] 他有达标的，没有达标的。
[10:22.030] 运动的
[10:23.420] 特别目标
[10:25.140] 配置不高，
[10:26.770] 立交的就偏向于中它有大小。
[10:30.560] 对需要人气。
[10:33.490] 价格也合适。
[10:38.720] 但是
[10:39.520] 真的
[10:41.320] 这个是你要说不想要重视，你可以考虑那种大标准达标的，就是他木门都是黑色。
[10:49.070] 对她很好的。
[10:53.730] 这个空间确实大。
[11:10.290] 你大点，但是看那个上头
[11:31.990] 如果月都不考虑，
[11:34.030] 他想要越野家里有什么用，
[11:36.610] 拿着过来了。
[11:38.350] 材料
[11:41.120] 说了没你们
[11:42.850] 是不是和那种商用的
[11:45.640] 是交流。
[11:48.070] 我总人家100多万，
[11:50.950] 很年轻点的就是了。
[11:53.670] 然后小的而且我想要的产品，我记得去年我来看过有一款哪个型号的话，
[12:00.770] 还有大标不是的，
[12:04.120] 说我楼下是大头，
[12:07.860] 投标掉。
[12:23.470] 大
[12:35.980] 动力也好，操控也好，
[12:38.940] 下来多少钱
[12:40.660] 优惠了。
[12:44.270] 谁知
