[00:00.000] 交车客户挣钱。
[00:02.000] 不管了。
[00:09.870] 你打算人能听见，
[00:11.880] 你不干。
[00:18.850] 谁知
[00:19.770] 先看看看着了，我从楼上过来的，再见。
[00:33.330] 我们在这儿。
[00:34.090] 我就算我们二楼过来的，二楼我昨天
[00:37.140] 交流材料行了，
[00:39.710] 在今天办顺。
[00:43.080] 我们
[00:43.920] 没什么中间需要三个时间吗？不需要。
[00:48.550] 保险一会还我何去何从？
[00:51.680] 我那些全写哪个要哪个不要，你再开点药行吗？
[00:54.900] 什么？
[00:58.000] 电视我刚才跟我们经理说了，
[01:00.140] 从而找到解决。
[01:01.730] 我还没定，他们定员估计问题不大，
[01:05.670] 他得协调。
[01:07.800] 其实他也没多少钱不行，那就不退了可能是不是？
[01:11.220] 那不是钱的事。
[01:12.160] 对不对？退出不了。
[01:14.150] 因为它是集团统一采购的。
[01:16.760] 系统对系统。
[01:18.720] 谁知不会这么情况。
[01:24.610] 电视也是千万，
[01:26.650] 反正就2000块钱。
[01:29.460] 为什么我问你耳机，我们闺女
[01:32.170] 说要耳机在要，我们不要计较，
[01:38.540] 像你们年轻人都在外头玩的。
[01:42.160] 苹果这个是吧？
[01:43.880] 我说
[01:45.070] 方便。
[01:48.270] 你们都玩对，直接带着打电话也方便，这也贵，他们小2000的没多少。
[01:54.450] 1000多块钱。
[01:55.960] 千块钱。
[01:57.800] 苹果对中国的
[01:59.500] 华为为什么出来稍微有也有，但是做的不是苹果精致。
[02:04.130] 就叫苹果肉，对，反正那东西我也不知道，我没注意过
[02:10.300] 的他们这种
[02:12.270] 能那么多了，
[02:13.990] 收多少费？
[02:15.800] 我给你交点挣多少钱，
[02:17.560] 这么多肯定消费高，他肯定
[02:20.720] 就千万对。
[02:24.610] 不正是你得留着他们自己，
[02:27.460] 你如果真要孩子，
[02:30.750] 你都不他你们这些年轻人是挣多少花多少钱，
[02:34.700] 也不全是
[02:36.440] 花了2/3。
[02:39.490] 有点像怎么写。
[02:41.510] 我不行。
[02:42.400] 我那个年代
[02:43.680] 不一样。
[02:44.930] 谁知像我爸我妈那会儿出去办事这什么的，你现在不带点钱，总觉得
[02:51.240] 不踏实，带什么特别多，我们就是不踏实。
[02:54.080] 现在
[02:55.800] 我们都是刷信用卡提前消费，然后这道环节是没错是吧？
[03:03.700] 你让我们存钱存不住，但是我们钱消费在还款，这就存过来就
[03:07.710] 体现思想不一样。
[03:11.450] 喝点水，完了我去拿车去你先喝点水。
[03:14.790] 对，车已经开过来了。
[03:17.470] 我开车要是人家喝点水，我们做这没问题可以。
[04:38.800] 开一个
[04:46.180] 还有个车
[04:47.280] 场。
[04:52.310] 点。
[04:57.270] 场
[04:58.650] 花
[06:23.240] 第二条
[06:24.430] 还没弄，第二只一会儿
[06:26.540] 有时间给他附上。
[06:28.210] 前后边还有后备箱的，对没错。
[06:31.500] 弄好点。
[06:33.270] 他那就一首
[06:35.150] 一一个人看一眼，这说绿色我的没错。
[06:39.570] 再来看你。
[07:00.160] 你说。
[07:01.440] 你说到
[07:04.670] 但是除非还是看你面子，
[07:08.070] 还有不会干，
[07:09.900] 不用就干，不会。
[07:12.760] 不是办法，他说你把交了，
[07:15.300] 咱现在还得把标除掉，
[07:17.360] 然后做卫生先收拾一下，现在三他第一个
[07:22.860] 先看一下外观漆面，咱就虽然简单起了一下，
[07:26.370] 你现在彻底马文瀚北京城里了。
[07:30.220] 大概在走之前中午之前才能得到才能的可以，那么在看演出把上演机票东西，
[07:38.450] 第二，
[07:39.470] 咱们在车上谁知
[07:47.630] 下面
[07:51.250] 这个区域
[07:52.560] 哪个？
[07:54.670] 这个地方。
[07:55.780] 这个没错，他给我点。
[07:58.000] 这样交对把它交删除掉，这边盖多多什么。
[08:03.570] 这怎么跟有模式的，它的隐私玻璃
[08:07.270] 你自玻璃都有还没对吧被接。
[08:13.550] 模式有多少？结膜炎小时还有什么还？
[08:17.430] 还有。
[08:21.230] 他跟抹布一样。
[08:24.300] 不撕掉不带。
[08:25.960] 太了，在
[08:27.860] 面膜是为了安全跟防晒和怎么变，这个是一个你知道面膜对同时规模还得
[08:36.610] 谁知
[08:38.120] 您这验收完了，说对。
[08:41.120] 阳光下回来，对。
[08:43.320] 下次这事了，对之前没关系了。
[08:46.860] 对吧？
[08:50.130] 我开玩笑。
[08:52.210] 谁知。
[08:54.020] 了
[08:57.040] 了
[09:01.520] 说还得我过去找你。
[09:03.840] 对。
[09:04.880] 你同事过来。
[09:06.120] 你要不在了。
[09:07.190] 我不在这儿的话，
[09:11.200] 我给你安排个啥东西？
[09:13.000] 不就是他就专门有洗车的吗？我们比如说办卡，我没这个
[09:19.270] 咱们你们面子男孩不行了，那好意思老麻烦。
[09:23.880] 稍微二
[09:25.640] 200
[09:29.600] /2。
[09:34.800] 大气进入你这个号码了。
[09:38.050] 三4G不
[09:40.420] 没吗的以后没有了不哭了给我刷着。
[09:44.490] 这4张的太少。
[09:47.920] 要出去玩开。
[09:49.360] 就行了。
[09:50.570] 不是人家真是越野的，这车也不是人少，就这个车不得。
[09:56.990] 压。
[09:57.290] 俺吗就范儿。
[09:58.860] 鸭子就气氛。
[10:01.680] 这是一帮土豪的车。
[10:03.800] 之前不是过年那会儿说。
[10:06.300] 你们开始大气，因为不活这个没有这个是吧？
[10:10.160] 你这是
[10:36.470] 40~50，
[10:40.170] 这个得65~70
[10:42.700] 6，
[10:44.690] 在55~60这块，
[10:49.140] 这个是进口的250，这个是三四十五左右。
[11:19.920] 坐这儿。
[11:24.880] 快点我再送过来，不用我刚说完，完了还要干活。
[11:28.400] 刚开始回家。
[11:30.330] 我了。
[11:32.950] 这离财务
[11:36.110] 二楼清理。
[11:37.500] 对。
[12:29.120] 一进门
[12:52.000] 里边
[12:58.880] 怎么天上？
[13:00.270] 在车上。
[13:01.880] 穿着它打死了。
[13:04.040] 今天还没开车了。
[13:06.200] 没有，我准备开这车好。
[13:11.230] 临牌是同意了。
[13:14.270] 临床几天还是7天，现在是半个月。
[13:17.900] 对，至少半个月。
[13:19.970] 还是昨天晚上。
[13:23.870] 半个月咱们基本就搞定了。
[13:26.130] 了。
[13:27.360] 平时您先试试，我开电台方便，你就先开着再给您办一个平台，运输东西品牌是
[13:33.710] 都一样。
[13:35.160] 不一样。
[13:36.080] 各有各的好。
[13:37.730] 这样咱早早就要到
[13:41.950] 过两天在他们病情病毒在反复着不敢出来，趁着这两天还好点，
[13:49.130] 今天就能把什么给他更新了是吧？
[13:52.560] 置换成的。
[13:54.220] 过完户不是我知道电脑上
[13:57.570] 把这个过户给过户，你得过户，完了聊天我就不对了，我回来就过去
[14:03.480] 了，我回来就给你看看了，
[14:05.470] 时时刻刻给你揭露，当时也出不来得过个3~5天的是吧？不过没那么快，
[14:13.970] 我的任务就是三天后两天后每天给你进去看一下，
[14:27.730] 你之前就报废，
[14:29.660] 还有当时公司。
[14:31.160] 对。
[14:32.380] 上一次他的收入
[14:34.760] 他敌人往往他告诉说，
[14:36.840] 不要让这些管理谁知
[14:45.640] 大概
[14:46.840] 要是
[14:49.280] 就在这时
[14:53.190] 说
[15:07.040] 句
[15:23.210] 的
[15:43.770] 的
[15:47.060] 大。
[15:48.930] 他就是1000。
[15:51.510] 对，就怕的。
[15:53.430] 中午的时候。
[15:59.480] 然后这里
[16:01.530] 合作
[16:03.280] 的话
[16:29.200] 作业，
[16:30.170] 谁知
[16:33.150] 谁知
[16:39.080] 上
[16:51.970] 这边有。
[16:54.920] 你发挥没有包括
[16:57.430] 他没有管。
[16:59.250] 同样送给大家。
[17:01.240] 晚上
[17:03.130] 谁知
[17:07.430] 也
[17:15.640] 哪个选择要？
[17:16.820] 一样的。
[17:17.960] 他现在
[17:19.150] 他长得
[17:20.400] 有正常。
[17:24.230] 比如造想大
[17:26.460] 我玻璃涉水三方，
[17:29.630] 消费者的人员什么？
[17:31.300] 你先把全
[18:11.870] 大朱
[18:18.510] 还有你飞飞珏菲菲结账。
[18:42.830] 好，我再说传播点。
[18:46.920] 最后。
[18:47.970] 对，把那给我可以。
[18:52.190] 一
[18:53.970] 接触
[19:13.800] 人均两张身份证，
[19:15.130] 这都有，明天过后台词不见我开启。
[19:21.490] 过户那小孩你们认识的朋友。
[19:30.190] 为
[19:33.200] 为
[19:34.150] 你好。
[19:36.640] 是的。
[19:42.490] 你好。
[19:43.670] 内涵不要。
[19:47.160] 这个有点简单，不要讲
[19:52.620] 的。
[19:53.570] 第二乐章
[19:55.080] 有一种状况，
[20:02.470] 可以没问题。
[20:04.260] 有看哪个当时看哪个车我忘了。
[20:06.620] 发现了。
[20:08.510] 忘记了。
[20:10.120] 我当时看哪款停车看两个人。
[20:13.440] 第二方面，
[20:15.550] 这样的话他是给一个
[20:18.940] 对现在补贴。
[20:22.050] 6000 6000对下的办公椅评估，
[20:27.470] 天天对面评估报价就是成品了应该是。
[20:33.040] 那个实验车是什么？
[20:38.880] 你们验车
[20:40.020] 电车或者装的
[20:45.310] 双模式等一会车的
[20:48.470] 才能装，
[20:49.990] 应该会比高的稍微低一点，但是D盘太多，因为瓜子的话可能都是黑店，
[20:54.170] 高于市场行情的，并不是最后成交量。
[20:56.900] 先去练车炮楼，
[21:00.510] 然后还在装，对差不多。
[21:02.880] 玩儿。
[21:11.290] 不用直接打车过来行吗？马上过来，你给我先安排一下。
[21:17.660] 过头了，
[21:21.860] 对，6000给一个6000保险。
[21:27.080] 要说对什么？
[21:32.160] 据说
[21:37.750] 你在店里买车的话，他可以不给上保险吗？
[21:41.060] 上保险的话它就是
[21:43.640] 以保险形式返给你。
[21:51.600] 没错，您可以把车开过来给你分析看怎么合适。
[22:04.480] 咱们两句。
[22:06.590] 没问题。
[22:13.160] 行。
[22:18.090] 年前过年那会儿妈妈肯定不一样。
[22:23.830] 那样。
[22:25.800] 因为我们都是超过5分钟，谁知
[22:31.360] 他耳机
[22:33.090] 听在这。
[22:34.440] 说话是从哪儿？
[22:37.020] 好，这个话筒
[22:38.700] 就来耳机出来了，我知道对方听得清楚吗？能听懂很清楚，你这个苹果对苹果的昨天闺女说我是送一电视送耳机，我说没要，他说你问问是不是苹果，因为以前我用过气场不太好，不这个稳定，
[22:54.160] 有啥补充说什么华为手机我也有，但用着真不如苹果的稳定，
[23:00.030] 因为凭我一会儿对
[23:02.240] 我以前用就用这个苹果，
[23:05.180] 那时候什么舞什么6S都用，后来出来之后换了P20觉得还行，
[23:11.050] 因为一年之后感觉不是那么回事儿，他又换回苹果，有确实还系统之前东西还是不一样，
[23:16.930] 不服不行。
[23:18.710] 所以现在年轻人都人家不支持跟华明
[23:25.150] 不服不行，
[23:26.440] 他还得改进，要不然追不上队什么时候把苹果代替？
[23:33.560] 的
[23:37.870] 的
[26:15.280] 他现在车牌
[26:16.830] 出来以后还是往家里寄吗？
[26:20.030] 然后我装到那在
[26:22.070] 装的话您可以
[26:24.590] 是这样的，就是一拦车之后，他大概在一星期左右把车牌子寄过来，
[26:31.620] 但他的
[26:33.360] 寄过来之后没收到，
[26:36.030] 但是都在庐山收到文章收到，
[26:39.070] 到时候记住过，
[26:42.520] 咱女士上车牌再贴膜被没错，我是这意思。
[26:46.770] 把车牌带过来。
[26:48.530] 下面快做了。
[26:51.310] 了。
[26:52.180] 原定的
[26:55.360] 他们
[26:56.510] 下午咱们没有一块客户找你，
[26:59.030] 明天见两次吃饭玻璃下不来了，
[27:08.970] 这个是一个保费
[27:10.560] 容器，
[27:12.010] 看看哪个要哪个不要的话直接画叉就行，要的话留着。
[27:16.310] 行。
[27:19.170] 快点重要。
[27:22.390] 车锁。
[27:31.520] 你先把必须
[27:32.980] 还有必须要上，必须有的，他上面都有。
[27:38.510] 交强险的上
[27:53.630] 汽车。
[27:55.330] 对原来有。
[27:58.090] 完了还有
[27:59.530] 玻璃单独
[28:06.960] 道强险现在一般也没人上海。
[28:10.470] 盗抢您不是在有自己的
[28:13.030] 停车车库或者车位吗？
[28:15.320] 大院里边吗？
[28:16.600] 他公共的车位。
[28:20.340] 大院里边不是并不是路边的吗？对是不是？
[28:24.490] 是吧？在北京还是安全的，对。
[28:28.110] 道歉也应该差了。
[28:30.100] 但是玻璃或者华韩什么的，那东西就是一个
[28:34.480] 赌一个概率的白鹭。
[28:36.070] 对，有一个概率。
[28:41.390] 你这样盗强险差
[28:43.670] 密码就说到钱。
[28:46.670] 对了，好。
[28:52.670] 前面的东西。
[28:58.800] 车辆在使用。
[29:00.900] 就要的车上的出租车车用
[29:05.490] 发动快速攻击给
[29:09.530] 这个东西要都划分，
[29:15.200] 就完了，后边所谓的不计免赔一个单间是吧？对，您如果说选择前面的险种的话，就把住院费加上，对。
[29:24.960] 选上这个都加对吧？对。
[29:27.200] 12完了就没了，听到吗？这是
[29:32.430] 要
[29:34.450] 谁知。
[29:35.420] 原来那样的。
[29:38.240] 然后这个项目
[29:41.410] 行吗？
[29:43.650] 下面没用。
[29:44.940] 哪个加一减就是二元。
[29:49.450] 200块钱330。
[29:51.090] 200块钱就家园我就画画一个圈没问题。
[29:56.780] 我说
[29:58.000] 应该在
[30:00.000] 搞笑的。
[30:02.020] 对。
[30:04.780] 就把精品不要买，今天不要了，
[30:08.890] 就不要了。
[30:10.970] 盗窃。
[30:12.840] 到了
[30:15.790] 的。
[30:23.910] 10
[30:31.570] 后天，
[30:32.580] 机械不是，
