[00:00.000] 我们详细聊聊190，
[00:01.700] S90，
[00:02.980] V90也有友都有了那个事，问V60，我们这都开始铺开了，全都能卖了，所有车型都有了。
[00:11.280] 一起是吧？对好。
[00:15.320] 我觉得颜色。
[00:16.730] 这是单独的照单独的
[00:20.400] 叫板叫板，还有
[00:22.420] 这是用
[00:26.400] 这是要加假不假，就是您给打运动，
[00:30.550] 您在买外观什么的，他整个跟老板是不一样的，对吧？
[00:34.400] 现在坐到包括这是吧？
[00:37.970] 对。
[00:38.930] 主要没事不要身高。
[00:41.600] 这小事你能买到最大的教授再往高了，这波太大了，白色
[00:46.660] 开发了，我没有看到仓位已经过去了，这已经很大了，已经超5米了是。
[00:52.090] 这次不断的在这的即使为由比要稍微高，下次的车魏总其实跟他来说跟他比较没有EP
[01:00.530] 大体的车身都是不一样的，就是里边这还算高的车在轿车里面算高的，
[01:07.790] 现在好多车都没这高，因为他好多车都追求流线型的设计都越来越低了，
[01:13.740] 都不用。
[01:14.800] 我这么做正碰到
[01:19.100] 轿车基本上都得沟通太高了，就变成SUV这种扣了。
[01:26.170] 但SUV您身高你还得买个大型SUV，中型SUV能够来跌去，
[01:32.790] 然后就可以做一张你这么辛苦，我们身高无所谓，就是你有问题我们调养，
[01:39.660] 咱们这调整。
[01:41.540] 谁知
[01:42.720] 第二谁知
[01:45.300] 这是最低的方法，还可以这最低壮大浙江。
[01:48.720] 这里面首先他这个是哪个型号，后来490都是车身尺寸都是一样的。
[01:54.450] 然后这个都是在这里，这是精准的质地、运动、语音、手机型号、
[02:00.910] 外观和内饰就是装饰的不一样，
[02:05.180] 动力各方面配置都一样。
[02:07.380] 刚才老板的
[02:11.240] 这个变成拉丝的了，
[02:13.170] 要准备
[02:15.080] 本来要买豪华版的，
[02:17.060] 变成拉丝的外观，
[02:20.780] 特别喜欢。
[02:30.200] 场
[02:34.770] 要不然就往后躺。
[02:40.820] 高度正好。
[02:53.640] 你这山高您做啥都没劲。
[02:57.310] 你说这是北欧的，北欧人身高都挺高的，人老毛的超都设计的小人，外国人设计车都够用就成，不追求大空间任缩在里面开，连够用就成。
[03:08.290] 您看越是北欧的地区或英国地区，人越开小车，因为好停车，人追求的点跟咱中国人点的不一样，您知道吗？
[03:16.550] 这道理我也这么想，要不然为什么这个旅行车在国外卖的好，在中国卖得不好，
[03:22.430] 这是为什么？因为人家需要装更多的东西，但是对座椅的要宽度没什么要求，对于座椅的尺寸的要求，它不像中国人，我这又得搭得大得宽得高一，
[03:33.240] 需求点都不一样，你知道吧？
[03:36.700] 豪华的跟运动的除了内饰有差别，外观颜色、套件就是说白都是属于外观上的区别，
[03:45.490] 核心的都是一样的，配置都是一样的。
[03:48.460] 比较划算，空调也只能在里边条是吧？对，可以声音调节，都可以通过语音指令来调节。
[03:55.820] 很方便。
[03:58.110] 按小侄儿您那个屏幕中间一小侄儿。
[04:01.080] 按一下就可以摁一下就可以了，对就可以调节温度空调。
[04:07.340] 这是座椅加热，
[04:12.190] 常常想念身高要买，我还推荐你买个长一点的轿车，别买SUV，
[04:22.310] 买SUV，您这车只能就得往海了去了。
[04:30.920] 场
[04:44.880] 的
[04:45.970] 的
[04:47.350] 软件。
[04:50.630] 有了现在
[04:52.730] 这老板建还多呢。
[04:54.280] 前排的副驾座椅调节，天窗控制，包括全都能控制。
[05:07.760] 我坐这边我来这边，要不然您说话太吵，听不见。
[05:12.640] 不在路上了。
[05:13.700] 就可能过来。
[05:16.310] 他放假了过来了有点
[05:20.550] 谁知
[05:23.940] 反正这级别车bb品牌奥迪A6，
[05:27.460] 奔驰E宝马5系，
[05:29.830] 它性价比最高，
[05:31.070] 卧下比最高。
[05:36.450] 对。
[05:37.330] 您在这价位您这绝对是买到配置最好安全性最高的最环保的车。
[05:43.030] 新车
[05:44.740] 全新的比
[05:46.920] 刚停不到一个礼拜，
[05:48.860] 这就是新车味道非常大，因为它整个车内所有皮子
[05:52.720] 都是纯真皮，
[05:54.310] 所有的车内口环保回收率高达85%，
[05:57.520] 这就是新车，我们心中卧薪尝一下就以煤为主成了
[06:00.850] 有的买高配高配就有。
[06:09.550] 没有3万多块钱致远，
[06:12.770] 你买到志远就带就在前排坐垫的调节，后排后后风挡电动遮阳帘全都配齐了，就更加偏向于舒适性配置了。
[06:21.990] 音响更好一点，
[06:25.600] 但其实意义不是很大，基本上买这车都是my之一。
[06:30.290] 对。
