[00:00.800] 7月26号下午5:10接待
[00:03.910] 投资来店客户刘先生是吧？
[00:06.360] S刚才吗？
[00:09.850] 开场。
[00:10.520] 上。
[00:23.160] 等到什么样的一个人，
[00:24.790] 就一个先生，
[00:26.500] 当然长什么样还真不这么一跟他说there。
[00:30.020] 好的，我给打电话。
[01:01.590] 的
[01:10.410] 话
[01:19.480] 的
[01:27.140] 号
[01:55.430] 你好。
[01:56.380] 是刘先生吗？
[01:58.100] 还真的。
[01:59.580] 您好刘先生您明天谁知
[02:03.950] 咱们这边过来看什么车？
[02:05.990] 不想看，孩子是第一天。
[02:08.750] 这个M记大概什么意思，mg就是一个
[02:12.570] 属于特别挑战的一个
[02:14.430] 性能车，
[02:15.850] 属于是奔驰的一个性能车。
[02:19.350] 第一次来电吗？
[02:20.870] 哪个？
[02:21.800] 有没有属于销售有没有意愿过？
[02:26.090] 没有
[02:27.970] 了。
[02:29.960] 他在什么水平首发地块，开水茶炉。
[02:35.210] 看一下st车。
[02:40.200] 这叫。
[02:42.000] 轿跑GRC63叫好。
[02:48.720] 但是现在您之前给你宣读一下我们工具，
[02:55.420] 客户为尊以礼相待，诚信经营、合法得体，密码备战、公开透明，配件渠道有的信息控制、局部捆绑销售、强制消费，
[03:02.570] 也绝不使用脚架以次冲好监督电话，400818188有任何问题可以监督可以反馈。
[03:07.780] 考虑S车是您开吗？
[03:10.600] 你看这款车就是SS350的豪华版的，
[03:14.340] 返现多少钱？现在9090多万。
[03:18.310] 对，咱现在是分的是3S350的
[03:23.110] 动感和豪华是属于两个配置。
[03:26.040] 以往的S320已经取消了，
[03:30.960] 北京牌照外地牌照。
[03:32.920] 改进。
[03:34.060] 是置换吗？
[03:35.520] 现在您看到什么东西是怎么样？
[03:37.700] 我用的
[03:38.870] 奥迪是吧？有时间可以把这套开过来做个价格，然后我们置换还有置换补贴，这政策补贴挺高的，182的。
[03:47.500] 大概想什么时候用车？
[03:50.930] 争取
[03:52.180] 今年
[03:53.180] 今年是吧？我之前自我了解是吧？
[03:57.010] 不好意思，今天晚上吗？
[04:06.920] 我在这样子肯定带了。
[04:18.170] 干嘛？
[04:53.880] 你俩干嘛吃，一天到晚的报道不
[04:56.450] 大了，
[05:00.650] 谁可以买房子要的。
[05:05.230] 他。
[05:06.320] 打要不要？
[05:11.870] 行知道干点。
[05:15.460] 这不能报打电话。
[05:19.230] 作为
[05:23.110] 这车
