[00:01.050] 李逢川客户汪女士，评估接待员。
[00:05.920] 您好，王女士，评估师罗昂。
[00:09.250] 你好，这是我名片。
[00:12.800] 请您注意一下您车的行驶本车钥匙。
[00:16.350] 您车里没有贵重物品，啊
[00:22.830] 跟您介绍一下咱这边的评估流程，咱这边做一个静态评估和动态评估。
[00:28.130] 今天的先会给您做一个静态评估，时间大概20分钟左右，
[00:33.240] 到时候会给您一个报价。
[00:34.900] 咱那个报价三个公司是有效的。
[00:38.190] 到时候如果说您觉得价格合适过来交车的时候，呢
[00:41.600] 咱这边咱这边呢还要对您的车进行试驾。
[00:46.400] 你看好别人说今年市价格有什么需要注意的吗？
[00:49.640] 嗯
[00:51.250] 有个问题跟他验证了一下，没有车维修保养都是在4s店做的。
[00:55.700] 12。
[00:56.920] 就是
[00:58.410] 你好你好你好。
[01:06.920] 一分钟。
[01:07.840] 连读。
[01:11.690] 唉您坐这就行。
[01:13.560] 唉我要做一下，我等一下第三这里面的消息就是。
[01:17.470] 还有吗？有有有。嗯
[01:20.050] 原告到庭后。
[01:21.380] 后来他过来说。
[01:23.020] 下课的时候。
[01:30.120] 像这种电子的
[01:31.490] 我看觉得还是比较特别的
[01:34.120] 嗯不大愿意来
[01:36.240] 嗯
[01:42.520] 数据
[01:45.110] 数据数据
[02:02.830] 好。
[02:08.200] 坏数据。
[02:11.750] 我就不着急了。
[02:19.330] 坏数据。
[02:27.440] 数据
[02:29.630] 大海
[02:30.680] 那就是说
[02:36.390] 数据
[02:42.920] 嗯
[02:43.690] 叫我们走叫阿姨。
[02:51.000] 不能改变。
[02:54.760] 我了解你们。这个
[03:03.090] 唉呀我叫何
[03:04.600] 场。
[03:06.840] 上不了课。
[03:09.830] 嗯哼
[03:14.410] 然后往里面
[03:17.970] 棒子
[03:19.210] 的
[03:25.130] 到底是多少呢？
[03:26.450] 马上就出来了。
[04:03.200] 怎么样？
[04:04.510] 第二个，
[04:09.810] 不太可能。
[04:11.650] 如果有
[04:34.640] 噢
[04:53.710] 现在在那搞
[04:54.560] 东西帮我看一下，如果你要说哪个大爷走动一下，明白。
[04:59.540] 他把车开过去了。
[05:00.650] 嘛
[05:02.220] 对，但是把我们会输那个新车全免了。
[05:05.090] 停牌车我我让他上前台不就完了吗？
[05:08.060] 对
[05:11.730] 的。
[05:14.920] 就行了。
[05:16.740] 李鹏春客户评估接待完毕。
