[00:00.000] 既然我也吃饭，
[00:01.850] 打
[00:14.920] 花。
[00:18.700] 大
[00:24.600] 他们打电话。
[00:30.400] 数据。
[00:39.630] 吹火化。
[00:48.410] 刘先生吗？
[00:50.180] 了。
[00:51.460] 00139您好，您稍等开个工作卡。
[00:55.190] 交流。
[00:58.030] 是第一次来吗？您对有数亿的货预约的销售顾问吗？没有给您张我名片，我再销售给我留率由我来接待您有要看的车型吗咱们？
[01:07.930] 废弃的平板。
[01:09.330] 非礼对C女的话咱没有展车，我看看私家车也行。
[01:14.770] 咱自驾车也没有，您看咱们上一个反正也有改善。
[01:23.290] 台北。
[01:27.960] 因为咱们为什么都没有价格的就的选择，
[01:33.570] 我就这么想他平板。
[01:35.660] 这我知道明白吗？
[01:37.550] 就私家车的朋友说你要有的话不能安排去试驾了，这意思。
[01:42.510] 这个里面我给你拿钥匙去了。
[02:21.160] 18910181206。
[02:23.180] 10181011。
[03:00.960] 门给你打开了。
[03:06.250] 店里也就这一台车。
[03:08.050] 这个是多高的？
[03:09.720] 三高高1米44 1米4多一点。
[03:16.120] 对高度有要求，
[03:18.890] 因为我是选V90cc，包括。
[03:22.890] 还有或者是A6A6L的太贵，这三个就是我选。
[03:29.720] 这个看着就有些没有异议。
[03:33.040] 喝这么问您，咱一会找屋里有咖啡，茶水矿泉水，雪碧可乐什么的。
[03:38.320] 准备考虑旧车置换还指标购车。
[03:40.870] 置换。
[03:41.500] 按
[03:43.880] 现在就是260，
[03:46.160] 还有300。
[03:47.270] 3万没有车您的。
[03:48.900] 20.1.5T+D的。
[03:52.440] 好像什么。
[03:53.600] 对。
[03:54.260] 那个你就得问。
[03:55.940] 就是20T的
[03:57.710] 非300
[04:02.380] 三我给你看一眼。
[04:06.730] 那车没有优惠现在。
[04:08.800] 车得多少钱？
[04:12.200] 哪个38万多。
[04:19.440] 没有给我买一个300的话，
[04:22.090] 现在260旅行392,800，然后300是526,800，
[04:27.790] 但是300就是没优惠，
[04:29.590] 因为300没车定制。
[04:33.320] 操作
[04:34.610] 半年
[04:35.520] 的半年起得从德国
[04:37.650] 因为那个车卖的不多，所以说要客户不定的话，我们是不会进的。
[04:42.030] 要是1.5T的话，功率
[04:46.880] 现在还都是135，
[04:49.570] 功率100 184匹马力，
[04:52.730] 只能5
[04:54.420] 咱们正常功率260，我看其实贷款两分，
[04:58.460] 有一个好像才一公里才115，
[05:02.160] 那是200。
[05:03.300] 还得200对。
[05:05.330] 对很小的，290的话就九几倍。
