[00:00.270] 了，
[00:03.010] 你拿着系里头听一点。
[00:07.070] 这样。
[00:08.380] 现在白的是高吗？
[00:09.930] 我穿上了对还你不是要是四驱的吗？他本身排产期少就不慢。
[00:18.630] 我堂口器房屋的
[00:20.800] 现在还没排产还没轮到。
[00:23.210] 我之前不跟你说了。
[00:24.670] 出去的这时间太长了。
[00:26.750] 你好，可以给我们安排的销售介绍
[00:30.360] 来帮您做一登记。
[00:32.840] 您说电话接上吗？
[00:34.440] 9.0。
[00:35.880] 15801341234707是什么原因？
[00:42.530] 姓什么？余先生是8月份哪款车E或者C现在还没想好办好了。
[00:50.340] 场
[00:54.120] 好。
[00:56.120] 你先转着待会。
[01:02.870] 告诉计划员查一下。
[01:06.950] 给。
[01:17.160] 你好，李先生吗？
[01:24.720] 1381，稍等
[01:30.230] 一下。
[01:39.820] 要徐先生吗？
[01:42.310] 来吗？您有熟悉幺合约的销售顾问没有，您给您张我的名片，我在销售我留在我来接待您。
[01:49.990] 这是拍卖车厂家的一18年18年的车，现在现价就是什么？不带进派出所。
[01:57.590] 您上北京牌帐不带牌照。
[01:59.840] 新车。
[02:01.310] 您上星上北京牌照，这车就一口价535,700不商量。
[02:06.320] 原价是指导价600,700的，我以为是在北京牌照拍卖拍。
[02:12.950] 那是在法院拍卖，咱再见没事，我就说回去看他们看人挺多，我都认为就相当于那只是活动。
[02:19.500] 一个活动是吧？18年的车是吧？对到站到月份了。
[02:26.610] 行那就没什么了，我以为是了解一下聊一下现在一个车是吧？
[02:33.110] 别的不需要给您介绍了是吧？
[02:34.670] 行，到时候咱们嘴巴有水稻、咖啡、茶水、矿泉水得了之后随时联系。
[02:39.620] 保养，我看你有1C
[02:43.140] 但是我也想换
[02:44.760] GLCAMP的那款
[02:48.720] LC43。
[02:50.010] 43那个是多少？
[02:51.760] 3.0G的吗？320T的，3.0G的多少马力的？现在都300多。
[02:56.630] 300 300 340多。
[02:58.630] 那车是新的吗？新原来没有有C4就是出了一年多了，
[03:04.610] 上市已经一年多了。
[03:06.680] 原来没有
[03:07.780] 有41743，有63，有一个63S
[03:12.520] S43没有得定。
[03:14.360] 63S是多少钱？
[03:17.120] 对100 0.63 100多100。
[03:20.440] 我看43是59万多吗？
[03:23.980] 我刚在那船上看，对。
[03:27.170] 有一部分优惠以后，
[03:29.850] 他就跟这SE是一边大是吧？一边大就是AMD，系列性能会好一点。
[03:35.610] 刚才43它现在是658,800的指导价，
[03:40.090] 然后现在能优惠是2万，
[03:43.060] 优惠完了是638,800，只要这次3C43的旅行版为什么比普通C3轿车贵那么多？
[03:53.210] 贵了
[03:55.640] 60多万块钱。
[03:57.220] 6066161万，对一个61，一个
[04:02.070] 653,800。
[04:03.720] 为4万块钱，其实不是mg的是吧？只是有一个mg套件，
[04:08.360] 咱们常规配置
[04:12.210] 2.07的20T的。
[04:15.160] 我上去看看行，就在二楼，到时候您有什么需要您自个连线。
[04:21.730] 行，奔驰置换的时候有什么特殊的，每个车会额外有一些补贴？
[04:26.960] 比如说C8C的话，您要是普通车置换给4000块钱保险，你要是同品牌置换给7000C置换C
[04:35.750] 主要是奔驰置换奔驰的宣传，不管什么车，像一比如说DSE把这MC正常是6000，你要奔驰置换的话是9000，
[04:44.240] 额外多一点，一线是什么活动，一现在能用17万，
[04:48.150] 优惠7万，
[04:50.570] 一就太
[04:52.030] 看着你
[04:53.210] 赤红了这种恶意，
[04:55.360] 我不知道身边好多人都化成一了，我觉得越看越厉害，这好卖，所以还是好。
[05:04.390] 好的优惠7万，
[05:08.470] 一差不多40多万40多，要最低配的话都办完40，
[05:13.410] 一三百一三百都办完的话，大概43
[05:18.070] 到44优惠完，对全办完全办完，然后置换那车置换的
[05:24.570] 带笔了，
[05:25.880] 吊车钱就在底。
[05:30.830] 好吧，别的都不需要你介绍了是吧？然后明天会给之前有一个服务公约的先跟你先讲一下，现在是以客户为尊，你必将
[05:38.890] 诚信经营，合法得体，明码标价，公开透明，配件渠道清晰控制。
[05:42.750] 现在奔驰绝不捆绑销售，强制性消费，也不会使用假件衣服中有厂家的电动电话，4008181804是监督，
[05:50.410] 明天会给您打一个回访，您看短信电话电子邮件哪个方便？
[05:55.280] 短信什么？
[05:56.840] 电话都写都行，时间您看上午还是下午方便，上午下午行，就到时候您有什么需要您随时联系，对我有车我到时找，你好，您一会感谢您光临慢点。
[06:08.360] 后面就了解一下拍卖车。
[06:10.530] 别的不需要介绍了。
[06:12.400] 正常的
[06:14.410] 商店吗？
[06:16.190] 接到客户都这么快，
[06:19.590] 你妈5分钟都没有，真什么水的客户都
[06:24.310] 就问拍卖车是什么意思？
[06:26.240] 你没事带经常说你是怎么介绍的。
[06:29.390] 我就说前头比较长时候，一你要18年的车，
[06:33.120] 现在就行。
[06:39.760] 羊毛裳。
[06:48.030] 有合力把放在自己的
[06:53.030] 真水完成的什么？
[06:57.700] 太小了。
[07:00.880] 对了。
[07:04.460] 我给你转会，让春晓把你收排队都排着了。
[07:12.400] 你们那活怎么办？
