[00:00.840] 接车，
[00:05.740] 车把车里面贵重东西拿走，值钱的什么的就
[00:09.650] 钥匙留给你，还有别的东西，对，你把车钥匙留给我，其他贵重东西拿走就行了。
[00:15.840] 眼睛没什么贵重的，把前头贵重拿走就行。
[00:20.950] 我看我这
[00:22.630] 数据了。
[00:24.450] 有点全权。
[01:04.670] 银行
[01:09.270] 倒是不太明白吗？没在我这儿。
[01:14.080] 那也没在我这。
[01:15.750] 你最后做完是我这都没事了。
[01:18.950] 你看在不在财务？
[01:23.250] 那不对，钥匙没在我。
[01:34.410] 不是我说我车出来你没空洗了，我给你洗。
[01:56.970] 你把车钥匙给我。
[03:06.260] 这款车现在家用的比较多是吧？对这车都是家用的。
[03:14.210] 然后买了以后，
[03:16.720] 一个朋友都买这个车了，
[03:20.360] 都买了这车是吧？他买的比我那哥们儿零款和我这个样子还有点不一样。
[03:26.120] 新款的是吗？对新款的。
[03:30.180] 跟前脸不一样。
[03:35.490] 像塑料件像麻面了，这都是修不了的。
[03:41.790] 还有
[03:43.330] 还有这边麻面的见像这马面的件都修不了的。
[03:47.400] 这种东西你们店里我直接就算上，那没必要您花钱换一个，
[03:52.890] 他又不是那什么的，
[03:59.480] 还风险的好多是唯一的，想休那就休那走吧，走就简单问您规定场区招待所
[05:01.300] 要
[05:08.420] 的
[05:22.520] 二
[05:24.410] 的。
[05:30.990] 的
[05:37.280] 的
[05:39.010] 这句话
[05:41.630] 的
[05:42.790] 场
[05:44.270] 的
[05:47.070] 数据
[05:51.870] 场
[05:52.820] 的
[06:11.630] 数据。
[06:14.840] 的
[06:23.360] 的
[06:24.490] 的
[06:28.090] 的
[06:33.050] 数据。
[06:39.750] 了
[06:50.000] 稍等会儿，我也给打。
[06:58.140] 当天洗出去了。
[07:00.040] 我给你洗出去了。
[07:08.960] 三
[07:47.910] 像这种情况，今年还有一次划痕的话，
[07:52.080] 没有划痕了，今天在维修怎么处理？
[07:56.740] 您在。
[07:57.660] 如果说有的话小划痕就不要修了，然后如果说要有大的网商的话，走车损就行了，就是走暗了。
[08:04.720] 拿这个给你一个后果，保险不报销就行。
[08:08.280] 然后他拿就后边的定损中心，
[08:11.200] 我还得对你去订了你那银行卡带着了吗？对你到时候给他，然后让他给你办一下。
[08:17.750] 逮捕显示就行，再给你赚钱，不是把这个送去，你现在就行，死亡你只要找到委托就行了，你在干嘛？
[08:25.850] 我们看全国都有，那完了结果出去走就行了，回头好没事发微信看看。
[09:01.160] 分期的时间大约是三四天。
[09:03.660] 对，如果能提前修好了，我给你打电话。
[09:06.160] 给
[09:07.720] 拿下您的身份证，我的驾驶证我对一些信息。
[09:16.510] 你身份证或者驾驶证不行。
[09:19.270] 不行你来这边我对一下核对一下你的送休息。
[09:51.620] 电话是186128612143是吧？
[09:55.730] 对。
[10:22.480] 继而一大的
[10:25.000] 月月那不太清楚，你到时候看一下前台他那个标签。
[10:30.760] 对咱销售这边上面的一个。
[10:36.910] 的一个大会。
[10:44.760] 数据
[10:46.770] 用不了吧？
[10:52.630] 你们有过电话吗？给我微信到有什么事给我打电话，发微信都行，这是取得。
[10:57.710] 然后我电话有什么事我打电话，我吃点饭在这我就不吃了，
[11:03.170] 可以报销30块钱的打车费，到时候您给我出租车票就行。
[11:07.990] 出租车票好吧？
[11:10.680] B不行滴不行，滴滴上你可以选择是出租车，只要是选择出租车就可以，好吧？
[11:21.580] 行了，可以给我show，对随你我发给你吗？不用您到来了，直接把车票给我就行了。
[11:30.000] 行手续就办完了，直接走就行了。
[11:32.360] 这次节省三四天，今天是第三，你从明天算明天上提前出来，我给你打电话，对提前出来我给你打电话行。
[11:44.550] 你答应该信，然后
[11:46.660] 看着不是小沙发行没问题，我让她全程您曝光好吧？
[11:58.940] 好谢谢没事慢点。
[12:02.840] 来
[12:08.350] 大概高尚。
