[00:00.600] 对7月17底说客户评估接待员，
[00:06.450] 你怎么知道是宏观的？
[00:08.690] 你怎么知道是官员呢？
[00:12.990] 有人打过电话吗？
[00:14.920] 销售不跟我说的吗？
[00:18.050] 估计是不是您公司跟销售说的？
[00:20.610] 我要怎么称呼您，我姓张张先弓长张。
[00:29.220] 什么还有要签字吗？
[00:31.400] 对，有您
[00:33.050] 沙发的时候做会，我开车又过来找您好。
[00:44.720] 走
[00:45.720] 对外
[02:02.800] 出口张逸皇冠，
[02:40.440] 维修保养都是4S店做的。
[02:42.580] 发现
[02:43.470] 换一想法，
[02:45.770] 只有一次是存在次。
[02:48.000] 咱一样的，
[02:49.290] 从头到尾都高兴。
[03:17.800] 这叫什么？
[03:19.010] 小胖手痛。
[03:25.110] 还行。
[03:26.850] 无所谓。
[03:27.800] 无所谓。
[03:30.050] 我也觉得无所谓。
[05:17.840] 是不是？我给他开的。
[05:19.320] 一直就离开是吧？
[05:22.910] 我们这全是因为
[05:24.050] 这个车是在媳妇开，老板的媳妇几乎没怎么开，后边这两年我才跟他开着开，
[05:30.380] 具体收房也都知道。
[05:33.800] 所以我了。
[07:59.560] 公证书里拍了吗？
[08:54.080] 一会会给您一个报价。
[08:55.960] 我这没事了是吧？对您没事的，您看是还找销售。
[09:00.840] 也不找了，你
[09:02.560] 你告诉销售任何让他给我回个电话大概多少钱？
[09:05.670] 他说多久能报个价？
[09:07.200] 半年到40分钟，行行。
[09:10.020] 先走了，疼等等我票号，
[09:13.780] 正好我一会出去，
[09:16.830] 我说我看完了那就行。
[09:21.750] 到这个月
[09:24.790] 我让他前行，
[09:25.960] 门口那辆出租车上就行。
[09:29.640] 你好评估师住房，这是我的名片。
[09:33.560] 北京出院一车的停车把车钥匙，
[09:37.160] 车里没有贵重物品了。
[09:41.310] 跟您介绍一下。
[09:42.490] 这边的评估流程，咱这边会有一个静态评估和动态评估。
[09:47.160] 今天先会给您做一个静态评估，时间大概20分钟左右，
[09:52.160] 到时候会给您个报价，咱报价三个工作日有效。
[09:57.730] 到时候如果说您过来交车时候，咱这边和自行车进行试驾，
[10:03.190] 您看我对车进行试驾的时候有没有需要注意？
[10:09.040] 有个问题跟您验证一下，您这车维修保养都是在4S店，
[10:16.930] 我把你
[10:17.960] 然后这个月的
[10:20.210] 然后我就
[10:22.760] 等等。
[10:24.010] 远。
[10:27.350] 花
[10:28.710] 场。
[10:31.960] 的
[10:54.000] 场
[10:58.690] 坏
[11:00.030] 的。
[11:04.720] 的
[11:10.690] 场。
[11:21.770] 二
[11:24.320] 6
[11:56.560] 五。
[11:58.790] 照片、
[12:01.370] 场
[12:08.680] 五。
[12:19.990] 场
[12:28.350] 要
[12:30.710] 场。
[12:33.950] 五
[12:35.650] 场。
[12:38.800] 场。
[12:43.970] 场
[12:46.530] 数据
[12:53.410] 花、
[12:54.890] 花、
[13:01.130] 场、
[13:22.280] 花
[13:23.200] 坏数据。
[13:26.890] 花
[13:29.590] 五。
[13:32.720] 的。
[13:35.990] 场。
[13:37.180] 坏。
[13:40.760] 的
[13:44.240] 远。
[13:45.440] 现场
[13:51.150] 的。
[14:05.400] 坏。
[14:06.130] 的。
[14:13.000] 坏
[14:16.510] 数据。
[14:35.310] 的。
[14:36.770] 场。
[14:43.560] 场。
[14:50.440] 的。
[14:51.990] 的
[14:57.710] 电动。
[15:01.770] 场
[15:05.550] 的。
[15:07.600] 的。
[15:23.030] 五
[15:25.320] 数据
[15:31.120] 数据
[15:32.680] 场。
[15:36.040] 比如说客户评估阶段完毕。
