[00:01.130] 您车搁哪了？
[00:04.160] 三
[00:07.410] 7月21董鹏程客户评估接待
[00:16.410] 的
[00:53.350] 您的车钥匙和行驶本
[01:14.600] 车里没有贵重物品。
[01:16.580] 没有吧？
[01:18.660] 我们要离开这车是什么不？
[01:25.310] 慢慢来您看车那谢谢您。
[01:34.830] 您13年到16年中投过了回沪吗？
[01:38.880] 就我自己过的。
[01:40.420] 换号换车牌号都是自己过，也都是北京车是吧？第一手13年也都是北京牌照。
[01:46.170] 维修保养都是在4S店，
[01:49.250] 基本都是
[02:01.990] 然后
[02:02.840] 他那张刹车盘10万元，
[02:05.200] 然后研究内容包括
[02:10.350] 房间
[02:11.610] 换了我放在这里满足谁知
[02:16.880] 刹车盘也都能听到了。
[02:19.440] 我OK
[02:22.530] 然后这座桥因为现在
[02:39.470] 而且80个月6个月
[02:40.680] 以上。
[02:41.340] 对。
[02:43.210] 现在也是有财政的
[02:44.720] 工作，
[02:45.720] 然后反正收到直接开讲，
[02:54.570] 但是大家知道情况，
[03:03.450] 我说现在
[03:04.610] 应该说是一结婚就完了，
[03:07.890] 再加上这不对。
[03:10.650] 没关系。
[03:12.890] 哪个行了，但是严重王菲
[07:28.420] 前天梦这一车得测一下。
[07:32.320] 算了。
[09:48.970] 27万多公里。
[10:50.800] 能看看。
[10:51.710] 可以等等。
[11:53.000] 可以了。
[11:59.040] 行没问题，那就付个停车马去做，不停马上走就行了。
[12:02.740] 时候再您讲了。
[12:04.320] 把
[12:06.150] 两时间到了，
[12:22.240] 我是照着又添没到手，都一样。
[12:26.610] 您好，魏女士，评估师陆王，这是我市邻县。
[12:30.760] 您好，请您出单一车的行驶本车钥匙，
[12:34.430] 车里没有贵重物品的。
[12:38.710] 跟您介绍一下咱这边的评估流程，咱这边会有一个静态评估和动态评估。
[12:44.810] 今天先后给您做一个静态评估，时间大概20分钟左右，
[12:49.590] 到时候会给您一个报价。
[12:52.090] 咱报价三个工作日有效。
[12:55.550] 到时候如果说您觉得价格合适过来交车时候，咱这边还会对您车子进行试驾。
[13:02.180] 您看我对于车进行试驾的时候有什么需要注意的吗？
[13:07.290] 有个问题跟您验证一下，您这车维修保养都是在4S店做的。
[14:22.480] 然后过油加热吃醋是吗？
[15:24.710] 没有，刚让我过去
[15:27.200] 看一眼他做的那么有什么
[15:29.400] 划痕什么的，我以为是波音列的，不是有点什么痕迹，无所谓。
[15:34.360] 相位上红妆客户评估接待完毕。
[15:38.250] 票。
