[00:00.290] 24尽量。
[00:01.790] 二哥。
[00:03.060] 喝点什么吗？你倒杯水。
[00:05.630] 我发布水开车感觉怎么样？
[00:07.680] 还行。
[00:09.430] 别的车看开不好，我怎么你们看后期
[00:13.720] 比较明显看了，没看出来你看。
[00:17.650] 可能是这一点。
[00:19.560] 10天之内我想静一下来进行确定咱们怎么聊，咱们今天正好有活动，要是觉得合适的话，可以考虑今年咱们这个车，对，但是主要就怕您其他车型的话，就是说还是想不想再了解一下什么东西。
[00:33.130] 像您说的可能确实品牌的话不如PPA但是整体的话像您整体驾驶感受其实开起来
[00:40.150] 如果不说这车是什么品牌的话，
[00:42.760] 驾驶感受其实是一样。
[00:44.850] 但可能像我跟您之前说的沃尔沃的话，它主要就是
[00:48.710] 能做到有我的他们这块。
[00:53.710] 可是还是离开有什么我觉得
[00:58.090] 环保。
[00:59.310] 对科学。
[01:03.490] 这是这种是吧？对。
[01:06.410] 这是老大还是什么？
[01:08.290] 分享一下。
[01:12.170] 所以他说平常毕竟
[01:15.270] 组织大家出去网上
[01:17.640] 计划看看，大家都了
[01:21.920] 我们的
[01:23.540] 他聊天为这里面的填充物，包括环境去看一下他这些
[01:30.090] 它都是植物纤维为的什么，
[01:32.320] 所以才会跟他会发生一些价钱的开始。
[01:38.350] 以前这个车如果你要说
[01:40.440] 要一那种话不是这么直接都不怕了。
[01:44.050] 上次跟我说不就吗？
[01:48.120] 没事吧？
[01:49.520] 我给您那个单子难看。
[01:51.150] 你哥上次给我列过了，灭了吗？你就建了460。
[01:56.080] 我给你们算一下，咱们今天的话在那个基础上的话还是有一些
[02:00.950] 其他的优惠。
[02:03.850] 是吗？
[02:06.290] 有什么？
[02:09.510] 我说
[02:10.800] 您做这个我给您列个代码，
[02:14.320] 来看看怎么样。
[02:16.330] 还有你看我咱做点对吧？
[02:31.590] 我去拿单子，
[02:41.400] 我前面车辆设计的，
[02:48.090] 我元宝也开除了，
[02:51.130] 太多了。
[02:52.160] 我愿意用我办什么？
[02:55.930] 张。
[02:57.230] 的。
[03:07.670] 两这几天是把。
[03:09.320] 可是我确定是没。
[03:14.310] 没有肯定还是买S90如果万。
[03:18.060] 但是现在没算没确定好，就是说具体什么车型。
[03:22.730] 就这样的。
[03:24.770] 然后我就上次跟你聊了吗？
[03:27.350] 我那辆车9月6号保险到期，
[03:30.040] 就想赶在96号之前，因为要不然你就得买保险。
[03:38.470] 那是哪年的？11年12年。
[03:40.500] 12年第二。
[03:42.450] 好，一会让他给您看一下。
[03:46.680] 公益出场才14万吨。
[03:51.730] 主要家用。
[03:55.720] 上次给您算过一次是吧？
[03:58.280] 对，但是今天的话在上面基础有优惠。
[04:02.350] 今天能多优惠1万块钱。
[04:04.430] 现在就是156,000。
[04:23.290] 97。
[04:24.340] 保险的话12,000左右。
[04:36.620] 58万亿。
[04:40.360] 这就是程款581,000，首付的话，目前贷款手用不用贷款？
[04:46.650] 我就叫存款。
[04:49.360] 因为贷款比如你这么多钱，你肯定多花钱。
[04:54.120] 多花多。
[04:55.090] 一个6000手续费。
[04:56.820] 但是待了20多万，两年的话。
[04:59.840] 以理解成利息是6000，我觉得也还算可以。
[05:04.290] 你像52万的车，60%相当于贷款40%贷了21。
[05:08.840] 21万。
[05:10.380] 两年是6000或者212,000 6000。
[05:14.770] 对31年一年3000，所以21。
[05:22.920] 一点几是吧？对很合适的。
[05:36.920] 价格肯定没什么
[05:38.100] 问题。
