[00:00.000] 鸭这块的话都得掂量一下。
[00:02.890] 这两天车晕了已经对吗？
[00:06.500] 一会还得给您打个电话，咱问问前台是在这边，我最好再帮您，一会儿我接待完了，报完价您看看，因为我看他们备注咱们这次
[00:16.910] 6万公里了
[00:18.840] 了。
[00:19.900] 怎么了？
[00:20.800] 我说是6万公里了，该还便当游了。
[00:24.560] 电算牛我还没啥记录，我先验验车，到时候回来我在查保险记录，再给您看一个6万公里是一大保养，不知道之前有没有做过。
[00:32.090] 我跟别墅好有印象弄过是吗？
[00:35.600] 知道我坏了，咱们中介的我也那个行没事。
[00:39.730] 不着急，一会我先简单看个车，一会咱进去再聊，胎压报警，对。
[00:45.190] 变了吗？
[00:46.390] 没事，我的工号你把黄的什么重新启动给我。
[00:52.220] 调一下。
[00:55.360] 到这。
[00:56.200] 这什么意思？大家报警我猜吗？
[00:59.210] 没问题，这个
[01:01.970] 上回拍没拍什么的查了吐了吐了这下完了下不去我就想问您补胎没有补过就行了。
[01:09.670] 这就没了。
[01:12.720] 我就没了。
[01:16.060] A3没事不就告诉你该保养吗？
[01:20.400] 三是告诉保养是吗？没问题。
[01:24.480] 现在跑了60,583了，
[01:27.830] 车大概4分之有，
[01:32.360] 开始不去没啥。
[01:34.100] 是吗？
[01:34.920] 没事风挡有伤。
[01:39.350] 玻璃我记得太热，我不想换等那差量量在这列的还挺我听懂衣服。
[01:48.150] 了一会儿，
[01:49.440] 你说这个东西也没那啥，
[01:52.870] 没什么事，应该试着背。
[01:55.200] 也没特别碰了，不开了。
[01:59.130] 旁边说简易直走，天下亦博自己
[02:02.000] 小孩这么一大罐，
[02:03.450] 哪怕生意桃红色，动手都有可能。
[02:06.370] 因为播这种东西它本来就是一个曲面，它本来就吃着劲，
[02:10.700] 它是一个曲面，
[02:12.050] 你有光头你拿锤子砸他不去，污水是新加的，没事没关系。
[02:17.360] 过去
[02:18.520] 这属于
[02:19.970] 了对。
[02:22.040] 前边散热器水箱上次经历过一次，在别的地儿，这还估计这块包场不说，还得再休一会。
[02:29.450] 这冷了，但时间长了就不算热。
[02:33.540] 他通过就靠它分热，
[02:36.870] 也不算热，水温一高里边容易就坏，
[02:41.370] 水报水温流速的坏，
[02:47.400] 乐坏那一个
[02:50.470] 刹车片应该都没事，轮胎就是列小手了。
[02:56.590] 他挺厚的。
[02:57.920] 没事，刹车片我看了没事。
[03:00.390] 轮胎
[03:02.510] 开博也平了，
[03:05.950] 轮胎也得建议更换了，
[03:07.680] 开门摸得也比较平了。
[03:09.410] 现在说现在开始看看行，反正这个也该纳入考虑范围了。
[03:14.940] 他一是老伴儿是磨的平台了，
[03:18.100] 后台应该后台好一些，觉得后台没有前台姥姥具有。
[03:27.690] 行，给您所说护理，咱细聊聊保养完牌车。
[03:33.730] 然后您有意向换的是什么东西吗？比如说是做保养去了，上回外边。
[03:40.900] 我觉得他的
[03:42.540] 就忘了，
[03:43.340] 家家家里人严重了。
[03:49.100] 行，那里边我工位稍坐一下，我先给您
[03:58.600] 我先给您看看咱们的记录，
[04:00.880] 咱们再说好吧？
[04:03.710] 三
[04:05.550] 这聊
[04:08.600] 玩。
[04:09.800] 就自己找车去。
[04:17.380] 洗车场
[04:26.770] 远
[04:28.570] 数据
[04:30.930] 场。
[04:35.170] 五
[04:36.450] 的
[04:39.680] 数据
[04:40.910] 的。
[04:43.510] 您好，刘女士，您驾照或身份证带着。
[04:49.160] 对，有意义就行，哪个方面咱们出示一下。
[04:53.620] 取得的房车里面要拿东西是吧？
[04:58.470] 接走了。
[05:00.380] 这块。
[05:02.270] 过来对，不过你要后面加个微信也行，有什么事你给我发微信。
[05:07.800] 没有对。
[05:09.650] 打电话老没电，
[05:14.610] 打电话看不着，微信在电脑上跟着。
[05:18.190] 好勒没事您甭着急收一会我对完了我给您
[05:22.020] 电话就不用对了，电话就刚我给你打。
[05:27.600] 条。
[05:28.440] 行，来您收好了吧，证件收好了。
[05:32.800] 我看看记录。
[05:37.040] 上回是去就4月份
[05:40.560] 放修为前杠，
[05:43.410] 3月份做过一召回，
[05:46.050] 10月份才能
[05:49.200] 咱这车相当于是
[05:52.820] 19年10月底四五万公里做到A宝，
[05:57.700] 宝马、AA、宝刹车片后片
[06:01.370] 半小时内外的，
[06:04.500] 去年玻璃又上
[06:06.070] 了。
[06:07.180] 我去年做我说玻璃就上
[06:09.640] 了，他备注了一下，去年我看做保养的时候就说玻璃有伤，
[06:13.640] 反正去年
[06:16.440] 护理险我就想天太热了，就不想贴膜的也热了，
[06:22.430] 搞得整个10月份在。
[06:25.160] 那回头看看时间。
[06:28.290] 到时候再说。
[06:30.670] 刹车油是这车刹车油是19年3月份
[06:36.760] 之前办过两次一家B的活动，
[06:49.870] 我觉得。
[06:50.620] 行对着我拿来对您说您让你喜欢。
[06:55.370] 不用。
[06:57.140] 我走了过来。
[06:58.790] 坏数据。
[07:04.800] 数据、
[07:05.780] 场、场、场、
[07:12.170] 坏数据，
[07:17.120] 的
[07:19.610] 数据。
[07:23.790] 的
[07:32.750] 的。
[07:34.420] 行，打开记录看了一下，确实没做过。
[07:42.210] 6万大宝，
[07:45.270] 有一个扁平尤。
[07:47.240] 要不回头再问问您先生，
[07:51.480] 油换了吗？
[07:53.900] 因为
[07:55.690] 天堂16万公里说需要换一次，
[07:59.510] 36万公里的66多6万公里换什么变速箱油变速箱油，我就跟咱们一年1万公里换机油一样，
[08:09.090] 油4年6万公里一换，
[08:13.540] 也是哪个先到了按哪个来说，
[08:15.860] 把这单位公司送了，并要求能看出来还能用不能用吗？看不出来就跟机油一样，他。
[08:23.420] 到时间了就。
[08:24.390] 反正肯定是建议换。
[08:26.030] 换了什么那时候怎么换一个多少钱，我给您报一下都。
[08:33.010] 好吧，我保养这次需要做的一些保养项目给您列一下。
[08:38.100] 您稍等我一下，我给你打个单子。
[08:40.230] 不了您听过，然后我再打一下，已经定完了，后来换了他也可以查一下。
[08:49.000] 您把您这拍一下，有行在我这您打电话说已经发货了。
[08:55.130] 怎么列？
[08:55.840] 有时候就分了行了，上头不是我接着。
[09:03.330] M17是吧？
[09:05.120] 你想想这是第一。
[09:08.120] 对开车咱们也得用。
[09:13.510] VM17的气囊在你那了吧？
[09:19.240] 后来一晚117是汽车还是空气能
[09:26.030] 现在没做完。
[09:29.030] 试试一下。
[09:30.410] 我不记得了，已经好长时间了，7月初。
[09:34.060] 对。
[09:35.310] 有时候看看17号，
[09:40.400] 我打个电话0vs17着，
[09:45.680] 这三个
[09:47.520] 今儿给我的
[09:52.970] 今天的雨。
[09:55.500] 另外
[10:08.130] 年3月。
[10:09.200] 6月我不给您打给你打电话。
[10:14.370] 的能做到不然的
[10:18.040] 你们快乐。
[10:20.230] 我就帮。
[10:36.200] 好我
[10:37.610] 喜欢我。
[10:39.520] 白羊座
[10:50.620] 是你开的刚刚。
[10:58.970] 他上班的。
[11:00.920] 的。
[11:03.120] 是的，你的号4K6P
[11:07.000] 你这边这应该没错这里。
[11:14.390] 这是有单位的保养。
[11:16.710] 要不然
[11:17.980] 我还没给客户约的。
[11:21.580] 您等我一下。
[11:24.040] 打手机你在我还没预约，我家那边看一下创业板我们就做
[11:29.400] 花色原来东西
[11:32.190] 核心像变速箱油套餐价写一个字，我跟他说，
[11:37.510] 现在我给您打过来，我等过来看着它，打出来字也不大，
[11:43.710] 能放大胆吗？没戴，眼镜也
[11:46.790] 不是没带花卷没法放大了，打就是他打我看看打出来应该比我这应该大点。
[11:54.670] 加粗了最起码。
[11:56.590] 自己加错。
[11:57.880] 打回来我给你拿过来。
[12:01.000] 梅花。
[12:03.370] 单月月
[12:06.870] 约过来了。
[12:11.030] 的确不是我的打电话。
[12:17.740] 句
[12:19.830] 房车。
[12:28.480] 谁知
[12:30.720] 因为一个项目空调滤清器，这是一年两年的一趟百分14万公里很多网站，
[12:37.950] 而且是在19年3月份自己看了，应该是这周日到一。
[12:43.280] 我这个月。
[12:44.330] 程度以后，电话我知道大户了以后他们不在套餐价了，
[12:48.040] 我约的那两有两个人800多块钱约过来了我就用完了。
[12:52.590] 这是六百五三+3+650，工时费是0.1，打完折工费换滤芯手工费您掏58块钱，
[13:00.870] 这5大块电话号是139打了他这旁边穿，
[13:06.330] 横着这一串过来打完折最终的价格，这是最终价格，其实最终价格应该是
[13:13.410] 他因为这是一个套餐，就连工带料都打完折，您换一个滤芯应该是
[13:18.960] 5万块钱。
[13:20.910] 太便宜了，什么有多少要多少，早就不会去看你，
[13:26.110] 不会看你779，因为那上面没显示出来，他那会有一个套餐价，就是一个总价，其实我觉得咱们看我就是说你最终后边这个价格是工时费是吗？
[13:36.310] 对工时费材料费其实把这三个加一块就是这一块，进而
[13:40.330] 有些东西我们就说这一项我看这三人行了，谁想看那啥，然后什么空调就张立新吗？对。
[13:48.390] 这上边是公费，下边是料，这个套餐后三天模块有待
[13:54.270] 不还是像吗？还有这个吗？
[13:58.300] 不只不过是他们应该正常来说。
[14:01.830] 我为什么说看这简单，因为它上边就是说空调滤芯这东西一共多少钱，他会有一总价，不是咱再把这仨数加一块。
[14:10.120] 他就是说总价应该是空调预约是779，把相当于把这三户加一块，说白了就这意思。
[14:16.360] 779以上是吧？
[14:19.650] 他是这个意思，我给您单项列来回大概这仨
[14:25.810] 700 779，这三这不还是空调，等会儿别着急，他这个家族叫空调滤芯，
[14:33.320] 这叫空调系统的清洁，就是做杀菌除臭的，这是一单一向了，明白吗？他加粗了三一箱纸单一个套餐，这个是668，
[14:44.040] 我先给你换了，然后水箱这块清洗养护，发动机仓这块加起来
[14:51.390] 580块钱。
[14:53.410] 今天中午给我打电话，
[14:56.480] 然后还有一个6万公里需要做一个鸡蛋清洗，节气门、喷油嘴、汽油燃烧会才能看，
[15:03.190] 跟他们家烧梅一样。
[15:05.400] 这个是一项这个是1600人身上清洗发动机里面的积炭，
[15:13.050] 这个是到公里数以后都会要做的一个项目。
[15:17.210] 这个是1000
[15:19.640] 不是1620 1620多，他这里边分好几项，一个叫节气门，一个叫喷嘴，还有一个叫进气die。
[15:32.000] 这事情好几个地方的积炭一共是1620，这就是打包价，我给你写的是打包价。
[15:39.240] 小孩是连蒙带料都在里边了，我跟你说了。
[15:42.220] 然后这不是又一家粗的吗？
[15:44.380] 这个叫润滑系统，高效清洗养护润滑系统是什么？是发动机里边的机油油路，
[15:49.740] 这个是每次换季不适要做的，一个是711，
[15:53.360] 还有一个就是三元。
[15:55.680] 我车我这也是一个6万保的项目，就三元催化器这块。
[16:00.610] 三元催化器简单来说就是排气管对排气管那里边有一个叫三元催化器的东西，
[16:09.750] 是应该怎么着480。
[16:13.220] 这个水准，对可以晚上20 400万。
[16:16.970] 基础B保养换机油机滤空气滤芯确定好了，别整个都换了1518，每一项我都给你写。
[16:27.050] 哇塞。
[16:28.480] 4万公里一换，
