[00:02.300] 对算您车牌号京NL6837是吧？
[00:06.320] 回头我这边就修完了。
[00:08.300] 然后您那个交警单子您给我们的情况，然后您就直接搁
[00:15.080] 娇娇菜单对。
[00:20.720] 行，然后您那车稍微等等，反正您那车
[00:24.060] 得周一才能定过，然后我就信下完单子今天上，因为这两天还下不了单，对。
[00:32.810] 我估计全因为您那车好像一个大灯，好像是杭州货。
[00:37.000] 北京都没过，应该可能。
[00:38.690] 加急应该是周三左右才能到。
[00:41.010] 谁知
[00:42.440] 我周一用其他的配件应该是不出去，我这登记您的信息是刘磊先生是您是吧？
[00:48.550] 手机尾号是0875。
[01:03.600] 好好，您这车放两粒的车，
[01:06.640] 帮忙接就必须得做和另外应该能做地方。
[01:12.400] 因为您的获奖，您两人说话都是0的，所以这个肯定做的事没有
[01:18.990] 我撞到您哪边受损的位置。
[01:22.020] 中标，因为车好像这次应该并不一定是大的。
[01:25.780] 光配件就
[01:27.260] 又an打
[01:28.020] 就将近7万。
[01:29.600] 然后因为对方的保险公司跟咱们没有合作，所以说修完车以后您得通知全责方那边，我告诉您价格，他们过来给您交钱来。
[01:38.900] 您现在能给我定吗？现在定不出来我就看看车，看看需不需要拆检查里边。
[01:46.110] 那就是按次哪个知道，没关系，你给我拉个单子，对回去帮忙，对，一会我会联系ing大这边的定损员，我联系您这边只需要负责就是说我们这边最后修完车有一个准确的价格了，
[01:59.640] 您通知她让她过来给您交钱来就行了，其他的我跟定式而沟通基本上
[02:03.850] 几乎也差不多了价格。
[02:06.810] 对，出一回的话还是便宜。
[02:13.110] 行，反正我这边过期了，我就给您尽快好吧是吧？
[02:19.360] 数据、
[02:28.600] 场
[02:29.860] 数据、
[02:33.230] 数据
[02:34.400] 句、
[02:37.200] 场
[02:41.770] 数据、
[02:48.550] 数据。
[02:52.880] 场、场、
[02:57.160] 场
[02:58.410] 数据
[02:59.340] 场
[03:01.160] 远
[03:03.000] 场
[03:03.870] 的
[03:06.110] 的
[03:12.280] 场。
[03:17.350] 的
[03:18.670] 号。
[03:22.470] 的
[03:30.230] 的
[03:40.470] 好。
[03:43.410] 我上的。
[03:44.620] 挽救大家跟电费一样。
[03:52.950] 谁知
[03:55.480] 完了以后，然后过段时间
[03:58.630] 还可以直接报案。
[04:00.140] 然后再跟您碰个车去。
[04:04.040] 车里的贵重物品您看看要拿的。
[04:06.470] 他没什么东西。
[04:09.120] 对。
[04:19.630] 要把车开到这边来吗？车在后边是吧？对他们。
[04:23.960] 最好您开过来，因为一看完咱待会还得回来一趟，我就给您打单子来的，那一个打扰您走开口。
[04:31.950] 这么着就不用咱们在这就先开到这边，后来说要去员工餐厅那边干净那边找他我就开。
[04:45.200] 走走
[04:47.450] 都走了。
[04:49.200] 这里风有点。
[04:58.280] 撞得严重吗就那块？
[04:59.940] 车并不严重。
[05:01.550] 比如进口的类似于岛红绿灯顶一下，或者是对我们停住了，我们都没听众给我们撞上去。
[05:07.710] 了。
[05:09.290] 撞了。
[05:10.500] 都已经过去了，左等右等在哪呢？
[05:14.970] 看见了。
[05:16.830] 报道估计也不轻一点。
[05:20.640] 后备箱有一坑，
[05:22.200] 广告明显有一道印，
[05:25.330] 完了上面装饰条，咱们后备箱里不都有一个银条起来了。
[05:30.470] 那个黄花。
