[00:13.670] 咱们现在是5万多公里，还有1/2的游乐。
[00:17.460] 修车我跟您说说有可能时间会很长一点，多长时间？
[00:21.610] 我估计怎么也得一个月左右，
[00:24.340] 因为叶子板还得给您去切割了，
[00:28.120] 叶子板现在已经修复不出来了。
[00:30.990] 这块的话得因为它属于车身的一部分，
[00:34.050] 得把这层外皮给您切掉了之后，重新给您焊接一个新的用户左后叶子板，
[00:39.370] 包括咱们的前悬挂，
[00:41.370] 分公司先得确认损失之后，我们才能给您去订货。
[00:45.070] 因为悬挂的话它是肉也能看到变形的，我们直接给您订货。
[00:49.260] 最后还有检测看数据，
[00:51.620] 肉眼看不出来的数据不对了，我们还得重新给您去定义店，或可能时间就长了，这就比较麻烦了。
[00:59.720] 这肯定比较麻烦了。
[01:04.050] 然后轮毂的话最后
[01:08.610] 他这块都不支援了。
[01:11.330] 到时候这块我们整体有个帮你去检查。
[01:14.110] 这么长时间您多月这定损，我估计可能就不会特别快的给我们定出损失了。
[01:23.310] 可能拉单子的话，我们可能三四天可能把整体损失罗列出来了，
[01:27.880] 但定损这边还得叫中案，中案过来还得看车，他得一项一项再去照，在提交审核，
[01:33.620] 审核通过他就通知我们可以订货了，我们再去订货，货到了之后我们才能维修，
[01:39.240] 这个时间就稍微长一点了。
[01:41.860] 这样。
[01:51.840] 您快上车那边
[01:54.600] 到那边补充一下。
[01:56.110] 这三个指数了一下又不方便，
[01:58.630] 看看他那边有没有什么赔偿之类的。
[02:03.860] 出去半天这叶子板这太厉害了。
[02:06.810] 因为它这叶子网站还是好几层的，
[02:09.770] 他们那块都是他这好几层变形的话，流程里边的时候您看着您摸摸，这里边一层也变形都开了，
[02:16.510] 这都开个缝了，你看我手都进去了。
[02:20.490] 然后刚才的玻璃专门说边界的房子给天窗也画了，
[02:25.970] 我专门的玻璃，
[02:27.440] 这边过来慢慢点08的。
[02:30.700] 我们看一下，
