[00:01.620] 坏数据。
[00:03.950] 数据。
[00:09.480] 场。
[00:11.590] 场
[00:12.340] 远场。
[00:14.100] 场。
[00:19.080] 的。
[00:44.190] 场
[00:49.130] 了。
[00:50.580] 今新建上班了，好了，送肉。
[00:55.380] 他的。
[00:56.840] 前段应该前2月了有一个
[01:01.560] ps美归的定个遥控器吗？不。
[01:09.160] 对。
[01:11.440] 他不是打的单子过期了，一直德国那边没货。
[01:17.350] 然后
[01:19.020] 你再重新给打一个。
[01:21.010] 行，好了，给你说一下，好。
[01:26.940] 要是没有你从那过去，我现在没有。
[01:32.390] 我给他。
[01:35.070] 刚才过去了，想想先拍个照，我一块我就给他开过去。
[01:41.300] 拍过去，他重新打个单子咱就完事。
[01:43.870] 还是开地址是吧？
[01:45.460] 还得重新打下打，那单子有效期就三天，
[01:51.440] 您拿着钥匙，然后咱们俩然后其他手续都给过我了，对我知道。
[01:57.650] 找咱。
[02:23.480] 6. 
[02:26.060] 三
[02:27.490] 坏数据
[02:32.150] 场。
[02:40.370] 场
[02:43.430] 还有
[02:51.040] 的
[02:55.410] 场。
[02:57.610] 的。
[03:02.480] 的
[03:06.950] 场。
[03:10.640] 的。
[03:13.480] 的
[03:15.770] 号。
[03:19.370] 数据
[03:22.170] 这块大概是。
[03:26.080] 应该是能。
[03:29.000] 您先交1498，然后每次能赔2000 5100，出次险就给你2500一年能赔两次，但是这一年有效有效期15天等待您先交了，假如你现在想修个车，您交钱之后等到15天之后才能。
[03:45.050] 对是这意思，就这两个活动，
[03:50.030] 因为从这个月才有的。
[03:56.070] 您那是21216。
[04:00.230] 三。
[04:02.150] 您4次保养是4360。
[04:11.340] 2132136 4360，就是两色域宝两倍。
[04:17.250] A宝接受金率低保金。
[04:20.710] 贫尼就这么单做的话，能省了
[04:24.570] 400多块钱。
[04:26.410] 对。
[04:28.450] 刹车片，
[04:29.850] 砂片不含他包含基础保养，
[04:33.040] 两次可以保两次低保，可是
[04:35.820] 你这样我跟你商量一下，这不是还没有到车间吗？好了时间以后。
[04:42.170] 开车上路怎么说没有大毛病，然后就像这样，
[04:46.010] 因为就今天已经做了依法做，对我要是有毛病。
[04:50.940] 然后咱们再您说这个毛病是什么？因为像他年头多了，因为您年龄的保养的可能不是特别多，黏土有，因为我不知道人家会检查出啥问题，觉得您刚才给您简单看了一下对不对？说你您刚才给你了一下，看了吧？
[05:10.290] 对，
[05:12.090] 仪表保养需要做保养，要是电池报警，刚才我们强调的充电站，然后再音乐轮胎是14年，15年的轮胎可能就是5年了。
[05:22.930] 然后再就是这水箱有点脏，天窗排水口这您得需要做清洁，
[05:29.250] 每三年虽然是经常清洗，这次基本上成了保险，就是我这次保养都会给您，基本上就能给你需要做的，咱们这次向上游是每两年换一次都需要做的，我都能列出来，然后到车间里边
