[00:00.000] 系统的事。
[00:01.120] 这边
[00:10.750] 油表一半儿。
[00:16.190] 别拉。
[00:22.170] 重新停那里了。
[01:31.080] 车上有些划伤，
[01:36.950] 我说车上有一些划伤。
[01:39.080] 不大。
[01:40.630] 你丁丁丢丢。
[01:43.700] 不浪费钱。
[01:45.040] 拿。
[01:46.910] 行。
[02:02.340] 没法比。
[02:03.080] 喝
[02:10.320] 蹭
[02:15.230] 很小，
[02:18.070] 脱离一眼嘣了一下，
[02:55.400] 这边蹭了一尝到底。
[02:57.240] 知道是吧？
[02:59.050] 等等我这边蹭了一尝到底。
[03:02.000] 知道。
[03:04.100] 行，车里没有拿东西了吧？
[03:06.070] 他这么说了，里面起码。
[03:08.450] 走了。
[03:11.050] 了。
[03:21.310] 走掉了。
[03:23.030] 你到那块就够了，都到这了，来洗车我刚看过了，对他的车上。
[03:30.340] 后来
[03:44.390] 做。
[03:55.640] 的
[04:09.880] 小。
[04:11.190] 上次买套餐应该还有一个A
[04:14.070] 一个A一个B保险还送了一个A是吧？
[04:17.220] 讲一讲
[04:25.600] 场。
[04:37.990] 8元。
[04:45.040] 要
[04:52.720] 数据。
[05:05.870] 的。
[05:09.400] 买的时候他买保险，他是不是送你个圈，应该是3月份买的，
[05:13.560] 是吧？有劲吗？
[05:16.390] 不可能没圈，它可能有一张A4纸上面写着一次A保什么的。
[05:22.600] 了。
[05:28.610] 啤酒券。
[05:30.300] 不可能。
[05:34.760] 不一定可能。
[05:36.890] 我看你上次修了一次划痕，那
[05:40.960] 谁知到了我看show几块，一块
[05:45.900] 两块修了两块钱高后杠保险的，如果有还知道
[05:50.670] 有时间限制吗一年？
[05:53.500] 什么东西？
[05:54.500] 保养和分期他都一年，所以说我再问他他还不还，
[05:58.600] 所以说你也不知道送什么。
[06:00.690] 我不知道我看不到，我只能看到那句。
[06:04.380] 但是你如果说真要保险有送那个的话，他也就一年，
[06:08.300] 所以说你到3月份就过期了。
[06:11.120] 我的意思你看是不是跟保单哥一起了什么的。
[06:15.110] 好的可能。
[06:16.520] 车里有吗？
[06:17.360] 包灯在车里搁着。
[06:19.720] 到了
[06:21.000] 你去找。
[06:22.640] 找找。
[06:23.310] 你找找你要有的话就省好几百，要没有的话不就跑一趟腿吗？你说好。
[06:29.410] 来找你找找对我的意思就是你跑一趟手法，有的话最好，没有的话咱们就有。
[06:41.100] 的
[06:45.230] 了，
[06:49.520] 花、场、
[06:52.360] 坏
[06:55.230] 数据
[06:57.630] 的
[06:59.980] 数据
[07:03.670] 数据、
[07:06.970] 数据、
[07:16.720] 号。
[07:23.990] 商。
[07:25.120] 的。
[07:27.900] 不是老看着我不知道怎么去
[07:31.400] 推着东西。
[07:50.960] 6
[08:20.010] 98,000. 
[08:40.440] 为
[09:13.200] 结果
[09:15.500] A.I.还没有。
[09:18.650] 场。
[09:25.810] 不知道谁知。
[09:31.270] 一会是因为抽查的，因为有本事。
[09:35.090] 有吗？没有。
[09:36.800] 没有，那就用上次买那个朋友。
[09:42.160] 这样。
[09:43.130] 你这个车你们弄的，然后我上面买了一个，还有我们这边做一次。
[09:47.950] 一次基础的A。
[09:49.970] 还有吗？
[09:51.160] 能不能上次B用完了，上次用的
[09:54.000] 都有激动。
[09:57.070] 了，
[09:58.210] 然后看看电脑。
[10:00.800] 了，到时候你看一下，
[10:04.300] 上次
[10:07.200] 做到B然后公里数89,058，时间是19年的9月9号。
[10:13.180] 好。
[10:14.970] 好，我们什么时候回来？
[10:17.370] 我给您看看。
[10:22.880] 两天了。
[10:25.200] 那边小姐去把小点评可以拿下电影，对不起。
[10:36.390] 就做基础网。
[10:37.500] 数据。
[10:38.420] 明天
[10:58.280] 马上帮我签个字就可以了。
[11:00.320] 了
[11:03.550] 的。
[11:07.420] 首先皮带该换了10万公里皮带换了，
[11:10.400] 然后万块钱，你现在9万
[11:15.460] 成顽疾。
[11:16.550] 98,900。
[11:17.890] 对，马上失望了。
[11:25.510] 最主要的是皮带，别的。
[11:33.570] 五
[11:45.170] 一套的话差不多3000 4000块钱，
[11:49.600] 表现。
[11:54.110] 还。
[11:57.420] 那边可能会便宜点，
[12:00.230] 其他和战友们都得话，那一套的
[12:02.860] 皮带和张紧轮
[12:04.480] 皮带和张景春。
[12:14.550] 句
[12:22.500] 用话。
[12:24.020] 用话
[12:24.770] 换了。
[12:25.980] 因为他是6万到8万左右话，你是77万的。
[12:48.410] 场。
[12:50.670] 坏。
[12:53.960] 主要都化了，就是一些无关紧要的，像一些滤芯，空调滤芯，
[13:00.290] 空调清洗，再就是一个机舱里面先出养护和一个底盘的悬挂养护，就是
[13:06.530] 这都是些无关紧要。
[13:09.020] 那就先做基础A保养
[13:12.210] 的
[13:17.310] 数据
[13:18.120] 数据。
[13:24.600] 场
[13:26.720] 数据。
[13:30.920] 句。
[13:32.530] 坏数据。
[13:37.130] 数据、
[13:40.770] 数据
[13:45.340] 数据
[13:46.600] 数据、
[13:50.510] 数据、
[13:51.990] 花、
[13:55.880] 花、
[13:59.790] 花。
[14:01.970] 坏
[14:12.170] 就作为巨头一把区域代理全部检查一下。
[14:19.160] 时间的话应该两个小时左右差不多好了。
[14:25.760] 打到给你们打。
[14:27.550] 来。
[14:33.170] 三。
[14:36.970] 你这车不用管。
[14:38.380] 还开车的是吧？
[14:39.790] 谁知
[14:41.520] 谁知
[14:43.390] 带你过去。
[14:46.450] 附加收费。
[14:48.130] 15分钟以后。
[14:54.980] 场。
[14:56.930] 场。
[14:59.320] 场
[15:01.530] 坏数据
[15:04.190] 的。
[15:09.990] 花
[15:11.710] 的
[15:14.580] 数据
[15:20.090] 坏，
[15:40.550] 看懂。
[15:41.630] 这是修车，你现在反正也不修，我看你好像基本上没怎么走过保险。
[15:47.680] 不走保险对你来说这个就无所谓了。
[15:49.920] 除非说别人把你撞了，那就是
[15:52.480] 行车赔你2500。
[15:55.320] 好的。
[15:56.380] 赢了咱这边方法。
[16:15.110] 二，
[16:17.080] 画好，
[16:28.600] 这么写别的你
[16:32.040] 过不去。
[16:36.270] 远。
[16:45.800] 你看上面是写的什么，
[16:47.560] 什么就写什么。
[16:49.750] 之前我写的是什么？
[16:52.610] 维修基金，但是那个人不叫无忧基金。
[16:55.650] 后来滑动过去的记者说叫什么？
[16:58.510] 你看上面写着你从那里边查什么？
[17:02.280] 学术发表。
[17:10.030] 的。
[17:27.900] 句。
[17:29.710] 场。
[17:33.980] 查
[17:37.990] 场。
[17:48.260] 卡。
[17:49.760] 储值卡。
[17:52.460] 数据、
[17:53.720] 数据。
[17:57.870] 好。
[18:10.970] 收到。
