[00:02.070] 接待客户丁先生，
[00:11.790] 回头没事安排的，
[00:18.360] 完了没零下三度，
[00:21.560] 一家三口对号。
[00:25.740] 我去找一张名片上，
[00:28.090] 我上去拿张卡来，
[01:19.870] 老婆打电话，
[02:27.600] 好
[02:28.320] 了，
[02:30.200] 宝马。
[02:43.150] 你好，丁先生您在哪里？我这边是撬棍。
[02:48.330] 二楼是吧？二楼哪个车边上？
[02:53.990] 行我看到您勒好勒。
[02:56.350] 好勒。
[03:12.910] 上
[03:16.560] 您好丁先生。
[03:19.360] 销售顾问韩辰小时候没看看哪款车，您我看GRE
[03:23.810] 交易没有开车，
[03:25.640] 一直。
[03:28.230] 这边第一次来我们店是吗？有预约过吗？没有楼下的没有茶水城市咖啡，一会你可以喝点水。
[03:33.990] 然后第一次跟您说一下咱们服务公约，互为吸引力，强带诚信经营合法得体、明码标价、公开透明，推荐使用清晰公式，结果捆绑销售强制消费，
[03:43.870] 全部使用假建议吸收好，欢迎我的消费者监督电话4008181188，
[03:51.070] 看E300是吧？
[03:52.740] 300有运动的有一个
[03:55.450] 这轿车版的是吧？事实上的
[03:59.040] 思想版的简单，瘦小版是最顶配，咱展车不可能每款车都有，跟这车的长宽高大小都是一模一样的，就是配置对差的就是配置，咱们现在开的是什么车，使用卡车怎么样？您介绍新车这些。
[04:11.590] 我说你现在在用的是什么车型？别克得是准备车置换吗？
[04:16.880] 现在您看到展车这款是一三百时尚款的轿车版的，您是想要大表的还是想要立标的？
[04:23.990] 咱们大概
[04:25.140] 竞标对立标的您看这款就可以了。
[04:30.630] 这款的话跟您客车最主要的区别的话，这个车的后排座椅是不可调的，缩小版的座椅后排座椅是可调的，对，然后在柏林之声音响，这个位置会带会有一个隐私帘，
[04:41.950] 隐私连还有后边有个隐私，连之前也看过那款车型是吗？网上看到没看过实物，您时常也这是保护这是仿皮的内涵，是真皮的，对。
[05:06.850] 舒适的卖的好还是
[05:08.790] 高费用的。
[05:11.150] 高配的就是舒适版的树下满了苏州
[05:14.970] 后备箱好像有些东西。
[05:17.640] 对时尚的不是出小满的时间，
[05:21.180] 这题就可以了。
[05:23.040] 中小板的是电动的，没电了这车。
[05:27.270] 您要是要这款465,800，那款是499,800，两个车差了34,000块钱用户吗？
[05:34.630] 有优惠优惠7万。
[05:37.650] 第27万真是的。
[05:40.160] 他这车
[05:41.640] 不能有火车的哪一款，
[05:44.230] 这款优惠完之后395,800，
[05:47.400] 全办下来卖7大概45万多。
[05:50.350] 5
[05:54.640] 前半期大概49万多，
[05:58.510] 4949万的差不多。
[06:00.920] 对吧？
[06:02.550] 4月8号。
[06:04.400] 对。
[06:10.230] 你这碰着做一下。
[06:12.830] 过来点。
[06:14.230] 后来
[06:40.510] 咱们这边有电子水牌，上面有车辆的一个具体的信息，然后楼下也有7面条和皮革样板，到时都可以看一下当年
[06:56.280] 我那个车牌。
[06:57.530] 不是我的是本人来了，不需要。
[07:02.770] 身份证对身份证也可以正。
[07:05.920] 都要复印件办不了。
[07:08.540] 原件。
[07:11.370] 咱们就说
[07:13.160] 在这边看看。
[07:14.870] 别都卖了。
[07:16.380] 对。
[07:17.480] 您旧车置换旧车5000块钱的一个保险赠送的补贴，
[07:21.430] 你还有个5000块钱补贴，
[07:24.150] 然后车上对评估
[07:28.250] 要7万。
[07:30.810] 往那边也差不多。
[07:33.640] 我看网上的价格一般都不准，
[07:37.650] 高低差不多，网上说这9有将8万
[07:43.750] 他都
[07:44.620] 太不靠谱了。
[07:46.210] 其实1G想在什么时候换车，预计是想在什么时候换车？
[07:50.750] 公司车。
[07:51.850] 国庆节十一之前，
[07:55.170] 260260300 260是1.5，T+48伏电机的312.07的，
[08:05.190] 网上都是像酒吧。
[08:07.180] 对。
[08:14.230] 这个车黄毛红横向什么？
[08:17.980] 2016。
[08:19.410] 对，他们都是同一级别的车，行，那就看您自己了，这没有什么优先都已经价格了，四五十万的车他肯定都是都不错，质量方面都不错，但是现在你只能看哪款车，
[08:31.920] 销量好一些，销量高一些，
[08:34.220] 哪个涨哪个都不一样，奥迪现在A6的话，价格跟宝马和奔驰差的太多了。
[08:40.420] 有点低，对宝马的话宝马的话就是操控性好一些，奔驰舒适性好一些，豪华程度高一些，内饰科技感强一些，
[08:48.380] 做工会更细一些。
[08:49.970] 后期保养维护的费用保养的话，这车1万公里或者一年保养一次，一次的费用大概是在11,200块钱左右，平均下来。
[08:58.670] 1万公里保养1万公里保养一次。
[09:01.360] 其实跟咱正常的您现在开的车5000公里保养一次一样，
[09:06.500] 也就是一年费用大概在2500。
[09:08.800] 保养费用
[09:11.650] 都是
[09:12.730] 不止一点，倒是也还可以。
[09:15.280] 你差不多你就正常保养说你发什么东西，
[09:18.760] 您的车5000公里保养对。
[09:29.640] 运动。
[09:31.040] 还是没有运动版的，没有运动的。
[09:39.070] 咱看看plc的。
[09:41.570] 家是那边的楼下。
[09:43.240] 露点楼价是吧？
[09:45.950] 颜色。
[09:47.400] 那个是四全下来大概49。
[10:00.930] 62
[10:01.970] 五。
[10:03.340] 这50。
[10:06.850] 不是我看看。
[10:13.750] 这是运动的状态。
[10:15.010] 标轴的
[10:17.660] 这是标轴的。
[10:18.990] 对，标准不是加长的，不是。
[10:26.930] 这多少钱？
[10:28.230] 45万多。
[10:31.320] 小面积48。
[10:36.490] 这车买的少，
[10:38.530] 不是走量的车型车也少。
[10:43.530] 应该还是车比这个车。
[10:46.320] 这车进口的国产的
[10:51.790] 车挺多。
[10:57.480] 1.5T的，
[10:58.600] 1.5T+48伏电机的，
[11:00.800] 有很东西对清混的。
[11:03.140] 行。
[11:07.460] 我看一下plc，
[11:10.040] 我接下来看一下楼下黑色的。
[11:16.970] 没事我知道。
[11:18.120] 把名片你给我是吧？是。
[11:20.840] 行。
[11:21.960] 您先再一下打电话，行行好。
[11:32.960] 4月6。
[11:34.220] 对。
[11:36.250] 这车就这一款。
[11:46.120] 一点也不清楚。
[11:51.270] 一。
[11:55.330] 40块钱多少？
[11:56.500] 31万多。
[11:57.910] 万。
[12:38.840] 不要横向。
[12:41.120] 不用我自己干嘛。
[12:42.810] 行，那有需要您再叫我王总没事。
[12:52.900] 客户要求自己看。
