[00:08.050] 30后。
[00:11.440] 现在来考虑跟ct6ct6是吗？
[00:16.770] 两款车对比对。
[00:21.810] 前面座椅调到合适的吗？
[00:24.560] 这车空间肯定还是来说还是没问题的。
[00:28.590] 空间怎么样？
[00:29.910] 先给您留个名片，行，我是咱们店销售免贵姓夏夏明天不行也没事。
[00:35.690] 然后转车这款是属于
[00:38.030] 于T5的，就是入门级的，这款是基本全办齐的话应该在33万左右。
[00:43.610] 您是置换吗？
[00:45.410] 我不是公有制指标，北京牌。
[00:48.390] 对，差不多基本上33万多，对全办齐，因为目前这款车的话相对来说优惠力度算比较大的流程。
[00:58.130] 这一块这款目前是优惠97,000 97对。
[01:02.800] 这期星期六现在优惠优惠也不小了，应该差不多有9万有时候。
[01:09.210] 分配至倍。
[01:11.800] 空话。
[01:13.480] 他空间比ct6要大，尺侧后还后台，
[01:17.660] 然后是后面那一块，但是后排空间却越来越大，
[01:21.590] 但是不足后排就比较简陋。
[01:25.210] 就是说整体然后因为可能因为分配着，如果你要说像中配的话，后台就会像有一些独立空调，
[01:32.540] 以及后排的这张连这些。
[01:34.480] 对，如果要是同等价位的话，
[01:36.550] 我觉得同等价位来说是吗？
[01:39.490] 我看网上说他
[01:42.850] 悬挂是若狭者对偏硬一些。
[01:47.220] 因为可能我们这车的话，整体比较偏向的就是驾驶感受，
[01:53.710] 而且我们离地间隙在同级轿车来说偏高算挺高。
[01:59.020] 对。
[02:00.510] 车平常也是您开。
[02:02.150] 我自个。
[02:06.570] 把
[02:08.070] 后边是一个普通对。
[02:11.240] 他手动平台安全是火车用的。
[02:16.100] 他
[02:17.600] 因为我原来有一个老一令他
[02:20.480] 前排能放平后排街上
[02:22.880] 不驾驶。
[02:24.820] 放。
[02:25.680] 您是往后放平还是往前往后？
[02:28.470] 完全放球，我给你演示一下。
[02:31.200] 因为
[02:32.250] 原来有这个车他就能放平，然后跟后排能连成一个就当一个床一样，
[02:38.530] 这个不行是吧？它很远图的话是可以挑战后段，没法放不行，因为他
[02:45.860] 对，他只能就像这种程度让他躺着休息理解。
[02:50.170] 这个位置。
[02:53.390] 因为他的头枕
[02:55.920] 等等，对就是这个位置，但是因为他不是全屏的，所以的话
[03:01.890] 但是这个角度的话我觉得应该还可以。
[03:04.560] 是的。
[03:08.430] 现在很少有乘客，对。
[03:12.630] 因为有一次我看上去集中，
[03:15.240] 然后没什么两
[03:19.100] 还有就是口碑他是不能双向同时是吧？
[03:23.350] 你看他不能说不能单向，
[03:38.420] 这款是属于一个运动版。
[03:41.430] 对，然后我们
[03:43.520] 开车开不了，因为其实运动版和豪华版的话价格是一样的，功能一样，它主要就是说一些外观。
[03:49.910] 对他本来有什么区别，比如说轮毂造型，然后以及一些装饰条，
[03:55.560] 这是辆黑色的，然后其他的就属于那种银色的衡量，对，然后运动型的座椅风格
[04:01.780] 可能相对来说包裹性会好一些。
[04:05.430] 明白。
