[00:01.730] 出处孤身评价有现金吗？
[00:04.440] 要什么现金？
[00:06.110] 现金没不现在给宋代的时候带着。
[00:10.190] 在那个吗？
[00:13.250] 你在前边。
[00:15.470] 凉了，
[00:18.800] 回来再前进了。
[00:20.370] 现金
[00:21.920] 用多少？
[00:24.160] 348。
[00:26.100] 郭先生您好，请您这销魂声音。
[00:30.140] 红军是吧？第一次来我们家门没有，我来了两个就没找交警，这次来的话约过没有？
[00:38.070] 没约过没有是吧？您喝点什么有茶、咖啡、可乐、雪碧之类的，那就喝点茶吧，茶水我这还有俩人呢。
[00:46.130] 好，您先来一块一下。
[00:53.050] 看看我想问一下您一跟非有什么区别？
[00:58.860] 首先从外观上来说，一个车强一个车短一点，对吧？
[01:04.440] 咱们坐下来。
[01:06.320] 拨号60吗？
[01:09.680] 我喝咱们做那喝茶水咱们找。
[01:14.380] 干啥在那聊会，然后看看说
[01:18.180] 什么意思我没什么您不见，这不是找着销售吗？不放假。
[01:22.940] 是不是？然后一会咱再约
[01:25.870] 中午睡下，我跟你要说一说这东西行，从早到晚坐在了，
[01:31.750] 不想知道现在百第三版还有300不太
[01:37.400] 桃花头发的。
[01:39.760] 桃花的话它的业绩多少做这个知道199,800，然后。
[01:45.650] 的742万非法目的
[01:49.960] 只有40可以用的话740多。
[01:53.090] 这个算我觉得在标配网上几个
[02:00.610] D的划分成1260，不是我就说一
[02:03.940] 第三百十上以300
[02:06.570] 400。
[02:07.500] 就两块。
[02:09.260] 差这么两个超到别人了，一个40块钱19
[02:14.520] 指导价，然后衣服42 86 39斤，
[02:18.480] 你落地的话你加上税加上保险，
[02:22.830] 一三百的服装，
[02:24.770] 他们弄那次我就坐地铁，
[02:28.460] 你这么高，
[02:30.070] 你说他网上陆地有专门显示42 42。
[02:35.290] 432，
[02:36.730] 你这一车优惠话46万多，7块就39多。
[02:40.860] 你家4你这42万，
[02:43.240] 你不上保险这条，
[02:45.730] 送保险不是保险销售还要买，
[02:49.060] 啥也不配合。
[02:50.160] 什么都不懂，
[02:51.580] 就直接用到其他的人，同时买个节还送了一个网上保险，
[02:55.140] 也不好，然后什么好这个车大概是多少钱，这歌30所画完了三点，
[03:01.820] 就全价的话42个样。
[03:04.440] 爸爸。
[03:06.250] 咱干什么查看不要再喝，还您那什么。
[03:09.480] 哪能喝咱们上楼也行行，因为这边楼下实在没地儿了。
[03:22.540] 这个是42~0.8，
[03:24.570] 火车429,800。
[03:27.910] 落地。
[03:28.890] 落地的四十八五，电车第四18万，
[03:33.390] 他一三百的运动时照货车这边是100钱三二，
[03:38.410] 28这么大了已经。
[03:41.240] 基本RNN
[03:44.710] 了。
[03:45.730] 快乐。
[03:51.590] 所有的汽车将在保证上。
[03:53.710] 的成交价来说，首先第一你车上有一车，然后优惠的话多少钱之后，
[03:59.110] 然后比如附加条款您满足这个条款之后，综合下来差不多你的车能到48万多，
[04:05.310] 比如你买个装饰1万多，我送一家保险，
[04:09.470] 比如说下一个7万买点黄买点装饰送点保险75,000了优惠，
[04:14.730] 您在哪个延长？
[04:16.470] 再优惠一点。
[04:18.350] 咱们自己
[04:20.280] 把这个产品您这样子你放心，基本上好多都买不着。
[04:27.050] 这也挺好
[04:29.370] 的。
[04:30.900] 还能做一下，他们给他感谢。
[04:34.610] 顶喝什么咖啡，你们喝什么？
[04:49.440] 茶水。
[04:50.580] 我问他们喝什么吗？
[04:52.260] 你们喝什么？
[04:53.720] 20毫升，
[04:54.960] 或者他说着怎么样，你可以来给。
[04:59.930] 对。
[05:00.830] 因为
[05:03.410] 最近
[05:04.460] 谁知
[05:12.950] 你坐着你能
[05:14.360] 咛哒白了，你天天白了你什么也买不了。
[05:17.640] 1200等于跟咱们看的，
[05:20.150] 咱们看看S的感觉一样，
[05:23.200] 他们都不行。
[05:27.850] 不知道。
[05:31.840] 我想买股票，
[05:35.220] 买了车我就心里能买。
[05:41.000] 你再赔点。
[05:42.140] 我还买了。
[05:48.480] 我卖我吗2毛9卖的卖1卖7毛3，
[05:51.740] 我还陪着钱。
[05:54.960] 金钱买。
[05:56.000] 需要的是
[05:57.740] 打他们吃不了喝不好，
[06:00.870] 干什么都不顺心。
[06:02.810] 其实小A也挺好的。
[06:04.720] A的M记。
[06:07.150] 小钢炮那是多多大多大公园？
[06:10.250] 200多300多马力，400多米400多匹是吧？
[06:14.500] 有。
[06:15.910] 220对。
[06:20.570] 204毫米。
[06:23.800] 要不然小的这么慢，D2125是您的电话。
[06:27.820] 张军是吧？
[06:29.810] 其实你们家价格要高。
[06:32.330] 我得看你最后的落地多少钱。
[06:36.410] 百得利确实价格，因为D野贵这D我们老板自己
[06:42.170] 自己
[06:43.470] 没有租金。
[06:45.930] 来，谢谢。
[06:50.190] 在那疫情闹的都没水了。
[06:53.220] 然后简单跟您说一下，咱们奔驰有一个服务公约。
[06:58.490] 所有的价格都是明码标价公开透明，然后配件渠道清晰公式，
[07:04.960] 绝不捆绑销售强制消费。
[07:07.810] 绝不使用假假以次冲好，然后下边个服务监督电话4008181188，
[07:14.400] 然后如果你要考虑做分期的话，是不收取金融服务费，
[07:19.180] 只有分期手续费超好没有服务费。
[07:25.960] 还有服务费，还有利息。
[07:32.810] 好。
[07:34.960] 这里有力法宝没有顶部没钱。
[07:38.050] 那是没事没啥顺丰也不。
[07:42.170] 对，没有利益，我买。
[07:45.610] 你都开走了。
[07:47.590] 我说每年
[07:49.500] 这生气的话有利息吗？有利息，但是没有充分。
[07:54.660] 你借了钱咱俩有了，以前的话奔驰这您得花利息还得花手续费。
[08:00.420] 你现在是没有手续费了，就正常发利息了。
[08:03.640] 看不同车型，如果你。
[08:06.730] 首先你得看看您这个贷多少，比如首付比例是30%的58%。
[08:13.160] 然后你比如说是分两年还是分三年的，它利率就不一样。
[08:17.570] 然后一的话基本上二点多很低的利息没多少钱。
[08:23.020] 我想咨询一下您说出来是怎么个优惠，同时最终会不会。
[08:27.720] 这里车就是。
[08:29.960] 在车型在库里边，
[08:32.070] 然后不是国家来点来了什么质检局的。
[08:37.350] 到库里边这车
[08:40.410] 开走了，
[08:42.050] 开头检测去了，
[08:43.450] 就把你这后棒让拆了，
[08:45.670] 看看有没有防撞梁，
[08:48.670] 空调滤芯拆下来。
[08:50.800] 为什么价格便宜？就因为。
[08:54.750] 就让人拆完了之后再给忘了，其实正常污染就跟正常保养一样，空投陆军你不得换，
[09:01.750] 他就给拿下来看一下合不合格，
[09:03.880] 后棒子让本来就卡扣了，给你拆下来，看看防撞梁和不合格车厢下来得多少钱。
[09:09.670] 2020多万。
[09:12.880] 34万多，
[09:14.330] 优惠8万
[09:16.230] 8万多差16,000块8万现金送5000保险。
[09:19.860] 差一号走。
[09:21.310] 还有。
[09:22.430] 新车的话优惠期。
[09:25.010] 对拆了。
[09:27.900] 您看三次我看的那是1260L
[09:32.170] 1260行。
[09:34.120] 稍等。
[09:36.220] 你有朋友，
[09:38.560] 有。
[09:43.280] 这日子好，我看有些客户和他们不都不会吗？
[09:47.110] 都有着我刚接触。
[09:53.490] 咱们这边是北京指标。
[09:55.630] 对，吃货实话是吧？什么车的那边别克凯越。
[10:00.830] 哪年的医疗？
[10:02.080] 10年了。
[10:03.520] 怎么样用的还行吗？
[10:05.050] 挺好的。
[10:05.910] 没出过事后。
[10:07.170] 是吧？看看E260，
[10:12.360] 那车指导价就是429,800。
[10:16.130] 然后优惠七八三159,000块。
[10:22.160] 要考虑立标还是什么？
[10:24.140] 运动。
[10:27.750] 120运动。
[10:34.120] 颜色有要求吗？
[10:37.740] 颜色无所谓。
[10:40.040] 现在就两线段，一个楼下的蓝的一个黑的。
[10:43.630] 蓝的黑的两点就这两个。
[10:46.960] 是不是这门口这停的认识？对，就是这样。
[10:50.760] 如果你要运动版的话。
[10:56.720] 优惠74,000。
[10:58.760] 现金。
[11:00.180] 现金一共74,000，然后如果您置换的话再补贴5000保险。
[11:06.930] 我那车怎么着没听明白。
[11:09.620] 这车是429,800这样这么算。
[11:14.780] 你就把置换算上车的价格就不也卖了吗？
[11:19.490] 你那旧车是你的旧车，我知道旧车价格不包含在这里，不高，对，你直接算一个价格，把那5000的置换也全加上康最低落地多少钱？
[11:29.710] 好的，全款分期吗？全款。
[11:34.970] 给你打报告单。
[11:38.750] 但我也对了。
[11:40.210] 没事。
[11:41.950] 我听人家多少钱，你对了半天人家就这价钱，我知道我得参考一下吗？您卖不了你。
[11:48.370] 我得参考一下，你就做一最低价，看看多少钱，是不是？
[11:52.440] 您在您的范围之内允许您这价钱是不是说咱要再低，咱还可以再谈是不是？
[12:01.730] 他们还是比较好的。
[12:03.640] 卖来成果，
[12:05.420] 人家多不要卖，
[12:08.160] 卖多少钱？
[12:09.400] 单店来说百得丽应该是全北京近半单店里边每月销量最多的。
[12:16.050] 这地儿了。
[12:17.420] 您看看车辆的功能也给您简单介绍一下吗？
[12:20.550] 什么东西车辆的增多，
[12:22.720] 这个功能一下停电你可以给我复印，不是他买我买的。
[12:28.590] 第一，首先
[12:32.160] 咱们车辆灯光用的是LED灯的LED更节能更省电，而且它的使用寿命会更长一些。
[12:39.690] 而且照射的范围会更广，夜间行驶这种它越亮越广，你可能夜间性质更安全吗？
[12:45.710] 然后E级车的悬挂式软硬可以自动去调节的。
[12:49.900] 走到舒适路面它会调的更软一些，坑洼路段条条都能自动的，你不用管了。
[12:56.880] 然后倒车影像是标配都有的，然后雷达前面6个后边6个，整个车市12个雷达，
[13:04.170] 然后这个车带自动泊车。
[13:06.640] 不动车车、刹车油、门方向、岗位全都不用，尽管驾驶员坐在上面就可以了，
[13:13.140] 全部都是自动化的，
[13:14.650] 纵向停车侧方位停车都是可以的。
[13:18.510] 然后尾灯，
[13:20.650] 这俩尾灯如果车速超过50码，突然间来找急刹车，刹车灯是会爆闪来警示后车的是吧？
[13:29.370] 如果车速超过70码来到及刹车，双闪是自动打开了，就提示后车的。
[13:34.770] 然后全景天窗标配，
[13:36.800] 然后里边液晶屏不说了，两块贯穿了12.3400平，配备64色的环境氛围灯。
[13:43.820] 手机如果带无线充电功能的手机放在放杯子那地方可以无线充电。
[13:49.730] 如果要是苹果手机插上数据线支持卡普类。
[13:53.810] 空调待去除pm2:50在过滤系统的。
[13:58.030] 然后安全系数咱们的车配备主动刹车，
[14:01.380] 如果驾驶员打饼真是走神了，没注意前方车辆。
[14:06.070] 前面那车急刹车了，这车
[14:09.160] 没反过来，70万以下是可以自动刹停的。
[14:12.750] 包括待测向的行人保护。
[14:15.830] 这车开着开着车漫出来自行车也可以沙坪坝的车。
[14:19.830] 发动机就是1.5T的发动机。
[14:23.130] 配备一个48伏的电机属于轻混动。
[14:27.640] 然后马力的话是184马力，百公里加速的话是8秒3。
[14:32.830] 等于这车加了青笋之后就更省油一点，就相当于，但动力的话跟以前2.07是一样的。
[14:38.890] 因为咱们仨车正好压了的，你可以试一下。
[14:41.630] 好吗？
[14:42.510] 然后如果您要想具体了解功能参数的话，
[14:46.010] 到时每个车身边都有二维码，您可以扫二维码，权益仓位都会有，颜色的话基本上都是黑的白的蓝的。
[14:53.260] 基本都是傻子，然后内饰的话有黑色棕色，咱们那边又7面前皮革样板都可以标的，前几天结合
[15:01.120] 两天
[15:02.630] 每天都这样。
[15:03.990] 咱这什么打牌子一条龙服务吗？
[15:06.590] 上房您先别着急呢。
[15:09.350] 因为
[15:10.960] 如果您要是现成的指标很快，
[15:13.360] 我们就是以画画，但是人家置换就别着急了，奔这一个月走了，对，因为您首先就车的话，像10年的凯越这个车基本上是
[15:23.720] 80%。
[15:25.140] 是要外迁到外地的。
[15:26.860] 对。
[15:27.640] 肯定要签外地的，外地这个人的话他得来北京，所以现在这一行的也就比较麻烦一点。
[15:34.400] 如果打断你，比如说我这个车
[15:37.790] 车怎么方法就可以，
[15:39.760] 我自己过后处理了，我自己给他处理了，能优惠什么？
[15:44.860] 到你这来啥？
[15:47.800] 您说我这车就是说现在我车钥匙找评估师来了，大概能卖多少钱？
[15:54.380] 到时您看到了吗？这还有一个工地那了没开过。
[15:58.020] 10年的采访都改了多少钱？
[15:59.990] 能折多少？一百十万。
[16:02.300] 1万多是吧？能得2万多块钱，大不了
[16:06.250] 2万都到不了。
[16:08.600] 影响那车买的时候，现在应该车1.1.6的。
