[00:00.000] 我去量与其的二次，
[00:22.920] 我给打电话。
[00:26.220] 看看我给我看了一下黑的。
[00:30.550] 没有了。
[00:31.850] 拍出去了，所以刚调到了车辆，
[00:34.580] 是吧？
[00:43.680] 对。
[00:46.830] 运动肤色、石板，还有北极、白钻石、白美展、北极白就这个。
[00:54.780] 发掉。
[00:56.060] 航空上差不多。
[00:59.360] 都是白色，没有金属漆，一个不是
[01:03.010] 的。
[01:04.310] 差不多。
[01:05.520] 那就是黑色。
[01:06.840] 我觉得这车
[01:08.370] 黑的
[01:11.470] 外汇
[01:18.810] 了
[01:23.360] 把
[01:27.880] 有问题
[01:36.860] 的。
[01:38.190] 60万。
[01:47.680] 不是
[01:50.440] 这样。
[01:51.330] 不是你怎么了呢？
[01:53.440] 是世界上
[02:01.280] 奔驰也有应急，但是已经停产了。
[02:05.000] 在以前
[02:06.730] 远景都
[02:08.830] 很高兴。
[02:10.460] 但原件
[02:15.070] 完全会。
[02:16.960] 对人体不会。
[02:19.770] 车载什么基本上能有。
[02:25.990] 掌管登记。
[02:27.980] 什么叫机器
[02:29.760] 置换？
[02:30.770] 不是直接买。
[02:34.000] 期望了。
[02:35.960] 期望。
[02:37.930] 那会儿都已经谈到期望了这心了。
[02:41.270] 那会已经在谈新款。
[02:44.070] 能有多大变化？
[02:45.990] 一穷看指导价不是将9万吗？
[02:49.620] 网上价格你看谁能买到价格谁买不到。
[02:53.290] 接个电话，
[02:54.700] 没跟我聊半天就赚了四五家店，
[02:57.160] 然后就问我们家价格，
[02:59.590] 我优惠完以后说你晚上你将比较他就会2万多，我说是我说您不都这样好家电了吗？没有押金给咱们价格。
[03:06.890] 让你看看。
[03:09.980] 为了让你打电话去咨询。
[03:13.010] 您现在这也是吃饭都会
[03:15.350] 希望您在多点。
[03:17.690] 投稿太多了，我们领导给申请一下手机掉了。
[03:21.790] 对，然后我不太清楚这两个分期有点严肃，但是为什么会差别这么大，哪两个周期？
[03:29.210] 就是一个用户数首付大概十几十年，
[03:34.160] 还有一个首付20万，
[03:36.720] 百分之。
[03:38.820] 首付的比例不同，
[03:40.980] 肯定百分之比例不同，你想
[03:43.250] 这车现在指导价是499,800，
[03:46.680] 对吧？
[03:47.760] 所以只能9平方比原来这家豪华要高一点。
[03:51.980] 好，比如画画高基金，
[03:54.070] 小子不老实算算还是忙碌。
[04:08.050] 装修。
[04:09.210] 我就想看看
[04:11.050] 这两个分期怎么
[04:14.790] 对。
[04:16.690] 不粘泥马老姐。
[04:18.200] 这个车现在是没有替代的，
[04:22.440] 是大部分媒体。
[04:26.910] 哎哟第三款颜色，
[04:30.360] 白色。
[04:33.010] 然后我把您的先生
[04:35.940] 大概大
[04:38.580] 对吧？
[04:44.310] 白色
[04:45.680] 洞内是吧？
[04:47.240] 内。
[05:00.930] 有一台现车，
[05:03.210] 就是一条对不对？
[05:04.640] 还是黑的多，白的有一台现车，
[05:09.200] 比我们这个车指导价是499,800，你想
[05:13.170] 豪华版是492,800，到家一下时间，
[05:17.190] 现在还有2%没有了。
[05:20.290] 豪华买下来也没有。
[05:22.100] 对，也没有豪华的豪华，你要能买到的话肯定就便宜。
[05:28.700] 黄淮也
[05:33.510] 还有
[05:35.510] 还有性格。
[05:38.190] 所以说这是黑松是的。
[05:41.160] 能便宜点。
[05:44.370] 毕竟这车还没出多久。
[05:46.240] 4月份出来的，对，4月份的。
[05:50.880] 是那会儿4月份已经刚好管事，对。
[05:55.570] 刚上班不久。
[05:57.550] 现好转一下，我刚才看了不是
[06:01.040] 将三以后砸价装修，
[06:06.840] 边上谁？
[06:08.650] 自己的。
[06:10.200] 既然停下来了是吧？
[06:12.090] 不是心绞也可以。
[06:23.530] 奔50了，这车要办起了。
[06:26.480] 49分。
[06:27.780] 19。
[06:28.960] 百分之总共你算一个
[06:34.950] 自己经营公司吗？还上班？
[06:37.160] 上班。
[06:43.450] 都写。
[06:47.550] 有那种
[06:49.330] 50%首付，每个月还500多块钱，
[06:52.540] 最后一个月尾款，
[06:54.200] 以前是18个月的是两年，
[06:56.450] 有一页只有
[06:57.550] 还有就要低首付，我们可以付个20%，
[07:01.000] 基本上就没多少钱了，您年限可以调得更高，两年三年都可以调。
[07:08.080] 没明明明白分期有多种方案。
[07:11.570] 举例比如第一种是常规的贷款就是份额，
[07:15.150] 比如说贷款本
[07:17.840] 涨幅50%在7%。
[07:20.380] 这种是吧？
[07:32.880] 百分之五十几年。
[07:34.630] 三年，
[07:36.730] 然后最高三年。
[07:38.660] 提高三
[07:40.230] 好像
[07:42.220] 还在医院工作过的。
[07:43.740] 医院工作。
[07:49.160] 月供6400。
[07:50.580] 6000多少钱？
[07:52.370] 这是一种。
[07:53.960] 每个月还6000多，一周还
[07:56.750] 利率
[07:59.650] 214,900贷款额一万五千一百九九十九的利率，相当于贷10万
[08:05.530] 2360一年的利息2936。
[08:09.540] 然后如果说我们还有第二种方案，首付一样还是50%，
[08:14.040] 年线没法做三年了。
[08:16.410] 两年。
[08:17.830] 利率2.49也差不多。
[08:20.820] 它是每个月还息后还本金，
[08:23.720] 两种方案，
[08:25.870] 还是先息后本跟等额本息。
[08:30.640] 我就讲
[08:32.520] 先交货款，
[08:36.060] 月月供，比如像房贷，
[08:38.130] 比如先用权，现在我的钱有更大的用途，
[08:42.110] 或者我手里有这么多钱，
[08:43.960] 我觉得我没压力。
[08:46.170] 4万多块钱，
[08:47.340] 对吧？应该算起来以后一个月还400多毫无压力。
[08:50.360] 最后一个月两年后最后一个月还在为
[08:53.560] 你拿去做理财，你在用
[08:56.510] 年限两年不长不短，
[08:59.680] 这种也不是一年，也不是三年不长不短，中间是
[09:03.360] 能倒一下钱，然后运转一下。
[09:07.420] 也合适，我直接回事儿，这是疫情期间段新的
[09:12.030] 因为上次
[09:15.290] 分值整体经营4月份出的方案事实8月
[09:20.080] 这个是
[09:22.060] 24个人。
[09:23.370] 这个月了。
[09:24.560] 7月份才有。
[09:25.910] 6月份都没有。
[09:28.040] 而且利率
[09:29.280] 低了0.5个点，
[09:31.750] 是脚板
[09:34.190] 以前2.99。
[09:35.850] 2.49。
[09:38.990] 两
[09:39.920] 我说三级也有资金实力，第一种我跟你说的第一种就是
[09:44.970] 每个月还款6000多的，
[09:50.140] 两年时间利率也降了，对电池点5点。
[09:56.170] 半天都不行吗？谁知
[09:59.880] 但是应该是在40，
[10:03.260] 因为6I回调，手机一块那不是低点就少点了，不可能
[10:08.420] 可能超过9万，剩下3万多，
[10:12.010] 是不是那种量这种苗头？
[10:15.130] 后面就这样你没有
[10:18.350] 不可能出现。
[10:20.370] 这是现在优惠的思想，比原来不用你不可能不缴纳，我让你要
[10:26.410] 中间时尚怎么办？
