[00:00.000] 有一个别再动身。
[00:03.390] 这一块迷惘，门口估计你身上穿辗转。
[00:09.000] 走吗？
[00:13.550] 我估计他在
[00:19.160] 我这是怎么。
[00:20.710] 怎么了？我这给他订了。
[00:22.650] 老两口
[00:24.910] 蓝色。
[00:27.120] 都困山上是吗？
[00:29.510] 张先生我就有我的名片。
[00:32.970] 魏先您好，我是咱们店的AMD销售的主管，总是。
[00:36.600] 也好。
[00:39.660] 看要一个2.0T2000 4.5秒及时回复的这种吗？
[00:45.510] 有，我先跟您说说。
[00:48.200] 咱像
[00:50.060] 前台着咱这看一下，这有一个服务公约，为宣读一下
[00:54.970] 客户维权与礼相待，诚信经营、合法得体，明码标价、公开透明配件渠道进行公示。
[01:00.630] 在销售环节我们绝对不捆绑销售，不强制消费，
[01:04.280] 售后部手脚将以晴好接通电话400。
[01:07.440] 818188我们看一下，
[01:10.540] 这块是咱们车型和服务类的价格公示，8号这的公示牌在这，
[01:16.670] 您要那搁着。
[01:20.760] A35两款，
[01:22.540] 我带你楼上看看，那边走别说了。
[01:27.380] 除了这个公式以外，我们还有AMD的，您看这款车的授权，
[01:32.840] 还有迈巴赫的授权，今天咱得有些
[01:36.100] 厂家的特价车的特卖会你也可以
[01:39.290] 不开车可以理解了解一下。
[01:42.430] 来。
[01:47.020] 这车是谁用谁开。
[01:50.290] 我姑娘现在开一个小贾枝头，但是年头多了，我想给它换一个，反正小他为了他老上海淀接孩子，吃大了没用了，
[02:01.650] 但是我觉得摔的挺好使挺快的，预算多少钱，我觉得这个价钱还能接受，就是五六十万四五十万都没问题，这车全办完了，50左右要两箱的要三箱。
[02:15.610] 一会我跟您一块不是看看了，因为对这事还真不知道，因为我的是在网上我在看准备什么时候买的，
[02:23.000] 如果我觉得要是中意的话，现在就可以买。
[02:26.780] 行勒。
[02:27.900] 来。
[02:30.300] 张先生来唐城这边。
[02:34.590] 我给您介绍您听听着您说。
[02:37.740] 您看到的就是说根据您的跟我说的符合的条件是
[02:44.080] 这两款。
[02:46.000] 这个车叫是AMD的叫A35系列，这个是原装进口的两厢版，
[02:52.480] 这个是国产的三厢版，但这两个车的区别在于这是长轴距的车着后排空间那块会舒服一点，轴距是2789，
[03:01.730] 但这两个车都是2.0T306匹马力，由于这个车轴距长一点可能沉一点，他这三乡的通路造型设计，
[03:11.160] 这车厂方给出的数据0~170度14.9秒，
[03:14.780] 这个是原装进口的，由于它楼去短一点轻一点，就是两厢少于后备箱盖，
[03:21.270] 所以这个车轻1.0~100提速给的数据是4.7秒，这两个车的指导价都是一样的，
[03:29.070] 399,800，但不同的程度上是每个车上都会有一些
[03:34.710] 特殊的选装，所谓选装是原厂来的时候人生产出来就带的，
[03:39.110] 比如说漆哑光的漆面，比如说。
[03:43.600] 什么方向盘旋钮？
[03:45.410] 抬头显示这一系列的都有，您先腿疼着急咱慢慢来，我们这也有试驾车，您先做里头感受，看给他用哪个车合适。
[03:57.400] 因为您孩子开的两甲壳虫，其实想通就算是一个两厢的车，对，所以我建议您偏离的多一点，他那车还是一个门，
[04:06.230] 知道吧？进去还得把椅子一拉，我们家俩孩子俩小孩这有孩子以后生活有翻天覆地的变化。
[04:13.910] 还有我想问你，您说这事在国内什么北京亦庄，咱这有什么时候是不知道，在质量上就稍微有一点收一点，其实这是您心里的先入为主，因为不是咱们这么理解，都这么一些，过去从买电器就说买进去的，买原装的别买组装，
[04:33.970] 还是欣赏大不太多，不会有什么太多的，当然
[04:37.920] 从心理角度来说都觉得。
[04:40.720] 但是。
[04:41.730] 您可以试试，您可以感受一下。
[04:44.500] 说里头看空间，咱奔驰车的作业都是在门子上条。
[04:51.050] 您也多里都赶上，没事，他满意的什么我不管。
[04:55.360] 孩子要尿个什么色？
[04:58.340] 跟孩子商量。
[05:01.290] 这首就行。
[05:03.790] 我觉得人家说句实话，您能。
[05:06.350] I. 
[05:06.660] I就得说说句实话，
[05:09.320] 用电脑
[05:11.510] 选拔出来的应该
[05:13.880] 消瘦，你想是吧得颜色这款式
[05:21.330] 上升后排。
[05:26.030] 那是
[05:28.650] 太小了。
[05:30.620] 做孩子。
[05:32.080] 我后来
[05:43.800] 不太一样。
[06:01.240] 这车是没问题。
[06:02.290] 你这好。
[06:03.220] 这车在时候问题多多，汽车没法销售，
[06:07.240] 对吧？
[06:08.690] 20都是2.0的。
[06:12.230] 我看着
[06:15.600] 手动的还。
[06:17.170] 不是电动。
[06:18.300] 对您这个小车就没必要了。
[06:41.010] 这牌子的车，
[06:55.050] 这是AMD的标志。
[06:57.120] OK。
[06:58.120] 我给您解释标志。
[07:01.540] 上面。
[07:02.890] 阿萨特巴赫。
[07:04.400] 阿福尔特就是这个地名，
[07:06.900] 其实在德语也是苹果的，其实那个镇就叫苹果，
[07:10.680] 这巴赫就是镇。
[07:12.580] 苹果镇，然后这边是苹果树，在这边是诉求家的和代表地面这边代表的是节气吗？
[07:19.860] 凸轮轴和桀齐名。
[07:21.350] 奔ANG它的发动机技术在进排气还有增加技术上
[07:27.890] 特别的优势。
[07:29.230] 而曾经现在您知道一汽缸都是4起码，
[07:32.560] 这四气门的技术就来源APP为代表的，两边的是月桂枝代表着胜利，
[07:38.490] 也是AM记
[07:39.880] 的一个标志，
[07:40.940] 就这么一个情况。
[07:46.510] 因为我也知道你比如像这种车，
[07:49.200] 应该说
[07:50.910] 大部分都是从国外现在的组装的，对不对？这家加一点别的配件，对，都是这也是北京的，对。
[07:58.100] 在北京组装。
[07:59.510] 这写着是吗？
[08:01.240] 我觉得这个都不重要。
[08:03.000] 是不是？你不是开吗？是什么为什么概论？
[08:14.170] 第
[08:18.670] 这对了吧？
[08:19.870] 虽然这个车多少钱，这已经100了，
[08:22.390] 就全跑完这100 120左右了。第750
[08:25.690] 您说120裸车价800，完了落地120，
[08:29.530] 落地
[08:30.580] 排量多大这3.0T的。
[08:36.510] 反正路上见得很少的，这车本身AMD的车型本身都量不大，
[08:42.450] 店里一般的能有车的就一个半个。
[08:46.470] 原来不是咱俩都在那前面那个电视吗？
[08:49.440] 没有，就在这APP一直在这不就说前面那不也是奔驰，对这是一个点，前面是md设计，咱上这边坐会我给您说说。
[09:01.960] 这是原装。
[09:23.080] 您喝点什么不用白水平，咱们说咱说话没事没关系，刚吃完饭
