[00:01.320] 出色，梁先生。
[01:14.160] 你跟我说一下坐着。
[01:16.010] 有人
[01:17.510] 两个登记的梁先生老师
[01:21.200] 来说。
[01:23.210] 你好，第一次到的。
[01:26.130] 去年了。
[01:28.580] 刚才哪个地方用过？
[01:30.590] 没有，去年七八月份。
[01:33.180] 没有看到。
[01:34.750] 刚刚新买的一样的喝点什么吗？有茶咖啡，谁知
[01:40.550] 看看咱们儿子对，我要看看35这是两个版本，这个商品在网上
[01:47.480] 还是中国的。
[01:48.580] 这是第三者的对吧？知道180万两开发
[01:52.780] 可以拿到
[01:55.150] 北京指标已经指标，
[01:59.420] 然后先简单跟您说一下，咱奔驰这有一个服务公约，简单跟您说一下。
[02:05.110] 咱们所有的价格都是明码标价，公开透明，
[02:08.570] 然后配件渠道清晰公式，
[02:12.140] 绝不捆绑销售，强制您任何消费。
[02:14.980] 比如说保险之类都不行，随便你住，然后绝不使用甲下一次充好。
[02:21.200] 然后下边有个服务监督电话，4008186188，
[02:25.640] 然后如果你要考虑分期的话，现在也不收取金融服务费的。
[02:29.750] 您是考虑支付还是有现成指标？
[02:33.020] 我是性能指标置换，也没什么可置换的。
[02:36.220] 什么时候应该用的怎么样？
[02:40.130] 我怎办那张有一张开报废的。
[02:43.340] 报废了，有辆快报废了，我先挪挪挪挪给别人用，
[02:47.240] 弄别人我就拿一空指标就完了。
[02:49.280] 所以反正如果你要是置换的话，这车厂家有个12,000的保险补贴。
[02:54.440] 保险补贴对12,00012,000这样，反正你成什么车都行，反正你只要能看懂就行，能动就行，对吧？
[03:02.940] 您不是要快报废是不是合适？
[03:05.480] 要这车852,800，
[03:08.050] 然后北京指标他们现在优惠5万，
[03:10.340] 802,800，
[03:12.470] 这就是成交价。
[03:15.500] 如果是全款的，
[03:17.950] 还有部分全款贷款，
[03:19.920] 一样不影响车价or不想车价80808,800万元。
[03:27.410] 他就这款给叫商务是吧？商务的分割的话是949,800一块就是4万多，
[03:34.130] 优惠4万等于90万，差10万块钱，他量两点知道了50元通过。
[03:40.350] 吴建直接说这没有还有没有？
[03:42.590] 我靠他们俩1360影像太多的逻辑支撑，
[03:46.960] 包括后排的作风松散，
[03:50.030] 然后包括前排的座椅记忆，这360
[03:55.290] 这钱没有了，变成到处看看，
[03:57.740] 不光倒车，大概到这里
[03:59.540] 一圈都没有。
[04:05.330] 不要。
[04:07.670] 没有，出租车都没有。
[04:10.890] 怎么进原价？二
[04:13.210] 得空。
[04:16.650] 他最近
[04:22.610] 天津一个遥控器，
[04:26.020] 你干嘛了？
[04:27.870] 他就超量这个事情。
[04:30.230] 你别说不大，这是怎么办？
[04:38.750] 也就是802,800也没有其他也
[04:43.140] 也没有其他咱们降价空间，
[04:46.640] 都能买到站都卖高价，反正也不回马，你爱买保险还不想。
[04:51.640] 对是吧？
[04:53.870] 好在这
[04:55.540] 缺少了。
[04:57.800] 这个人也是让人家自己选，没有那么高兴，你这样放开人家还愿意在你。
[05:03.660] 保险的话没有任何不一定非得上学行，比如说不是人自己可以控制自己话，咱怎么着
[05:11.170] 卖房都差不多，今天没去。
[05:15.180] 对。
[05:26.460] 给那机会上餐馆。
[05:28.690] 不断不能分期根系100万元，这才
[05:31.910] 你不是
[05:33.860] 月一个月扣那么烦人。
[05:37.380] 反正这个星期的话也给我奖金安排，
[05:40.720] 我每月房子看过什么的，自己的车
[05:44.750] 运动和利息是比较低的。
[05:47.620] 咱们车险
[05:49.450] 可以看。
[05:55.600] 公司内
[05:56.510] 在已经占到千克。
[05:58.650] 现在
[06:00.040] 展开没有那么土把它处理了。
[06:02.620] 库里面就只有现货的，基本上都是是交钱提车了吗？刚才过两天
[06:10.070] 我在他的那车都在大库里面，当时没掉过了，他是
[06:15.060] 生产期是几个月的，
[06:17.930] 这不睡觉当然具备的他们一点，
[06:20.850] 我应该在这买的自行车就麻烦了，那半年以上比如说
[06:24.990] 就完了，这是这么做。
[06:27.860] 我知道了半年的了，地板的21试试，4月份出来我4月份可能到不了吗？
[06:36.020] 起码都往上走，
[06:39.060] 两次合同过来，基本上通关单到店的话，基本上历时三个月，
[06:43.630] 4月份起码都现在一边砸了。
[06:48.340] 对你上午
[06:49.780] 买车我最烦的地方，这匹马销售一会给你分出去前来，一会给你工程一个前来他们了，反正因为以前8万他吗，然后没开销了，你后面转这些东西都开对。
[07:01.810] 行。
[07:03.850] 再看看有没有如果是
[07:06.700] 发展280090是八九十万块，
[07:10.000] 99,800千万。
[07:12.170] 有1万块。
[07:15.060] 他的消费购置税是管理27087万多，竞争占到10%
[07:22.040] 7万多。
[07:23.130] 7万多。
[07:24.650] 办大概也就是什么也90万。
[07:28.060] 连保险弄过来，
[07:31.410] 要不然那也乱了。
[07:47.720] 汉庭买车费不是这样了。
[07:49.970] 怎么没发生他们就不就完了吗？
[07:55.180] 这份没收到单子了。
[07:58.800] 到时候如果要考虑，到时候我们会给您做
[08:01.880] 外边的清洗能够用的，
[08:04.850] 这也没有什么贡献发现。
[08:08.100] 是吧？
[08:18.070] 他里边的他这里。
[08:19.740] 后面这两
[08:20.810] 太快了，我在这里。
