[00:00.330] 你往开录音了。
[00:03.830] 再给您
[00:05.570] 10分钟出什么事，你还去别店吗姐？
[00:08.930] 别品牌你还看过。
[00:11.250] 不看，基本上都定这儿了。
[00:15.920] 那个是一个什么小米保险的，小米电视5克的，那叫什么管理？
[00:21.970] 那叫代步车。
[00:23.130] 对。
[00:25.600] 这是什么？写的是只有我们店有你走了是吧？
[00:30.100] 不再管他了，不用在管了，这个显然不跟你说的，就那意思吗？就相当于白给您钱，您自己想办法都能挣着钱。
[00:37.830] 我等了5000块钱。
[00:39.070] 时间我懂了。
[00:40.820] 明白了，她对还等于电话，而且给得个。
[00:43.810] 不用再弄了，不用了，您都已经弄完了姐。
[00:47.010] 你弄错了删除。
[00:49.750] 行。那就可以走了。
[00:53.010] 那行就这么着，我们就走了形。
[00:56.090] 谢谢没事。
[01:00.370] 你好
[01:05.630] 车就在门口，他们出去出口情况好勒。
[01:10.070] 您慢点。
[01:12.850] 大姐明天我再给打电话，您跟大哥回去商量，看看要哪个颜色行还健在，沙特设备对。
[01:19.470] 这三个颜色
[01:21.190] 这边熟悉的不行，
[01:23.500] 开早享受，
[01:26.490] 白的一大堆给你看看年谁知
[01:33.210] 过端午节那时是因为赶上什么政策东西谁也没法弄，
[01:37.570] 我就想要要你知道吗？并不是爱
[01:40.260] 来。
[01:40.980] 行行你慢点，来姐姐了解好勒。
[01:46.380] 谢谢。
[01:48.960] 那个东西
[01:51.440] 是吧？
[02:00.320] 我查一下你车在哪。
[02:01.790] 等我一下。
[02:10.680] 一号差不多。
[02:11.700] 梁实秋打电话的话，
[02:25.840] 良好的销售板块来后续
[02:28.100] 那已经排了其他客户了。
[02:38.090] 花、
[02:38.980] 花、
[02:40.230] 数据
[02:45.230] 吗？
[02:48.930] 的？
[02:50.540] 谁
[02:53.110] 场？
[02:54.100] 场
[03:19.800] 销售数据
[03:21.600] 了。
