[00:01.400] 有什么
[00:02.340] 的？
[00:12.170] 这个车
[00:14.120] 谁知
[00:28.040] 场
[00:33.760] 月
[00:35.110] 场
[00:35.980] 的。
[00:39.060] 对。
[00:41.720] 过来。
[00:45.890] 场。
[00:46.680] 6
[00:48.350] 场。
[00:54.710] 这款车是450D配，
[00:58.620] 避开了一个动感豪华的。
[01:02.790] 多少钱？一百零。
[01:05.320] 105万。
[01:07.290] 这种
[01:11.390] 的。
[01:13.210] 他豪华425。
[01:18.770] 坏。
[01:25.250] 还
[01:29.860] 你说。
[01:41.970] 我也觉得是我从来没买过这么费劲的车。
[01:45.580] 厂赶到一块了，
[01:53.130] 远。
[02:07.600] 他真是受物流影响，这不是说我不给停车，我也没有，我也想赶紧交不完就完了，
[02:13.640] 咱们赶紧开走就完了，我也不想跟你再折腾。
[02:16.660] 您说是不是？
[02:19.650] 了。
[02:21.570] 对，我上回上我们这同事也帮您催着车，
[02:27.610] 结果她确实受他说发不出来，
[02:30.390] 她吵架孩子北京都不行，我们现在库存里边一个车都没有，
[02:38.340] 不是他他这车
[02:41.480] 北京生产完之后发到武清，
[02:44.460] 然后从五星再发到北京。
[02:48.920] 不5星的话是一个大的物流公司，它是因为咱们所以说这车在北京生产，但是他受全国
[02:56.070] 对吧？他从母亲天津武清啥的，直接往全国各地去发着车，
[03:01.270] 就这个意思。
[03:09.630] 这没办法，他有专门的物流。
[03:12.270] 不是看我真不是不给您，其实我真没有这车。
[03:24.680] 我当时咱有就第一回咱有车，
[03:28.220] 他不就没有了，然后再这不就出了一新款的。
[03:39.380] 对，那时候确实是。
[03:41.480] 谁知
[03:43.750] 不那时候是价格比较贵一点，我说您别现在买了对吧？我说咱现在也别那价格不合适，
[03:51.170] 对吧？我让您再等一等，结果碰到一个好的机会，好了一个价格政策之后，虽说是贵了点，但不是咱那个新款对吧？
[03:58.800] 然后我说那天价格
[04:01.520] 每天假设那天价格合适了，我说让你赶紧现在就教这就转这辆车对吧？
[04:07.670] 对，我也没想到他这车没来，你说我照顾这事我不告诉您不就完了吗？
[04:13.150] 您说是不是？
