[00:00.100] 你接你的去。
[00:01.510] 出去情景你跟我这等什么老客户介绍过了河
[00:06.760] 你看C。
[00:07.860] 这俩哪个是？
[00:09.670] 你看是这个是吧陆先生吗刚才
[00:14.490] 给你看着你不让，你猜错。
[00:17.420] 嗒着。
[00:19.690] 要突出贡献，
[00:23.950] 要不没办法了。
[00:28.480] 不是先生。
[00:47.310] 什么意思
[00:48.870] 的？
[00:49.700] 不开了。
[00:51.010] 万一什么？
[00:52.010] 就没法了，不是好多了吗？
[00:56.520] 我那天又给张扬发发了今天
[00:59.380] 家里
[01:02.160] 把片子都给他了。
[01:05.730] 对吧？
[01:07.980] 可以有这样说他写完了都回来以后还觉得还
[01:11.610] 哭着好了。
[01:13.680] 谁让盯你？
[01:15.600] 我表明听一下。
[01:17.530] 自己动手最后。
[01:30.240] 我先
[01:31.390] 我想知道一个问题，
[01:33.250] 现在
[01:34.830] 也没人定，拿不拿他也不知道。
[01:40.420] 我说放屋里没人听。
[01:43.000] 他不拿不也没人知道吗？
[01:45.300] 都部委这个东西
[01:51.490] 为
[01:58.770] 到底能不能有一家或者皮筋
[02:01.820] 在哪？
[02:23.720] 和其上或节能短道拉点吗？
[02:29.710] 你别怪庄I是吗？你不知道。
[02:33.910] 你不看他朋友圈，那就跟人瞎聊。
[02:37.440] 我看看
[02:38.400] 你自己看你手机，你给我打招呼，
[02:41.140] 我来给你找茬，
[03:04.640] 咱们也不明白了吧？
[03:08.620] 谁拿走刚才晚上。
[03:12.120] 我不能我不
[03:14.080] 开行市本，
[03:18.410] 和其它合同不大，我他妈不会打，找不着。
[03:24.840] 什么？
[03:34.840] 你别当装不知道你们不敢演戏，不是看他在朋友圈发。
[03:40.840] 是两个密码吗？
[03:43.030] 对唱。
[03:44.950] 这个地方可能
[03:48.250] 别人看你手机没人看我手机的。
[04:04.010] 自己在放。
[04:08.040] 你怎么不看你手机有你不看你不要看我。
[04:48.260] 你告诉你，
[04:57.080] 河北省。
[04:58.750] 你跟你前几天有联系吗？
[05:01.440] 不联系了。
[05:02.620] 前期在哪住都不知道吗？
[05:06.550] 不知道。
[05:08.350] 你离婚几年了？
[05:18.740] 等于你俩结完婚之后让他什么？他跟你家搬进去了。
[05:24.610] 就做洪山那边原来你参加
[05:28.550] 你家是
[05:29.890] 今天什么？经常回来。
[05:36.520] 进。
[05:37.360] 你这上班挺方便的。
[05:39.690] 以前上班的时候。
[05:53.640] 你前妻干嘛？
[05:56.320] 红酒。
[05:58.080] 你前期是空顶的。
[06:00.670] 飞哪个航线的？
[06:03.050] 以前是。
[06:08.760] 不用花。
[06:11.780] 工厂
[06:13.200] 东海
[06:15.050] 场
[06:18.790] 场
[06:24.190] 了
[07:10.470] 数据、
[07:16.130] 看。
[07:20.620] 听什么来着呢？
[07:23.270] 的。
[07:32.780] 1186. 
[07:34.340] 1. 
[07:35.270] 1180。
[07:36.880] 18611823808。
[07:40.150] 多少钱？姓余。
[07:45.760] 多少钱？
[07:47.080] 不多少钱。
[07:52.320] 不好看。
[07:53.930] 这种龟的什么都推我们在那，然后也桌子，
[07:59.780] 我跟他多少套30万花便宜不了了，
[08:02.890] 怎么张嘴就30万，
[08:07.490] 觉得这个意思。
[08:09.820] 怎么能这么贵呢？
[08:18.160] 这都不像什么？
[08:19.240] 有百万了我知道就这百万一般就不用问了。
[08:23.370] 花几百万就不用。
[08:24.590] 了，你说好几万百万买一石头，
[08:27.220] 买了钱没房好吗？
[08:29.880] 很多人就装上了。
[08:31.770] 当然他的石头可能也能升值。
[08:39.340] 他总是管。
[08:40.620] 看看这块。
[08:42.110] 他上了。
[08:50.090] 好吧？
[08:52.630] 你就直接开，我都不开了，我教你一遍怎么拍的好吧？
[08:59.210] 我这个车你给他直接计划。
[09:02.570] 你刚才提的。
[09:03.840] 不是说俱乐部
[09:05.710] 电话
[09:07.880] 抱着他
[09:10.270] 由自己处理。
[09:11.870] 是用那车的标吗？
[09:13.940] 你要自己能处理的自己处理，您觉得D的话，
[09:18.630] 反正。
[09:19.460] 不错，那男的
[09:23.550] 因为三。
[09:24.770] 06不会超过10万。
[09:28.470] 10万块钱以上差不多不会超过10万，你如果吃了12块钱，
[09:33.460] 你不是看过这个看完这边有优惠吗？规划老板有时间到什么补贴？
[09:38.350] 对吧？
[09:39.360] 而且我给你估一下吗？
[09:40.740] 对咱先。
[09:42.840] 一下咱们一会得试驾吗？可以是吧？
[09:46.210] 先用一下。
[09:47.660] 找评估师给你看看，然后他就上床了，拍卖了，看着连是多少钱，
[09:56.920] 如何。
[09:58.230] 供给侧。
[10:03.690] 八点二点几了，3.0了。
[10:06.880] 完了。
[10:11.880] 砸完了。
