[00:01.450] 7月3号，比如说客户评估接待王先生，
[00:11.860] 您好王先生。
[00:14.490] 您那个车钥匙还有行驶本
[00:35.280] 车里没有贵重物品了？
[00:37.170] 没有。
[00:38.420] 这开走吗？我不敢走远D地方了。
[00:43.160] 我说你要没有贵重物品，你可以屋里歇会儿，或者您一块都行。
[00:47.010] 就不太。
[00:59.800] 这车还没验车。
[01:04.630] 不影响。
[01:06.250] 您指的没验车就这月没验，对，它不是保险是到什么时候，保险到11月份。
[01:12.150] 保险了10月号问题不大，就等于标注一下为验车，被验车也没多少钱。
[01:17.850] 三五百块钱的事对。
[01:29.530] 这问题是
[01:30.480] 完了。
[01:32.370] 这个能做的
[01:34.980] 第200
[02:02.030] 撞。
[06:49.840] 我看办算算差不多。
[07:09.230] 有一个价格出来了。
[07:10.280] 到时候
[07:11.200] 我跟榉树说，我跟注意一下对吧？我又走了。
[07:16.680] 您这给我打电话了，我们这没什么，我跟他们行辛苦您了，没事干那这么着。
[07:34.240] 这个灯没灭。
[07:42.410] 那个灯没灭世就充了电吗？
[07:44.860] 他有时候登斓父母他们
[07:47.990] 注意
[07:49.180] 别没电了，我这也不会。
[07:56.850] 您好，王先生突然车的行驶，本车钥匙
[08:01.010] 车里没有贵重物品。
[08:05.560] 你好，我是评估师陆王，这是我的名片。
[08:08.590] 跟您介绍一下咱这边的评估流程，
[08:11.680] 今天先会给您做一个静态评估，我们这边到时候也会给您做一个动态评估。
[08:17.560] 今天先给您做一个静态评估，时间大概20分钟左右，
[08:21.930] 到时候会给您的报价。
[08:23.690] 咱这个报价三个工作日有效。
[08:27.230] 到时候如果说您觉得报价没有问题，过来交车的时候，我这边还会对您车进行一下试驾。
[08:34.550] 您看我对车进行试驾的时候有什么需要注意的吗？
[08:39.320] 您现在车里没有贵重物品，
[08:43.530] 有个问题跟您验证一下，您这车维修保养都是在4S店，
[08:54.330] 你说客户王先生评估接待王弼。
