[00:01.140] 哪个车？呀雷波？
[00:04.090] 你谁知。
[00:07.210] 噢我他妈还以为那是那个王健康。呢
[00:11.200] 呵呵呵
[00:12.460] 觉得咱们的店还是
[00:14.530] 重要的。
[00:15.530] 你像咱们科的这样一个人能跨过四五年。
[00:18.720] 您好，哪个是那个吗？对，那您别记了，您听我听我说不在质保范围之内，我还那还先不弄他的。呢
[00:26.850] 我也是在瞅着电脑不现实是啊对那口头兼职一年不到确实不在是吧？一年他是
[00:34.940] 他是跟你整车质保不一样。
[00:36.790] 他是单单拎出来的。
[00:39.460] 行那我那我帮我。我
[00:41.770] 然后我们就会
[00:44.170] 唉那什么分股还有什么
[00:45.790] 怎么了？啊
[00:55.790] 用钢笔呀这个家伙
[00:57.580] 公司不用管，
[00:58.830] 我不是回去这一条就行了，风一天
[01:01.700] 他能不能换？呢
[01:03.240] 没馋就是有味，嘛只要出生有味味没味没味我就没开过那个。
[01:09.810] 你来看一下。
[01:11.540] 啊
[01:13.840] 我看一眼。
[01:20.030] 第二个哥你知道吗？然后不是还有一个那赵回吗？
[01:23.060] 对。
[01:23.850] 写封信。
[01:24.870] 你说哪年的车我看看。
[01:26.750] 19年。呢
[01:28.670] 他们是从这就开始露，然后这水就从这漏了。
[01:35.470] 给一块给你查查。吧
[01:37.400] 你查一下，啊那我待会那个你等会啊我找一下，你加我微信待会发给我。
[01:45.900] 这里边你底下湿了吗？
[01:52.550] 也还好，反正上班。
[01:55.230] 从这灯往下滴的水是吧？
[01:57.920] 然后给那个
[01:59.740] 给刘佳熙发了
[02:09.230] 你的名字。
[02:10.000] 你这样吧你这样发完了等会等会进去，您那个我那上边有那二维码给我加个微信。
[02:46.070] 1460
[02:50.550] 14,690元。
[03:14.880] 行行
[03:15.720] 好的好的，坐下来吧来。
[03:24.020] 这手机号你在他里面。
[03:25.130] I'm sorry。
[03:26.550] 我就拿两三千公里。
[03:28.390] 你小孩您帮个忙给他，15分钟以后要强行要早晚
[03:41.880] 后背香漏水。
[03:57.030] 噢行。
[03:58.360] 嗯您稍等一下，您的那个身份证件带了。
[04:01.440] 身份证没带加加多少加多少也行。
[04:04.680] 是一种什么样的感觉？
[04:06.400] 第一个。
[04:08.800] 我加了。
[04:12.400] 他的号码
[04:16.880] 的。
[04:19.400] 下午来下午来。
[04:21.300] 这个
[04:26.560] 电话呢也是
[04:27.790] 嗯嗯
[04:29.180] 就是因为我们这个
[04:32.720] 我们家的微型的
[04:41.890] 噢
[04:43.160] 好
[04:51.960] 我没有办法。
[04:53.140] 比较希望。这个
[04:55.280] 好。
[04:57.470] 134
[04:58.950] 666，
[05:00.160] 39669。
[05:03.450] 身份证号码。
[05:05.120] 是19我的1992这个事儿。呢
[05:10.130] 我不知道你看了没有。
[05:12.020] 海淀的学东巴的对。
[05:15.120] 呃
[05:20.050] 那个人那个你们刚才
[05:24.400] 你先找一下，我看能不能找到你。
[05:26.280] 他手机号多少？
[05:27.570] 就是这有有那个什么这是他的手机号是你叫他我让他给你。
[05:33.100] 那么这个
[05:34.430] 那么
[05:37.730] 是什么时候？
[05:38.680] 对。
[05:39.030] 啊
[05:40.040] 对，加快一点他手中的
[05:42.460] 噢
[05:43.450] 组织人才培养。
[05:45.000] 他让他给你发过去，您把您的电话给我1861。
[05:50.710] 没有了，吧我我不需要他的，我需要您的。
[05:54.570] 因为这信息是您的。
[05:56.180] 挺好的，对1861。
[05:58.860] 好031。
[06:01.160] 嗯
[06:02.030] 0310695。
[06:04.500] 光伏产业是比较苦的，对，而且这个主要是
[06:09.630] 北京公安局啊
[06:11.010] 市局要和我一样，不是排查那个那个那个那个那什么是吧？
[06:15.660] 我跟他没关系，他是那个
[06:17.730] 查车查人。
[06:19.380] 因为签证
[06:21.440] 公安局的这些系统，
[06:31.800] 客户反映后备箱漏水，
[06:34.450] 我们看到。
[06:35.320] 这个
[06:36.140] 我们还没有。
[06:37.180] 这是没我事了吧？
[06:40.440] 嗯稍等。啊
[06:41.390] 行，没这事儿咱就走，吧啊对。
[06:45.840] 到时候我给你打电话，然后这个
[06:48.100] 等一会您收了。
[06:49.490] 行你搁车里边吧行，你搁车里边。吧
[06:53.520] 给我发过来了。
[06:55.230] 你看一眼，你到时候应该给你发一眼。
[06:57.600] 我们来看看。
[06:58.660] 他就在哪做，他够他够厉害的，还挺冲啊就是正常盖，这事吧就前两天下大雨，对对对。
[07:05.660] 脚上盖，然后一打开
[07:07.110] 到时候应该给你放，行行行没问题。
[07:10.510] 行吧那没事了，啊您过来您加我微信，有什么事我跟您微信沟通也行行，直接我跟他联系是吧？
