[00:01.270] 接待首次实现了，现在开始。
[00:04.350] 现在主要是这车没货，对这。
[00:09.630] 大概就是说这个月的话应该现在去了
[00:13.610] 多少？
[00:14.720] 您是池先生是吧？
[00:18.060] 抱歉让您久等。
[00:19.480] 给一张名片把它叫做至阳银行账号结合进去。
[00:22.360] 咱是第一次来，对没有预约过没有？
[00:25.800] 起码有饮品，咖啡喝的茶，你要是行没事，咱找个月做过。
[00:31.410] 车都了解完了，大概都了解差不多了。
[00:36.010] 咱找一个中位。
[00:41.750] 这边我们坐着搜救。
[00:53.990] 坐着休息。
[00:57.710] 对，就是去税的前期。
[01:00.190] 旅行是吧？
[01:03.640] 主要是考虑两驱的
[01:06.330] 两区的
[01:07.670] 我给你查一下资源。
[01:10.400] 咱这没有是吗？
[01:11.660] 我不一定有钱错
[01:14.280] 了。
[01:15.630] 后面了。
[01:16.820] 了。
[01:18.170] 刚才说了。
[01:21.990] 然后简单聊一下您需求置换吗还是置换是吧？
[01:26.820] 等等。
[01:28.830] 二
[01:30.990] 三
[01:35.140] 最后银行的利润还有价格，这也就是用他用是吧？销售价格
[01:45.920] 392,800，然后路上有两台白色的一台盖蓝，什么时候我们更清楚一点？
[01:55.880] 但是这个有点戴口罩点礼金是有两台白色的，这两台是白的，有一台盖蓝色的。
[02:02.980] 这两个但是你要订再等的话，时间会
[02:06.140] 遇到港有一台是7月6号盖蓝深蓝色旅馆，
[02:10.760] 应该是蓝色是什么风险，一会我们外面有个试驾车的颜色，到时候带您看看，然后盖蓝黑色内饰。
[02:19.900] 这个有优惠吗？有。
[02:23.500] 我给您看看里面。
[02:25.280] 39万对392,800。
[02:28.390] 小姐是多少？
[02:29.770] 2万。
[02:33.320] 然后正好
[02:34.720] 因为
[02:35.500] 我们奔驰起来奔驰看车有一个流程，我先跟您说一下，
[02:39.620] 一会儿又忘
[02:41.560] 了奔驰的服务公约，我简单跟你宣读一下。
[02:44.660] 客户为尊为您做您的，不是我说我稍微大点声稍微大一点再离得近点，
[02:50.130] 然后客户为尊以礼相待，诚信经营合法得体，明白为假，公开透明，绝不环保销售强制消费，全部使用驾驾驶自动，好，下面有40088进行监督。
[03:00.130] 奔驰出了这个以后，整个汽车行业，咱们第一个你要考虑分期，没有任何分歧不，
[03:05.620] 如果你要考虑分区，只要自己花力气就可以了。
[03:09.190] 然后颜色这一块到时候一会我给您看一下，您再确认一下能不能接受。
[03:14.280] 您这边倾向于什么颜色？
[03:16.340] 你要怎么做？
[03:20.130] 也没什么，反正我们这两台资源好看一点的。
[03:25.890] 谁知
[03:29.400] 月光石灰，
[03:32.840] 月光石灰，
[03:37.510] 主要是你是用
