[00:01.160] 不对吗？
[00:14.840] 老师崔女士吗？
[00:16.080] 你好，销售顾问怎么穿着我的名片，是第一次来店，没有对之前电话联系过吗？
[00:22.350] 没有是吧？
[00:23.440] 看看您看车，
[00:25.160] 我就想看类似这样SUV这种是吧？
[00:28.530] 行，水有茶水，咖啡困难时候有什么需要吗？您？
[00:31.670] 等一会儿说说，咱们这有衣服应该跟您读一下，您听一下就行。
[00:37.280] 客户为根，以礼相待，诚信经营、合法得体，明码标价，平台透明，配着其它新兴市场，
[00:42.810] 绝不捆绑销售，强消费，绝不使用假假也不挺好，有一监督电话4008818，
[00:48.990] 您是想买个什么价位的？
[00:51.630] 是不是你
[00:53.660] 10万以内的是吧？50万以内的，但是现在您可以看plc，
[00:58.600] 因为这J lb这个级别要比lc低一点，就是30万左右。
[01:05.800] 这个的材料是多少？
[01:08.200] 1.31.33P为他2.0T的gl，C平时是您家用
[01:14.990] 个人用是吧？现在开的什么车用的怎么样？
[01:18.440] 我现在的现状，然后打开的是
[01:24.240] 那天上班他置换吗是？
[01:28.020] 那边只要对
[01:39.310] 这款
[01:41.800] 对。
[01:43.160] 这是咱们家他是2.0T排量的，而且是四驱的，整个的
[01:49.050] 这个车的级别是在40~50万之间的。
[02:00.230] 对lc R60。
[02:03.150] 对260没那么贵。
[02:05.430] 20这款是394,800的，
[02:08.040] 然后就会马上基本上在现在搞活动，
[02:11.970] 基本上在35万上下，
[02:14.070] 然后全办下来也就在三十八98,000还是非常合适的，性价比非常高的一款。
[02:19.280] 你在过去您再接着交互上，您换了您是分期还是全款，然后再说
[02:27.690] 都可以，行，分期的话奔驰也是第一个承诺客户不分期服务费的。
[02:33.760] 买车时间大概在什么时候？
[02:36.310] 合适就卖合适，关键你现在有现车的有限课有吗？对颜色有什么要求吗？
[02:44.050] 这个是什么颜色？黑色。
[02:47.150] 都有什么颜色，一般法是黑的，白的是最多的卖的，然后其他的颜色有什么？
[02:54.560] 看着像黑又不是黑，
[02:57.600] 叫什么石墨灰。
[02:59.310] 妈妈也有那种颜色，当然那种相对少一些，当然看有没有现车。
[03:05.000] 黑色有现车，对，黑色是肯定有现车的，也还
[03:09.120] 我去了一个店没现车还了得一个月，因为咱们店的特点就是突然相对来说丰富一点。
[03:17.760] 对，突然丰富一些，价格优惠很多国际的价格肯定优惠，因为现在有活动。
[03:23.590] 不是就说底就这样了，对，肯定是有优点。
[03:27.060] 跟其他店比也一样，对咱们的游客还是非常大的，对离近吗？
[03:34.010] 还可以是吧？
[03:35.910] 如果说合适今天有活动你也可以定下来，然后这车给您介绍一下。
[03:40.080] 行，反正GS1L50就是说
[03:43.030] 说白了这款是他的供暖版，也就是入门版，但是这款实际上是性价比最高的一款车了。
