[00:00.000] 系统里有11号接待保养的老客户，再看看车子的开始。
[00:06.110] 我是怎么说您叫小卢就行了。
[00:13.960] 我给苹果送去。
[00:15.420] 消费，咱等会儿修。
[00:20.650] 我开始唱歌，一手拍出来的就是一个代步工具，上下班没什么大声没有。
[00:27.340] 因为小剐蹭可能有过，像好像昨天就蹭了一下发，
[00:33.100] 但是大致上从来没受过，因为我自己一手开出来的。
[00:37.920] 他也没有出过什么。
[00:40.520] 主要是年头长了，对主要。
[00:43.280] 修了什么的你觉得。
[00:46.110] 对，您没接电话，您没必要去保险了，是保险干嘛？
[00:51.970] 也当时不什么，因为我呆着没到8月底7月底就到期，
[00:58.240] 保险公司最后都整天跟着了，
[01:02.430] 快没事正好可以退。
[01:04.970] 我先看一下我跟商量。
[01:08.880] 有一个邪教跑纯进口车是整车，进口的车的话原来一小时换，平时是不是您自个开？
[01:17.940] 就自己。
[01:22.050] LC有点圆润的，咱们厅里看哪个车轿跑呢？
[01:26.680] 刘备那种这是咱们二手车卢师傅阿姨这有一支OK开10年了，老跟咱们保养上保险什么的评估一下，然后换再换一个说就是10的
[01:38.300] 一整了咱应该是我看那就可能09，
[01:46.470] 因为好像你们
[01:47.650] 给我打个电话，您车子的计划
[01:52.150] 已经忙的。
[01:55.450] 您这边这个车也是您的名字对吧？
[01:58.100] 不管是
[01:59.030] 您属于重构了，
[02:01.390] 重重重复还有补贴。
[02:03.780] 对。
[02:04.950] 之前
[02:05.740] 您看您换什么说了，首先的不一样，我们该T还是怎样全面的开展。
[02:10.590] 这是您的名字吗？
[02:16.510] 天山到底原来有跟那个小伙子了，
[02:19.310] 我买了。
[02:20.070] 你是什么车了又买。
[02:22.740] 它是什么样子？
[02:24.390] 小狗。
[02:27.030] 这个车还是400吗？
[02:29.340] 你这车吗？还是老款的是什么？
[02:31.880] 模仿。
[02:36.110] 过年。
[02:37.130] 这样
[02:57.760] 我认为老婆行驶本。
[03:00.950] 什么时候的？
[03:04.960] 没看错掉过去。
[03:06.800] 豆角扫一下那行本，然后吊销维修记录。
[03:10.750] 松既没有受过大箱，你去看这个
[03:14.200] 蓝色的。
[03:17.780] 搁戴总那朋友没跟您说大概几点过来是吧？
[03:21.540] 因为人比较多，我就先接客户了，
[03:24.820] 回头到时候他怪来了，您跟我说，然后我就等着他。
[03:28.540] 如果说
[03:37.640] 从这边。
[03:39.050] 说有一次变更。
[03:40.330] 你的大绿本可以看出有没有过我这一块。
[03:44.950] 不是结婚今天礼物怎么可能？
[03:48.470] 卖给对您看我的号结婚20年的孩子，
[03:55.690] 找这个了吗？小绵羊。
[04:02.130] 所以孩子。
[04:04.720] 对打
[04:06.210] W0020
[04:13.760] 结婚时买车当时
[04:15.650] 纪念日结婚今年20年。
[04:18.260] 行，反正你们结合过
[04:22.570] 答我一定。
[04:24.120] 五估计是中午还是下午？
[04:26.450] 行。
[04:28.060] 在大同，但是小马精品那种小刮小蹭。
[04:32.420] 刚才还好像还换了一个什么东西来的时候，
[04:36.490] 当时都是4S店的东西。
[04:41.230] 不是。
[04:42.320] 发电机。
[04:43.030] 膀胱的一个东西。
[04:44.080] 谁知
[04:45.280] 只是眼睛挺长了，10年公里数还行。
[04:49.330] 对，就公里数少，但是这是年头多了。
[04:53.450] 跑了8万8万到顶了了，完了。
[04:57.280] 10
[04:59.380] 中国。
[05:00.700] 好，我们等。
[05:06.810] 您怎么
[05:07.800] 怎么称呼您？
[05:08.720] 王惠萍。
[05:09.820] 王敏，王慧婷。
[05:13.880] 您的电话？
[05:15.640] 186. 
[05:16.550] 1860098. 
[05:19.050] 5695。
[05:21.770] 也许这留过一个133的，
[05:24.290] 但是我就知道应该无所谓。
[05:26.680] 没关系，我觉得。
[05:28.280] 走过这么
[05:35.520] 就是说平常正常开没有问题，
[05:40.180] 到。
[05:41.910] 不这个是。
[05:43.720] 第。
[05:44.270] 一次进北京第一批进来的时候买的，所以他是元进口的，
[05:54.240] 不是我这边头条我就懂。
[05:57.540] 6万。
[05:58.690] 你们看出来了多少？
[06:02.750] 我以前车牌号
[06:04.600] 差不多都挺好的。
[06:14.290] 后来当时在这修都买票那个条说车就没有这个条，没这款。
[06:19.890] 后来他一看第
[06:22.520] 里头外头弄了两个东西。
[06:30.090] 后一次是裙子。
[06:31.590] 有一个。
[06:33.560] 施工。
[06:35.640] 这东西是什么？验车。
[06:38.290] 他就非要说那车你们知道跟车和挑战去那个地方毕业。
[06:42.790] 有。
[06:43.690] 谁知电车的非不够，我说你看自动挡的车他可能会流出来吗？
[06:50.120] 他就故意
[06:52.000] 说的没就是说典型，我还得去三四天，我就不让他们收这钱，我这4S店我花了钱我。
[06:58.020] 三
[06:59.790] 单子现在还在和他的
[07:03.670] 这只是个小把自己看我不错跟我清楚的。
[07:07.440] 前门和组成的
[07:09.800] 通过7。
[07:11.690] 把通过七谁知
[07:16.310] 窗口期是什么？院里的。
[07:19.490] 就把那个刀
[07:22.710] 在这个的。
[07:23.700] 给我掉的。
[07:25.830] 车上就给把他送到7
[07:27.500] 上，他就在这碰到，
[07:42.160] 就别塑料板。
[07:51.210] 老早14年
[07:52.840] 有时候
[07:53.770] 很早这肯定
[07:55.960] 希望的。
[07:59.560] 他们都是了。
[08:00.970] 带有没有东西没有。
[08:03.040] 但是还放过一个
[08:04.450] 在你们这帮
[08:06.400] 做到了
[08:07.380] 还是不错的。
[08:17.470] 这是怎么了是？
[08:18.500] 因为气囊召回会对。
[08:22.530] 行，您行驶本不好？
[08:24.920] 然后
[08:26.550] 谁知
[08:28.270] 谁知
[08:29.710] 好不容易。
[08:31.990] 我们先看看桌子，我现在您看桌子看书说
[08:37.720] 要什么拿东西。
[08:40.870] 行，我先说多是吧？出来你给我打电话行的，做一个两次奇怪，我也感觉不是我同事，
[08:50.910] 你知道吗？我听说朋友在我挺固执的有点小毛病，我就赶紧修复，不是自己一手开出来的，因为别人。
[08:58.560] 弄的不行。
[08:59.680] 懒得修了，像其他公司里边也不
[09:02.150] 没有什么不干净了，都有点什么效果吗？
[09:05.850] 我就赶紧去修了，其实倒是肯定也没有必要，但是你
[09:09.510] 觉得自己开就是这样子。
[09:11.540] 他看到打听说喷过一次漆，因为我们楼上爆炸了，掉下来玻璃渣给
[09:19.920] 肯定给毁了宝宝之后，
[09:22.620] 见了对了。
[09:27.010] 已经空了。
[09:28.160] 其实我知道喷的肯定不太好是吧？
[09:31.280] 了，反正终归不是像原车漆那么多感觉。
[09:37.680] 但是不太理想。
[09:42.880] 行，那没看出一会你出来结果你告诉我吗？
[09:46.680] 谁知道我把车门锁了，
[09:51.060] 还有什么？
[09:54.710] 买。
[09:55.440] 毕竟咱们谁知
[10:06.800] 在买车您不想买白色的的
[10:10.040] 孩子。
[10:10.980] 也行，但是
[10:13.170] 我不想买黑的，你知道在北京太多卖光了。
[10:16.990] 对看点我的车不显，下午你这黑车
[10:21.040] 你刮的一点我在
[10:23.120] 拿着可能选择了已经不知道没了，我还缺血，其实也是显得说话紧握对都是千还是有点
[10:30.510] 还
[10:31.260] 这两种颜色吗？
[10:33.190] 应该是灰的银的。
[10:36.030] 银子的，然后
[10:38.080] 莫辉。
[10:40.070] 我真的
[10:41.560] 其实灰色是最难过。
[10:45.030] 到教皇原来自然Q刚出来的时候，只有白的都是灰的，
[10:49.480] 但是后来出了好多颜色，
[10:51.680] 后来做了，因为老弟买的时候，当时别亏的故事不再上网看的，
[10:56.820] 后来一看黄的效果
[10:59.040] 的好一点，给你买这事，人家别人定制的交个5万块钱定制的没卖，
[11:04.170] 就要我要的，这样的何苦没必要。
[11:08.520] 所以不会以前别再说后面这个东西，整车镜头只要睡觉好了，手机
[11:14.850] 这块
[11:16.520] 都伴随着
[11:19.430] 有点像特斯拉，也就是用水说完没法看卖了，
