[00:00.000] 也大概了解过这车了是吧？
[00:02.980] 这看见经常我也您他们在奥迪吗？
[00:08.600] 对。
[00:08.870] 对跟我们说，我以为跟我就说了一下，就有个客户要开着车，
[00:13.460] 然后我以为是您刚开始看，
[00:17.360] 没办法看您朋友出去了是吗？他是找您的吗？没有。
[00:23.880] 他说
[00:24.740] 是不是他怎么找的呢？
[00:28.150] 溜达溜达了，行行。
[00:30.570] 然后因为我感觉我也逛了几天，感觉价格基本也都做样什么，基本也都
[00:36.930] 优惠优惠价格也优惠不了人了是吧？
[00:39.190] 因为您看着志愿豪华，我刚刚也听梦云说了，其实就是93,000的一个现金优惠，基本上都也换了几家店了，对，就是说不好听一点，您在逛景点也就这几个三现金部分反正就这样了。
[00:52.490] 然后无非就是装饰部分跟保养部分了，因为你像您坐我先陈文教派，
[01:00.750] 对，然后就无非。
[01:02.750] 没错。
[01:03.750] 然后睡着他给算了，他是跟着这个车价来的，您明白吗？
[01:07.720] 姐姐睡跟这来的这没什么可聊的，保险的话对我们家是没有什么险种要求，这个还算比较靠谱，只有像别的店，我不知道您看哪几家店，
[01:16.800] 别的店可能会有一些，比如说保险的话有险种要求必须要上盗抢什么的，我们家没这要求。
[01:23.260] 比如说你商业全险差不多在1万或1万多一点，
[01:26.500] 11,000左右，
[01:27.700] 你要是上四大主险可能也就8000多块钱就够了，对，这看你怎么算法。
[01:32.450] 然后验车这3000也大家都有，这个系列大家都有。
[01:36.030] 然后我看他给您就是说是给您送了一个4次保养，
[01:39.490] 然后装饰他跟您说了吗？
[01:41.320] 没具体聊是吧？
[01:43.600] 我大概跟您说一下，装饰这边咱朋友圈上就我都给您
[01:49.880] 像贴膜，
[01:54.080] 脚垫，然后后备箱垫，
[01:58.040] 后郢乡的一个店，然后还有一个行车记录仪。
[02:02.720] 对，基本上这车就是这些。
[02:06.150] 基本上这车就保养还是多备几次。
[02:08.840] 有一说一杨哥
[02:12.230] 他给你送了4次保养，
[02:14.090] 我会去给你问，我会去向领导去给你问，你比如说你生成5次，
[02:19.650] 但是你要再多，我有什么说什么5次是一大关，
[02:24.120] 我41大关，因为这是4S店，他不是说跟说几次打包送，不是那么回事儿，哥真不是这么回事。
[02:32.110] 保养对他也是有成本概念了。
[02:34.440] 对，然后基本上他们大概就是这样，你要说要个7次8次这种。
[02:39.560] 真到不了那个。
[02:41.480] 但是我不知道您逛的是哪几家店，有的店能到比如说6次或者7次，
[02:46.940] 为什么说他们家能到？
[02:48.500] 您说没事，您说为什么有的店能到？他们家是属于那种我看您分期是吧？考虑
[02:54.550] 首付20%，贷款80%，一个月环这些对吧？服务费
[02:59.760] 这是不指点。
[03:01.420] 分期的话这合适，对分期应该这是中行的一个分项，还只能做中行分切，
[03:07.790] 这个是只能做中行特意推出的这么一个政策，这是。
[03:11.770] 然后有的电他是可以送这些保养，但是为什么他们能送这些？
[03:18.100] 是你需要在他们店交完首付款，40天50天甚至俩月你才能把车开走，
[03:25.470] 你把所有的钱都交出来，有的店他就说一个月就卖不了多少车那种的是吧都。
[03:31.020] 他是一个月卖不了多少车是一回事，它是需要拿你的钱去赎上一批买车人的车。
[03:37.520] 对，然后再等着下一批买车的钱，出您这批车，把车再给您，是这么一个流程，所以说他那个时间不确定，
[03:45.610] 他宁愿会多，比如说多送您一次两次保养，为了留住您在他那买车这事有这么一种情况的，
[03:52.620] 但是有什么就没法跟说咱正常的4S店进行比了。
[03:57.370] 对。
[03:58.160] 那种你买的也不靠谱，对不对？
[04:00.460] 对然后在那一次保养两次保险咱不靠谱那种，其实我估计
[04:05.390] 武装就都选了OK，到时我会去给您问一下，我继续给您问，你要说67478次估计没什么戏。
[04:13.030] 左右。
[04:14.130] 对，您颜色青什么颜色这车？
[04:17.330] 白色。
[04:18.340] 白的是吧？白的我给您查一下他有没有现车，我记得应该是有，您查了现在的画家手不是多少。
[04:26.490] 什么时候教什么？
[04:28.350] 您有一置换是吧？
[04:30.700] 兑换您已经评估了，先等着已经哭完了是吗？
[04:36.030] 行，然后等着他给您出价格，然后比如说你今天交了一订金，然后我州等贷款的话，差不多得周一周二左右能批下来，
[04:46.130] 比如说周一批下来，周一当天就把贷款批下来了，你周二就可以带着你的旧车过来把旧车放在这，
[04:53.220] 然后把钱给我交了，把新车开走就可以
[04:57.250] 了，那显得就都已经上好了，对当天就能全都能。
[05:00.760] 对当天成交没事吗？排上完了100牌吗？临牌当天没问题，名牌没问题，您就开着菱牌就走了。
[05:08.600] 联排走了以后的话，
[05:12.370] 开临牌就走了，临牌走了以后，然后就等着就车我可以去给你过户去，因为就是说他给您这个价格以后的话，
[05:19.910] 我们就会去把旧车卖掉，就去给您过户，然后过户费这您就都不用管了，对这边二手车的人会这指标人是您谁妈是您母亲是吧？到时候会用到指标的身份证原件，包括买车的时候当天也需要用到它指标人的身份证原件。
[05:37.180] 对你母亲在北京的时候那没问题，
[05:39.820] 只能用到他身证原件，然后去办临牌这些，
[05:43.360] 然后去二手车过户，
[05:44.980] 二手车过户完以后的话，大概4个工作日，
[05:48.360] 指标能更新出来，
[05:50.130] 指标更新出来以后，在
[05:52.990] 指标更新出来去交税，然后去新车验车这么一个流程。
[05:57.840] 对。
[05:59.660] 等正常开的时候验完车之后，
[06:03.380] 您临牌以后您可能直接正常开了，中间不涉及到段。
[06:08.180] 对，中间您把旧车放在这，当天就把新车开走，中间不涉及到。
[06:12.180] 但是
