[00:00.240] 接了二次客户李女士，
[00:03.720] 五仁，
[00:11.120] 完了
[00:13.740] 了，
[00:17.420] 现场
[00:22.210] 要
[01:01.710] 领导讲话。
[01:04.260] 像迈巴克说以前评价
[01:07.800] 了
[01:09.300] 迈巴赫优惠4万。
[01:11.340] 对我妈妈的梦想，
[01:14.210] 以前是才加价了。
[01:17.280] 今天开始。
[01:18.340] 3648优惠4万多少钱？
[01:21.160] 1,458,800，原来150。
[01:24.010] 150万，
[01:25.750] 以前光做车指导价是100，
[01:28.740] 没调税之前是140将近150就达150，我A8开了三年能置换多少钱，可是
[01:39.110] 我得让通知给您看。
[01:42.100] 您打算拿这车换了？
[01:44.020] 哪里说目前没考虑。
[01:48.380] A8您当时买了多少钱？
[01:50.220] 90%。
[01:51.630] 对吧？煤矿
[01:54.320] 10块第7块，
[01:56.230] 不是我说什么配置的。
[01:58.150] 他不知道，那我不知道。
[01:59.820] 不知道了，因为A版现在降价比方特便宜，
[02:03.510] 没吧，你要好点的，
[02:05.650] 一般一点的60多万就能
[02:09.030] 货车
[02:12.220] 走一发现降价行不行？
[02:18.890] 咱们来这行这行几乎没什么人行。
[02:22.480] 我们看看这个领导他没来了，对那就
[02:26.490] 了。
[02:27.880] 这边这厅几乎没什么人。
[02:31.520] 我这假你能把该办的手艺做饭点
[02:35.200] 还不行是吗？
[02:37.320] 行，但是没用。
[02:39.230] 下回该怎么办还得怎么办。
[02:53.430] 对。
[02:54.480] 您当日
[02:57.790] 到底是周六日。
[03:12.410] 您这边过来。
[03:13.780] 我给他看。
[03:15.250] 我再问问这点，
[03:20.360] 一点客户外部客户对外汇账款
[03:27.310] 这是迈巴赫，你上车可以感觉一下，拉开车门上车可以感觉
[03:31.950] 一直特别喜欢。
[03:33.790] 我觉得这轮毂也好看，我不喜欢杠是新款的多少钱？
[03:39.530] 这个车您坐的最佳位置是应该在那边对司机。
[03:45.550] 但像我这样的资金就做不是卖书都是那边比较合适，也没第三人进来。
[03:53.670] 我看那图片上
[03:56.830] 好像
[03:57.950] 什么样叫按摩仪似的？
[04:00.560] 贵。
[04:04.980] 这是最简单的迈巴赫。
[04:11.500] 废话肯定不错，
[04:13.280] 他做一腿是可以这样排下来的，
[04:17.000] 没事你就正常放就行了，这能放水就行了。
[04:20.120] 按摩似的。
[04:21.310] 也不是按摩椅。
[04:23.420] 为什么说最佳舒适度是在那边呢？
[04:26.350] 因为甭管是您自己开车或者司机开车，司机座也不能动的，对吧？
[04:31.190] 因为他要考虑到安全这方面是不能动的，
[04:33.880] 那个座椅是可以前后移动的，往前面走，如果先生做那边他会有一个一键放倒，就把
[04:41.170] 前排座椅可以一圈放到最前面，
[04:44.000] 这样你做起来会比较舒服，度比较好，对。
[04:47.370] 对这样。
[04:50.230] 就这样。
[04:54.170] 明天。
[04:57.010] 稍等。
[04:58.530] 这值多少钱？
[04:59.680] 哪个？
[05:00.960] 这个是1,458,800，现在能优惠400，明年。
[05:06.600] 140。
[05:07.820] 141。
[05:09.850] 它是优惠车款和保险一块有关。
[05:13.900] 毛钱不来钱。
[05:15.080] 保险差不多得三块钱。
[05:18.010] 都睡。
[05:19.590] 购置税得是多少钱？80多万。
[05:23.120] 全部发下来160。
[05:26.670] 150差不多，不到点160也差不多了，我知道这个就是柏林之声音小。
[05:33.960] 你看
[05:34.770] 我把那50万的车也待着一起都一样，
[05:38.160] 不应纳瓦数没有这。
[05:41.530] 其实我不知道您听过普通的印象也挺好的，也挺好，感觉对跟柏林之声音响，感觉区域不是特别的普通人，你
[05:50.960] 真听不出来他们，而且。
[05:52.730] 奔驰音响本来就挺好的。
[05:55.720] 真是听不出来影响效果。
[05:59.170] 这车确实不错，这不是黑色的。
[06:01.560] 这叫摩卡黑。
[06:03.340] 这个挺好看的。
[06:05.000] 这新出的也和星星款新书，
[06:13.070] 然后他这边会有一个一键放倒的功能，
[06:17.990] 但这车可能是通了电以后一按，它前排座椅后放到这边有腿剥离出来，这块抬下来的都会有。
[06:27.240] 没接房了。
[06:28.300] 电吸门都有。
[06:30.670] 这是他入门级的。
[06:35.080] 我今天约过来一客户是买680的，680是多少？
[06:39.360] 那个是300多。
[06:40.980] 300多万。
[06:42.240] 360。
[06:43.230] 五。
[06:43.960] 那就是说什么样
[06:46.690] 这个。
[06:48.550] 想象这对中国也是这样。
[06:52.480] mic享用了，如果说买完这车还改变。
[06:56.750] 怎么我人家觉得好多东西都不好。
[07:03.150] 相当于我绝对不
[07:05.310] 散会，你知道这个价格如果去隔壁
[07:08.660] 薄杰百度海燕还甭想说随便配置，对。
[07:14.430] 随便选也就是普普通通，明显更商务吗？
[07:21.010] 这就偏商务，但是这车坐下来收拾做博弈，
[07:24.940] 真的。
[07:27.020] 我倒没坐这车跑，承诺就从库房那边开过来，坐在后排空后排，这块感觉都不一样。
[07:43.280] 打了一把换了。
[07:45.420] 算了。
[07:46.280] 看着发刚买完了填了望关税就这样了。
[07:50.950] 但是应该是18年年底。
[07:54.640] 我忘了，反正也是夏天。
[07:59.140] 而且黑马就新出种类的新书，千万不要
[08:05.980] 再等2月3月。
[08:07.520] 看看情况。
[08:09.310] 所有奥迪的车新款刚上市的车都是没有优惠出来卖的特别好，你分个两三个月能优惠七八万五六万怎么样？
[08:17.740] 当地的老师有可能。
[08:19.390] 别不敢大规模。
[08:22.110] 奥迪户口值是因为在哪？他的新歌降价幅度太大，
[08:26.260] 您想您当时买到9个万，现在奥迪可以跟钱有多少，但他们在体制内工作有
[08:33.790] 工作经历的人，他们对奥迪还是有企业对
[08:37.320] 这么多年以前也做到了，后来就自己办，也觉得
[08:42.090] 我还是喜欢奥迪的一种习惯。
[08:47.890] 其实也就是一种情况看您
[08:49.830] 首先产品
[08:51.270] 他明年不希望看着办，
[08:54.270] 还是一开始我其实是看到
[08:56.720] 那个时候觉得资金还有点，然后了上明天这种车别人买这种车的100%都在一块的，我算发现了就迈入高端的车，
[09:07.610] 越是高端越大，
[09:10.690] 电动车没人首付50%了，
[09:13.630] 多少买电动车都带整数，100，
[09:17.050] 就带100。
[09:19.120] 咱利率。
[09:21.000] 利率年化利率3.72，高萌。
[09:24.660] 刚刚他说。
[09:27.320] 买这种车的一般带一个整数带100。
[09:30.630] 然后。
[09:31.800] 年画是3.72，对。
[09:34.240] 而且他
[09:36.020] 对做他这是做建行分期的。
[09:39.100] 建行分期有优势在哪？
[09:41.340] 谁知
[09:42.880] 奔驰金融就没有利率优惠了。
[09:45.280] 了。
[09:46.220] 有利率优惠的建行了，建行有利率优惠。
[09:49.720] 建行做这有一个优势在哪？它可以带一整数100万，
[09:53.910] 然后最长可以贷到5年。
[09:56.230] 如果说您带了两个月或待了半年，我不想带了提前还款，没有任何的违约金，
[10:02.920] 这是它的一个优势介绍，等于首付六六四十万50万。
[10:08.000] 对5050多万车您就能开走了。
[10:11.830] 你看完了A班置换估计也能够至少得50万没问题不？
[10:16.960] 对。
[10:17.980] 一定。
[10:18.950] 评估多少不？
[10:21.180] 对疾病人贴不了多少钱，咱就举个例子说不了。
[10:24.720] 50万。
[10:25.850] 因为它新车在那放，新车才60多万，确实你怎么
[10:29.320] 介绍不明白了。
[10:32.260] 您贴也贴不了多少不考虑。
[10:41.470] 到了是吗？
[10:48.760] 对东亭。
[10:58.850] 我去外面看看。
[11:04.800] 看来然后
[11:27.550] 来了在那边。
[12:24.860] 你把进去了吗？再一次来了这里了，看来
[12:28.760] 妈
[12:37.530] 这一天
[12:43.520] 坏。
[12:48.400] 真是花了花。
[12:54.420] 远远
[12:59.080] 刚才
[13:01.190] 的
[13:02.920] 的一栏上。
[13:13.260] 黑色
[13:15.950] 花
[13:17.110] 坏
[13:20.360] 的。
[13:22.890] 花。
[13:29.310] 等等。
[13:30.490] 长大了。
[13:32.950] 也还是很公平。
[13:35.840] 你看这过去得花。
[13:39.720] 那不完了吗？
[13:41.450] 他都不出来玩北京，
[13:43.660] 然后来这边坐礼物，这边他椅子这里头这里边
[13:48.990] 你还稍微多一点，要不够，还是怎么把我沙发上你过来。
[13:53.360] 他打电话。
[13:55.670] 32岁了。
[13:59.560] 6。
[14:00.440] 您几位喝点什么？
[14:02.290] 暂时不管她那边门口那边还有饮料什么之类的，你吃蛋糕了，饮料什么之类都有。
[14:10.330] 当然没有了。
[14:11.420] 还好，我觉得空调还是。
[14:13.690] 你带妹妹去吃东西去走一点，我们俩我也不知道，但是把
[14:20.660] 我把电脑
[14:23.120] 你不知道我没接你说。
[14:26.090] 你知道。
[14:28.430] 今天好像还办不了什么都让你跟他说了，好像也就交了定金，我们是这样的，我们店跟其他店不太一样，有可能去别的店之类的。
[14:38.400] 如果你今天交钱，他这边充的车，
[14:41.700] 然后大家洗一下车就让人开走了，我们家跟其他地方不太一样，我们家卖车之前得做一次
[14:48.320] 售前的PDA检测，
[14:50.540] 其实这车坐到店之前已经做过两次，然后卖车之前再做一遍，
[14:56.500] 做完以后再做一遍准备，准备是从里到外，包括发动机舱里边都会跟重新清洗一遍，
[15:04.010] 清洗完了以后再让我过来，让您先看车，看完车没问题，再上楼去交钱去。
[15:10.870] 行，当然也好这样。
[15:13.360] 对，我们现在跟其他店不太一样，你要我说今天就是想把这个车开走，可能得耽误一天的时间了。
[15:20.330] 你说我在
[15:21.350] 我们从哪能看得出来这车出厂日期是6月份，我这边都能北方看看，上面弄完了，
[15:28.740] 我这边都能让您看看。
[15:31.160] 他算挺快的，我看都是2月份公告了，现在6月份说6月份了对吧？
[15:37.030] 我一直记得这个月是6月份。
[15:39.590] 也越好，对时间。
[15:45.300] 我换了一个东西两次，然后反正换了一半，他还通过，反正也是
[15:51.140] 让一这打印的不行。
[15:54.450] 没事在我手机里头，就是说我在你这儿打，
[15:57.640] 就可以到达什么样，
[15:59.640] 这一整张不能这样打，这样打完了又没用。
[16:06.080] 的。
[16:09.080] 他过来。
[16:10.090] 他长大了，要不然他们压力很大。
[16:15.080] 你刚刚不是说过吗？
[16:23.840] 这不是向上麻烦，
[16:25.830] 看着咱俩人家喝酒，我身边的这些
[16:32.160] 资源谁知
[16:38.810] 就是说我们给上方股份贷款都这样，对你这情况你的沉默OK，
[16:45.110] 对你们那几个户
[16:49.330] 汉邦
[16:50.980] 去买汉邦的成就算了，现在的问题，然后合同差不多了，合作是他们10个亿的，
[16:59.680] 他们的孩子待着比较小，那么多的小，目前保障的他不愿意，但是他会有礼貌，他不会拒绝，但是其实
[17:10.010] 可能还是玩游戏，对走的一个月玩游戏，现在这种手机都管不了，本来就没有手机。
[17:17.910] 手机
[17:19.120] 他把想要送人，他把手机那摩给了我一说那种可能这送来的他老婆的了，他说是他不小心的时候，他说想要，因为我之前是那种
[17:30.630] 是不行，
[17:32.710] 苹果淘汰动漫那也算了给他用
[17:37.120] 的。
[17:38.310] 睾丸小学生、小学生笑笑。
[17:45.880] 一年脑袋还有技巧，自己，所以想要给他天线吗？对吧？今天一定数量走，不要走。
[17:57.820] 您看这块分期肯定做不了了，您装置也不要
[18:03.310] 不要装饰，我再给您问问一下。
[18:07.120] 你明天跑哪去了？
[18:08.770] 然后保险我还要纸上我不需要的无所谓不。
[18:15.820] 为什么还要问还要都不允许我给您价格是按分期装置都有的价格给您。
