[00:00.000] 年721907.2点。
[00:12.200] 走吧。嗯
[00:20.770] 咱们
[00:21.480] 的
[00:24.290] 没有
[00:25.830] 第一个。
[00:49.650] 我一会把那保险给你发过去，你看一眼。
[00:57.320] 小朋友
[01:10.520] 喂
[01:11.660] 啊
[01:15.570] 那个车是那什么的，刚才车身上有有一个那个水笔写字让他处理了，
[01:20.210] 马上过去，他已经提前签证说完了。
[01:22.800] 事实就是。
[01:23.570] 这个
[01:24.160] 那我还有一个问题。
[01:26.210] 行没事我知道了，好勒这个啊好勒好勒。
[01:30.720] 嗯好的好的。唉
[01:32.090] 这个
[01:33.360] 比如说
[01:38.840] 不知道
[02:15.130] 这有用吗？
[02:16.050] 就是他这样说，啊
[02:17.760] 你比如用那个打印那个是这样的，你就做吧
[02:21.850] 这是谁？呀
[02:22.920] 我要我要知道我拿走了。
[02:26.130] 谁知
[02:28.790] 为了把重点放在那个
[02:32.520] 你买了多少？
[02:33.410] 好。
[02:34.810] 3.0年代的
[02:39.150] 远远
[02:43.740] 这一块儿。
[02:44.670] 好的好的。
[02:45.550] 谢谢
[03:44.650] 谁知
[03:46.840] 嗯
[03:47.960] 挺乱的。
[03:49.770] 嗯你们的事。
[03:51.270] 第二个。
[03:51.480] 就是
[03:53.050] 分到哪里了？
[03:54.990] 喂怎么了又？
[03:57.020] 嗯好勒好勒，一会完事我找你啊好勒。
[03:59.690] 嗯
[04:00.200] 统一的。
[04:05.830] 走咱去楼下楼下还凉快。
[04:53.920] 唉因为咱俩有微信。嘛
[04:55.650] 啊他是有微信，我微信啊你微信名叫什么名字？
[04:59.290] 梳理烫花了应该应该没改。吧
[05:07.840] 那有。
[05:09.280] 放进去了，给你发个保险。
[05:12.050] 嗯
[05:14.450] 你看哪些上哪些不上，然后按全险给你算，
[05:18.520] 嗯
[05:21.910] 三折肯定没有。
[05:23.740] 嗯坐那了就走了，我们一会儿站会儿。吧
[05:26.860] 那时候就是
[05:27.840] 呃
[05:33.890] 不计免赔。
[08:21.320] 主险这一块，
[08:22.530] 嗯5-446,000盗抢上吗？
[08:26.410] 嗯
[08:29.040] 嗯
[08:30.860] 盗抢不要盗抢不要。
[08:35.670] 车损肯定得要，三者得要。
[08:39.260] 来。
[08:42.240] 我来一个玻璃。吧
[08:46.480] 呃
[08:47.820] 倒墙。
[08:49.410] 盗抢不要，然后还有什么？
[08:51.920] 嗯
[08:53.270] 玻璃划痕。
[08:54.720] 嗯
[08:57.760] 对。
[08:58.930] 别害怕了，啊玻璃花纹要是吧？
[09:02.290] 玻璃划痕这个药这个你也
[09:30.680] 还补贴你个9000。
[09:31.690] 呢
[09:32.190] 嗯
[09:33.830] 嗯
[09:39.250] 就这些就应该差不多了。吧
[09:41.450] 我觉得你其实这个险种你就就去一道场小的时候，别人是都都用得着，
[09:48.390] 嗯
[09:50.640] 车身划痕，
[09:52.200] 这第一年啊车啊都在
[09:54.560] 嗯
[10:32.180] 喂
[10:33.700] 唉你好。
[10:35.500] 你在什么位置？
[10:41.600] 你不做在约什么装饰。
[10:48.000] 行
[11:05.760] 啊
[11:08.130] 唉唉
[11:21.390] 啊对。
[11:22.650] 好。
[11:24.340] 啊
[11:27.010] 啊啊
[11:30.550] 嗯
[11:43.890] 噢就是那个走短皮带机是吧？
[11:46.920] 嗯嗯
[11:49.130] 呃这样我给我得给您落实一下，我现在还真不好说。啊
[11:55.980] 嗯嗯对。
[11:58.830] 嗯
[12:00.770] 嗯嗯
[12:05.760] 啊
[12:07.330] 对，那个那个上回我给你您的报价上面就有那个多等，皮带机那上面有价格。
[12:13.080] 嗯你们你们。
[12:15.520] 呃不是就是前前就上次我不是上您那去了吗？
[12:20.120] 我不是又给您发了一个报价，嘛那上面就有那多点皮带机的价格。
[12:31.630] 嗯
[12:32.460] 啊不是。
[12:33.600] 就是前两天我不是给您报了一个那个那个尿毒球那个那个那个报价，嘛
[12:39.670] 啊那个上面就有就有那个价格。
[12:42.630] 请坐。啊
[12:44.080] 嗯啊
[12:47.800] 加工周期我得给您问一下，因为现在
[12:52.370] 设备太多了。
[12:55.490] 好啊好啊
[12:56.260] 嗯
[13:00.260] 嗯看你周末了。
[13:03.110] 嗯
[13:06.960] 被告
[13:08.060] 嗯嗯
[13:10.320] 嗯行行行
[13:12.990] 啊我我问一下我问一下。啊
[13:17.920] 嗯好的好的。
[13:19.780] 好好
[13:21.110] 唉好的，请您稍等，待会跟您说。啊
[13:24.700] 嗯好，再见。
[13:41.140] 确定了没有？
[13:42.690] 嗯就是把那个到场那个给他。
[13:45.100] 去了养老去了。
[13:47.230] 涉水今年雨水大还是留着。吧
[13:50.510] 您说是吧？对，万一他们出去啊
[13:53.860] 谁也不想，但是
[13:56.140] 嗯
[15:33.120] 你要弄一个劳斯莱斯搁那，
[15:37.240] 就是他们
[15:43.310] 这这是
[15:44.220] 奔驰没感觉到这个旗下有定力，
[15:47.660] 这个这个开的车，
[15:52.630] 就跟上次我们去那个
[15:54.740] 入入股的这个企业经理，
[15:57.430] 然后他们带我们去。
[15:59.600] 越野企业完全受不了。
[16:04.330] 这是什么什么？
[16:05.940] 就是那个
[16:08.610] 就打错了。
[16:09.680] 那那那我没事。
[16:10.760] 对对对。
[16:12.520] 他的。那个
[16:22.800] 你看那个
[16:24.970] 买完房大众说那个龟头。
[16:28.010] 因为现在有一些。
[16:31.900] 咱也一吵吧也一吵咋整。
[16:33.680] 是10天是吗？
[16:35.110] 那人是什么灰呢？
[16:36.870] 到时间上座一下，我觉得你帮我把那保险那盗抢险给去了，你帮我算一下，我说等着呢
[17:17.960] 明儿再过一段时间cc一级就没了。
[17:20.700] 你你去给全部给。
[17:23.470] 这是你给我报的好东西。
[17:24.850] 啊
[18:07.440] 你当时拿那验车去哪？
[18:09.580] 7421减少。
[18:11.640] 在在哪边？
[18:13.110] 呃丰台。
[18:14.540] 啊风来的。
[18:18.020] 到时候把车开到这来还是怎么着？
[18:20.510] 嗯开这了。
[18:22.040] 这个当事人
[18:23.240] 啊不是什么开张了，就到时候我给你发一个那个那什么？
[18:26.410] 发一个那个
[18:28.340] 发一地址，你到时候直接开车去就行了。
[18:30.670] 你让人撤油回来，
[18:33.070] 把原车后再回这儿，在浮躁的东西。
[18:54.200] 周末
[18:56.970] 上班吗？
[18:58.120] 夜车登录不。
[19:27.270] 我记得以前都在那个学学院路这边，
[19:30.720] 我就缠着我们这
[19:32.320] 拆了我去了。
[20:16.810] 给我记上。
[20:17.650] 那女的那个大伙都没讲了。
[20:21.460] 收到了以后
[20:22.740] 属于他的特别授权代理人。
[20:26.010] 呃
[20:27.310] 嗯
[20:28.640] 好。
[20:52.800] 你发过去你看一下。啊
[21:06.820] 现在就是
[21:09.500] 11,987块9毛1，然后你减去9000
[21:12.640] 两你自个再付2950万。
[21:15.400] 啊
[21:47.790] 1100
[21:51.230] 950加个175的车是什么税？加个商业险是10,862块9毛1，
[21:56.960] 这总共是11,987块9毛1减去一个给你给你的给你的9000，
[22:03.270] 就剩一个2000
[22:06.400] 2987块9毛1。
[22:36.710] 嗯
[23:54.820] 说完了吧？
[23:56.010] 嗯
[24:00.340] 来了来了马上调水盆马上调水盆，
[25:42.080] 对吧？
[25:43.720] 你没什么事吧？
[25:47.790] 啊不说话。
[25:48.780] 呢
[25:49.760] 嗯
[25:52.090] 一样。
[32:30.540] 你当时。呢
[32:31.560] 他他来没有三四口的呀是，不过人家说的也是，你喜欢晚上吃饭都不用花钱。
[32:37.430] 你说说。
[32:38.520] 谁知
[37:14.670] 我那个真的我
[37:17.130] 远远。
[38:57.730] 场
[39:01.020] 喂叔叔。
[39:01.950] 啊
[39:02.920] 嗯
[39:03.940] 唉你好。
[39:05.760] 嗯
[39:06.880] 嗯
[39:07.920] 啊在哪呢？
[39:13.290] 噢到家了。
[39:14.920] 那
[39:17.000] 啊那没过来贴膜吗？
[39:27.920] 嗯
[39:30.130] 那在
[39:32.140] 那那那天你现在就应该送过来排队了是吧？
[39:36.340] 你3点过了恐怕就得就得下班以后都贴上了。
[39:39.870] 嗯
[39:42.870] 就是你送过来送过来以后他就就给你排着队给你贴着了。
[39:46.570] 就你
[39:48.460] 你要下午等他来取车的时候再过来，那就来不及了，就很晚了。
[39:56.270] 嗯
[39:58.760] 对，你就这样是吧？
[40:00.950] 你在家吃点饭休息休息，你就往回来，
[40:04.740] 过来就行，啊过来就给你往前赶了，给你先先先把毛钱贴了，然后呢等他贴完膜的时候，估计这个
[40:12.270] 手续也快该回来了，刚好你就一起拿走了。
[40:15.530] 嗯
[40:16.940] 好吧？
[40:18.970] 啊甭着急，在家吃了吃个饭休息一会儿，来我这吃饭也可以都没问题，啊然后
[40:25.690] 啊来的时候呢你给我打电话，我给你送到车间去，给你排好队好吧？
[40:31.860] 嗯
[40:36.130] 是吧？
[45:29.080] 2015。
[45:31.000] 我嗯
[45:32.990] 我
[45:34.160] 知识点。
[45:35.090] 就是这样的吗？
[45:39.160] 谁送我的姐姐？
[45:41.160] 都是自个儿买的。
[45:42.820] 妈。
[45:48.520] 自个想的开。
[45:50.830] 保险。
[46:13.590] 唉红哥。
[46:15.190] 嗯
[46:16.470] 这个
[46:18.370] 啊签名就签名自己的就行。
[46:20.900] 啊对，我们马上就上了，拜拜。
[46:23.600] 嗯
[46:25.980] 嗯就是那个谁知
[46:30.190] 嗯嗯嗯嗯嗯
[46:45.230] 他骑二手车带的就是那个
[46:48.080] 早上老陈会发言的那个大哥叫什么？呀
[46:51.960] 叫啥名？
[46:53.570] 我们
[46:59.850] 那那是不是二手车的二手车的经理？
[47:02.920] 啊
[47:03.400] 我想
[47:04.740] 二车的评估师
[47:08.130] 不管不管。
[47:12.330] 他他他是他不是啊不是叫刘国王是吧？刘国王是不是个人？
[47:16.770] 嗯他叫啥？
[47:18.040] 嗯
[47:19.390] 嗯
[47:22.250] 唉小雨
[47:23.750] 嗯
[47:25.300] 啊
[47:31.640] 嗯挺快。
[47:32.750] 嗯
[47:33.720] 嗯
[47:39.110] 嗯全款的话咱们直接都可以签个签名，
[47:42.250] 就直接来交钱，然后开个那什么一天，我估计有个4个小时就能开走了。
[47:50.160] 嗯
[47:53.730] 啊
[47:55.070] 嗯
[48:02.760] 你只要能确定这个指标，人用的是他指标不换票就完全没有问题，
[48:09.030] 你指标过几天给我都可以。
[48:12.790] 嗯
[48:14.480] 就是不换指标，因为我当天我得开票办临牌出保险就已经就生效了，再换票换不了了。
[48:21.730] 所以它的指标可千万别不给咱使，是这个事儿得确认了。
[48:26.190] 嗯
[48:30.600] 嗯
[48:40.070] 先把车站上。
[48:46.580] 能没问题。
[48:48.270] 嗯肯定比我上次报的低，我那天问问经理，那经理说你把客户叫来了，我说这是我自个朋友介绍过来的，我说必须你得给我一底价，
