[00:00.000] 到。
[00:01.640] 行，您稍等我一下，我给您把信息填一下。
[00:11.390] 您好等您电话是134这好事R1346670018没问题。
[00:17.850] 都保养了，然后在这里你在里面
[00:21.590] 卖了，是这样，因为我看一下您那个车是08年7月份。
[00:27.470] 三年
[00:30.430] 跟刚才的证据再给他2万。
[00:40.260] 谁知
[00:42.440] 我老搞不明白A宝和低保哪个保护，
[00:48.290] 花型国家低保花钱多把B宝他就是
[00:51.660] 谁知
[00:53.470] 他借了又做了事低保，我帮你查一下，我搞不明白哪个号。
[00:59.590] 其实也不绝对，因为有的时候随着车龄什么的都会不一样，上回搞的臂膀，
[01:08.300] 但我的地板了对上回就搞了一个基础B保养，
[01:12.200] 换了换机油机滤，还有空气滤芯。
[01:15.280] 好了好像忘了，然后
[01:21.430] 能保证有个火花就花了对吧？火花在4万公里换掉了，然后刹车油
[01:30.190] 远程保持新鲜，最早之前是在3万公里那会儿上再往上推一回，3万的时候，
[01:41.120] 不是A宝的时候办了A加B的保障卡，等于上回留那B宝就上午用完了，这卡就用完了。
[01:47.230] 然后基本上
[01:50.460] 好像我有一个A宝，但是赠给我一个怎么的这么概念有吗？
[01:58.050] 关键我交保险的时候有一个的
[02:03.110] 交保险送的是吗？对分了一个什么？
[02:06.680] 是背包还是B宝原来就是B把A
[02:13.080] 没关系我查查。
[02:17.310] 这上面有记录，宾馆没事我查。
[02:23.240] 花
[02:28.830] 的。
[02:31.600] 场
[02:38.110] 场
[02:39.480] 场
[02:42.080] 场、
[02:43.800] 坏数据
[02:52.650] 数据
[02:58.590] 场
[03:16.360] 我在卡就是系统里边帮您查了一下咱们这个车
[03:22.450] 只有一次喷漆了，什么送的喷漆，
[03:29.780] 没有看到保养，
[03:33.280] 只有喷漆。
[03:34.710] 就一块喷漆，就有一次有一块鸡可以喷，但是咱现在不是没地修吗？
[03:41.150] 抛光前机盖子一会我让人看看，
[03:45.000] 最好是能不抛就别抛，喷的不好你知道吧？
[03:48.660] 我最后不成我拿落您那手搓一下试试，
[03:51.750] 就不怕我打，我这有粗拉出来，我到时候试试，没事，晚上洗完车我给您试试，
[03:57.350] 对吧？咱能打一就等拿钱去
[03:59.820] 砸钱点，你就不抛他爸，不是主要是抛了就薄了，
[04:06.120] 一抛它就变薄了，你知道吧？他就
[04:10.350] 到时候
[04:14.800] 反正一般情况下不建议抛光，说白了，因为抛光对7损伤比较大，
[04:21.490] 所以我还是建议您最好完事了，我拿您再搓搓试试。
[04:27.020] 要是能搓掉了，能打掉那就
[04:31.040] 没啥事。
[04:42.570] 照的。是啥？
[04:46.240] 02。
[04:48.560] 你直接在领导组里找一下就行了，两组里面会自动蹦出来。
[04:53.040] 别自己出来，你跟领导组里自己找一下。
[04:57.110] 说
[04:58.210] 的
[05:02.450] 了
[05:07.540] 行，我给您报一下保养。
[05:09.380] 您稍微等我一下。
[05:11.880] 进入一个保险的那个是我这能查着我这有您送的信息，但是他后面写的全是喷漆一次。
[05:22.970] 对，我查了很多回了。
[05:26.850] 没有保养，所以我也就不太
[05:32.230] 了解了，因为我这只能被动地查他当时录到系统里头是什么东西。
[05:40.720] 反正现在目前后边写的全是
[05:43.500] 2019续保，
[05:45.440] 兑换喷漆一块就兑换分期一块，19年续保吗？
[05:50.700] 马你什么？
[05:59.340] 数据、
[06:06.120] 数据。
[06:19.010] 4
[06:20.080] MOK点bl com。
[06:31.720] 上
[06:38.410] 数据
[06:43.040] 远
[06:45.110] 句。
[06:47.560] 车跑的还可以
[06:51.280] 的。
[06:52.590] 差不多三三两个月就一次保养，这车跑的还行，差不多几次差不多一年得做两三回保养差不多。
[07:05.210] 您还有那底吗？反正我这是真没有。
[07:09.320] 我正常给您报个价不行保养您别太久了。
[07:16.430] 的
[07:19.130] 的
[07:28.910] 的
