[00:00.000] 我学院教科。
[00:16.630] 您这边先做，我们先跟确认保险险种项目。
[00:20.850] 数据。
[00:24.410] 数据
[00:26.350] 做。
[00:33.800] 二
[00:35.910] 自己喝水。
[00:38.030] 远。
[00:42.390] 的。
[00:47.280] 跟您一块您父亲or。不好意思，我都不知道。
[00:53.870] 要把我问，
[00:56.120] 我催我说那来吧。
[00:59.000] 说我们店所有车到店以后，所有车都会作为殿P殿检测，
[01:04.650] 坐完车以后确定没问题才能让您过来交钱吗？
[01:16.570] 这双胞胎走哪就亮点。
[01:19.940]  A优费多少？AA AA200。
[01:24.400] 200平这个车差不多在5万米左右。
[01:29.690] 20出头。
[01:37.200] 中配的25
[01:40.850] 三
[01:59.240] 看惯了，连评委都觉得那边比较多。
[02:06.410] 这边那一常州的常州是谁？
[02:10.980] 这是保险的险种，您就车损三者不计免赔就行了。
[02:17.100] 三者上多少钱吗？100 100是吧？
[02:22.730] 别的都不上是吧？
[02:24.830] 我就都给删了。
[02:29.240] 就一个车损三者是吧？
[02:52.290] 你那大票能
[02:53.990] 开低点前。
[02:56.550] 差不多。
[02:58.140] 开机没用。
[02:59.560] 不是睡能少点吗？
[03:04.000] 我这么跟您说这说您开机1万年100
[03:08.320] 也没有太大的实质性。
[03:18.560] 466
[03:21.840] 五
[03:30.180] 您稍等我去拿个东西。
[03:32.530] 上。
[04:07.370] 快。
[04:09.340] 数据
[04:11.310] 数据。
[04:12.280] 坏数据
[04:14.610] 的。
[04:20.260] 场。
[04:26.910] 买
[04:30.030] 坏。
[04:35.330] 数据。
[04:44.540] 号
[04:47.490] 还。
[04:49.120] 二
[04:50.050] 二
[04:51.190] 二。
[05:01.350] 五。
[05:03.790] 的
[05:09.840] 点
[05:12.160] 场。
[05:18.360] 的。
[05:21.610] 数据。
[05:25.230] 后面。
[05:27.960] 这块对这边出来了。
[05:33.210] 说您这边走吧。
[06:08.450] 给您要是明天看看车咱不能开，
[06:11.620] 稍后我马上就过来有点对就
[06:35.520] 晕车手就回来了吗？
[06:37.200] 回来了。
[09:16.590] 好我要是
[09:17.460] 从这出去到车间看我的魔挺好，没有这方便出去。
[09:21.180] 出不去，女士，对，他们得拿刷磁卡。
[10:17.480] 元
[11:47.570] 二
[11:48.960] 二
[13:57.090] 138. 
[13:58.490] 三。
[13:59.430] 然后的话
[14:23.380] 三
[14:42.160] 没事吧，合同了。
[14:46.840] 差多少？
[14:49.320] 10个
[14:50.930] 证实的。
[15:24.130] 我还得先看看这个人。
[15:26.760] 了。
[15:29.230] 我感觉我怎么听着他的名字那么熟悉呢？
[15:54.810] 7月
[15:58.470] 上一次路活动哪天。
[16:07.950] 没事我那
[16:25.120] 我发现
[16:26.250] 他们现在可能上楼，然后抽个合同办手续，交钱交完钱就我给你开发票上保险办临牌这个。
[16:33.840] 好，前期欺骗还是在眼睛这边，那车一样，所有车都是一样的。
[16:40.290] 有的下坡
