[00:00.160] 7月17董鹏程客户评估接待
[00:06.690] 你好，评估师陆王，这是我名片。
[00:09.410] 都比较老了。
[00:13.350] 10元。
[00:14.360] 3045还多少？
[00:16.180] 这叫什么？
[00:17.280] 十几万。
[00:24.850] 你行驶本我看一下。
[00:27.050] 谁知
[00:27.960] 多少？
[00:29.310] 如果不给
[00:33.710] 谁知
[00:35.440] 我觉得
[00:41.580] 出来。
[00:46.050] 的
[00:48.390] 花
[00:50.360] 数据
[01:06.510] 数据
[01:56.370] 保养、
[01:57.940] 负责
[03:57.990] 三年的。
[04:32.760] 到时候我这边会给您个参考下了。
[04:34.970] 当然在核计划进行到了新车换了，
[04:38.600] 判断再给您
[04:39.760] 您细看。
[04:41.170] 钓一下。
[04:42.790] 你看我得行怎么着没事。
[05:08.550] 一号就突然车的行驶本车。
[05:11.470] 您车里没有贵重物品。
[05:13.820] 跟您介绍一下咱这边的评估流程，咱这边后来跟静态评估和动态评估。
[05:20.020] 今天先会给您做一个静态评估，时间大概20分钟左右，
[05:24.510] 到时候会给您一个报价。
[05:26.770] 咱这个报价三个工作日有效。
[05:29.550] 没有。
[05:31.020] 到时候如果说您过来交车的时候，还会对您车进行试驾。
[05:35.280] 您看我对您车进行试驾的时候有什么需要注意的？
[05:39.640] 有个问题跟您验证一下，您的车维修保养后咱们在4S店做。
[05:44.960] 车里现在没有贵重物品。
[07:06.590] 了。
[07:09.490] 远
[07:11.950] 点。
[07:18.670] 的
[07:21.060] 的
[07:38.270] 要的话
[07:40.710] 三
[07:45.750] 马
[07:48.960] 也不装在如果你比如说
[07:53.320] 他们后来上穿完了
[08:00.410] 回家以后，
[08:01.580] 但是同时那叫什么？并不是
[08:04.200] 谁知
[08:06.240] 有的明天谁知，
[08:11.120] 哪个呢？
[08:14.700] 那都是当年多亏
[08:17.420] 我给您报个价格就给你报错了，他没有
[08:21.050] 的说公司
[08:22.020] 的谁知到然后零客观申请2000的宝贝，
[08:27.900] 然后您换一下看到吃饭指标过来了，
[08:32.920] 这就是一个问题了。
[08:35.350] 对工程
[08:37.070] 数据。
[08:40.730] 远场
[08:42.730] 的
[08:51.980] 三
[09:01.870] 数据
[09:03.240] 数据
[09:04.550] 的
[09:05.590] 坏、数据、
[09:13.390] 月
[09:15.700] 号。
[09:16.860] 坏
[09:18.760] 的
[09:21.080] 数据
[09:24.750] 到
[09:26.320] 打电话
[09:29.640] 的。
[09:31.650] 数据，
[09:32.520] 场、场、
[09:42.230] 场
[09:45.350] 场
[09:47.750] 场
[09:48.710] 场
[09:50.710] 数据
[09:52.160] 场、
[09:55.750] 场
[09:57.710] 场
[10:01.960] 数据
[10:04.380] 数据。
[10:25.440] 查
[10:28.350] 场
[10:32.920] 车
[10:35.890] 场
[10:57.570] 号
[10:59.970] 的。
[11:01.630] 场。
[11:07.580] 数据
[11:10.330] 场
[11:12.230] 场
[11:14.730] 场
[11:20.680] 的
[11:31.230] 的
[11:44.680] 场
[12:03.880] 二。
[12:06.980] 的。
[12:16.450] 的
[23:02.970] 的
[23:03.950] 的
[23:18.430] 坏数据
[23:25.290] 的
[23:29.470] 的
[23:31.070] 数据
[23:37.730] 数据、
[31:05.550] 也
[31:06.500] 可能是二
[35:18.360] 公司
[35:20.370] 认为
[35:30.640] 谁知。
