[00:01.030] 现在出伺候。
[00:04.140] 他刚好周五半天我嫂子了给钱急了那就不卖。
[00:09.070] 不怎么那不是交际这个了，还是犯懒了当时。
[00:12.740] 不过这也算新车素材买卖了
[00:15.780] 500
[00:17.830] 这算新车算100块钱，
[00:20.260] 哪有13,900多张了，得了己之100块钱拿出来了。
[00:27.660] 安排他在这
[00:30.310] 我那会效果那样。
[00:32.430] 没姓赵先生接待。
[00:35.340] 照相给。
[00:37.210] 我还记得。
[00:38.760] 你别的你逼着了。
[00:41.050] 不知道是
[00:42.750] 什么觉得咱妈
[00:46.980] 希望第一个完成。
[01:02.160] 这一他本来1.6元
[01:03.740] 作为消费者帮我们稍微接待不中国东西了什么
[01:15.370] 赵先生。
[01:17.040] 我是奔驰店的销售，我正您在哪看到我接待您？
[01:24.180] 我看见好了。
[01:28.470] 您是赵先生吗？您好，销售顾问李明山是我的名片。
[01:33.160] 你是第一次来电吗？
[01:34.920] 对，接下来之前电话预约过吗？没有我的电话。
[01:40.370] 账号
[01:42.160] 看哪款车型。
[01:43.240] 181 310三百九八有茶水咖啡矿泉水有什么需要吗？
[01:48.420] 暂时也不用，暂时先不用了是吧？
[01:53.550] 300到楼上，
[01:55.060] 在上面860这块。
[01:58.240] 对，这是安排的。
[02:00.480] 过去那是没啥区别，没达到区别。
[02:05.200] 应该一点对看着都一样，大小也一样。
[02:10.430] 这是哪一块今年？
[02:13.360] 对，2008年。
[02:15.730] 拿了多少？
[02:17.520] 谁知
[02:20.070] 然后咱们这个公约就是介绍之前跟您读一下就行了，然后了一礼相待，诚信经营、合法得体，明码标价，公开透明佩戴需要新同事，
[02:29.060] 谁知电话4008888号，
[02:35.470] 那边上哪个牌照？北京的现在看有用。
[02:41.570] 妞妞你
[02:45.030] 我之间的争斗应该是吧？
[02:49.100] 行。
[02:49.970] 考虑买一个什么价位呢？
[02:51.880] 预算。
[02:54.160] 20是多少钱？
[02:56.630] 2.0的465,800，优惠完了不到40
[03:01.280] 了43万多。
[03:07.420] 300
[03:08.650] 4 44上下。
[03:16.280] 60
[03:17.140] 不到40。
[03:18.770] 这样。
[03:20.610] 对。
[03:21.870] 优惠还是比较多的是吗？
[03:26.710] 优惠7万多。
[03:32.350] 看看下来，谁知
[03:35.370] 人家应该在39。
[03:38.270] 对。
[03:52.810] 我想在20分300都
[03:55.340] 都体验一下，现在只能是260。
[03:59.910] 谁知
[04:01.840] 十2008买车时间带来什么？
[04:05.230] 谁知
[04:06.390] 学生东北
[04:07.550] 随时能来。
[04:09.480] 说好留个全款还是分期吗？
[04:11.890] 说你看怎么合适就来了，怎么合适怎么来分期的话，咱第一个从头后部收分期服务费的品牌，
[04:20.060] 然后行咱们是这样，这家里边车配置还需要您介绍吗？
[04:26.320] 还要还是螺丝加一块也快了。
[04:30.600] 我就先跟卖身下手，然后睡在一块碟，然后车子配置不需要单独给你介绍是吧？
[04:36.520] 行，车道旁边有垫子是盘三盘马车，不知电子科波
[04:40.720] 里边杨飞这个颜色我他妈宰了，你上传一下，
[04:45.400] 我得看看有没有排队，你先等5分钟后
[04:48.360] 的。
[04:51.310] 保险大概也
[04:53.660] 看接口。
[04:54.890] 不然
[05:30.890] 这样在想过可以。
[05:35.350] 完了他后面的摸底，他在的电影脚都软了，
[05:41.530] 应该说hi肉一大不大，就说了其他时候一直在想叫说简单，
[05:47.190] 你够不着，谁知。
[05:53.400] 谁知
[05:54.930] 比如说刚刚讲
[05:57.320] 核心工作这一点，
