[00:05.480] 重新签一下。
[00:06.850] 访一下。
[00:15.720] 对我马上给打电话要开卡了。
[00:19.920] 的
[00:27.480] 马上过来没事。
[00:33.700] 176
[00:35.320] 0086
[00:37.480] 2388，
[00:39.620] 应该是重构的客户里面有没有这样？
[00:43.920] 是成功的。
[00:47.800] 就是bc邀约重构的客户，
[00:51.100] 老客户重购。
[00:53.670] 刘女士开mic。
[00:56.050] 姓柳。
[01:05.560] 你好先生，给你一张我的名片，我是咱们见迈巴赫的销售主管丞相有何成？
[01:10.960] 然后刚才我们
[01:12.930] 同事让我给您回的是我给你回电话，我是专门负责咱迈巴赫销售工作的。
[01:17.460] 您以前用的什么车？奔驰的。
[01:20.510] 奥迪R用的时候比的不是奔驰，
[01:23.730] 也是咱们买的硬派的是吧？
[01:26.740] 咱们今天是。
[01:28.460] 之前看过这个车型吗？
[01:30.120] 第一次到店看看，也只是网上看到地方电台吗？
[01:35.340] 这样时间今天除了跟我预约以外，跟别的人没有预约过吗？
[01:39.280] 没有，行，我先给您宣读一下奔驰服务公约，
[01:43.020] 内容是客户为尊，以礼相待，成品就不用多。
[01:47.350] 奔驰是整个汽车行业里边的一个承诺，就是你自己付费的品牌，比如说你想买任何一款车型，包括迈巴赫，
[01:53.710] 分歧都比较合适，还有很多很统一的那种利息的支持。
[01:58.020] 另外的话咱们现在周末的话，我们有好几款卖车的特价或者感兴趣的话，咱们可以再去看看
[02:05.230] 这家车队活动
[02:07.730] 不方便就看。
[02:10.310] 没问题，你说说喝点什么吗？
[02:12.100] 茶水他跟明白吧？还没找着介绍一下，行没问题，点老板。
[02:18.140] 这典藏版吗？
[02:20.050] 2020款典藏版，您这车我不知道之前你有了解过。
[02:23.710] 不是白姐吗？
[02:25.560] 现在因为要
[02:27.320] 新款直接半天，那是S要实行吗？巴赫还得go8，S刷机完以后卖完了以后半年一年才能出来。
[02:34.750] 就这样。
[02:36.310] 这个是2020的点上也就是200，就是说今天就这款，
[02:40.960] 在明年的话就是学会开心的，就是说好多
[02:45.740] 对。
[02:48.130] 不能这样。
[02:49.830] 大家都大了不少，我还跟我那消息我还都没看，你们都是在网上传的，因为现在还毕竟没有任何上诉。
[02:57.650] 对吧？然后他尾灯好像没有，我说现在什么呢？
[03:02.390] 应用。
