[00:17.390] 周家客户评估需求加速，
[00:34.960] 下雨了干活下雨，
[00:38.490] 那什么别犹豫，
[00:40.400] 要不就用一下。
[00:42.040] 另外这天
[00:43.780] 不要便宜。
[00:44.780] 我知道，我说那个电话你给留一个。
[00:47.580] 怎么进？
[00:48.500] 1391391199
[00:52.690] 8829。
[01:00.880] 好多少了？
[01:04.120] 你想小点儿了，赶紧
[01:08.390] 动力了。
[01:09.850] 没收到关键还没钱了。
[01:12.590] 有手电。
[01:14.530] 4万多。
[01:33.910] 好了。
[01:35.950] 就30多万。
[01:40.170] 7的。
[02:52.160] 没毛病，
[02:53.360] 是吧？
[03:19.320] 小于了。
[03:21.310] 别睡了。
[03:24.880] 这是豪华。
[03:30.020] 有记录吗？
[03:31.000] 肯定有记录。
[03:32.970] 肯定有记录。
[03:36.790] 我做记录肯定没问题。
[03:47.120] 跟他妈凉了小鱼呢？
[03:49.190] 洗没洗也不知道草又添加干嘛，这孩子不着调的，
[03:55.590] 这留着干嘛？
[04:04.830] 这不意外的话最快也要到路上了应该。
[04:27.160] 基本保养没别的。
[04:30.160] 准备修改。
[04:40.200] 后盖
[04:41.180] 分期
[04:42.420] 修复喷漆。
[04:44.230] 那就这么点是吧？
[04:49.560] 是大巴掌圆满元气。
[05:01.800] 17款
[05:02.660] L320豪华
[05:09.400] 这开票指导价黑色吗？
[05:12.690] 玩玩现在给作业三十几。
[05:14.870] 30
[05:16.070] 五。
[05:16.830] 颜色不行扣2万。
[05:19.020] 我一巴兜钱收的31万多，这给30就不少了。
[05:22.840] 你发的什么啥的，
[05:24.720] 你把
[05:25.960] 铁汇的。
[05:27.400] 也会的。
[05:30.040] 卖别的，那么这是咱这样，他们买
[05:33.190] 万一应该
[05:34.710] 20
[05:36.810] 29和是36。
[05:40.210] 我要换什么出来在好像是S除了
[05:44.590] 我耳朵怎么动没有。
[05:47.180] 不是这事都能动吗？
[05:49.180] 那跟动是的，破了。
[05:53.070] 基模走动。
[06:19.040] 耳蜗了，我说这比他们休息训练两块。
[06:50.500] 他之前在朋友也看，
[06:51.840] 那家伙天安龙岗
[06:53.770] 他是什么？他是新今年的新车才一
[06:58.340] 一一千多公里，
[07:00.380] 然后整车让人全给划，
[07:03.360] 就不想要了是不是？
[07:05.070] 不是不想要的，是整车除了顶子，
[07:07.920] 周围对一一门子上至少有5个刀子，就拿那种就跟大铁罐把华懋进去的那种。
[07:16.000] 当时打架人砸了不给，
[07:19.450] 锅里一点没事儿，油箱盖让人给走了，肯定打架，我给概括怎样，后来分析一下那女的隋律师不佳肯定收回钱了，你知道吗？
[07:31.360] 换车换一就犯一模一样新的。
[07:41.380] 我都给高了，看来是二十八九都堵得太高了都。
[07:46.650] 27。
[07:49.560] 收不上来吗？我看388。
[07:53.200] 先问我这车
[07:54.580] 贷款还有多少钱？
[07:57.960] 所以说这车贷款还有多少钱，看看张老板卖不卖，
[08:05.070] 也没有还。
[08:06.300] 没有大华商。
[08:09.680] 这机盖有坏话。
[08:12.950] 行，我上班了吗？
[08:14.850] 你给我查一车，我看还有多少贷款的尾款。
[08:19.250] 180544
[08:22.870] 还得给我贷款，没还什么馅O元。
[08:26.320] 他说11号11月份到期吗？
[08:32.790] 叫什么您好吗？王梦妍。
[08:36.570] 要
[08:50.520] 交C
[08:52.070] 都要求
[09:10.840] 70236670。
[09:17.230] 236。
[09:18.460] 236,000. 
[09:20.910] 600
[09:22.210] 2366702 36,670。
[09:25.730] 236,000还行。
[09:28.760] 我这车还能剩2万完了。呵呵行勒好勒拜拜。
[11:11.400] 0
[11:13.090] 静态动态
[11:15.340] 20分钟，
[11:18.940] 贵重物品行驶证行驶本问题验证需要我注意的，
[11:25.680] 三个工作日一周时间，
[11:28.090] 评估师名片，
[11:30.060] 评估静态动态，20分钟贵重物品行驶证行驶本，
[11:35.560] 共批验证
[11:36.950] 需要有注意的
[11:39.620] 三个工作日一周时间。
