[00:00.860] 2020年7月15号张磊客户余欣荣轿车录音，
[00:06.530] 你出来咱们开始上课了。
[00:10.800] 你出来交一直走给他打电话吗？
[00:16.800] 清风给他装上。
[00:24.360] 是这司机来了吗？
[01:09.530] 这种。
[01:11.290] 对不一样的，不像快一年了。
[01:14.880] 这俩人一个队
[01:20.080] 怎么称呼您？先。
[01:23.200] 您是委托人是吗？好的。
[01:25.120] 行。
[01:25.810] 咱们买的是迈巴赫。
[01:28.500] 车架号您再核对一下，56552。
[01:32.440] 棕色的。
[01:35.360] 对一下您手里那合同。
[01:37.980] 有一车加号。
[01:43.650] 0
[01:46.540] 56524，
[01:50.510] 没问题，您就坐副驾检察官电视剧。
[01:53.750] 我进攻波件这个颜色叫什么？
[01:57.940] 这叫。
[01:59.860] 对，摩卡黑，有点浅棕的颜色，但是
[02:04.950] 猛一看是黑的，太阳光里折射能看成是这种腾飞的比较好一点，是吧？
[02:16.410] 分完之后看着这9样，
[02:19.440] 你离开后面就变了。
[02:26.230] 手续都给
[02:28.040] 3000。
[02:29.630] 大概讲讲。
[02:30.960] 加油好几个了。
[02:32.200] 是吧？
[02:33.500] 之前开过能跟谁商量是吧？开过刑。
[02:36.720] 昨天不是
[02:37.720] 的大包围的，没货下次进门，这是地毯的对不对？这是拉绒的，还有那种大包围，回头后期给你们说地产没你们长长车地产好，
[02:49.140] 是吧？
[02:50.320] 赶车那时候羊绒不
[02:53.140] 羊绒没那什么。
[02:55.410] 你笑什么郭郭晋。
[02:58.440] 记着原来那大G吗？
[03:01.340] 哪年的？去年前年的我给你打电话。
[03:05.740] 也是你跟我讲，
[03:07.920] 我刚才
[03:09.370] 我现在真记不住我现在电话是吗？因为现在这量也特别大，我现在一个月至少交到80个车，一年就是亲人。
[03:18.320] 我现在要三。
[03:19.440] 对，我估计一年差不多就是条这次风口对冲，上市开往下拧往左
[03:25.220] 领到冲。
[03:26.220] 就关了。
[03:28.470] 这关这事
[03:30.360] 从上开始从下关，
[03:32.850] 他这个事关到下以后它一点点关闭，它有一组泥车，你不是一下就没了。
[03:38.690] 这能搜回去是吧？对下去做隐藏了，省得就是来回寡。
[03:44.310] 记看过是吧？S级也开过吗？
