[00:00.230] 三在客户
[00:02.670] 待客户，但是
[00:05.260] 在工号二支付王先生
[00:07.970] 太一
[00:31.710] 你好王先生是吧？
[00:34.240] 然后旧车评估是吧？
[00:37.850] 车辆没有，然后你跟他解释，我先跟您男人说的好，这是
[00:42.490] 新车我这边给您做了检测，我说你能做新车的组合，cool，能。
[00:47.580] 我的城市今儿你开走能开走吗？
[00:49.840] 今天要开走开不走？
[00:52.190] 今天开走，你现提完了之后给你出保险，然后再办临牌，今天怎么也搬不。
[00:57.320] 而且我们新车出库的时候还要做PDA检测，ph检测不都是到4S店都做完了，然后新车什么时候卖，然后什么时候
[01:05.750] 才入库检测，检测完了之后才能收复。
[01:10.210] 现在的流程都没法当天。
[01:13.030] 就只能说今天给您定，然后优惠的事你能做主吗？
[01:16.520] 如果能做到不是那句话谈就行，因为我跟人家聊半天，到时候找没什么事情了，没想到他跟我说了一句话，
[01:25.200] 什么叫什么我不了解。
[01:28.520] 他说孩子上午要
[01:32.110] 一下午，
[01:35.390] 你放心后面
[01:36.970] 肯定没赚过。
[01:39.920] 就这边放过期。
[01:43.510] 也没做过稳健。
[01:45.800] 要的是一三百，
[01:47.580] I运动从小都要有
[01:51.000] 黑车东北。
[01:52.650] 对。
[02:14.180] 有钱我干吗交，前期我们推荐分析
[02:17.440] 就不要求
[02:19.240] 你价钱能否优惠点吗？
[02:22.410] 他给您报多少钱？
[02:24.350] 你问问他你跟他聊好了。
[02:27.520] 我不用跟他聊聊政策，大家政策都是一样的，
[02:31.010] 就看你能给我什么，要是能什么咱就快刀斩拿。
[02:35.990] 要是霉变了吧，
[02:39.760] 一三百运动出行，
[02:50.690] 一3百运动舒享72,000，然后置换补贴5
[03:04.530] 72,000 5000，他给您报多少？
[03:06.740] 他给
[03:07.760] 报的是72,000吗还是多少钱？
[03:11.160] 你说5。
[03:12.280] 咱别聊天了，
[03:13.790] 看着给你了，不？
[03:15.620] 我的意思他给您怎么报的，比如说您觉得价格不满意，然后咱们再聊，然后我再给您去请示，
[03:22.190] 对不对？我再给您去问。
[03:28.050] 你这块。
[03:28.970] 我待会你问问。
[03:31.610] 我咱重新成立的。
[03:33.300] 要求是回事。
[03:34.690] 你买车我卖车，我们也不会说给您闲聊一会走了，
[03:39.000] 我待会给您问问，完了之后有置换
[03:42.430] 全款对吧？有置换全款。
[03:46.570] 没别的项目，然后车也不是国产车，车是哪年？
[03:49.880] 这块也不涉及国30，那时候说师傅给。
[03:53.870] 对咱们就是A A girl的确定，被店里说白了二手车主要是为了您买新车，
[04:00.140] 所以说说白了不会跟说给你往低里走，我看着合适，但凡成交就知道就行。
[04:05.880] 你们要是那什么的话，我就开楼不买。
[04:09.730] 对，所以说看看就车价格合适完之后，这边新车
[04:14.110] 我们哥们都是新买的，运动无所谓，其实运动差不多什么太多的钱呢？
[04:19.480] 我们哥们新买的，
[04:20.950] 但是他买
[04:22.640] 要贵了，亏了。
[04:24.290] 买亏了。
[04:25.560] 他多少钱买的还得怎么都拿下来，
[04:28.830] 反而挺贵的。
[04:30.490] 价格他什么时候买的，他们托人买的，他什么时候买的吗？
[04:34.600] 月是两个月前的话应该是6万多，
[04:38.690] 但是俩月前他买的应该还是老款的，不是给您说现在的一个配置吗？
[04:45.970] 不就像您说我不知道直销吗？
[04:48.370] 也是大标的，
[04:51.360] 代表的清款是一样的。
[04:54.190] 新款的是mg轮毂吗？双边？
[04:57.730] 新款的是MC轮毂。
[04:59.710] 他那时候买的时候我估计完了，
[05:02.080] 把它们两个月前
[05:04.680] 他买亏了这东西，那时候买应该差不多都是一样的价格。
[05:15.910] 绝对没做过钣金。
[05:18.510] 没撞过就样管我一下知道吗？
[05:21.440] 在车库还是。
[05:27.080] 不是，我今儿要是给钱就提不走车吗？
[05:29.820] 对，今天你怎么着，礼拜一天也办不出来，然后给你做紧急地店，做完紧急闭店之后交钱开票出保险办临牌什么也来不及。
[05:43.380] 而且
[05:45.650] 要不留着。
[05:47.000] 对，就是说看看就说没有问题，今天晚上给你请速。
[05:56.240] 每年的这块
[05:57.270] 一工作
[05:58.600] 800多公里，两个还行，没敢开，2.4两颗还有两分还没转。
[06:04.100] 就跟师傅说这超过预期吗？我自己换过一次。
[06:08.540] 换多少元，原来配什么开办什么菜，
[06:13.560] 然后还有价格，
[06:14.870] 这个价格挺高。
[06:20.900] 我问你到用的不多。
[06:22.610] 9年我今天上班下班，
[06:26.010] 我说跟那哥们说了，还一节我们我是公交的没问题，台湾的店
[06:34.290] 听听我的，咱用水和用电，
[06:37.820] 我说跟那哥们说了，我说你能给我最大优惠，我跟你这提了，为什么呢？
[06:43.020] 我突然能像有办法
[06:44.680] 找他们肯定没问题。
[06:46.360] 他们老总一年钱，我们10月份大区它
[06:55.010] 用到我们的
[06:57.410] 所以你
[06:59.250] 能够最大的是不是
[07:07.020] 说白了价格也都透明，本身一三百万的销量也比较高，这边有好多别的事儿，
[07:12.890] 你们这都能够拥有，我知道
[07:17.020] 价钱这方面是不是送什么东西之类都能是吧？
[07:21.840] 能给咱们工薪阶层能那什么就帮帮忙。
[07:26.960] 说到底我们卖车这是铁定的，是不是跟你聊半天不能保证的问题。
[07:33.720] 价格说白了这车10万我公司能卖我也能卖车，你几百块钱
[07:39.380] 单台450部分车型，所以说这东西就是什么合法在质量的这方面的，对，只要你正常这车公司多少钱能放，我们说白了我们都愿意卖。
[07:50.990] 现在车说白了，
[07:52.870] 各种价格跟你补贴不一样，价格都认为不一样，所以说又没法，按说卖包卖D去提成。
[08:01.560] 欧洲
[08:02.560] 我刚弄完，刚才我就站在门口说了，没事别来了，别客气别。
[08:07.320] 没事儿，我这有。
[08:11.690] 如果明天就能抵押，对，明天一早就办手续，然后上午
[08:17.550] 一车也得半天。
[08:19.900] 这车你今天订了完之后这车
[08:22.880] 出库，然后做PDA检测，完之后明天一早交钱，
[08:28.420] 交钱开票出保险，
[08:30.440] 这里比yy就也得半天，
[08:33.500] 你真出保险
[08:35.040] 没区别，现在保险都是即时生效，
[08:38.060] 实时生效的即时生效，我们都是加批注至即时生效。
[08:48.660] 因为现在说白了出车出
[08:51.960] 出什么S店收的，
[08:54.020] 对着咱。
[09:00.110] 我这边怎么出的结果跟你说还是跟郭浩跟我说有工号没来。
[09:04.500] 多少？
[09:05.560] 还得出结果说了对他这得要，他看完之后，完了集团前期
[09:12.480] 发票我写过。
[09:14.150] 对一会完了我得看我才多少钱，
[09:18.490] 我会尽量给我那啥。
[09:20.420] 咱这边特别
[09:22.410] 咱真是特别早，没哪都没办过。
[09:26.030] 可能我能说给我看一下，咱们多走，咱们走，他一边看。
[09:32.830] 4S店保养。
[09:35.110] 尝。
[09:36.830] 南昌玩去了。
[09:40.350] 他妈不希望你三思为末来了，
[09:42.620] 能调公里，
[09:44.370] 那就把他的全名系都调不了。
[09:47.100] 我这8万多公里在谁知。
[09:50.980] 大哥
[09:53.590] 他用的少，
[09:57.110] 这车不给10万块钱，我就呵呵了。
[09:59.730] 买错了。
[10:03.260] 雅阁还行，雅阁还算市场汇报两个保持。
[10:07.130] 这车子了没宝贝。
[10:11.210] 就压那个
[10:12.440] 一条
[10:13.520] 医院的
[10:15.140] 正常没。
[10:17.330] 您那车什么时候买的？
[10:19.130] 5月份。
[10:19.900] 5月份。
[10:21.470] 告慰先这么着，行行你认为尽快报。
[10:25.240] 我就直接找你了，行了我再找人找你们领导没用。
[10:28.740] 不一样我钱吗？
[10:34.370] 老妈屋里转回来，然后等
[10:36.080] 然后
[10:37.330] 旧车价格输出，这样的话你大概的预算也都知道了，今天价格
[11:34.570] 坐着了我去
[11:35.680] 拿到
[11:37.270] 做。
[11:39.080] 你知道为什么吗？
[11:40.490] 谁知
[11:46.790] 孩子来完成
[11:49.730] 开始相关正常。
[11:51.840] 后来见到了
[11:55.690] 了
[11:58.050] 远。
[11:59.450] 用
[12:05.520] 的
[12:07.350] 的
[12:10.500] 场
[12:13.190] 把
[12:29.640] 的
[12:31.680] 坏。
[12:37.150] 快。
[12:44.750] 谁知
[12:47.780] 对吧？而且不能去
[12:55.150] 就车您评过吗？有一个大概平米。
[12:58.290] 就车还真外边没频率。
[13:04.020] 琢磨早上也得八九万，
[13:07.150] 不懂瞎说。
[13:15.380] 有限制吗？帮您看了应该有电吗？
[13:18.560] 你就当我没聊过。
[13:21.090] 他重新聊，咱别老来回来去问。
[13:23.710] 对，我有问题给您怎么报别的。
[13:28.170] 好的，结果。
[13:30.350] 黑车棕内
[13:32.890] 应该
[13:35.820] 300。
[13:58.730] 美轮胎吗？
[14:00.670] 今天的人家
[14:04.600] 走走有
[14:14.730] 咱别磨牙了，
[14:18.620] 咱别来不来，那我就直接给您去申请问问，我们俩政策一样，我肯定想还72,000给您报，
[14:25.390] 或者说您有一个大概心理价位吗？73,000对74,000。
[14:29.200] 这个数我先给您列出来，您看一下整体预算。
[14:33.640] 这消费心情你能理解对。
[14:37.370] 数据
[14:40.360] 的
[14:45.340] 刘。
[14:57.090] 哥
[15:09.610] 精品做精品。
[15:13.620] 就是车价购置税保险上完了。
[15:22.860] 数据
[15:26.060] 场
[15:30.630] 句
[15:36.400] 场
[15:40.120] 二
[15:41.710] 数据
[15:47.140] 指导价4998，然后这是按72,000，然后又玩4278，购置税大概在337,000，基本上整数，然后保险大概在13,000左右，已经实际上为准。
[16:01.590] 然后置换额外有一个5000的补贴，然后上牌2500，这样总共加起来四476,000，
[16:08.070] 26,000。
[16:10.470] 我给您稍微等一下。
[16:14.220] 稍微这要买了。
[16:17.100] 哪个上牌？
[16:19.410] 上牌我即使说能给您抹个2000 3000，我估计是某车架是固定相对，也就是说白了我能给你优惠，就是现金直接减或者说是送保险，或者说直接减现咱不磨牙最低多少？
[16:34.050] 对行了，说实在点，反正今天就能定的是吧？对。
[16:38.910] 还有一定
[16:41.970] 就这样。
[16:43.620] 合适就定，他不合拍我一会就上台阶去了，理解。
[16:49.360] 我就不爱说他们的面你知道吗？没必要回来去求人还得
[16:55.090] 等。
[16:56.170] 还有对话。
[17:32.040] 还行。
[17:37.080] 茶叶
[17:39.480] 不过
[17:40.650] 那个店里面有400了。
[17:43.650] 不死了，你问稍等一会儿。
[17:47.340] 估计最那什么好了。
[17:49.300] 你问一下多少钱，具体多少钱忘了。
[17:52.600] 然后也改了走。
[18:15.560] 3点
[18:17.030] 三。
[18:18.090] 你说。
[18:19.900] 经济师傅您这个膜叫什么来着？
[18:22.750] 没有，您这有一个摩囟门听车，谁知
[18:27.210] 俩字儿的车不是
[18:29.010] 车模过。
[18:30.660] 没跑是不是他那一特别厉害，一模安防
[18:36.020] 两个字防爆膜。
[18:38.640] 不太清楚销售
[18:51.240] 6
[18:53.000] 数字化。
[18:54.220] 之前像接着说机器下来不行，对。
[18:59.920] 要当我腿上我会找一个
[19:02.970] 11,000什么叫整个车子签证签字，前面不理不杭州来，主要是前导还亏的就好天。
[19:11.540] 尽快。
[19:15.230] 然后这边特别通通都特别的，所以好像的角色的
[19:23.150] 人，
[19:26.590] 他这车还有两个礼拜
